snapshot_date,eligible_count,selector_top30,ranker_top30,overlap,jaccard,added_by_ranker,removed_by_ranker,added_financial_score,selector_only_financial_score,added_coinvest_z,selector_only_coinvest_z,selector_only_fwd5_count,ranker_fwd5_count,added_fwd5_count,selector_only_hit_rate,ranker_hit_rate,added_hit_rate,selector_only_fwd5_median,ranker_fwd5_median,added_fwd5_median
2026-04-20,232,30,30,18,0.42857142857142855,12,12,24.366699062547152,47.72560678373824,0.632975,0.9741233333333333,0,0,0,,,,,,
2026-04-21,224,30,30,17,0.3953488372093023,13,13,23.81667334341253,48.14993728773704,0.5964076923076923,1.0058733333333332,0,0,0,,,,,,
2026-04-22,228,30,30,17,0.3953488372093023,13,13,24.35644552933023,47.37896431811559,0.5918230769230769,0.9757566666666666,0,0,0,,,,,,
2026-04-23,226,30,30,17,0.3953488372093023,13,13,24.35644552933023,48.198011937163216,0.5873000000000002,0.9912599999999999,0,0,0,,,,,,
2026-04-24,224,30,30,17,0.3953488372093023,13,13,24.35644552933023,48.198011937163216,0.5828076923076921,0.98367,0,0,0,,,,,,
2026-04-25,221,30,30,19,0.4634146341463415,11,11,21.47107471247426,46.24916025276137,0.6174363636363637,0.9648333333333332,0,0,0,,,,,,
2026-04-27,221,30,30,18,0.42857142857142855,12,12,23.297704579478875,44.87236875581279,0.5032000000000001,0.9971066666666666,1,0,0,1.0,,,0.1016,,
2026-04-28,221,30,30,19,0.4634146341463415,11,11,23.460377117561496,43.912743698656875,0.4379909090909091,0.9553600000000001,0,0,0,,,,,,
2026-04-29,217,30,30,18,0.42857142857142855,12,12,23.763671014826063,45.81876221717539,0.4756,0.9474966666666668,0,0,0,,,,,,
2026-04-30,219,30,30,18,0.42857142857142855,12,12,24.4575947053204,45.80225558708852,0.49556666666666666,0.9009966666666667,0,0,0,,,,,,
2026-05-01,218,30,30,19,0.4634146341463415,11,11,25.25021447662284,45.89175115530132,0.5568363636363636,0.8749166666666667,0,0,0,,,,,,
2026-05-04,221,30,30,17,0.3953488372093023,13,13,26.700939638860714,47.089536045815976,0.5181692307692308,0.8749299999999998,0,0,0,,,,,,
2026-05-05,224,30,30,18,0.42857142857142855,12,12,22.251020878572074,46.44062334607672,0.5536416666666667,0.9943866666666668,0,0,0,,,,,,
2026-05-06,225,30,30,18,0.42857142857142855,12,12,25.357056604781473,47.8687932730934,0.5704166666666667,0.9949900000000002,0,0,0,,,,,,
2026-05-07,227,30,30,18,0.42857142857142855,12,12,22.014739579548884,47.86879327309341,0.570975,0.9873499999999998,0,0,0,,,,,,
2026-05-08,222,30,30,18,0.42857142857142855,12,12,23.84814028105033,50.54108408242125,0.5629583333333333,0.9436033333333333,0,0,0,,,,,,
2026-05-11,224,30,30,18,0.42857142857142855,12,12,29.923039670514086,49.33471974296728,0.5118666666666666,0.9246266666666667,0,0,0,,,,,,
2026-05-12,216,30,30,19,0.4634146341463415,11,11,27.97224487898387,48.462543712061084,0.4864909090909091,0.9173833333333334,0,0,0,,,,,,
2026-05-13,218,30,30,18,0.42857142857142855,12,12,24.921924573393085,50.018739413935805,0.5224999999999999,0.90954,0,0,0,,,,,,
