date,ticker,tier_dev,actionable_rank,weight_pct,size_band,catalyst_mode,mom_state,fwd_20d,resid_20d,fwd_60d,resid_60d
2025-01-31,VRDN,A,1,6.37,L,specific_days,neutral,-19.4818,-15.1897,-30.0514,-12.3673
2025-01-31,VERA,A,2,6.37,L,specific_days,headwind,-18.0898,-14.2035,-36.4532,-20.4411
2025-01-31,MLTX,A,3,6.37,L,specific_days,neutral,-4.3299,-1.7829,-9.6907,0.8034
2025-01-31,MRUS,A,4,6.37,L,specific_days,neutral,18.8841,21.0822,9.9975,19.0541
2025-01-31,DNTH,A,5,6.37,L,specific_days,neutral,-2.1296,1.5007,-1.8124,13.1449
2025-01-31,PTGX,B,6,3.82,M,specific_days,headwind,1.0484,4.2117,19.5968,32.63
2025-01-31,ABUS,B,7,1.91,S,specific_days,headwind,5.1829,7.3429,0.3049,9.2043
2025-01-31,AVBP,B,8,6.37,L,specific_days,neutral,-14.3324,-12.3648,-24.4557,-16.349
2025-01-31,ELDN,B,9,6.37,L,specific_days,neutral,-7.1718,-5.3778,-27.3496,-19.9579
2025-01-31,ABEO,B,10,6.37,L,specific_days,neutral,-4.5,-1.8688,-3.125,7.7158
2025-01-31,CNTA,B,11,6.37,L,specific_days,tailwind,-7.9882,-4.9906,-18.4024,-6.0519
2025-01-31,PVLA,B,12,6.37,L,specific_days,neutral,49.3446,50.2799,95.7595,99.6131
2025-01-31,RVMD,B,13,6.37,L,specific_days,headwind,-3.3223,-0.7286,-7.9972,2.6892
2025-01-31,NUVL,B,14,6.37,L,missing,neutral,-11.6323,-8.7164,-13.4001,-1.3861
2025-01-31,AURA,B,15,3.82,M,missing,headwind,-8.2157,-4.8886,-18.0288,-4.3207
2025-01-31,AKRO,B,16,6.37,L,missing,neutral,-8.7837,-4.9056,-23.8626,-7.8843
2025-01-31,ZVRA,B,17,3.82,M,missing,neutral,4.7061,7.2428,-5.8822,4.5694
2025-01-31,WVE,B,18,3.82,M,missing,neutral,-10.8769,-6.3512,-43.2546,-24.6079
2025-02-28,VRDN,A,1,6.41,L,specific_days,neutral,0.2086,2.176,-5.8292,4.9623
2025-02-28,MLTX,A,2,6.41,L,specific_days,neutral,0.3777,1.555,-1.9642,4.4932
2025-02-28,MRUS,A,3,6.41,L,specific_days,neutral,-1.8914,-0.9592,21.2668,26.3798
2025-02-28,DNTH,A,4,6.41,L,specific_days,neutral,1.8858,3.5391,-6.0907,2.9779
2025-02-28,AVBP,A,5,6.41,L,specific_days,headwind,-13.9809,-12.9146,-7.399,-1.5505
2025-02-28,ABUS,B,6,6.41,L,specific_days,tailwind,2.3392,3.3985,-5.848,-0.0375
2025-02-28,BLTE,B,7,3.85,M,specific_days,neutral,16.6696,17.072,6.6993,8.9065
2025-02-28,PCVX,B,8,3.85,M,specific_days,headwind,-3.6616,-2.5169,-54.8682,-48.5892
2025-02-28,ELDN,B,9,6.41,L,specific_days,neutral,-16.3575,-15.5101,-23.8443,-19.1966
2025-02-28,ABEO,B,10,6.41,L,specific_days,neutral,-2.2973,-1.0199,26.2162,33.2226
2025-02-28,CNTA,B,11,6.41,L,specific_days,neutral,-2.992,-1.6053,-14.4282,-6.8222
2025-02-28,PVLA,B,12,6.41,L,specific_days,neutral,43.734,44.1729,21.3299,23.7372
2025-02-28,RVMD,B,13,6.41,L,specific_days,headwind,-2.5822,-1.3252,3.7298,10.6246
2025-02-28,NUVL,B,14,3.85,M,missing,headwind,2.8439,4.2736,3.4633,11.3054
2025-02-28,AURA,B,15,3.85,M,missing,headwind,-12.174,-10.5694,-13.4699,-4.6684
2025-02-28,AKRO,B,16,6.41,L,missing,neutral,-6.1924,-4.379,1.8006,11.7472
2025-02-28,TENX,B,17,3.85,M,missing,neutral,12.5,12.8033,0.0,1.6635
2025-02-28,ZVRA,B,18,3.85,M,missing,neutral,7.0942,8.2375,18.0083,24.2793
2025-03-31,MLTX,A,1,6.21,L,specific_days,neutral,7.7029,4.2766,23.4388,19.0444
2025-03-31,PHVS,A,2,6.21,L,specific_days,headwind,15.0371,12.8959,17.4646,14.7184
2025-03-31,MRUS,A,3,6.21,L,specific_days,neutral,14.3434,11.3085,33.1818,29.2895
2025-03-31,DNTH,A,4,6.21,L,specific_days,neutral,27.451,21.6301,2.1985,-5.267
2025-03-31,REPL,A,5,6.21,L,specific_days,headwind,10.3571,4.6991,9.881,2.6244
2025-03-31,ELDN,A,6,6.21,L,specific_days,neutral,1.8527,-1.3487,-19.2565,-23.3625
2025-03-31,AVXL,B,7,1.86,S,specific_days,headwind,19.4514,12.5653,15.9601,7.1284
2025-03-31,BLTE,B,8,3.73,M,specific_days,neutral,-7.4154,-8.6212,-5.3846,-6.9311
2025-03-31,DRUG,B,9,6.21,L,specific_days,neutral,-10.8834,-17.1408,-24.9792,-33.0046
2025-03-31,CDTX,B,10,6.21,L,specific_days,neutral,11.1522,8.4821,137.5793,134.1548
