date,regime,n_positions,strategy_weighted_resid_20d_pct,strategy_ew_resid_20d_pct,baseline_topk_ew_resid_20d_pct,baseline_universe_ew_resid_20d_pct,spread_vs_topk_20d,hit_rate_20d_pct,strategy_weighted_resid_60d_pct,strategy_ew_resid_60d_pct,baseline_topk_ew_resid_60d_pct,baseline_universe_ew_resid_60d_pct,spread_vs_topk_60d,hit_rate_60d_pct,position_turnover,weight_turnover_pct
2025-01-31,RISK_OFF,18,0.3226,0.5718,-4.3009,-0.3276,4.6235,27.78,4.2235,4.2254,-7.4454,0.4031,11.6689,22.22,,
2025-02-28,RISK_OFF,18,2.2255,2.5794,-1.4384,1.3121,3.6639,50.0,5.5289,4.6353,-6.7737,0.4782,12.3026,44.44,0.2857,16.54
2025-03-31,RISK_OFF,18,5.0031,4.3762,2.7428,0.1839,2.2603,77.78,12.6862,11.5882,6.5924,4.8429,6.0938,66.67,0.4348,29.08
2025-04-30,RISK_OFF,12,2.6985,2.9445,-5.4802,0.4614,8.1787,50.0,39.6432,37.1513,5.4382,21.8069,34.205,83.33,0.5,45.34
2025-05-30,RISK_OFF,14,4.6064,4.036,-3.7234,3.2767,8.3298,42.86,32.625,30.4911,3.9907,18.5179,28.6343,71.43,0.1429,17.16
2025-06-30,RISK_ON,14,36.1983,35.3803,8.084,23.0899,28.1143,85.71,49.8297,48.4849,5.3322,34.463,44.4975,78.57,0.25,18.01
2025-07-31,RISK_ON,15,11.8044,10.9826,2.0788,7.4966,9.7256,80.0,7.7353,8.23,-0.0005,6.3469,7.7358,86.67,0.1875,17.02
2025-08-29,RISK_ON,19,3.0428,3.8017,4.3895,6.1112,-1.3467,68.42,29.2544,33.3241,8.1675,22.8796,21.0869,73.68,0.381,29.4
2025-09-30,RISK_ON,16,13.2332,13.7537,1.5093,8.3426,11.7239,81.25,33.3006,27.0843,-0.7406,19.7367,34.0412,93.33,0.1579,20.25
2025-10-31,RISK_ON,19,1.5566,0.6861,-0.5108,1.8796,2.0674,84.21,10.7351,11.63,-2.2513,5.1185,12.9864,82.35,0.1579,21.93
POOLED,,16.3,8.0691,7.9112,0.3351,5.1826,7.7341,64.8,22.5562,21.6845,1.2309,13.4594,21.3252,70.27,0.2775,23.86
