ticker,company_name,status,exchange,sector,etf_sources,known_delisted,exclusion_reason,model_classification,is_stale,has_any_price,last_price_date
AARD,"Aardvark Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-10
ABCL,AbCellera Biologics Inc.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ABEO,Abeona Therapeutics Inc.,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ABOS,"Acumen Pharmaceuticals, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ABSI,Absci Corporation,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ABUS,Arbutus Biopharma Corporation,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ABVX,ABIVAX Société Anonyme,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ACAD,ACADIA Pharmaceuticals Inc.,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ACIU,AC Immune SA,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ACRS,"Aclaris Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ACRV,"Acrivon Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ADCT,ADC Therapeutics SA,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ADMA,"ADMA Biologics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ADPT,Adaptive Biotechnologies Corporation,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
AGIO,"Agios Pharmaceuticals, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
AKTX,"Akari Therapeutics, Plc",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ALDX,"Aldeyra Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ALGS,"Aligos Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ALKS,Alkermes plc,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ALLO,"Allogene Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ALMS,Alumis Inc.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ALNY,"Alnylam Pharmaceuticals, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ALT,"Altimmune, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ALVO,Alvotech,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
AMGN,Amgen Inc.,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
AMLX,"Amylyx Pharmaceuticals, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
AMPH,"Amphastar Pharmaceuticals, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
AMRX,"Amneal Pharmaceuticals, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
ANAB,"AnaptysBio, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ANIP,"ANI Pharmaceuticals, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
ANNX,"Annexon, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ANRO,ANRO,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
APGE,"Apogee Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
APLS,"Apellis Pharmaceuticals, Inc.",delisted,,Healthcare,,True,status=delisted,DELISTED_OR_INACTIVE,True,True,2026-05-15
AQST,"Aquestive Therapeutics, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
ARCT,Arcturus Therapeutics Holdings Inc.,pending_coverage,,Healthcare,,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
ARDX,"Ardelyx, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
ARGX,argenx SE,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ARQT,"Arcutis Biotherapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ARTV,"Artiva Biotherapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ARVN,"Arvinas, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ARWR,"Arrowhead Pharmaceuticals, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ASMB,"Assembly Biosciences, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
ASND,Ascendis Pharma A/S,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
ATAI,AtaiBeckley Inc.,pending_coverage,NASDAQ,Biotechnology,IBB,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
AUPH,Aurinia Pharmaceuticals Inc.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
AURA,"Aura Biosciences, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
AUTL,Autolus Therapeutics plc,pending_coverage,NASDAQ,Biotechnology,IBB,False,status=pending_coverage,NEEDS_REVIEW,False,True,2026-07-09
AVBP,"ArriVent BioPharma, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
AVIR,"Atea Pharmaceuticals, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
AVTR,"Avantor, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
AVXL,Anavex Life Sciences Corp.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
AXSM,"Axsome Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
AZN,AstraZeneca PLC,active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
BBIO,"BridgeBio Pharma, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
BBOT,"BridgeBio Oncology Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
BCAX,Bicara Therapeutics Inc.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
BCRX,"BioCryst Pharmaceuticals, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
BCYC,BCYC,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
BDTX,"Black Diamond Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
BEAM,Beam Therapeutics Inc.,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
BHVN,Biohaven Ltd.,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
BIIB,Biogen Inc.,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
BIOA,"BioAge Labs, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
BLTE,"Belite Bio, Inc",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
BMEA,"Biomea Fusion, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
BMRN,BioMarin Pharmaceutical Inc.,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
BNTX,BioNTech SE,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
BRKR,Bruker Corporation,active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CABA,"Cabaletta Bio, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CADL,"Candel Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CAI,"Caris Life Sciences, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CATX,"Perspective Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CCCC,"C4 Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CDNA,"CareDx, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CDXS,"Codexis, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CELC,Celcuity Inc.,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CERS,Cerus Corporation,active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
CGEM,"Cullinan Therapeutics, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CGON,"CG Oncology, Inc.",active,NASDAQ,Biotechnology,IBB,False,,ACTIVE_VALID,False,True,2026-07-09
CHRS,"Coherus Oncology, Inc.",active,NASDAQ,Biotechnology,NBI,False,,ACTIVE_VALID,False,True,2026-07-09
CLDX,"Celldex Therapeutics, Inc.",active,,Healthcare,,False,,ACTIVE_VALID,False,True,2026-07-09
