as_of_date,ticker,tier,band,eligible,weight,tier_reason,risk_flags,catalyst_mode,mom_state,optionality,catalyst_days_raw,ruleset_id,fwd_ret_20d,fwd_ret_60d,fwd_max_dd_20d,fwd_max_dd_60d,fwd_dd_missing_reason
2025-01-31,TBPH,C,L,1,0.0,low_opt+no_catalyst_data,,missing,tailwind,0.030726,,d3cdf5c8,-1.2671,2.9567,-9.1282,-14.6667,
2025-01-31,IRON,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.265363,,d3cdf5c8,2.164,-17.4032,-4.9032,-39.7751,
2025-01-31,VYGR,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.047486,,d3cdf5c8,-23.4521,-34.8968,-30.9187,-49.6466,
2025-01-31,XNCR,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.175978,130,d3cdf5c8,-12.8263,-40.3519,-19.0315,-56.8131,
2025-01-31,NKTX,C,L,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.248603,,d3cdf5c8,-19.3549,-2.765,-32.2176,-42.6778,
2025-01-31,HRTX,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.069832,,d3cdf5c8,46.1528,36.0938,-10.8108,-30.5882,
2025-01-31,ELVN,C,S,1,0.0,low_opt+no_catalyst_data,high_vol,missing,headwind,0.259777,,d3cdf5c8,-4.8859,-16.8493,-13.7582,-34.4615,
2025-01-31,NAMS,C,L,1,0.0,low_opt+no_catalyst_data,deep_drawdown,missing,tailwind,0.293296,,d3cdf5c8,-1.6854,-17.9775,-17.9307,-38.0972,
2025-01-31,ASMB,C,M,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.23743,,d3cdf5c8,-6.6665,-22.4636,-14.0746,-41.8719,
2025-01-31,SABS,C,M,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.064246,,d3cdf5c8,-20.4649,-18.6045,-30.0448,-50.2242,
2025-01-31,EWTX,C,M,1,0.0,low_opt+no_catalyst_data,,missing,headwind,0.131285,,d3cdf5c8,-7.1986,-47.3759,-16.7166,-61.9714,
2025-01-31,CTNM,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.00838,164,d3cdf5c8,-24.8666,-52.9349,-30.7773,-58.0882,
2025-01-31,PCVX,C,M,1,0.0,mod_opt+no_catalyst_data,,missing,headwind,0.337989,,d3cdf5c8,-13.9017,-61.1838,-19.2971,-68.6143,
2025-01-31,BEAM,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.321229,,d3cdf5c8,2.9308,-23.7202,-26.3714,-57.3482,
2025-01-31,NRIX,C,M,1,0.0,low_opt+no_catalyst_data,deep_drawdown,missing,headwind,0.136872,,d3cdf5c8,-18.4697,-38.9974,-26.0938,-54.1146,
2025-01-31,CGEM,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.231844,,d3cdf5c8,-15.6064,-19.0855,-22.7053,-29.9517,
2025-01-31,DSGN,D,XS,0,0.0,ineligible,deep_drawdown,missing,neutral,0.159218,,d3cdf5c8,2.9661,-17.7967,-24.2798,-47.6548,
2025-01-31,KYMR,C,L,1,0.0,low_opt+no_catalyst_data,,missing,neutral,0.148045,,d3cdf5c8,-18.5503,-13.5879,-22.7203,-46.0809,
2025-01-31,BBOT,C,L,1,0.0,mod_opt+no_catalyst_data,,missing,neutral,0.315642,,d3cdf5c8,3.4644,3.0899,-1.448,-5.6637,
2025-01-31,UPB,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.287709,157,d3cdf5c8,-20.141,-15.5086,-28.6002,-38.8721,
2025-01-31,ENTA,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.013966,143,d3cdf5c8,50.4836,7.9304,-13.6631,-49.8233,
2025-01-31,AARD,C,M,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.097765,,d3cdf5c8,,,-44.8116,-59.4203,
2025-01-31,MAZE,C,L,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.125698,,d3cdf5c8,-18.4667,-45.2667,-29.5333,-49.5333,
2025-01-31,GLUE,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.058659,,d3cdf5c8,-15.5146,-22.2734,-20.7849,-44.9008,
2025-01-31,ROIV,C,L,1,0.0,mod_opt+no_catalyst_data,,missing,neutral,0.382682,,d3cdf5c8,0.3738,2.8972,-7.2926,-17.2288,
2025-01-31,AGIO,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.114525,,d3cdf5c8,5.7266,-12.3903,-6.8092,-30.9792,
2025-01-31,LBRX,C,M,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.25419,,d3cdf5c8,,,-13.8728,-15.5491,
2025-01-31,ACRS,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,specific_days,tailwind,0.081006,41,d3cdf5c8,-17.0833,-44.1667,-24.1245,-57.9767,
2025-01-31,DYN,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,headwind,0.393855,,d3cdf5c8,-1.8745,-20.2596,-26.4916,-59.3675,
2025-01-31,LCTX,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.019553,,d3cdf5c8,-18.5642,-28.934,-29.1667,-45.8333,
2025-01-31,TRVI,C,L,1,0.0,low_opt,,specific_days,tailwind,0.036313,83,d3cdf5c8,7.109,53.3175,-11.25,-22.467,
2025-01-31,SPRY,C,M,1,0.0,low_opt+no_catalyst_data,deep_drawdown,missing,headwind,0.153631,,d3cdf5c8,-14.866,11.8603,-20.4687,-20.4687,
2025-01-31,IMRX,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.103352,,d3cdf5c8,-12.234,-22.8723,-25.6281,-37.6884,
2025-01-31,SLN,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.120112,,d3cdf5c8,-11.0672,-33.5968,-32.0661,-63.9669,
2025-01-31,MBX,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,specific_days,headwind,0.22067,112,d3cdf5c8,-8.4843,-12.5834,-27.1475,-53.0794,
2025-01-31,ALT,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,tailwind,0.092179,88,d3cdf5c8,3.2612,-21.274,-15.4506,-47.4964,
2025-01-31,JANX,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.349162,,d3cdf5c8,-21.8208,-26.1944,-28.7122,-46.7189,
2025-01-31,TYRA,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.282123,,d3cdf5c8,-15.4513,-27.509,-19.0614,-49.0253,
2025-01-31,ATXS,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.544693,,d3cdf5c8,-13.3244,-30.4172,-19.8423,-50.7227,
2025-01-31,PTGX,B,M,1,3.57,mod_opt+catalyst_near,,specific_days,headwind,0.46648,21,d3cdf5c8,1.0484,19.5968,-9.7479,-31.5763,
