as_of_date,ticker,tier,band,eligible,weight,tier_reason,risk_flags,catalyst_mode,catalyst_strength,mom_state,optionality,catalyst_days_raw,ruleset_id,drawdown_abs,drawdown_xbi,drawdown_rel_xbi,fwd_ret_20d,fwd_ret_60d,fwd_max_dd_20d,fwd_max_dd_60d,fwd_dd_missing_reason,adv_dollars,est_cost_bps,participation_pct,fwd_ret_20d_net,fwd_ret_60d_net
2025-01-31,TBPH,C,L,1,0.0,low_opt,,specific_days,far,tailwind,0.030726,335,c88bd4cc,-0.2527,-0.1105,-0.1422,-1.2671,2.9567,-9.1282,-14.6667,,9697801.97,0.0,0.0,-1.2671,2.9567
2025-01-31,IRON,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,tailwind,0.265363,,c88bd4cc,-0.6479,-0.1105,-0.5374,2.164,-17.4032,-4.9032,-39.7751,,46103331.42,0.0,0.0,2.164,-17.4032
2025-01-31,VYGR,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.047486,,c88bd4cc,-0.5209,-0.1105,-0.4104,-23.4521,-34.8968,-30.9187,-49.6466,,2103200.0,0.0,0.0,-23.4521,-34.8968
2025-01-31,XNCR,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,mid,headwind,0.175978,130,c88bd4cc,-0.408,-0.1105,-0.2975,-12.8263,-40.3519,-19.0315,-56.8131,,9333503.71,0.0,0.0,-12.8263,-40.3519
2025-01-31,NKTX,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.248603,,c88bd4cc,-0.8619,-0.1105,-0.7514,-19.3549,-2.765,-32.2176,-42.6778,,1624343.82,0.0,0.0,-19.3549,-2.765
2025-01-31,HRTX,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,far,tailwind,0.069832,274,c88bd4cc,-0.7254,-0.1105,-0.6149,46.1528,36.0938,-10.8108,-30.5882,,2560112.51,0.0,0.0,46.1528,36.0938
2025-01-31,ELVN,C,S,1,0.0,low_opt+no_catalyst_data,high_vol|deep_drawdown_rel_xbi,missing,missing,headwind,0.259777,,c88bd4cc,-0.3473,-0.1105,-0.2368,-4.8859,-16.8493,-13.7582,-34.4615,,27777225.77,0.0,0.0,-4.8859,-16.8493
2025-01-31,NAMS,C,L,1,0.0,low_opt,deep_drawdown|deep_drawdown_rel_xbi,specific_days,far,tailwind,0.293296,274,c88bd4cc,-0.371,-0.1105,-0.2605,-1.6854,-17.9775,-17.9307,-38.0972,,28562073.26,0.0,0.0,-1.6854,-17.9775
2025-01-31,ASMB,C,S,1,0.0,low_opt+no_catalyst_data,,missing,missing,headwind,0.23743,,c88bd4cc,-0.3047,-0.1105,-0.1942,-6.6665,-22.4636,-14.0746,-41.8719,,3394188.29,0.0,0.0,-6.6665,-22.4636
2025-01-31,SABS,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.064246,,c88bd4cc,-0.655,-0.1105,-0.5445,-20.4649,-18.6045,-30.0448,-50.2242,,1443718.12,0.0,0.0,-20.4649,-18.6045
2025-01-31,EWTX,C,M,1,0.0,low_opt+no_catalyst_data,deep_drawdown_rel_xbi,missing,missing,headwind,0.131285,,c88bd4cc,-0.3405,-0.1105,-0.23,-7.1986,-47.3759,-16.7166,-61.9714,,42566236.2,0.0,0.0,-7.1986,-47.3759
2025-01-31,CTNM,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,mid,headwind,0.00838,164,c88bd4cc,-0.5499,-0.1105,-0.4394,-24.8666,-52.9349,-30.7773,-58.0882,,3501688.21,0.0,0.0,-24.8666,-52.9349
2025-01-31,PCVX,C,L,1,0.0,low_opt,deep_drawdown_rel_xbi,specific_days,far,headwind,0.337989,206,c88bd4cc,-0.3374,-0.1105,-0.2269,-13.9017,-61.1838,-19.2971,-68.6143,,81380172.36,0.0,0.0,-13.9017,-61.1838
2025-01-31,BEAM,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,tailwind,0.321229,,c88bd4cc,-0.5292,-0.1105,-0.4187,2.9308,-23.7202,-26.3714,-57.3482,,54428839.59,0.0,0.0,2.9308,-23.7202
2025-01-31,NRIX,C,M,1,0.0,low_opt+no_catalyst_data,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.136872,,c88bd4cc,-0.3518,-0.1105,-0.2413,-18.4697,-38.9974,-26.0938,-54.1146,,27195248.88,0.0,0.0,-18.4697,-38.9974
2025-01-31,CGEM,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.231844,,c88bd4cc,-0.6589,-0.1105,-0.5484,-15.6064,-19.0855,-22.7053,-29.9517,,12956002.09,0.0,0.0,-15.6064,-19.0855
2025-01-31,DSGN,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,neutral,0.159218,,c88bd4cc,-0.464,-0.1105,-0.3535,2.9661,-17.7967,-24.2798,-47.6548,,4520667.35,0.0,0.0,2.9661,-17.7967
2025-01-31,KYMR,C,L,1,0.0,low_opt,deep_drawdown_rel_xbi,specific_days,far,neutral,0.148045,251,c88bd4cc,-0.3149,-0.1105,-0.2044,-18.5503,-13.5879,-22.7203,-46.0809,,73469596.73,0.0,0.0,-18.5503,-13.5879
2025-01-31,BBOT,C,L,1,0.0,mod_opt+no_catalyst_data,,missing,missing,neutral,0.315642,,c88bd4cc,-0.0464,-0.1105,0.0641,3.4644,3.0899,-1.448,-5.6637,,2806105.71,0.0,0.0,3.4644,3.0899
2025-01-31,UPB,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,mid,headwind,0.287709,157,c88bd4cc,-0.6404,-0.1105,-0.5299,-20.141,-15.5086,-28.6002,-38.8721,,16903166.22,0.0,0.0,-20.141,-15.5086
2025-01-31,ENTA,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,mid,headwind,0.013966,143,c88bd4cc,-0.7239,-0.1105,-0.6134,50.4836,7.9304,-13.6631,-49.8233,,4151275.38,0.0,0.0,50.4836,7.9304
2025-01-31,AARD,C,M,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,missing,neutral,0.097765,,c88bd4cc,,-0.1105,,,,-44.8116,-59.4203,,2681147.04,0.0,0.0,,
2025-01-31,MAZE,C,L,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,missing,neutral,0.125698,,c88bd4cc,,-0.1105,,-18.4667,-45.2667,-29.5333,-49.5333,,20370507.76,0.0,0.0,-18.4667,-45.2667
2025-01-31,GLUE,D,XS,0,0.0,ineligible,high_vol|deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.058659,,c88bd4cc,-0.6005,-0.1105,-0.49,-15.5146,-22.2734,-20.7849,-44.9008,,33217322.5,0.0,0.0,-15.5146,-22.2734
2025-01-31,ROIV,C,L,1,0.0,mod_opt+no_catalyst_data,,missing,missing,neutral,0.382682,,c88bd4cc,-0.1637,-0.1105,-0.0532,0.3738,2.8972,-7.2926,-17.2288,,158949467.83,0.0,0.0,0.3738,2.8972
2025-01-31,AGIO,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,far,headwind,0.114525,272,c88bd4cc,-0.4838,-0.1105,-0.3733,5.7266,-12.3903,-6.8092,-30.9792,,46433643.27,0.0,0.0,5.7266,-12.3903
2025-01-31,LBRX,C,M,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,missing,neutral,0.25419,,c88bd4cc,,-0.1105,,,,-13.8728,-15.5491,,6568594.79,0.0,0.0,,
2025-01-31,ACRS,D,XS,0,0.0,ineligible,high_vol|deep_drawdown|deep_drawdown_rel_xbi,specific_days,near,tailwind,0.081006,41,c88bd4cc,-0.4858,-0.1105,-0.3753,-17.0833,-44.1667,-24.1245,-57.9767,,6901424.52,0.0,0.0,-17.0833,-44.1667
2025-01-31,DYN,D,XS,0,0.0,ineligible,high_beta|deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.393855,,c88bd4cc,-0.7139,-0.1105,-0.6034,-1.8745,-20.2596,-26.4916,-59.3675,,49488374.08,0.0,0.0,-1.8745,-20.2596
2025-01-31,LCTX,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.019553,,c88bd4cc,-0.6622,-0.1105,-0.5517,-18.5642,-28.934,-29.1667,-45.8333,,2330756.06,0.0,0.0,-18.5642,-28.934
2025-01-31,TRVI,C,L,1,0.0,low_opt,deep_drawdown_rel_xbi,specific_days,near,tailwind,0.036313,83,c88bd4cc,-0.3405,-0.1105,-0.23,7.109,53.3175,-11.25,-22.467,,19946443.83,0.0,0.0,7.109,53.3175
2025-01-31,SPRY,C,M,1,0.0,low_opt+no_catalyst_data,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.153631,,c88bd4cc,-0.3968,-0.1105,-0.2863,-14.866,11.8603,-20.4687,-20.4687,,20161148.27,0.0,0.0,-14.866,11.8603
2025-01-31,IMRX,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,tailwind,0.103352,,c88bd4cc,-0.8476,-0.1105,-0.7371,-12.234,-22.8723,-25.6281,-37.6884,,8772246.07,0.0,0.0,-12.234,-22.8723
2025-01-31,SLN,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.120112,,c88bd4cc,-0.8084,-0.1105,-0.6979,-11.0672,-33.5968,-32.0661,-63.9669,,1439482.83,0.0,0.0,-11.0672,-33.5968
2025-01-31,MBX,D,XS,0,0.0,ineligible,high_beta|deep_drawdown|deep_drawdown_rel_xbi,specific_days,near,headwind,0.22067,112,c88bd4cc,-0.6193,-0.1105,-0.5088,-8.4843,-12.5834,-27.1475,-53.0794,,29937348.2,0.0,0.0,-8.4843,-12.5834
2025-01-31,ALT,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,near,tailwind,0.092179,88,c88bd4cc,-0.6017,-0.1105,-0.4912,3.2612,-21.274,-15.4506,-47.4964,,27528827.9,0.0,0.0,3.2612,-21.274
2025-01-31,JANX,D,XS,0,0.0,ineligible,high_vol|deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.349162,,c88bd4cc,-0.4552,-0.1105,-0.3447,-21.8208,-26.1944,-28.7122,-46.7189,,28910446.45,0.0,0.0,-21.8208,-26.1944
2025-01-31,TYRA,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.282123,,c88bd4cc,-0.5142,-0.1105,-0.4037,-15.4513,-27.509,-19.0614,-49.0253,,17584555.82,0.0,0.0,-15.4513,-27.509
2025-01-31,ATXS,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.544693,,c88bd4cc,-0.5584,-0.1105,-0.4479,-13.3244,-30.4172,-19.8423,-50.7227,,13699192.2,0.0,0.0,-13.3244,-30.4172
2025-01-31,PTGX,B,M,1,5.31,mod_opt+catalyst_near,,specific_days,near,headwind,0.46648,21,c88bd4cc,-0.2455,-0.1105,-0.135,1.0484,19.5968,-9.7479,-31.5763,,75866011.69,380.14,3.4996,-2.753,15.7954
2025-01-31,SYRE,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.488827,,c88bd4cc,-0.5471,-0.1105,-0.4366,-13.9738,-38.2969,-24.8114,-50.5448,,22719362.75,0.0,0.0,-13.9738,-38.2969
2025-01-31,OCUL,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.170391,,c88bd4cc,-0.6157,-0.1105,-0.5052,-5.4305,2.1192,-27.1218,-29.2597,,35585007.32,0.0,0.0,-5.4305,2.1192
2025-01-31,GLPG,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,far,headwind,0.053073,250,c88bd4cc,-0.4208,-0.1105,-0.3103,14.2857,17.7038,-2.8048,-13.8369,,4039584.94,0.0,0.0,14.2857,17.7038
2025-01-31,ORKA,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.51676,,c88bd4cc,-0.6248,-0.1105,-0.5143,-25.9124,-26.3504,-33.1001,-52.5542,,18953665.08,0.0,0.0,-25.9124,-26.3504
2025-01-31,QURE,D,XS,0,0.0,ineligible,high_vol|deep_drawdown|deep_drawdown_rel_xbi,missing,missing,tailwind,0.198324,,c88bd4cc,-0.5514,-0.1105,-0.4409,-16.5079,-9.9683,-32.7576,-48.5503,,67098391.87,0.0,0.0,-16.5079,-9.9683
2025-01-31,DNLI,D,XS,0,0.0,ineligible,high_beta|deep_drawdown|deep_drawdown_rel_xbi,missing,missing,neutral,0.561453,,c88bd4cc,-0.4066,-0.1105,-0.2961,-24.1758,-28.2051,-35.5659,-51.3777,,37141969.31,0.0,0.0,-24.1758,-28.2051
2025-01-31,EPRX,C,M,1,0.0,mod_opt+no_catalyst_data,,missing,missing,headwind,0.416201,,c88bd4cc,-0.2359,-0.1105,-0.1254,33.5224,25.6099,-8.2517,-31.8182,,1219469.42,0.0,0.0,33.5224,25.6099
