as_of_date,ticker,tier,band,eligible,weight,tier_reason,risk_flags,catalyst_mode,mom_state,optionality,catalyst_days_raw,ruleset_id,fwd_ret_20d,fwd_ret_60d,fwd_max_dd_20d,fwd_max_dd_60d,fwd_dd_missing_reason
2024-01-31,TBPH,C,S,1,0.0,low_opt+no_catalyst_data,,missing,headwind,0.037791,,eb833c56,2.6201,0.1092,-10.262,-12.0743,
2024-01-31,VYGR,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.09593,,eb833c56,18.6508,0.1323,-7.2464,-29.6015,
2024-01-31,IRON,B,L,1,5.92,mod_opt+catalyst_near,,specific_days,tailwind,0.351744,20,eb833c56,-3.7529,-59.6631,-7.734,-64.7902,
2024-01-31,XNCR,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.218023,9,eb833c56,19.5698,-0.2099,-14.0649,-31.3348,
2024-01-31,PCVX,C,L,1,0.0,low_opt+no_catalyst_data,overbought_rsi,missing,tailwind,0.235465,,eb833c56,-0.5561,-20.1642,-8.9204,-25.8976,
2024-01-31,DSGN,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.101744,,eb833c56,18.2573,51.4522,-6.0811,-16.2162,
2024-01-31,HRTX,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.084302,,eb833c56,12.5015,10.4183,-9.7222,-19.9346,
2024-01-31,EWTX,D,XS,0,0.0,ineligible,deep_drawdown|overbought_rsi,missing,tailwind,0.15407,,eb833c56,-13.1908,-16.0063,-18.2273,-24.4867,
2024-01-31,NAMS,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,tailwind,0.311047,118,eb833c56,13.5577,4.8077,-6.0096,-21.7912,
2024-01-31,CTNM,C,L,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.113372,,eb833c56,,,-8.2286,-15.3365,
2024-01-31,SABS,C,M,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.136628,,eb833c56,-28.4746,-25.4237,-13.0435,-30.1075,
2024-01-31,NKTX,C,L,1,0.0,mod_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.34593,,eb833c56,2.4505,-32.4223,-7.5472,-19.4093,
2024-01-31,TRVI,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.043605,,eb833c56,110.7913,90.6475,-9.1241,-31.3514,
2024-01-31,SGMT,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,tailwind,0.031977,,eb833c56,-36.1,-58.3,-40.2985,-60.995,
2024-01-31,ASMB,C,M,1,0.0,mod_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.31686,,eb833c56,12.1203,18.6329,-5.3101,-23.6911,
2024-01-31,MAZE,C,L,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.125,,eb833c56,,,-33.7304,-52.5392,
2024-01-31,AARD,C,M,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.090116,,eb833c56,,,-44.8116,-59.4203,
2024-01-31,ENTA,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,tailwind,0.014535,138,eb833c56,11.8936,1.0955,-5.6561,-29.1523,
2024-01-31,MBX,C,L,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.072674,,eb833c56,,,-15.8968,-38.6451,
2024-01-31,DRUG,C,L,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.055233,,eb833c56,-15.7534,-49.3023,-8.4522,-16.2051,
2024-01-31,CGEM,D,XS,0,0.0,ineligible,deep_drawdown|overbought_rsi,missing,tailwind,0.293605,,eb833c56,3.2553,7.8812,-10.2524,-19.4532,
2024-01-31,IKT,C,M,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.130814,,eb833c56,,,-20.5556,-20.5556,
2024-01-31,ELVN,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,neutral,0.380814,,eb833c56,3.3749,6.3545,-10.6498,-34.7285,
2024-01-31,KYMR,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.229651,,eb833c56,32.3439,7.7417,-5.8586,-23.4565,
2024-01-31,UPB,C,L,1,0.0,mod_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.392442,,eb833c56,,,-6.4479,-41.1829,
2024-01-31,DYN,D,XS,0,0.0,ineligible,deep_drawdown|overbought_rsi,missing,tailwind,0.415698,,eb833c56,13.2366,13.2366,-7.8157,-18.9513,
2024-01-31,AGIO,C,M,1,0.0,low_opt,deep_drawdown,specific_days,headwind,0.142442,71,eb833c56,46.6463,37.9355,-7.1531,-20.8561,
2024-01-31,GPCR,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.148256,,eb833c56,-3.9938,-19.1702,-17.3265,-30.8163,
2024-01-31,SPRY,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,tailwind,0.18314,2,eb833c56,40.9375,29.0625,-7.2062,-20.8415,
2024-01-31,ACRS,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.061047,,eb833c56,-0.8334,-2.5,-12.3967,-20.1389,
2024-01-31,SLN,D,XS,0,0.0,ineligible,deep_drawdown|overbought_rsi,missing,tailwind,0.119186,,eb833c56,19.1006,3.2452,-5.6827,-21.2952,
2024-01-31,LBRX,C,M,1,0.0,mod_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.328488,,eb833c56,,,-13.8728,-15.5491,
2024-01-31,JANX,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.363372,,eb833c56,448.8221,467.8444,-15.9067,-29.407,
2024-01-31,ROIV,C,M,1,0.0,mod_opt+no_catalyst_data,deep_drawdown,missing,headwind,0.479651,,eb833c56,16.5174,8.4577,-3.0509,-16.3559,
2024-01-31,IMRX,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.171512,,eb833c56,10.5309,-73.8903,-9.7744,-78.8462,
2024-01-31,BEAM,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,headwind,0.485465,,eb833c56,65.0019,-13.9614,-12.3807,-52.5627,
2024-01-31,TYRA,C,M,1,0.0,mod_opt+no_catalyst_data,deep_drawdown,missing,headwind,0.305233,,eb833c56,52.9593,22.9823,-2.9381,-27.75,
2024-01-31,ALT,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,tailwind,0.107558,56,eb833c56,34.4135,-28.3402,-22.7444,-50.1086,
2024-01-31,NRIX,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.40407,,eb833c56,46.135,68.7117,-6.937,-29.2906,
2024-01-31,NUVL,C,L,1,0.0,mod_opt+no_catalyst_data,,missing,tailwind,0.537791,,eb833c56,9.8867,-13.4912,-5.4725,-29.4752,
2024-01-31,PTGX,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.508721,,eb833c56,6.6971,-9.8878,-10.9046,-23.297,
2024-01-31,ATXS,D,XS,0,0.0,ineligible,deep_drawdown|overbought_rsi,missing,tailwind,0.56686,,eb833c56,10.1032,-33.6283,-17.3001,-46.0755,
2024-01-31,LCTX,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.188953,,eb833c56,20.5378,27.4919,-8.8496,-25.6757,
2024-01-31,BCAX,C,L,1,0.0,mod_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.427326,,eb833c56,,,-29.8116,-34.3554,
2024-01-31,CCCC,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,tailwind,0.340116,,eb833c56,89.4463,11.9377,-9.1479,-43.9091,
2024-01-31,ERAS,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.270349,,eb833c56,36.6279,9.3024,-9.2391,-29.8039,
2024-01-31,DNLI,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,headwind,0.630814,,eb833c56,23.3069,-5.0641,-15.2891,-35.9315,
2024-01-31,QURE,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.287791,,eb833c56,20.3237,-17.9856,-14.8148,-32.8889,
2024-01-31,MLTX,C,L,1,0.0,low_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.276163,,eb833c56,-0.3683,-25.5875,-5.3729,-89.9258,
2024-01-31,EPRX,C,L,1,0.0,mod_opt+no_catalyst_data,drawdown_data_missing|overbought_rsi,missing,neutral,0.514535,,eb833c56,37.2032,-22.9551,-14.9153,-15.7807,
2024-01-31,GLPG,C,M,1,0.0,low_opt+no_catalyst_data,,missing,headwind,0.078488,,eb833c56,-4.8774,-24.1497,-11.584,-27.9023,
2024-01-31,BNTX,C,M,1,0.0,low_opt,deep_drawdown,specific_days,headwind,0.264535,55,eb833c56,-3.2589,-6.7929,-7.3333,-10.5192,
2024-01-31,GLUE,D,XS,0,0.0,ineligible,high_vol|high_beta|deep_drawdown,missing,neutral,0.43314,,eb833c56,24.0404,10.5051,-15.9763,-36.9976,
2024-01-31,BDTX,D,XS,0,0.0,ineligible,deep_drawdown|overbought_rsi,missing,tailwind,0.578488,,eb833c56,16.1972,18.7794,-16.0748,-29.3458,
2024-01-31,VKTX,C,L,1,0.0,low_opt,drawdown_data_missing,specific_days,neutral,0.049419,27,eb833c56,294.572,171.691,-42.124,-45.1414,
2024-01-31,OCUL,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,specific_days,headwind,0.206395,112,eb833c56,89.5238,-11.5238,-5.7143,-61.5737,
2024-01-31,XENE,C,L,1,0.0,mod_opt+no_catalyst_data,,missing,tailwind,0.531977,,eb833c56,3.0368,-14.9257,-5.6755,-21.0632,
2024-01-31,RVMD,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,neutral,0.438953,154,eb833c56,6.0156,25.9377,-5.1358,-10.5812,
