as_of,trade_start,trade_end,port_ret_pct,xbi_ret_pct,excess_pct,xbi_dd_pct,xbi_vol_ann,n_held,n_gap_risk,gap_risk_wt_pct,tier_a_ret_pct,tier_b_ret_pct,n_tickers_ranked,worst_ticker,worst_ret_pct
2020-01-03,2020-01-03,2020-01-10,0.6885,1.5745,-0.8861,-1.39,,19,0,0.0,2.3956,0.5936,25,DYN,-14.99
2020-01-10,2020-01-10,2020-01-17,2.2101,1.5185,0.6916,-1.03,0.1548,18,0,0.0,-7.6071,2.7876,25,EYPT,-13.61
2020-01-17,2020-01-17,2020-01-24,-2.8037,-5.7339,2.9302,-0.83,0.2151,18,0,0.0,-7.9964,-2.4982,25,DYN,-16.27
2020-01-24,2020-01-24,2020-01-31,-3.8769,-1.7961,-2.0808,-6.52,0.2312,18,0,0.0,-7.3555,-3.6723,25,DYN,-16.56
2020-01-31,2020-01-31,2020-02-07,2.7275,6.9569,-4.2294,-8.2,0.2229,18,0,0.0,4.8992,2.5997,25,CELC,-16.79
2020-02-07,2020-02-07,2020-02-14,-1.027,1.8569,-2.8839,-1.81,0.263,18,0,0.0,4.6539,-1.3611,25,SVRA,-18.86
2020-02-14,2020-02-14,2020-02-21,2.7547,0.1751,2.5797,-0.94,0.2399,19,0,0.0,-4.0354,3.132,25,PVLA,-18.54
2020-02-21,2020-02-21,2020-02-28,-10.9535,-8.3076,-2.6459,-1.11,0.2303,19,0,0.0,-15.1385,-10.721,25,LQDA,-23.95
2020-02-28,2020-02-28,2020-03-06,0.3821,1.0316,-0.6495,-9.32,0.3024,19,0,0.0,1.3991,0.3256,25,LQDA,-11.69
2020-03-06,2020-03-06,2020-03-13,-16.7736,-16.4928,-0.2808,-8.39,0.3679,18,0,0.0,-14.7374,-16.8934,25,ADCT,-43.33
2020-03-13,2020-03-13,2020-03-20,-6.0667,-8.134,2.0673,-23.5,0.687,18,0,0.0,-3.0793,-6.2424,25,ADCT,-27.2
2020-03-20,2020-03-20,2020-03-27,8.342,9.8958,-1.5539,-29.72,0.8567,18,0,0.0,2.6438,8.6772,25,AVIR,-22.31
2020-03-27,2020-03-27,2020-03-31,2.9106,1.9484,0.9622,-22.77,0.8937,18,0,0.0,7.2074,2.6578,25,CELC,-10.27
2020-03-31,2020-03-31,2020-04-03,-5.5543,-3.3316,-2.2226,-21.26,0.8827,18,0,0.0,-4.0042,-5.6454,25,PVLA,-25.49
2020-04-03,2020-04-03,2020-04-09,11.9721,11.4481,0.524,-23.88,0.891,18,0,0.0,13.1065,11.9054,25,RCKT,-8.4
2020-04-09,2020-04-09,2020-04-17,9.8754,9.7327,0.1427,-15.17,0.7729,18,0,0.0,8.5986,9.9506,25,CHRS,-7.01
2020-04-17,2020-04-17,2020-04-24,2.7676,5.964,-3.1963,-6.91,0.6012,18,0,0.0,10.277,2.3259,25,CGON,-17.81
2020-04-24,2020-04-24,2020-04-30,1.862,-3.7316,5.5936,-1.36,0.5465,18,0,0.0,3.1442,1.7866,25,ADCT,-18.6
2020-04-30,2020-04-30,2020-05-01,-3.9682,-2.7412,-1.227,-5.04,0.5137,18,0,0.0,-4.8711,-3.9151,25,REPL,-12.0
2020-05-01,2020-05-01,2020-05-08,9.5353,9.6224,-0.0871,-7.65,0.5066,18,0,0.0,-1.3049,10.173,25,PVLA,-7.45
2020-05-08,2020-05-08,2020-05-15,3.6821,3.1134,0.5688,0.0,0.4443,18,0,0.0,-2.3766,4.0385,25,ADCT,-36.73
2020-05-15,2020-05-15,2020-05-22,13.0623,3.2921,9.7702,-1.58,0.4229,17,0,0.0,9.2062,13.3033,25,PVLA,0.2
2020-05-22,2020-05-22,2020-05-29,0.2491,-2.3479,2.597,0.0,0.4052,17,1,4.0,5.4317,-0.0748,25,ABSI,-10.66
2020-05-29,2020-05-29,2020-06-05,-1.4834,-0.6277,-0.8557,-2.35,0.3887,17,1,4.0,-12.3437,-0.8046,25,URGN,-18.18
2020-06-05,2020-06-05,2020-06-12,4.9456,-2.6042,7.5498,-2.96,0.337,16,0,0.0,7.2193,4.794,25,AURA,-29.21
2020-06-12,2020-06-12,2020-06-19,11.7167,8.6002,3.1164,-5.49,0.3394,17,0,0.0,5.7985,12.0865,25,WVE,-1.82
2020-06-19,2020-06-19,2020-06-26,-4.1903,1.4582,-5.6485,0.0,0.3023,17,0,0.0,-30.3983,-2.5523,25,QURE,-30.4
2020-06-26,2020-06-26,2020-06-30,-2.7733,1.3856,-4.1589,-3.28,0.3471,17,0,0.0,-3.0551,-2.7557,25,AVIR,-22.75
2020-06-30,2020-06-30,2020-07-02,-1.4445,0.8397,-2.2842,-1.94,0.3467,17,0,0.0,1.0652,-1.6014,25,CGON,-14.46
2020-07-02,2020-07-02,2020-07-10,-0.9785,1.7982,-2.7767,-1.12,0.3371,17,0,0.0,1.9104,-1.1591,25,NUVB,-16.12
2020-07-10,2020-07-10,2020-07-17,2.7346,3.324,-0.5894,-1.58,0.2811,16,0,0.0,-5.3006,3.2703,25,CLDX,-7.79
2020-07-17,2020-07-17,2020-07-24,-6.2872,-5.4826,-0.8046,0.0,0.3018,17,0,0.0,,-6.2872,25,TENX,-20.52
2020-07-24,2020-07-24,2020-07-31,-2.2883,-2.584,0.2956,-6.75,0.2726,16,0,0.0,,-2.2883,25,VERA,-11.99
2020-07-31,2020-07-31,2020-08-07,7.2613,4.1983,3.063,-9.16,0.2955,15,0,0.0,,7.2613,25,REPL,-3.76
2020-08-07,2020-08-07,2020-08-14,-5.7092,-3.2655,-2.4438,-5.35,0.3188,16,0,0.0,,-5.7092,25,ADCT,-55.52
2020-08-14,2020-08-14,2020-08-21,5.929,1.1434,4.7856,-8.44,0.3107,16,0,0.0,,5.929,25,SMMT,-10.18
2020-08-21,2020-08-21,2020-08-28,-0.794,-2.3955,1.6015,-7.39,0.3079,17,0,0.0,,-0.794,25,ABSI,-21.23
2020-08-28,2020-08-28,2020-08-31,0.5706,2.776,-2.2054,-9.61,0.2791,17,0,0.0,,0.5706,25,PRTA,-3.66
2020-08-31,2020-08-31,2020-09-04,-8.0559,-5.8313,-2.2246,-7.1,0.2557,17,0,0.0,,-8.0559,25,VERA,-29.42
2020-09-04,2020-09-04,2020-09-11,3.5839,-0.8073,4.3912,-12.52,0.2996,16,0,0.0,,3.7606,25,NUVB,-8.05
2020-09-11,2020-09-11,2020-09-18,8.6451,11.2984,-2.6532,-13.23,0.2809,16,0,0.0,,8.6451,25,AURA,-12.77
2020-09-18,2020-09-18,2020-09-25,-10.1776,-4.5983,-5.5792,-3.42,0.3605,16,0,0.0,,-10.1776,25,CNTA,-52.56
2020-09-25,2020-09-25,2020-09-30,1.9864,0.5595,1.4269,-7.86,0.3932,16,0,0.0,,1.691,25,ABSI,-3.75
2020-09-30,2020-09-30,2020-10-02,-0.1253,-0.9602,0.8349,-7.35,0.3735,16,0,0.0,,-1.1551,25,ABSI,-11.04
2020-10-02,2020-10-02,2020-10-09,13.484,8.9616,4.5225,-8.24,0.3589,16,0,0.0,,10.4825,25,CLDX,-6.57
2020-10-09,2020-10-09,2020-10-16,3.5338,0.3077,3.2261,-0.01,0.4018,16,0,0.0,,3.5338,25,IMVT,-18.06
2020-10-16,2020-10-16,2020-10-23,-1.3976,-2.4789,1.0813,-1.29,0.3159,16,0,0.0,,-1.3976,25,TRDA,-15.64
2020-10-23,2020-10-23,2020-10-30,-2.7562,-4.1316,1.3754,-3.74,0.2917,16,0,0.0,,-2.2853,25,RCKT,-10.92
2020-10-30,2020-10-30,2020-11-06,7.4239,6.296,1.1279,-7.72,0.3108,17,0,0.0,,9.2466,25,CGON,-11.21
2020-11-06,2020-11-06,2020-11-13,4.9784,4.313,0.6654,-2.51,0.3394,17,0,0.0,,6.0057,25,CRSP,-11.65
2020-11-13,2020-11-13,2020-11-20,0.6989,0.7997,-0.1008,0.0,0.3384,17,0,0.0,,0.6989,25,CELC,-11.56
2020-11-20,2020-11-20,2020-11-27,3.7339,4.3002,-0.5663,-0.55,0.3129,17,0,0.0,,3.7339,25,FATE,-3.77
2020-11-27,2020-11-27,2020-11-30,0.2764,1.3236,-1.0471,0.0,0.3177,18,1,4.0,-3.3708,0.491,25,RCKT,-3.37
2020-11-30,2020-11-30,2020-12-04,0.5271,2.2523,-1.7252,0.0,0.3122,17,1,4.0,3.6176,0.334,25,QURE,-12.84
2020-12-04,2020-12-04,2020-12-11,5.746,4.4567,1.2894,0.0,0.2131,18,0,0.0,,5.746,25,QURE,-9.54
2020-12-11,2020-12-11,2020-12-18,1.4804,3.7113,-2.2309,-0.06,0.2477,18,0,0.0,,1.4804,25,IMVT,-10.72
2020-12-18,2020-12-18,2020-12-24,2.918,1.7886,1.1293,0.0,0.2603,18,0,0.0,,2.918,25,VERA,-17.08
2020-12-24,2020-12-24,2020-12-31,-5.5729,-6.1529,0.58,-0.75,0.2673,18,0,0.0,,-5.5729,25,NUVB,-17.54
2020-12-31,2020-12-31,2021-01-08,8.0271,6.2225,1.8046,-6.85,0.2811,18,0,0.0,,8.0271,25,CLDX,-5.81
2021-01-08,2021-01-08,2021-01-15,-0.6439,1.4645,-2.1084,-1.06,0.2999,18,0,0.0,,-0.6439,25,NUVB,-21.02
2021-01-15,2021-01-15,2021-01-22,0.9498,0.547,0.4028,-1.11,0.2819,19,0,0.0,,0.9498,25,RNA,-29.4
2021-01-22,2021-01-22,2021-01-29,-0.4561,0.2098,-0.6658,-1.08,0.2879,21,0,0.0,,-0.4561,25,TENX,-23.14
2021-01-29,2021-01-29,2021-02-05,8.6914,9.0921,-0.4007,-2.71,0.284,17,0,0.0,,8.6914,25,REPL,-38.12
