Rank,Ticker,Composite_Score,Clinical_Score,Financial_Score,Stage_Bucket,Cash,Runway_Months
1,AMGN,10.0,10,10,commercial,45867000000,0
2,BIIB,10.0,10,10,commercial,3461489000,0
3,BMRN,10.0,10,10,commercial,1385216000,2688.869621481721
4,GILD,10.0,10,10,commercial,7179000000,0
5,INCY,10.0,10,10,commercial,2331783000,0
6,REGN,10.0,10,10,commercial,6241500000,0
7,SRPT,10.0,10,10,commercial,1599113000,114.73456502242153
8,UTHR,10.0,10,10,commercial,1930700000,0
9,ALNY,15.0,20,10,late,1093991000,65.5440933441842
10,CRSP,15.0,20,10,late,2467646000,261.67344450041094
11,EBS,15.0,10,20,commercial,576100000,15.834173156207054
12,EXEL,15.0,10,20,commercial,767174000,32.125429655194075
13,IONS,15.0,20,10,late,1271492000,60.257904506141145
14,IRWD,15.0,10,20,commercial,825488000,81.89635900658091
15,JAZZ,15.0,10,20,commercial,667270000,8.933471230666761
16,KOD,15.0,20,10,late,1158229000,275.5118837591928
17,NBIX,15.0,10,20,commercial,925000000,15.507124895222129
18,NTRA,15.0,10,20,commercial,914282000,33.130961008841865
19,NVAX,15.0,20,10,late,1672765000,22.36648255590456
20,ONC,15.0,20,10,late,1383310000,19.143112168997323
21,VRTX,15.0,20,10,late,6718100000,0
22,VTRS,15.0,10,20,commercial,783400000,2.358750470455401
23,ZLAB,15.0,20,10,late,1398498000,72.05347988493409
24,ACAD,20.0,10,30,commercial,376096000,36.17003269859588
25,AGIO,20.0,20,20,late,717926000,18.856977757154176
26,ALKS,20.0,10,30,commercial,337544000,180.68195200285484
27,ALT,20.0,10,30,commercial,190301000,153.6337459634015
28,AMPH,20.0,10,30,commercial,126353000,15.492346990906302
29,ANRO,20.0,10,30,commercial,0,0
30,AVIR,20.0,20,20,late,839660000,70.96168066990161
31,AZN,20.0,10,30,commercial,0,0
32,BCRX,20.0,20,20,late,504389000,94.15512413664365
33,BNTX,20.0,10,30,commercial,0,0
34,BRKR,20.0,30,10,unknown,1226100000,25.36321323909671
35,CDNA,20.0,10,30,commercial,353082000,6167.371179039302
36,CNTA,20.0,20,20,late,595082000,8613.973462002412
37,COLL,20.0,10,30,commercial,193241000,23.142634730538923
38,DNLI,20.0,20,20,late,865407000,48.23000185770016
39,EYPT,20.0,10,30,commercial,211558000,65.11981531358215
40,FOLD,20.0,20,20,late,623202000,44.73196437436821
41,GH,20.0,30,10,mid,1272916000,183.5473257951719
42,GLPG,20.0,10,30,commercial,0,0
43,HALO,20.0,10,30,commercial,419802000,93.31871144619603
44,HRTX,20.0,10,30,commercial,391076000,89.19511916980272
45,ILMN,20.0,20,20,late,769000000,3.689724110355858
46,INDV,20.0,10,30,commercial,0,0
47,INSM,20.0,20,20,late,716782000,26.73927803131101
48,MNKD,20.0,10,30,commercial,124699000,115.85537318055125
49,MRNA,20.0,30,10,unknown,5550000000,144.07226976559053
50,MYGN,20.0,10,30,commercial,339800000,103.23037974683544
51,NAME,20.0,10,30,commercial,0,0
52,NVCR,20.0,10,30,commercial,208802000,606.982558139535
53,OCUL,20.0,10,30,commercial,179281000,285.3656983684839
54,OPK,20.0,10,30,commercial,134710000,1.2516094964743993
55,PHAT,20.0,10,30,commercial,183259000,63.11477197715466
56,PRTA,20.0,20,20,late,600098000,196.03037974683545
57,PTCT,20.0,20,20,late,773376000,24.381592912914176
58,RARE,20.0,10,30,commercial,197538000,7.149251885742549
59,RCUS,20.0,20,20,late,734663000,121.4436102654526
60,ROIV,20.0,30,10,mid,2060400000,85.06316571711668
61,RPRX,20.0,30,10,unknown,1541048000,0
62,SNY,20.0,10,30,commercial,0,0
63,SUPN,20.0,10,30,commercial,339680000,0
64,TBPH,20.0,10,30,commercial,121424000,8.704645383291913
65,TEM,20.0,10,30,commercial,0,0
66,VIR,20.0,20,20,late,931703000,42.47724630523156
67,XENE,20.0,20,20,late,551774000,420.02588175589955
68,ABCL,25.0,20,30,late,476142000,50.558383180547196
69,ABVX,25.0,20,30,late,0,0
70,ACRS,25.0,10,40,commercial,27349000,11.413646796967377
71,ADMA,25.0,10,40,commercial,51089118,33.35535277289519
72,AKE,25.0,20,30,late,0,0
73,ALVO,25.0,20,30,late,0,0
74,AMRX,25.0,20,30,late,302655000,0
75,APLS,25.0,20,30,late,344103000,22.483167173947372
76,ARDX,25.0,10,40,commercial,72428000,7.128097038488981
77,ARGX,25.0,20,30,late,0,0
78,ARVN,25.0,40,10,early,1502600000,130.66086956521738
79,ARWR,25.0,20,30,late,311162000,44.16098778281078
80,ASND,25.0,20,30,late,0,0
81,AVXL,25.0,20,30,late,152107745,69.45434918020872
82,AXSM,25.0,10,40,commercial,86472854,35.4639546110266
83,BHVN,25.0,20,30,late,361699000,69.86877434725218
84,CGON,25.0,20,30,late,0,0
85,CHRS,25.0,30,20,mid,649325000,45.053686967683745
86,CLDX,25.0,20,30,late,408250000,0
87,COGT,25.0,20,30,late,232375000,237.76432469304228
88,CRNX,25.0,20,30,late,161536000,25.224563092898876
89,CVAC,25.0,20,30,late,0,0
90,CYTK,25.0,20,30,late,112666000,28.70227581521739
91,DVAX,25.0,20,30,late,114093000,59.35645538888407
92,EOLS,25.0,20,30,late,146256000,18.0
93,ESPR,25.0,20,30,late,478380000,63.12816847198549
94,FGEN,25.0,20,30,late,171223000,13.175645259546634
95,GERN,25.0,20,30,late,113222000,48.83064979873491
96,HUMA,25.0,20,30,late,217502000,128.56627752327472
97,IBRX,25.0,20,30,late,200539000,9.417518813764278
98,IMVT,25.0,20,30,late,493817000,194.47356502904398
99,IVVD,25.0,30,20,mid,542224000,168.13147286821706
100,KMDA,25.0,20,30,late,0,0
101,KNSA,25.0,20,30,late,122470000,29.699296742381378
102,KRYS,25.0,20,30,late,349337000,265.1178851505186
103,LENZ,25.0,20,30,late,394804000,240.3799279516972
104,LGND,25.0,10,40,commercial,19522000,0
105,MCRB,25.0,20,30,late,180002000,60.90579444522769
106,MESO,25.0,20,30,late,0,0
107,MRSN,25.0,20,30,late,343237000,118.72262416049348
108,MRVI,25.0,30,20,unknown,551272000,0
109,NBP,25.0,30,20,unknown,554023000,42.53753231131472
110,NUVB,25.0,30,20,mid,765392000,450.18645230859715
111,OCGN,25.0,20,30,late,107349000,182.0245866892751
112,PCRX,25.0,30,20,unknown,585578000,22.553531022219943
113,PTGX,25.0,20,30,late,323777000,43.8306484364424
114,QURE,25.0,30,20,mid,578464000,297.16888565435164
115,RGEN,25.0,30,20,unknown,625607550,151.77588500495318
116,RGNX,25.0,20,30,late,340617000,24.595801014544207
117,RVMD,25.0,30,20,mid,597711000,192.93447385409945
118,RYTM,25.0,10,40,commercial,63245000,9.678258540877616
119,SANA,25.0,30,20,preclinical,550996000,36.607584003720575
120,TARS,25.0,20,30,late,171815000,55.04979574399914
121,TGTX,25.0,20,30,late,326512000,94.34717907967926
122,TVTX,25.0,20,30,late,366989000,34.266546320359794
123,VNDA,25.0,10,40,commercial,50522000,0
124,VOR,25.0,20,30,late,230702000,201.73606354295708
125,XNCR,25.0,30,20,mid,622950000,44.23810960995615
126,ZBIO,25.0,20,30,late,0,0
127,AARD,30.0,30,30,mid,0,0
128,ABSI,30.0,30,30,unknown,252569000,276.4849480021894
129,ABUS,30.0,30,30,unknown,109282000,80.05518588608754
130,ACIU,30.0,30,30,mid,0,0
131,ACLX,30.0,30,30,mid,191435000,203.63620246432055
132,ADCT,30.0,30,30,unknown,0,0
