Rank,Ticker,Composite_Score,Clinical_Score,Financial_Score,Momentum_Score,Momentum_Pct,Momentum_Bucket,Stage_Bucket,Cash,Runway_Months
1,AMGN,12.50,10.0,10,20,-11.2,NEGATIVE,commercial,45507000000,0
2,BIIB,12.50,10.0,10,20,-19.5,NEGATIVE,commercial,3461489000,0
3,GILD,12.50,10.0,10,20,-20.0,NEGATIVE,commercial,6311000000,0
4,INCY,12.50,10.0,10,20,-12.2,NEGATIVE,commercial,3225765000,0
5,VRTX,12.50,10.0,10,20,-9.4,NEGATIVE,commercial,6262700000,0
6,IRWD,13.75,10.0,20,10,-32.9,NEGATIVE,commercial,871341000,263.49046191064184
7,BMRN,15.00,10.0,10,30,-1.3,NEUTRAL,commercial,1522471000,285.10692883895126
8,NVAX,15.00,10.0,10,30,-1.4,NEUTRAL,commercial,1672765000,11.511494473694924
9,REGN,15.00,10.0,10,30,-3.5,NEUTRAL,commercial,7522000000,0
10,SRPT,15.00,10.0,10,30,6.5,POSITIVE,commercial,2115869000,60.62951430345288
11,UTHR,15.00,10.0,10,30,6.3,POSITIVE,commercial,2838700000,0
12,CDNA,16.25,10.0,20,20,-19.5,NEGATIVE,commercial,551653000,215.8970712934577
13,JAZZ,16.25,10.0,20,20,-7.2,NEGATIVE,commercial,957304000,34.84611184585704
14,ONC,16.25,20.0,10,20,-18.4,NEGATIVE,late,4375678000,36.01835622602578
15,VIR,16.25,20.0,10,20,-11.3,NEGATIVE,late,1869332000,85.22466471638614
16,ACAD,17.50,10.0,30,10,-40.8,NEGATIVE,commercial,197503000,14.118282003931613
17,AMPH,17.50,10.0,30,10,-28.6,NEGATIVE,commercial,156098000,14.425468995471768
18,PACB,17.50,10.0,30,10,-50.6,NEGATIVE,commercial,460725000,30.507717011637595
19,PRTA,17.50,20.0,20,10,-32.9,NEGATIVE,late,579094000,54.03592479121631
20,ZLAB,17.50,20.0,20,10,-41.2,NEGATIVE,late,964100000,16.42253549116997
21,ARVN,18.75,20.0,10,30,-4.8,NEUTRAL,late,1232300000,77.42198952879582
22,CRSP,18.75,20.0,10,30,-4.4,NEUTRAL,late,2526464000,55.99484333299473
23,DNLI,18.75,20.0,10,30,-0.6,NEUTRAL,late,1336215000,55.181102687374604
24,EBS,18.75,10.0,20,30,1.5,NEUTRAL,commercial,642600000,17.66193311956024
25,EXEL,18.75,10.0,20,30,1.2,NEUTRAL,commercial,621200000,26.012764903146557
26,HALO,18.75,10.0,20,30,6.2,POSITIVE,commercial,535278000,118.98812589148434
27,INSM,18.75,20.0,10,30,-4.0,NEUTRAL,late,1148280000,31.701905423624304
28,NBIX,18.75,10.0,20,30,1.5,NEUTRAL,commercial,876800000,14.699077954735959
29,VTRS,18.75,10.0,20,30,-2.6,NEUTRAL,commercial,728000000,1.5573580533024334
30,ALKS,20.00,10.0,30,20,-12.0,NEGATIVE,commercial,292473000,72.86171604143743
31,ALNY,20.00,20.0,20,20,-20.8,NEGATIVE,late,819975000,11.537785052953481
32,ALT,20.00,10.0,30,20,-26.0,NEGATIVE,commercial,111097000,15.737419286296083
33,APLS,20.00,20.0,20,20,-21.9,NEGATIVE,late,700550000,11.263555899747304
34,AXSM,20.00,10.0,30,20,-18.6,NEGATIVE,commercial,200842000,18.4819674393994
35,BNTX,20.00,10.0,30,20,-13.1,NEGATIVE,commercial,0,0
36,DVAX,20.00,20.0,20,20,-16.5,NEGATIVE,late,518209000,79.84730354391371
37,ESPR,20.00,10.0,30,20,-23.8,NEGATIVE,commercial,298193000,15.314265660642217
38,GRFS,20.00,10.0,30,20,-10.5,NEGATIVE,commercial,0,0
39,IONS,20.00,20.0,20,20,-18.2,NEGATIVE,late,678773000,284.8297373850404
40,PCRX,20.00,10.0,30,20,-17.0,NEGATIVE,commercial,104139000,4.010912580600641
41,SNY,20.00,10.0,30,20,-10.9,NEGATIVE,commercial,0,0
