ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
EBS,1,57.66,0.998413,2.9503,57.66,0.998413,2.9503,late,small,none,commercial_pharma,24.35,41.25000000000000000000000000,55.5,57.53,77.000,71.91011235955056179775280899,0.9
ALKS,2,57.22,0.992063,2.4118,57.22,0.995238,2.5927,late,mid,none,commercial_pharma,69.28,41.25000000000000000000000000,68.0,40.35,77.000,71.57894736842105263157894737,0.9
TBPH,3,54.10,0.973016,1.9271,54.10,0.992063,2.4118,late,small,none,drug_developer,59.09,41.25000000000000000000000000,55.5,92.62,77.000,65.84269662921348314606741573,0.9
ACAD,4,53.73,0.963492,1.7927,53.73,0.988889,2.2865,late,mid,none,commercial_biotech,56.81,45.56250000000000000000000000,71.0,67.40,64.52631578947368421052631579,68.42105263157894736842105263,0.8882094786729857819905213270
BIIB,5,53.54,0.979365,2.0408,53.54,0.985714,2.1893,late,large,none,commercial_pharma,48.75,41.25000000000000000000000000,68.5,77.48,71.47368421052631578947368421,75.55555555555555555555555555,0.9
AMGN,6,53.46,0.98254,2.1093,53.46,0.98254,2.1093,late,large,none,commercial_pharma,66.36,41.25000000000000000000000000,52.5,53.96,73.36842105263157894736842105,77.000,0.9
BMRN,7,53.33,0.97619,1.9808,53.33,0.979365,2.0408,late,large,none,commercial_biotech,61.46,41.25000000000000000000000000,57.5,69.86,68.63157894736842105263157895,71.11111111111111111111111111,0.9
CAI,8,52.72,0.953968,1.6846,52.72,0.97619,1.9808,late,mid,none,commercial_biotech,50,41.25000000000000000000000000,66.0,47.33,70.52631578947368421052631579,57.89473684210526315789473684,0.9
SUPN,9,52.48,0.960317,1.7544,52.48,0.973016,1.9271,late,mid,none,commercial_pharma,55.21,41.25000000000000000000000000,55.0,50.17,73.05263157894736842105263158,67.36842105263157894736842105,0.9
INCY,10,52.03,0.934921,1.5135,52.03,0.969841,1.8785,late,large,none,commercial_biotech,50.17,41.25000000000000000000000000,60.5,67.50,62.94736842105263157894736842,73.33333333333333333333333333,0.9
IRON,11,51.87,0.931746,1.4889,51.87,0.966667,1.8339,mid,mid,none,drug_developer,50.65,41.25000000000000000000000000,80.0,53.48,62.41379310344827586206896552,56.05172413793103448275862069,0.8504355701705495485453126742
TARS,12,51.72,0.928571,1.4652,51.72,0.963492,1.7927,late,mid,none,commercial_biotech,70.11,41.25000000000000000000000000,83.0,56.93,72.42105263157894736842105263,57.57894736842105263157894737,0.9
XNCR,13,51.72,0.985714,2.1893,51.72,0.960317,1.7544,mid,small,none,drug_developer,23.63,41.25000000000000000000000000,71.5,79.20,68.62068965517241379310344827,67.70967741935483870967741935,0.8205891505281690140845070423
NVAX,14,51.27,0.995238,2.5927,51.27,0.957143,1.7185,late,small,none,commercial_biotech,34.48,41.25000000000000000000000000,54.5,92.45,77.000,74.60674157303370786516853933,0.8966442690128962275521272749
JAZZ,15,50.11,0.950794,1.6526,50.11,0.950794,1.6526,late,large,none,commercial_biotech,62.01,41.25000000000000000000000000,74.0,79.17,67.68421052631578947368421053,68.88888888888888888888888889,0.9
OPK,16,50.03,0.919048,1.3987,50.03,0.947619,1.6222,late,small,none,platform_diagnostics,65.32,41.25000000000000000000000000,,59.29,62.31578947368421052631578947,64.69662921348314606741573034,0.9
VYGR,17,49.98,0.944444,1.5932,49.98,0.944444,1.5932,early,micro,none,drug_developer,28.85,41.25000000000000000000000000,49.5,79.55,77.000,48.18218994140625000000000000,0.7984655554383373773604810634
NBIX,18,49.93,0.849206,1.033,49.93,0.94127,1.5655,late,large,none,commercial_pharma,50.72,45.56250000000000000000000000,83.0,23.98,72.10526315789473684210526316,43.47050754458161865569272976,0.9
VRTX,19,49.91,0.846032,1.0196,49.91,0.938095,1.539,late,large,none,commercial_biotech,67.17,45.56250000000000000000000000,63.0,30.53,77.000,47.79301935680536503581771072,0.9
REGN,20,49.39,0.868254,1.1182,49.39,0.934921,1.5135,late,large,none,commercial_biotech,45.29,45.56250000000000000000000000,66.0,68.84,69.26315789473684210526315790,60.00000000000000000000000000,0.9
UTHR,21,48.81,0.852381,1.0467,48.81,0.931746,1.4889,late,large,none,commercial_pharma,50.69,41.25000000000000000000000000,77.0,60.38,63.57894736842105263157894737,66.66666666666666666666666667,0.9
HRTX,22,48.63,0.966667,1.8339,48.63,0.928571,1.4652,late,micro,none,drug_developer,75.18,41.25000000000000000000000000,58.0,59.96,77.000,62.00789473684210526315789473,0.8774101644245142002989536622
HRMY,23,48.61,0.880952,1.1798,48.61,0.925397,1.4423,late,mid,none,commercial_biotech,57.11,41.25000000000000000000000000,54.5,82.92,57.42105263157894736842105263,75.78947368421052631578947368,0.9
INDV,24,48.57,0.874603,1.1484,48.57,0.922222,1.4202,late,mid,none,commercial_pharma,50.21,41.25000000000000000000000000,52.5,77.64,77.000,55.78947368421052631578947369,0.8935793314972458688032048072
VNDA,25,48.49,0.887302,1.2123,48.49,0.919048,1.3987,late,small,none,commercial_biotech,56.82,41.25000000000000000000000000,52.5,92.78,75.57894736842105263157894737,56.67415730337078651685393258,0.8782537849566055930568948891
EWTX,26,47.84,0.906349,1.3186,47.84,0.915873,1.3778,mid,mid,none,drug_developer,43.22,41.25000000000000000000000000,77.0,58.35,72.75862068965517241379310345,50.77586206896551724137931034,0.8073440649496080627099664054
NKTX,27,47.84,0.922222,1.4202,47.84,0.912698,1.3576,early,micro,none,drug_developer,50,41.25000000000000000000000000,66.5,75.54,63.12500000000000000000000000,58.25000000000000000000000000,0.8043715739769150052465897167
SIGA,28,47.68,0.833333,0.9674,47.68,0.909524,1.3378,late,small,none,commercial_pharma,50.48,41.25000000000000000000000000,,84.88,62.63157894736842105263157895,57.75280898876404494382022472,0.9
ELVN,29,47.33,0.912698,1.3576,47.33,0.906349,1.3186,early,small,none,drug_developer,45.09,41.25000000000000000000000000,62.0,52.59,62.18750000000000000000000000,61.72727272727272727272727273,0.8065380021367521367521367521
NAMS,30,46.60,0.81746,0.9057,46.60,0.903175,1.2999,late,mid,none,drug_developer,54.53,41.25000000000000000000000000,77.5,61.39,59.47368421052631578947368421,56.68421052631578947368421053,0.8732400836042731072921504877
SABS,31,46.55,0.94127,1.5655,46.55,0.9,1.2816,mid,micro,none,drug_developer,50,41.25000000000000000000000000,55.5,84.72,75.86206896551724137931034483,61.37931034482758620689655173,0.7569806064502303653701917926
ASMB,32,46.43,0.836508,0.9802,46.43,0.896825,1.2637,mid,small,none,drug_developer,50,41.25000000000000000000000000,55.5,88.95,64.48275862068965517241379310,54.54838709677419354838709677,0.8117586787706442086842393088
