ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority
EBS,1,58.47,0.998423,2.9523,58.47,0.998423,2.9523,late,small,none,commercial_pharma,50.75,41.49954844444444444444444444,42.94836327674824021191015203,41.05,77.000,71.81818181818181818181818182,0.8951027265163126779067221371,,,v1.3.0,96f655ee,1,,1,1,buying,166,0,specific_days,mid,adequate,neutral,,M,,0.85,<=1000bps,1,985.34,1.0,0,1.0,0,0,,,126,0.38,166,False,specific_days,0.0104,1,,-0.209353,,,-0.020817,-0.188536,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
ALKS,2,58.07,0.995268,2.5948,58.14,0.995268,2.5948,late,mid,none,commercial_pharma,41.73,41.72678400000000000000000000,56.43988473704756573957558080,39.90,77.000,69.65517241379310344827586207,0.9,,,v1.3.0,96f655ee,1,,6,6,buying,44,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,362.89,1.0,0,1.0,0,0,,,127,0.45,44,True,specific_days,-0.1149,6,,-0.121389,,,-0.020817,-0.100572,morningstar,,,9
TBPH,3,55.91,0.966877,1.8368,55.97,0.992114,2.4141,late,small,none,drug_developer,69.97,50.828,40.82336327674824021191015203,65.65,77.000,65.68181818181818181818181818,0.8913326872671488056103440719,0.964088,0.035912,v1.3.0,96f655ee,1,,1,1,buying,15,1,specific_days,near,adequate,tailwind,deep_drawdown_rel_xbi,M,momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1025.46,1.0,0,1.0,0,0,C,low_opt,74,0.31,15,True,specific_days,0.2628,1,,-0.3281,,53.3,-0.020817,-0.307283,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
TARS,4,55.59,0.963722,1.7956,55.77,0.988959,2.289,late,mid,none,commercial_biotech,49.84,39.73931377777777777777777778,85,41.77,70.79365079365079365079365080,56.05172413793103448275862069,0.9,,,v1.3.0,96f655ee,0,deep_drawdown,8,8,buying,166,0,specific_days,mid,adequate,neutral,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,0.85,<=1000bps,1,529.74,1.0,0,1.0,0,0,,,,,166,False,specific_days,-0.0023,8,,-0.4018,,43.7,-0.020817,-0.380983,morningstar,SEC_8K_FILING,DATA_READOUT,2
ACAD,5,55.29,0.960568,1.7573,55.35,0.985804,2.1918,late,mid,none,commercial_biotech,44.61,43.48840711111111111111111111,78.66428338656553944001101719,46.07,65.39682539682539682539682540,66.55172413793103448275862069,0.9,,,v1.3.0,96f655ee,1,,7,7,buying,13,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,525.22,1.0,0,1.0,0,0,,,128,0.38,13,True,specific_days,-0.0748,7,0.9418,-0.0517,,43.2990,-0.020817,-0.030883,morningstar,,,9
BMRN,6,55.21,0.973186,1.9298,55.24,0.98265,2.1118,late,large,none,commercial_biotech,31.64,56.144,54.96180242157370301927341131,79.28,67.93650793650793650793650793,70.76923076923076923076923077,0.9,,,v1.3.0,96f655ee,1,,3,3,neutral,44,1,specific_days,near,adequate,headwind,overbought_rsi,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,258.43,1.0,0,1.0,0,0,,,129,0.45,44,True,specific_days,-0.2416,3,0.7339,-0.174,,72.1854,-0.020817,-0.153183,morningstar,,,9
BIIB,7,55.13,0.985804,2.1918,55.21,0.979495,2.0434,late,large,none,commercial_pharma,43.56,46.61610000000000000000000000,65.74572008260277383654170494,70.30,72.38095238095238095238095238,75.38461538461538461538461539,0.9,,,v1.3.0,96f655ee,1,,5,5,buying,21,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,175.51,1.0,0,1.0,0,0,,,130,0.45,21,True,specific_days,-0.0894,5,,-0.2549,,51.2,-0.020817,-0.234083,morningstar,,,9
OPK,8,54.44,0.970032,1.8813,54.44,0.976341,1.9834,late,small,none,platform_diagnostics,26.49,41.09142044444444444444444444,,73.09,71.26984126984126984126984127,64.62500000000000000000000000,0.9,,,v1.3.0,96f655ee,1,,0,0,neutral,197,0,specific_days,far,adequate,headwind,deep_drawdown_rel_xbi,S,catalyst_far_lift|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1543.84,1.0,0,1.0,0,0,,,131,0.16,197,False,specific_days,-0.3095,0,,-0.340206,,,-0.020817,-0.319389,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
AMGN,9,54.27,0.98265,2.1118,54.30,0.973186,1.9298,late,large,none,commercial_pharma,41.59,56.750,39.84523720694984504395200176,50.57,74.28571428571428571428571429,77.000,0.9,,,v1.3.0,96f655ee,1,,1,1,neutral,2,1,specific_days,near,adequate,headwind,,S,momentum_headwind,1.0,<=400bps,0,106.06,1.0,0,1.0,0,0,,,132,0.22,2,True,specific_days,-0.1168,1,,-0.2206,,54.3,-0.020817,-0.199783,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
INCY,10,53.67,0.94795,1.6253,53.71,0.970032,1.8813,late,large,none,commercial_biotech,53.94,54.962,60.37223398262039469108382151,36.39,62.53968253968253968253968254,73.07692307692307692307692308,0.9,,,v1.3.0,96f655ee,1,,3,3,buying,2,1,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,222.13,1.0,0,1.0,0,0,,,133,0.74,2,True,specific_days,0.0547,3,0.2617,-0.0406,,65.0693,-0.020817,-0.019783,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
JAZZ,11,53.64,0.976341,1.9834,53.69,0.966877,1.8368,late,large,none,commercial_biotech,52.53,54.410,82.39070324606429116107837018,65.45,67.30158730158730158730158730,68.46153846153846153846153846,0.9,,,v1.3.0,96f655ee,1,,6,6,buying,15,1,specific_days,near,adequate,neutral,,L,sponsor_confirmed,1.0,<=400bps,0,226.8,1.0,0,1.0,0,0,,,134,0.74,15,True,specific_days,0.0352,6,0.4019,-0.0603,,51.0668,-0.020817,-0.039483,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
IRON,12,53.55,0.951104,1.6557,53.60,0.963722,1.7956,mid,mid,none,drug_developer,29.16,40.81997511111111111111111111,85,40.96,62.58064516129032258064516129,59.48387096774193548387096774,0.8547557439214811510149453491,0.759669,0.240331,v1.3.0,96f655ee,1,,8,8,buying,15,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,471.73,1.0,0,1.0,0,0,C,low_opt,75,0.38,15,True,specific_days,-0.2742,8,,-0.246308,,,-0.020817,-0.225491,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
XNCR,13,53.33,0.992114,2.4141,53.33,0.960568,1.7573,mid,small,none,drug_developer,39.33,49.24576400000000000000000000,75.21736609037815010349848969,73.03,71.29032258064516129032258064,68.08571428571428571428571429,0.8353537905346187554776511832,0.881215,0.118785,v1.3.0,96f655ee,1,,4,4,buying,16,1,specific_days,near,adequate,headwind,deep_drawdown|deep_drawdown_rel_xbi,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1045.09,1.0,0,1.0,0,0,C,low_opt,76,0.16,16,True,specific_days,-0.1481,4,,-0.381229,,,-0.020817,-0.360412,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
CAI,14,53.07,0.944795,1.5964,53.07,0.957413,1.7214,late,mid,none,commercial_biotech,27.22,56.432,53.35464056385176262282211102,25.13,70.47619047619047619047619048,56.20689655172413793103448276,0.9,,,v1.3.0,96f655ee,1,,3,3,buying,7,1,specific_days,near,adequate,headwind,deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,431.95,1.0,0,1.0,0,0,,,135,0.38,7,True,specific_days,-0.2997,3,,-0.318575,,,-0.020817,-0.297758,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
RYTM,15,53.02,0.935331,1.5167,53.02,0.954259,1.6876,late,mid,none,commercial_biotech,34.06,53.024,85,43.87,75.87301587301587301587301587,39.59862597436913727044523715,0.9,,,v1.3.0,96f655ee,1,,9,9,buying,15,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,352.49,1.0,0,1.0,0,0,,,136,0.45,15,True,specific_days,-0.2097,9,0.8990,-0.1456,,19.9199,-0.020817,-0.124783,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
