ticker,tier_dev,actionable_rank,size_band,target_weight_pct,tier_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id
IRON,A,1,L,5.84,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,3,2,headwind,,114,34.73,drug_developer,0.634615,v1.3.0,96f655ee
TENX,A,2,L,4.81,high_opt+catalyst_mid,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,specific_days,153,9,tailwind,,143,29.86,drug_developer,0.607143,v1.3.0,96f655ee
CRSP,A,3,L,6.87,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,44,9,headwind,,158,28.41,drug_developer,0.755495,v1.3.0,96f655ee
ABEO,A,4,M,2.89,high_opt+catalyst_window,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,blended_window,0,9,headwind,deep_drawdown_rel_xbi,165,27.54,drug_developer,0.744505,v1.3.0,96f655ee
ACLX,A,5,L,6.87,high_opt+catalyst_window,tier_a_dev|sponsor_confirmed|momentum_headwind,blended_window,0,9,headwind,,172,25.77,drug_developer,0.717033,v1.3.0,96f655ee
PVLA,A,6,L,5.84,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,3,2,neutral,deep_drawdown_rel_xbi,180,24.37,drug_developer,0.64011,v1.3.0,96f655ee
ORKA,A,7,L,5.84,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,124,3,tailwind,,192,22.32,drug_developer,0.898352,v1.3.0,96f655ee
PRTA,A,8,M,2.89,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,25,2,headwind,deep_drawdown_rel_xbi,194,22.29,drug_developer,0.739011,v1.3.0,96f655ee
SRRK,A,9,L,6.87,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,124,3,tailwind,,202,20.77,drug_developer,0.656593,v1.3.0,96f655ee
ATXS,A,10,L,5.84,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,3,2,neutral,,211,20.02,drug_developer,0.887363,v1.3.0,96f655ee
DNTH,A,11,L,5.84,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,153,3,tailwind,,213,19.67,drug_developer,0.947802,v1.3.0,96f655ee
PHVS,A,12,L,4.81,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,4,3,neutral,,215,19.56,drug_developer,0.706044,v1.3.0,96f655ee
RAPP,A,13,L,5.84,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,63,2,neutral,,221,18.90,drug_developer,0.821429,v1.3.0,96f655ee
ARTV,A,14,L,4.81,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,specific_days,63,3,tailwind,deep_drawdown_rel_xbi,224,18.65,drug_developer,0.75,v1.3.0,96f655ee
ALLO,A,15,M,2.89,high_opt+catalyst_near,tier_a_dev|cost_haircut_<=2000bps,specific_days,1,9,neutral,deep_drawdown_rel_xbi,225,18.60,drug_developer,0.651099,v1.3.0,96f655ee
NUVL,A,16,L,5.84,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,154,2,headwind,,240,16.80,drug_developer,0.975275,v1.3.0,96f655ee
CGON,A,17,L,5.84,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,124,3,tailwind,,243,16.61,drug_developer,0.892857,v1.3.0,96f655ee
AURA,A,18,M,2.27,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,154,2,headwind,deep_drawdown_rel_xbi,244,16.52,drug_developer,0.815934,v1.3.0,96f655ee
FDMT,A,19,S,1.44,high_opt+catalyst_near,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,specific_days,3,2,headwind,deep_drawdown_rel_xbi,256,15.29,drug_developer,0.909341,v1.3.0,96f655ee
CNTA,A,20,L,5.84,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,62,9,headwind,,258,15.08,drug_developer,0.942308,v1.3.0,96f655ee
