ticker,in_current,in_prior,weight_current,weight_prior,weight_delta,tier_current,tier_prior,rank_current,rank_prior
ACLX,1,0,6.61,0.0,6.61,A,,18,
ARTV,1,0,2.78,0.0,2.78,A,,13,
ATXS,1,0,5.62,0.0,5.62,A,,7,
AURA,1,0,2.18,0.0,2.18,A,,19,
BCAX,1,0,4.63,0.0,4.63,A,,6,
CELC,1,0,6.61,0.0,6.61,A,,17,
CGON,1,0,5.62,0.0,5.62,A,,15,
CLYM,1,0,4.63,0.0,4.63,A,,10,
CRSP,1,0,6.61,0.0,6.61,A,,2,
DNTH,1,0,5.62,0.0,5.62,A,,9,
FDMT,1,0,1.39,0.0,1.39,A,,20,
IRON,1,0,5.62,0.0,5.62,A,,1,
KURA,1,0,5.62,0.0,5.62,A,,14,
NUVL,1,0,5.62,0.0,5.62,A,,12,
ORKA,1,0,5.62,0.0,5.62,A,,3,
PHVS,1,0,4.63,0.0,4.63,A,,16,
PRTA,1,0,2.78,0.0,2.78,A,,5,
PVLA,1,0,5.62,0.0,5.62,A,,4,
RAPP,1,0,5.62,0.0,5.62,A,,11,
SRRK,1,0,6.61,0.0,6.61,A,,8,
