ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,commercial_quality,commercial_quality_pct,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,catalyst_decay_w,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,tier_commercial,tier_any,tier_any_reason,missing_components,missingness_penalty,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority,top_3_drivers,catalyst_reason_detail
EBS,1,58.86,0.998433,2.9542,58.86,0.998433,2.9542,late,small,none,commercial_pharma,44.04,39.59360400000000000000000000,42.04270794365018457814349388,79.87,77.000,72.42105263157894736842105263,0.9,,,69.351974,0.919811,v1.3.0,e1be5370,1,,1,1,buying,135,0,specific_days,mid,0.7,adequate,headwind,,S,momentum_headwind,0.85,<=1000bps,1,985.34,1.0,0,1.0,0,0,,,A,A,high_quality+catalyst_mid,,0,130,0.19,135,False,specific_days,-0.0828,1,,-0.160072,,,-0.023106,-0.136966,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,clinical_score:+22.0;financial_score:+17.4;catalyst_score:-15.4,tier=;reason=;cat_days=135;strength=mid;decay_w=0.7
ALKS,2,58.35,0.995298,2.597,58.42,0.995298,2.597,late,mid,none,commercial_pharma,44.83,42.85683600000000000000000000,56.62779172953770536714898285,77.27,77.000,70.76923076923076923076923077,0.9,,,67.856654,0.872642,v1.3.0,e1be5370,1,,6,6,buying,13,1,specific_days,near,1.0,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,362.89,1.0,0,1.0,0,0,,,A,A,high_quality+catalyst_near,,0,131,0.45,13,True,specific_days,-0.0719,6,,-0.068889,,,-0.023106,-0.045783,morningstar,,,9,clinical_score:+18.6;catalyst_score:-15.6;momentum_score:-13.6,tier=;reason=;cat_days=13;strength=near;decay_w=1.0
BIIB,3,55.95,0.992163,2.4164,55.95,0.992163,2.4164,late,large,none,commercial_pharma,44.69,53.780,65.22339704580164330013358075,63.41,73.43283582089552238805970149,75.55555555555555555555555555,0.9,,,65.1315,0.816038,v1.3.0,e1be5370,1,,5,5,buying,9,1,specific_days,near,1.0,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,175.51,1.0,0,1.0,0,0,,,B,B,mod_quality+catalyst_near,,0,132,0.45,9,True,specific_days,-0.0737,5,,-0.2549,,51.2,-0.023106,-0.231794,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,momentum_score:-17.8;financial_score:+13.0;clinical_score:+10.9,tier=;reason=;cat_days=9;strength=near;decay_w=1.0
TBPH,4,55.66,0.96395,1.7985,55.71,0.985893,2.1943,late,small,none,drug_developer,57.18,52.718,39.91770794365018457814349388,90.00,77.000,65.47368421052631578947368421,0.8969404979382592221107767748,0.969945,0.030055,,,v1.3.0,e1be5370,1,,1,1,buying,43,1,specific_days,near,1.0,adequate,tailwind,deep_drawdown_rel_xbi,M,momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1025.46,1.0,0,1.0,0,0,C,low_opt,,C,low_opt,,0,75,0.31,43,True,specific_days,0.0998,1,,-0.3281,,53.3,-0.023106,-0.304994,morningstar,,,9,clinical_score:+18.5;smart_money_score:-18.5;financial_score:+7.0,tier=C;reason=low_opt;cat_days=43;strength=near;decay_w=1.0
TARS,5,55.61,0.967085,1.8396,55.74,0.989028,2.2913,late,mid,none,commercial_biotech,35.48,39.59360400000000000000000000,85,39.35,70.74626865671641791044776119,56.87692307692307692307692308,0.9,,,46.463115,0.466981,v1.3.0,e1be5370,0,deep_drawdown,8,8,buying,135,0,specific_days,mid,0.7,adequate,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,0.85,<=1000bps,1,529.74,1.0,0,1.0,0,0,,,D,D,ineligible,,0,,,135,False,specific_days,-0.1911,8,,-0.4018,,43.7,-0.023106,-0.378694,morningstar,SEC_8K_FILING,DATA_READOUT,2,smart_money_score:+27.5;momentum_score:-22.1;catalyst_score:-17.9,tier=;reason=;cat_days=135;strength=mid;decay_w=0.7
ACAD,6,55.53,0.960815,1.7602,55.53,0.982759,2.1144,late,mid,none,commercial_biotech,39.21,42.89121600000000000000000000,78.45005212794288569871233666,53.90,65.37313432835820895522388060,68.00000000000000000000000000,0.9,,,57.307,0.70283,v1.3.0,e1be5370,1,,7,7,buying,88,0,specific_days,near,1.0,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,525.22,1.0,0,1.0,0,0,,,B,B,mod_quality+catalyst_near,,0,133,0.38,88,False,specific_days,-0.1499,7,0.9418,-0.0517,,43.2990,-0.023106,-0.028594,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,smart_money_score:+19.7;momentum_score:-19.6;catalyst_score:-15.9,tier=;reason=;cat_days=88;strength=near;decay_w=1.0
OPK,7,55.13,0.982759,2.1144,55.13,0.979624,2.046,late,small,none,platform_diagnostics,30.10,39.59360400000000000000000000,,85.65,72.53731343283582089552238806,65.09473684210526315789473684,0.9,,,,,v1.3.0,e1be5370,1,,0,0,neutral,166,0,specific_days,mid,0.7,adequate,headwind,deep_drawdown_rel_xbi,XS,momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1543.84,1.0,0,1.0,0,0,,,,,,,0,134,0.08,166,False,specific_days,-0.2618,0,,-0.335052,,,-0.023106,-0.311946,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,momentum_score:-21.7;clinical_score:+20.7;financial_score:+13.3,tier=;reason=;cat_days=166;strength=mid;decay_w=0.7
BMRN,8,54.98,0.976489,1.9861,55.02,0.976489,1.9861,late,large,none,commercial_biotech,33.90,50.168,54.44055116514368243840291790,79.31,68.05970149253731343283582090,71.11111111111111111111111111,0.9,,,66.5385,0.863208,v1.3.0,e1be5370,1,,3,3,neutral,13,1,specific_days,near,1.0,adequate,headwind,overbought_rsi,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,258.43,1.0,0,1.0,0,0,,,A,A,high_quality+catalyst_near,,0,135,0.45,13,True,specific_days,-0.2119,3,0.7339,-0.174,,72.1854,-0.023106,-0.150894,morningstar,,,9,momentum_score:-21.6;financial_score:+15.6;clinical_score:+12.5,tier=;reason=;cat_days=13;strength=near;decay_w=1.0
INCY,9,54.70,0.954545,1.6906,54.70,0.973354,1.9326,late,large,none,commercial_biotech,39.30,52.172,59.85039546526828002940775776,32.97,63.58208955223880597014925373,73.33333333333333333333333333,0.9,,,52.3995,0.617925,v1.3.0,e1be5370,1,,3,3,buying,9,1,specific_days,near,1.0,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,222.13,1.0,0,1.0,0,0,,,B,B,mod_quality+catalyst_near,,0,136,0.45,9,True,specific_days,-0.1486,3,0.2617,-0.0406,,65.0693,-0.023106,-0.017494,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,momentum_score:-18.3;financial_score:+15.7;clinical_score:+5.9,tier=;reason=;cat_days=9;strength=near;decay_w=1.0
JAZZ,10,53.62,0.979624,2.046,53.65,0.970219,1.884,late,large,none,commercial_biotech,49.94,51.974,81.86569739706436825420154695,69.62,67.46268656716417910447761194,68.88888888888888888888888889,0.9,,,65.355,0.825472,v1.3.0,e1be5370,1,,6,6,buying,4,1,specific_days,near,1.0,adequate,neutral,,L,sponsor_confirmed,1.0,<=400bps,0,226.8,1.0,0,1.0,0,0,,,B,B,mod_quality+catalyst_near,,0,137,0.75,4,True,specific_days,-0.0009,6,0.4019,-0.0603,,51.0668,-0.023106,-0.037194,morningstar,,,9,smart_money_score:+17.8;momentum_score:-14.1;catalyst_score:-12.1,tier=;reason=;cat_days=4;strength=near;decay_w=1.0
