ticker,tier_dev,tier_commercial,tier_any,actionable_rank,size_band,target_weight_pct,tier_reason,tier_any_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,commercial_quality_pct,missing_components,decision_engine_version,decision_engine_ruleset_id
IRON,A,,A,1,L,5.38,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,74,3,headwind,,113,37.13,drug_developer,0.60929,,,v1.3.0,e1be5370
CRSP,A,,A,2,L,6.33,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,25,9,headwind,,152,31.35,drug_developer,0.745902,,,v1.3.0,e1be5370
BCAX,A,,A,3,L,4.43,high_opt+catalyst_mid,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,135,2,neutral,,179,26.45,drug_developer,0.756831,,,v1.3.0,e1be5370
RAPP,A,,A,4,L,5.38,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,44,2,neutral,,181,26.18,drug_developer,0.806011,,,v1.3.0,e1be5370
ORKA,A,,A,5,L,5.38,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,105,3,tailwind,,187,24.75,drug_developer,0.860656,,,v1.3.0,e1be5370
ARTV,A,,A,6,M,2.66,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,44,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,189,24.15,drug_developer,0.724044,,,v1.3.0,e1be5370
PVLA,A,,A,7,L,5.38,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,13,3,neutral,,194,23.55,drug_developer,0.631148,,,v1.3.0,e1be5370
PRTA,A,,A,8,M,2.66,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,6,2,headwind,deep_drawdown_rel_xbi,197,23.39,drug_developer,0.718579,,,v1.3.0,e1be5370
CLYM,A,,A,9,L,4.43,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,specific_days,44,3,tailwind,,201,23.10,drug_developer,0.680328,,,v1.3.0,e1be5370
CELC,A,,A,10,L,6.33,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,13,9,tailwind,,205,22.80,drug_developer,0.838798,,,v1.3.0,e1be5370
DNTH,A,,A,11,L,5.38,high_opt+catalyst_mid,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,134,3,tailwind,,214,21.89,drug_developer,0.948087,,,v1.3.0,e1be5370
ATXS,A,,A,12,L,5.38,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,74,9,neutral,,219,20.99,drug_developer,0.893443,,,v1.3.0,e1be5370
SRRK,A,,A,13,L,6.33,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,105,3,tailwind,,224,20.23,drug_developer,0.642077,,,v1.3.0,e1be5370
FDMT,A,,A,14,S,1.33,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,specific_days,74,9,headwind,deep_drawdown_rel_xbi,227,20.13,drug_developer,0.904372,,,v1.3.0,e1be5370
OLMA,A,,A,15,L,6.33,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,specific_days,13,3,tailwind,high_vol|deep_drawdown_rel_xbi,229,19.83,drug_developer,0.822404,,,v1.3.0,e1be5370
CGON,A,,A,16,L,5.38,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,105,3,tailwind,,231,19.44,drug_developer,0.871585,,,v1.3.0,e1be5370
NUVL,A,,A,17,L,5.38,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,13,3,headwind,,238,18.16,drug_developer,0.931694,,,v1.3.0,e1be5370
KURA,A,,A,18,L,5.38,high_opt+catalyst_mid,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,166,3,headwind,deep_drawdown_rel_xbi,250,16.86,drug_developer,0.702186,,,v1.3.0,e1be5370
PHVS,A,,A,19,L,4.43,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,15,2,neutral,,258,16.19,drug_developer,0.70765,,,v1.3.0,e1be5370
ACLX,A,,A,20,L,6.33,high_opt+catalyst_near,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,105,3,headwind,,261,16.13,drug_developer,0.92623,,,v1.3.0,e1be5370
