ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,commercial_quality,commercial_quality_pct,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,catalyst_decay_w,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,tier_commercial,tier_any,tier_any_reason,missing_components,missingness_penalty,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority,top_3_drivers,catalyst_reason_detail
QURE,1,61.00,0.998433,2.9542,61.10,0.998433,2.9542,mid,small,none,drug_developer,26.57,51.554,85,35.58,69.65517241379310344827586207,68.450,0.8685887590428491930996104619,0.86612,0.13388,,,v1.3.0,e1be5370,0,deep_drawdown,9,9,buying,134,0,specific_days,mid,0.7,adequate,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,1.0,<=400bps,0,392.05,1.0,0,1.0,0,0,D,ineligible,,D,ineligible,,0,,,134,False,specific_days,-0.3084,9,,-0.654767,,,-0.023106,-0.631661,morningstar,,,9,momentum_score:-33.7;smart_money_score:+24.8;clinical_score:+9.4,tier=D;reason=ineligible;cat_days=134;strength=mid;decay_w=0.7
EBS,2,59.10,0.995298,2.597,59.10,0.995298,2.597,late,small,none,commercial_pharma,44.04,39.59360400000000000000000000,42.04270794365018457814349388,79.87,77.000,72.42105263157894736842105263,0.8735941478912630048103814744,,,69.351974,0.919811,v1.3.0,e1be5370,1,,1,1,buying,135,0,specific_days,mid,0.7,adequate,headwind,,S,momentum_headwind,0.85,<=1000bps,1,985.34,1.0,0,1.0,0,0,,,A,A,high_quality+catalyst_mid,,0,130,0.19,135,False,specific_days,-0.0828,1,,-0.160072,,,-0.023106,-0.136966,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,clinical_score:+22.0;financial_score:+17.4;catalyst_score:-15.4,tier=;reason=;cat_days=135;strength=mid;decay_w=0.7
NVAX,3,58.88,0.992163,2.4164,58.88,0.992163,2.4164,late,small,none,commercial_biotech,47.99,46.87474177777777777777777778,33.59270794365018457814349388,90.00,77.000,74.94736842105263157894736842,0.9,,,74.824316,0.957547,v1.3.0,e1be5370,1,,1,1,selling,59,1,specific_days,near,1.0,adequate,neutral,deep_drawdown_rel_xbi|overbought_rsi,M,,0.85,<=1000bps,1,504.92,1.0,0,1.0,0,0,,,A,A,high_quality+catalyst_near,,0,131,0.38,59,True,specific_days,-0.0280,1,,-0.3487,,73.6,-0.023106,-0.325594,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,smart_money_score:-22.5;clinical_score:+20.9;financial_score:+18.9,tier=;reason=;cat_days=59;strength=near;decay_w=1.0
CTNM,4,57.51,0.989028,2.2913,57.62,0.989028,2.2913,mid,small,none,drug_developer,74.82,51.542,85,50.96,77.000,54.00000000000000000000000000,0.8518115942028985507246376812,0.991803,0.008197,,,v1.3.0,e1be5370,1,,7,7,buying,134,0,specific_days,mid,0.7,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1709.9,1.0,0,1.0,0,0,C,low_opt,,C,low_opt,,0,75,0.52,134,False,specific_days,0.3278,7,,0.0,,,-0.023106,0.023106,morningstar,,,9,catalyst_score:-16.9;smart_money_score:+16.5;financial_score:-14.5,tier=C;reason=low_opt;cat_days=134;strength=mid;decay_w=0.7
IRWD,5,57.25,0.985893,2.1943,57.25,0.985893,2.1943,late,small,none,commercial_pharma,96.55,39.59360400000000000000000000,,51.30,77.000,70.52631578947368421052631579,0.9,,,69.001842,0.910377,v1.3.0,e1be5370,0,deep_drawdown,0,0,neutral,105,0,specific_days,near,1.0,adequate,tailwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi|overbought_rsi,XS,ineligible,0.85,<=1000bps,1,675.2,1.0,0,1.0,0,0,,,D,D,ineligible,,0,,,105,False,specific_days,2.1626,0,,-0.7582,,74.2,-0.023106,-0.735094,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,catalyst_score:-31.3;momentum_score:+25.6;clinical_score:+6.1,tier=;reason=;cat_days=105;strength=near;decay_w=1.0
XNCR,6,57.16,0.982759,2.1144,57.21,0.982759,2.1144,mid,small,none,drug_developer,42.98,53.072,74.37165300850000843822059331,74.04,70.68965517241379310344827586,67.90909090909090909090909091,0.8557387508394895903290799194,0.877049,0.122951,,,v1.3.0,e1be5370,1,,4,4,buying,15,1,specific_days,near,1.0,adequate,headwind,deep_drawdown_rel_xbi,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1045.09,1.0,0,1.0,0,0,C,low_opt,,C,low_opt,,0,76,0.16,15,True,specific_days,-0.0975,4,,-0.34715,,,-0.023106,-0.324044,morningstar,CTGOV_CALENDAR,DATA_READOUT,2,momentum_score:-18.8;smart_money_score:+12.6;clinical_score:+8.9,tier=C;reason=low_opt;cat_days=15;strength=near;decay_w=1.0
ALKS,7,56.81,0.979624,2.046,56.87,0.979624,2.046,late,mid,none,commercial_pharma,44.83,42.85683600000000000000000000,56.62779172953770536714898285,77.27,77.000,70.76923076923076923076923077,0.8982463110102156640181611805,,,67.856654,0.872642,v1.3.0,e1be5370,1,,6,6,buying,13,1,specific_days,near,1.0,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,362.89,1.0,0,1.0,0,0,,,A,A,high_quality+catalyst_near,,0,132,0.45,13,True,specific_days,-0.0719,6,,-0.068889,,,-0.023106,-0.045783,morningstar,,,9,clinical_score:+18.6;catalyst_score:-15.6;momentum_score:-13.6,tier=;reason=;cat_days=13;strength=near;decay_w=1.0
BEAM,8,56.48,0.976489,1.9861,56.51,0.976489,1.9861,early,mid,none,drug_developer,54.46,52.154,61.56536586930251272611590503,19.64,67.36842105263157894736842105,67.42105263157894736842105263,0.8461864892762931528845051038,0.833333,0.166667,,,v1.3.0,e1be5370,1,,4,4,buying,12,1,specific_days,near,1.0,adequate,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,434.63,1.0,0,1.0,0,0,C,low_opt,,C,low_opt,,0,77,0.64,12,True,specific_days,0.0620,4,,-0.3508,,45.6,-0.023106,-0.327694,morningstar,CTGOV_CALENDAR,DATA_READOUT,2,catalyst_score:-8.4;financial_score:+6.8;clinical_score:+6.8,tier=C;reason=low_opt;cat_days=12;strength=near;decay_w=1.0
BIIB,9,56.17,0.973354,1.9326,56.17,0.970219,1.884,late,large,none,commercial_pharma,44.69,53.780,65.22339704580164330013358075,69.48,73.43283582089552238805970149,75.55555555555555555555555555,0.9,,,67.256,0.863208,v1.3.0,e1be5370,1,,5,5,buying,9,1,specific_days,near,1.0,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,175.51,1.0,0,1.0,0,0,,,A,A,high_quality+catalyst_near,,0,133,0.45,9,True,specific_days,-0.0737,5,,-0.2549,,51.2,-0.023106,-0.231794,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,momentum_score:-17.8;financial_score:+13.0;clinical_score:+10.9,tier=;reason=;cat_days=9;strength=near;decay_w=1.0
ENTA,10,56.13,0.970219,1.884,56.24,0.973354,1.9326,mid,small,none,drug_developer,54.63,42.94853377777777777777777778,39.69270794365018457814349388,90.00,77.000,61.72727272727272727272727273,0.8349695029161058770749214895,0.986339,0.013661,,,v1.3.0,e1be5370,1,,1,1,buying,135,0,specific_days,mid,0.7,adequate,tailwind,,M,momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1572.06,1.0,0,1.0,0,0,C,low_opt,,C,low_opt,,0,78,0.31,135,False,specific_days,0.0642,1,,-0.245697,,,-0.023106,-0.222591,morningstar,SEC_8K_FILING,DATA_READOUT,2,clinical_score:+21.8;smart_money_score:-15.5;catalyst_score:-12.3,tier=C;reason=low_opt;cat_days=135;strength=mid;decay_w=0.7
