ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
NMRA,"Neumora Therapeutics, Inc.",1,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.575235,0.625683,0.5162,-0.4985,1.3946,,11,specific_days,3,tailwind,,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,drug_developer,184,0.09254273684210526
PVLA,"Palvella Therapeutics, Inc.",2,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,0.631148,0.516,-0.5314,1.3098,,11,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,drug_developer,186,0.09254273684210526
RNA,"Avidity Biosciences, Inc.",3,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.255486,0.620219,0.5164,-0.4764,1.4514,,164,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,82,0.1
ALMS,Alumis Inc.,4,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.020376,0.60929,0.5171,-0.4431,1.5371,,41,specific_days,2,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,v1.3.0,aa0aaf28,late|near_31_90|pos,0.1,,drug_developer,7,0.1
PRAX,"Praxis Precision Medicines, Inc",5,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.236677,0.647541,0.5152,-0.5641,1.2256,,103,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,76,0.1
ZBIO,"Zenas BioPharma, Inc.",6,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.315047,0.653005,0.5108,-0.5858,1.1698,,103,specific_days,3,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,101,0.1
SYRE,"Spyre Therapeutics, Inc.",7,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.286834,0.614754,-0.1051,-0.4603,1.493,,44,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,aa0aaf28,mid|near_31_90|pos,0.1,,drug_developer,92,0.1
PHVS,Pharvaris N.V.,8,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.233542,0.674863,0.5082,-0.6717,0.9488,,42,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,v1.3.0,aa0aaf28,late|near_31_90|pos,0.1,,drug_developer,75,0.1
KURA,"Kura Oncology, Inc.",9,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.183386,0.70765,0.5055,-0.756,0.7317,,164,specific_days,3,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,59,0.1
VRDN,"Viridian Therapeutics, Inc.",10,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.603448,0.756831,0.4933,-0.9603,0.2059,,11,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,drug_developer,193,0.09254273684210526
