ticker,in_current,in_prior,weight_current,weight_prior,weight_delta,tier_current,tier_prior,rank_current,rank_prior
AARD,1,0,0.0,0.0,0.0,B,,39,
ABCL,1,0,0.0,0.0,0.0,D,,0,
ABEO,1,0,0.0,0.0,0.0,B,,64,
ABOS,1,0,0.0,0.0,0.0,C,,103,
ABSI,1,0,0.0,0.0,0.0,D,,0,
ABUS,1,0,0.0,0.0,0.0,B,,50,
ABVX,1,0,0.0,0.0,0.0,B,,30,
ACAD,1,0,0.0,0.0,0.0,nan,,158,
ACIU,1,0,0.0,0.0,0.0,C,,78,
ACLX,1,0,0.0,0.0,0.0,B,,63,
ACRS,1,0,0.0,0.0,0.0,C,,73,
ACRV,1,0,0.0,0.0,0.0,D,,0,
ADCT,1,0,0.0,0.0,0.0,A,,27,
ADMA,1,0,0.0,0.0,0.0,nan,,210,
ADPT,1,0,0.0,0.0,0.0,nan,,0,
AGIO,1,0,0.0,0.0,0.0,D,,0,
AKRO,1,0,0.0,0.0,0.0,D,,0,
ALDX,1,0,0.0,0.0,0.0,C,,106,
ALKS,1,0,0.0,0.0,0.0,nan,,139,
ALLO,1,0,0.0,0.0,0.0,C,,83,
ALMS,1,0,0.0,0.0,0.0,A,,4,
ALNY,1,0,0.0,0.0,0.0,nan,,194,
ALT,1,0,0.0,0.0,0.0,D,,0,
ALVO,1,0,0.0,0.0,0.0,nan,,0,
AMGN,1,0,0.0,0.0,0.0,nan,,137,
AMLX,1,0,0.0,0.0,0.0,nan,,193,
AMPH,1,0,0.0,0.0,0.0,nan,,209,
AMRX,1,0,0.0,0.0,0.0,nan,,151,
ANAB,1,0,0.0,0.0,0.0,nan,,175,
ANIP,1,0,0.0,0.0,0.0,nan,,197,
ANNX,1,0,0.0,0.0,0.0,C,,112,
ANRO,1,0,0.0,0.0,0.0,C,,121,
APGE,1,0,0.0,0.0,0.0,B,,48,
APLS,1,0,0.0,0.0,0.0,nan,,179,
AQST,1,0,0.0,0.0,0.0,nan,,0,
ARDX,1,0,0.0,0.0,0.0,nan,,134,
ARGX,1,0,0.0,0.0,0.0,nan,,143,
ARQT,1,0,0.0,0.0,0.0,nan,,183,
ARTV,1,0,0.0,0.0,0.0,A,,22,
ARVN,1,0,0.0,0.0,0.0,nan,,0,
ARWR,1,0,0.0,0.0,0.0,nan,,0,
ASMB,1,0,0.0,0.0,0.0,C,,79,
ASND,1,0,0.0,0.0,0.0,nan,,192,
ATXS,1,0,0.0,0.0,0.0,B,,62,
AUPH,1,0,0.0,0.0,0.0,nan,,203,
AURA,1,0,0.0,0.0,0.0,B,,61,
AVBP,1,0,0.0,0.0,0.0,B,,60,
AVIR,1,0,0.0,0.0,0.0,nan,,174,
AVTR,1,0,0.0,0.0,0.0,nan,,0,
AVXL,1,0,0.0,0.0,0.0,D,,0,
AXSM,1,0,0.0,0.0,0.0,nan,,138,
AZN,1,0,0.0,0.0,0.0,nan,,130,
BBIO,1,0,0.0,0.0,0.0,nan,,208,
BBOT,1,0,0.0,0.0,0.0,C,,98,
