ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,clinical_optionality_pct_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
NMRA,"Neumora Therapeutics, Inc.",1,0.33,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.575235,,0.625683,0.374317,11,1,specific_days,3,tailwind,,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,momentum_score:+33.9;financial_score:-30.9;clinical_score:-9.9,tier=A;reason=high_opt+catalyst_near;cat_days=11;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_0_30|pos,0.09254273684210526,,0.5162,0,1,-0.4985,1.3946,1,1,neutral,near,1.0,short,<=2000bps,1854.56,0.7,1,0,1.0,0,1.0,0,11,True,specific_days,0.3024,1,,-0.015385,,,-0.023106,0.007721,late,small,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,,0,0.7894361348314606741573033708,72.99,45.15471111111111111111111111,39.91298206738909221485472559,73.88,29.15893170961114823890497760,8.227146814404432132963988913,184,0.09254273684210526,0.424765,-0.1897,4.82,0.004702,-2.597
PVLA,"Palvella Therapeutics, Inc.",2,0.68,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,,0.631148,0.368852,11,1,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+39.8;financial_score:-24.1;clinical_score:-15.1,tier=A;reason=high_opt+catalyst_near;cat_days=11;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_0_30|pos,0.09254273684210526,,0.516,0,1,-0.5314,1.3098,4,4,buying,near,1.0,adequate,<=1000bps,696.14,0.85,1,0,1.0,0,1.0,0,11,True,specific_days,-0.1948,4,,-0.252407,,,-0.023106,-0.229301,late,small,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,,0,0.8523330932744801951446160994,35.20,51.368,83.27569396291461778013396052,52.99,28.38964382069750748743842974,19.38509079716835949522930132,186,0.09254273684210526,0.418495,-0.2057,22.94,0.4279,-0.1817
RNA,"Avidity Biosciences, Inc.",3,0.48,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.255486,,0.620219,0.379781,164,0,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+42.0;financial_score:-38.0;clinical_score:-13.4,tier=A;reason=high_opt+catalyst_mid;cat_days=164;strength=mid;decay_w=0.7,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.5164,0,1,-0.4764,1.4514,11,11,buying,mid,0.7,short,<=400bps,240.41,1.0,0,0,1.0,0,1.0,0,164,False,specific_days,-0.0503,11,1.1040,-0.0037,,59.4595,-0.023106,0.019406,late,large,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8868460772104607721046077210,46.38,49.15024044444444444444444444,85,10.00,29.67454050917331529197572118,5,82,0.1,0.744514,0.6573,11.56,0.076803,-1.4269
ALMS,Alumis Inc.,4,0.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.020376,,0.60929,0.39071,41,1,specific_days,2,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,momentum_score:+44.7;financial_score:-44.5;smart_money_score:+27.4,tier=A;reason=high_opt+catalyst_near;cat_days=41;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_31_90|pos,0.1,,0.5171,0,1,-0.4431,1.5371,7,7,buying,near,1.0,short,<=400bps,365.09,1.0,0,0,1.0,0,1.0,0,41,True,specific_days,2.6504,7,,-0.018491,,,-0.023106,0.004615,late,mid,sev2,drug_developer,morningstar,SEC_8K_FILING,DATA_READOUT,,0,0.8228419851682829435253850542,96.55,45.58583511111111111111111111,79.19852786410282465405235205,34.08,30.45207901894617569972140404,7.312925706771860618014464170,7,0.1,0.979624,2.046,9.03,0.048589,-1.6587
PRAX,"Praxis Precision Medicines, Inc",5,0.79,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.236677,,0.647541,0.352459,103,0,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-47.7;momentum_score:+43.9;smart_money_score:+30.6,tier=A;reason=high_opt+catalyst_near;cat_days=103;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.5152,0,1,-0.5641,1.2256,8,8,buying,near,1.0,short,<=400bps,209.08,1.0,0,0,1.0,0,1.0,0,103,False,specific_days,1.7521,8,,-0.047068,,,-0.023106,-0.023962,late,mid,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8156330562582821346825683653,96.55,51.014,83.27649759305990451291949750,15.17,27.62530630429939852973936288,5,76,0.1,0.763323,0.717,5.98,0.020376,-2.046
ZBIO,"Zenas BioPharma, Inc.",6,0.41,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.315047,,0.653005,0.346995,103,0,specific_days,3,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+26.8;clinical_score:-16.3;financial_score:-10.5,tier=A;reason=high_opt+catalyst_near;cat_days=103;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.5108,0,1,-0.5858,1.1698,3,3,buying,near,1.0,adequate,<=1000bps,907.47,0.85,1,0,1.0,0,1.0,0,103,False,specific_days,-0.1565,3,,-0.388464,,,-0.023106,-0.365358,late,small,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8188563049853372434017595308,38.10,48.64967511111111111111111111,70.16832876708692571934004795,55.97,27.11849816698706577669969665,32.88776854416743613419513696,101,0.1,0.684953,0.4816,17.45,0.26489,-0.6283
SYRE,"Spyre Therapeutics, Inc.",7,0.68,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.286834,,0.614754,0.385246,44,1,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-27.6;momentum_score:+19.9;catalyst_score:+7.1,tier=A;reason=high_opt+catalyst_near;cat_days=44;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,mid|near_31_90|pos,0.1,,-0.1051,0,1,-0.4603,1.493,6,6,buying,near,1.0,adequate,<=1000bps,669.44,0.85,1,0,1.0,0,1.0,0,44,True,specific_days,0.3695,6,,0.0,,,-0.023106,0.023106,mid,mid,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8425971969006381039197812215,77.55,64.772,56.89374021598033286913900206,10.00,30.05170927894283251939097960,58.89830508474576271186440678,92,0.1,0.713166,0.5627,33.06,0.619122,0.3032
PHVS,Pharvaris N.V.,8,0.33,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.233542,,0.674863,0.325137,42,1,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,smart_money_score:+40.7;financial_score:-39.3;catalyst_score:+22.4,tier=A;reason=high_opt+catalyst_near;cat_days=42;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_31_90|pos,0.1,,0.5082,0,1,-0.6717,0.9488,9,9,buying,near,1.0,adequate,<=2000bps,1059.54,0.7,1,0,1.0,0,1.0,0,42,True,specific_days,-0.1439,9,,-0.099268,,,-0.023106,-0.076162,late,small,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,,0,0.7958747241259147403879660820,39.64,66.710,85,39.05,25.11326727336232051461872506,5,75,0.1,0.766458,0.7272,19.11,0.324451,-0.4553
KURA,"Kura Oncology, Inc.",9,0.68,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.183386,,0.70765,0.29235,164,0,specific_days,3,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+35.5;financial_score:-14.1;clinical_score:-12.9,tier=A;reason=high_opt+catalyst_mid;cat_days=164;strength=mid;decay_w=0.7,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.5055,0,1,-0.756,0.7317,4,4,buying,mid,0.7,adequate,<=1000bps,852.72,0.85,1,0,1.0,0,1.0,0,164,False,specific_days,-0.3475,4,,-0.315486,,,-0.023106,-0.29238,late,small,sev1,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8779831452832383389554495754,23.85,39.91885511111111111111111111,71.56012998031150321045370021,85.32,23.14323902873691245266206282,21.95753770390889504462911666,59,0.1,0.816614,0.9025,17.56,0.274295,-0.5999
VRDN,"Viridian Therapeutics, Inc.",10,0.41,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.603448,,0.756831,0.243169,11,1,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+34.2;financial_score:-27.3;clinical_score:-20.7,tier=A;reason=high_opt+catalyst_near;cat_days=11;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_0_30|pos,0.09254273684210526,,0.4933,0,1,-0.9603,0.2059,4,4,buying,near,1.0,short,<=1000bps,434.32,0.85,1,0,1.0,0,1.0,0,11,True,specific_days,-0.1474,4,,-0.174067,,,-0.023106,-0.150961,late,mid,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.9,39.39,52.436,73.29390915926670235918177580,23.63,18.37218000654549254831426065,11.75147928994082840236686389,193,0.09254273684210526,0.396552,-0.2623,11.72,0.079937,-1.4055
