ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,catalyst_days,catalyst_mode,mom_state,risk_flags,size_band,size_reasons,archetype,eligible,composite_rank,composite_score
NMRA,"Neumora Therapeutics, Inc.",1,2.99,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.575235,0.625683,10,specific_days,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,drug_developer,1,184,0.09254273684210526
PVLA,"Palvella Therapeutics, Inc.",2,6.05,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,0.631148,10,specific_days,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,186,0.09254273684210526
RNA,"Avidity Biosciences, Inc.",3,4.27,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.252351,0.620219,163,specific_days,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,drug_developer,1,81,0.1
ALMS,Alumis Inc.,4,7.12,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,0.60929,132,specific_days,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,drug_developer,1,7,0.1
PRAX,"Praxis Precision Medicines, Inc",5,7.12,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.236677,0.647541,102,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,drug_developer,1,76,0.1
ZBIO,"Zenas BioPharma, Inc.",6,3.63,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.311912,0.653005,102,specific_days,headwind,high_vol|high_beta|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,drug_developer,1,100,0.1
IMVT,"Immunovant, Inc.",7,6.05,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.559561,0.691257,10,specific_days,neutral,,L,tier_a_dev|sponsor_confirmed,drug_developer,1,179,0.09254273684210526
SYRE,"Spyre Therapeutics, Inc.",8,6.05,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.286834,0.614754,43,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,92,0.1
PHVS,Pharvaris N.V.,9,2.99,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.233542,0.674863,41,specific_days,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,drug_developer,1,75,0.1
RVMD,"Revolution Medicines, Inc.",10,7.12,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.258621,0.685792,70,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,83,0.1
KURA,"Kura Oncology, Inc.",11,6.05,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.183386,0.70765,163,specific_days,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,drug_developer,1,59,0.1
VRDN,"Viridian Therapeutics, Inc.",12,3.63,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.603448,0.756831,10,specific_days,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,drug_developer,1,193,0.09254273684210526
SION,"Sionna Therapeutics, Inc.",13,3.63,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.816614,0.942623,102,specific_days,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,drug_developer,1,261,0.0646411489361702
PEPG,PepGen Inc.,14,4.99,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.81348,0.920765,163,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,drug_developer,1,260,0.0646411489361702
ORKA,"Oruka Therapeutics, Inc.",15,6.05,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.810345,0.860656,102,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,259,0.0646411489361702
OCGN,"Ocugen, Inc.",16,1.5,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.694357,0.778689,99,specific_days,neutral,,S,tier_a_dev|runway_short|cost_haircut_<=2000bps,drug_developer,1,222,0.0743638577586207
KOD,Kodiak Sciences Inc,17,6.05,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.691223,0.969945,163,specific_days,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,221,0.0743638577586207
FDMT,"4D Molecular Therapeutics, Inc.",18,1.5,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.681818,0.915301,102,specific_days,headwind,,S,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,drug_developer,1,218,0.0743638577586207
DNTH,"Dianthus Therapeutics, Inc.",19,6.05,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.675549,0.953552,131,specific_days,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,drug_developer,1,216,0.0743638577586207
COGT,"Cogent Biosciences, Inc.",20,7.12,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.669279,0.838798,102,specific_days,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,drug_developer,1,214,0.0743638577586207
