ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,clinical_optionality_pct_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
NMRA,"Neumora Therapeutics, Inc.",1,0.3,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.575235,,0.625683,0.374317,10,1,specific_days,3,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,momentum_score:+33.9;financial_score:-30.8;clinical_score:-9.9,tier=A;reason=high_opt+catalyst_near;cat_days=10;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_0_30|pos,0.09254273684210526,,0.5161,0,1,-0.4985,1.3734,1,1,neutral,near,1.0,short,<=2000bps,1854.56,0.7,1,0,1.0,0,1.0,0,10,True,specific_days,0.3024,1,1.374827,-0.015385,,77.8721,-0.023106,0.007721,late,small,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,,0,0.7894074269662921348314606742,72.99,44.96865600000000000000000000,39.98824665444255919339218504,73.88,29.15893170961114823890497760,8.227146814404432132963988913,184,0.09254273684210526,0.424765,-0.1897,4.82,0.004702,-2.597
PVLA,"Palvella Therapeutics, Inc.",2,0.61,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,,0.631148,0.368852,10,1,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+40.1;financial_score:-23.9;clinical_score:-14.9,tier=A;reason=high_opt+catalyst_near;cat_days=10;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_0_30|pos,0.09254273684210526,,0.5159,0,1,-0.5314,1.2864,4,4,buying,near,1.0,adequate,<=1000bps,696.14,0.85,1,0,1.0,0,1.0,0,10,True,specific_days,-0.1948,4,1.280814,-0.252407,,45.2609,-0.023106,-0.229301,late,small,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,,0,0.8523330932744801951446160994,35.20,50.246,83.42195033773364661264430318,52.99,28.38964382069750748743842974,19.38509079716835949522930132,186,0.09254273684210526,0.418495,-0.2057,22.93,0.4279,-0.1817
RNA,"Avidity Biosciences, Inc.",3,0.43,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.252351,,0.620219,0.379781,163,0,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+43.8;financial_score:-36.2;clinical_score:-11.5,tier=A;reason=high_opt+catalyst_mid;cat_days=163;strength=mid;decay_w=0.7,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.5162,0,1,-0.4764,1.4317,11,11,buying,mid,0.7,short,<=400bps,240.41,1.0,0,0,1.0,0,1.0,0,163,False,specific_days,-0.0503,11,1.1040,-0.000823,,65.9416,-0.023106,0.022283,late,large,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8868460772104607721046077210,46.38,39.94131377777777777777777778,85,10.00,29.67454050917331529197572118,5,81,0.1,0.747649,0.6671,11.51,0.076803,-1.4269
ALMS,Alumis Inc.,4,0.72,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,,0.60929,0.39071,132,0,specific_days,3,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,financial_score:-45.6;momentum_score:+43.7;smart_money_score:+32.1,tier=A;reason=high_opt+catalyst_mid;cat_days=132;strength=mid;decay_w=0.7,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.517,0,1,-0.4431,1.5196,7,7,buying,mid,0.7,short,<=400bps,365.09,1.0,0,0,1.0,0,1.0,0,132,False,specific_days,2.6504,7,-0.74907,-0.018491,,63.7835,-0.023106,0.004615,late,mid,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8324897861091083874068733478,96.55,45.10817600000000000000000000,85,34.08,30.45207901894617569972140404,7.312925706771860618014464170,7,0.1,0.979624,2.046,8.54,0.048589,-1.6587
PRAX,"Praxis Precision Medicines, Inc",5,0.72,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.236677,,0.647541,0.352459,102,0,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-46.2;momentum_score:+45.3;smart_money_score:+31.7,tier=A;reason=high_opt+catalyst_near;cat_days=102;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.5151,0,1,-0.5641,1.2,8,8,buying,near,1.0,short,<=400bps,209.08,1.0,0,0,1.0,0,1.0,0,102,False,specific_days,1.7521,8,0.668981,-0.047068,,56.1969,-0.023106,-0.023962,late,mid,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8156330562582821346825683653,96.55,43.99560000000000000000000000,82.92652713118137505916926157,15.17,27.62530630429939852973936288,5,76,0.1,0.763323,0.717,5.95,0.020376,-2.046
ZBIO,"Zenas BioPharma, Inc.",6,0.37,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.311912,,0.653005,0.346995,102,0,specific_days,3,headwind,high_vol|high_beta|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+27.8;clinical_score:-15.4;financial_score:-9.6,tier=A;reason=high_opt+catalyst_near;cat_days=102;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.5107,0,1,-0.5858,1.1427,3,3,buying,near,1.0,adequate,<=1000bps,907.47,0.85,1,0,1.0,0,1.0,0,102,False,specific_days,-0.1565,3,2.336113,-0.388464,,58.8282,-0.023106,-0.365358,late,small,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8188563049853372434017595308,38.10,44.27297600000000000000000000,70.28669875583805875659134449,55.97,27.11849816698706577669969665,32.88776854416743613419513696,100,0.1,0.688088,0.4904,17.44,0.268025,-0.6188
IMVT,"Immunovant, Inc.",7,0.61,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.559561,,0.691257,0.308743,10,1,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed,financial_score:-22.6;smart_money_score:+22.1;clinical_score:-18.6,tier=A;reason=high_opt+catalyst_near;cat_days=10;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_0_30|pos,0.09254273684210526,,0.506,0,1,-0.714,0.8042,6,6,selling,near,1.0,adequate,<=1000bps,493.59,0.85,1,0,1.0,0,1.0,0,10,True,specific_days,0.0219,6,-0.022675,-0.064996,,48.6107,-0.023106,-0.04189,late,mid,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.9,51.58,52.772,64.80241412977978617930532206,35.07,24.12385281992469933362485527,20.10416831032215647600262985,179,0.09254273684210526,0.440439,-0.1499,26.36,0.478056,-0.055
SYRE,"Spyre Therapeutics, Inc.",8,0.61,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.286834,,0.614754,0.385246,43,1,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-27.6;momentum_score:+19.9;catalyst_score:+6.7,tier=A;reason=high_opt+catalyst_near;cat_days=43;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,mid|near_31_90|pos,0.1,,-0.1054,0,1,-0.4602,1.4743,6,6,buying,near,1.0,adequate,<=1000bps,669.44,0.85,1,0,1.0,0,1.0,0,43,True,specific_days,0.3695,6,0.113816,0.0,,64.0459,-0.023106,0.023106,mid,mid,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8425971969006381039197812215,77.55,64.358,57.46055528814933923761036278,10.00,30.05170927894283251939097960,58.89830508474576271186440678,92,0.1,0.713166,0.5627,33.10,0.619122,0.3032
PHVS,Pharvaris N.V.,9,0.3,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.233542,,0.674863,0.325137,41,1,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,smart_money_score:+40.8;financial_score:-39.2;catalyst_score:+22.2,tier=A;reason=high_opt+catalyst_near;cat_days=41;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_31_90|pos,0.1,,0.508,0,1,-0.6717,0.916,9,9,buying,near,1.0,adequate,<=2000bps,1059.54,0.7,1,0,1.0,0,1.0,0,41,True,specific_days,-0.1439,9,0.393346,-0.099268,,48.9493,-0.023106,-0.076162,late,small,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,,0,0.7958747241259147403879660820,39.64,66.434,85,39.05,25.11326727336232051461872506,5,75,0.1,0.766458,0.7272,19.10,0.327586,-0.4466
RVMD,"Revolution Medicines, Inc.",10,0.72,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.258621,,0.685792,0.314208,70,0,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-31.0;smart_money_score:+29.4;momentum_score:+23.0,tier=A;reason=high_opt+catalyst_near;cat_days=70;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_31_90|pos,0.1,,0.5078,0,1,-0.6929,0.86,8,8,buying,near,1.0,adequate,<=400bps,178.39,1.0,0,0,1.0,0,1.0,0,70,False,specific_days,0.3867,8,0.80959,-0.218707,,46.3978,-0.023106,-0.195601,late,large,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8897512801391996022868506090,78.59,39.73931377777777777777777778,85,10.00,24.61745996386228063661790550,50.22222222222222222222222222,83,0.1,0.741379,0.6476,25.39,0.459248,-0.1023
KURA,"Kura Oncology, Inc.",11,0.61,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.183386,,0.70765,0.29235,163,0,specific_days,3,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+35.7;financial_score:-14.0;clinical_score:-12.8,tier=A;reason=high_opt+catalyst_mid;cat_days=163;strength=mid;decay_w=0.7,v1.3.0,aa0aaf28,1,,late|near_91_180|pos,0.1,,0.5054,0,1,-0.756,0.6933,4,4,buying,mid,0.7,adequate,<=1000bps,852.72,0.85,1,0,1.0,0,1.0,0,163,False,specific_days,-0.3475,4,0.110143,-0.315486,,45.795,-0.023106,-0.29238,late,small,sev1,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8779831452832383389554495754,23.85,39.20205511111111111111111111,71.68917762437696024415140773,85.32,23.14323902873691245266206282,21.95753770390889504462911666,59,0.1,0.816614,0.9025,17.56,0.274295,-0.5999
VRDN,"Viridian Therapeutics, Inc.",12,0.37,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.603448,,0.756831,0.243169,10,1,specific_days,3,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+32.9;financial_score:-28.3;clinical_score:-21.7,tier=A;reason=high_opt+catalyst_near;cat_days=10;strength=near;decay_w=1.0,v1.3.0,aa0aaf28,1,,late|near_0_30|pos,0.09254273684210526,,0.4932,0,1,-0.9603,0.154,4,4,buying,near,1.0,short,<=1000bps,434.32,0.85,1,0,1.0,0,1.0,0,10,True,specific_days,-0.1474,4,0.680673,-0.174067,,30.29,-0.023106,-0.150961,late,mid,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.9,39.39,57.788,72.95318301444705326581298140,23.63,18.37218000654549254831426065,11.75147928994082840236686389,193,0.09254273684210526,0.396552,-0.2623,11.79,0.083072,-1.3847
