ticker,dd_stored,dd_recomputed,dd_diff,dd_verdict,dd_source,dd_xbi_stored,dd_xbi_recomputed,dd_xbi_diff,dd_xbi_verdict,dd_rel_stored,dd_rel_recomputed,dd_rel_diff,dd_rel_verdict,rsi_stored,rsi_recomputed,rsi_diff,rsi_verdict,beta_stored,beta_recomputed,beta_missing_reason,beta_diff,beta_verdict,alpha_stored,alpha_recomputed,alpha_missing_reason,alpha_diff,alpha_verdict
IRON,-0.347997,-0.347997,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.296389,-0.296389,0.0,OK,35.889,35.889,0.0,OK,0.8072,0.8072,,0.0,OK,-0.39648,-0.39648,,0.0,OK
NMRA,-0.05571,-0.05571,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.004102,-0.004102,0.0,OK,73.1579,73.1579,0.0,OK,1.4184,1.4184,,0.0,OK,0.35106,0.35106,,0.0,OK
RNA,-0.00096,-0.00096,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,0.050648,0.050648,0.0,OK,64.0981,64.0981,0.0,OK,0.0514,0.0514,,0.0,OK,0.028832,0.028832,,0.0,OK
PVLA,-0.214633,-0.214633,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.163025,-0.163025,0.0,OK,51.2581,51.2581,0.0,OK,1.5229,1.5229,,0.0,OK,-0.201124,-0.201124,,0.0,OK
ALMS,-0.063452,-0.063452,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.011844,-0.011844,0.0,OK,62.9394,62.9394,0.0,OK,2.0646,2.0646,,0.0,OK,2.680307,2.680307,,0.0,OK
PRAX,0.0,0.0,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,0.051608,0.051608,0.0,OK,62.2351,62.2351,0.0,OK,0.7669,0.7669,,0.0,OK,0.918395,0.918395,,0.0,OK
IMVT,-0.034132,-0.034132,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,0.017476,0.017476,0.0,OK,53.5192,53.5192,0.0,OK,1.3246,1.3246,,0.0,OK,0.080506,0.080506,,0.0,OK
SYRE,0.0,0.0,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,0.051608,0.051608,0.0,OK,76.8463,76.8463,0.0,OK,1.2456,1.2456,,0.0,OK,0.6899,0.6899,,0.0,OK
PHVS,-0.043078,-0.043078,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,0.00853,0.00853,0.0,OK,58.6501,58.6501,0.0,OK,1.5326,1.5326,,0.0,OK,0.019456,0.019456,,0.0,OK
RVMD,-0.173927,-0.173927,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.122319,-0.122319,0.0,OK,55.6688,55.6688,0.0,OK,1.2259,1.2259,,0.0,OK,0.347078,0.347078,,0.0,OK
KURA,-0.30313,-0.30313,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.251522,-0.251522,0.0,OK,48.3718,48.3718,0.0,OK,1.7541,1.7541,,0.0,OK,-0.371075,-0.371075,,0.0,OK
CCCC,-0.394958,-0.394958,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.34335,-0.34335,0.0,OK,58.672,58.672,0.0,OK,1.4336,1.4336,,0.0,OK,-0.219743,-0.219743,,0.0,OK
PEPG,-0.132497,-0.132497,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.080889,-0.080889,0.0,OK,55.2576,55.2576,0.0,OK,1.2289,1.2289,,0.0,OK,0.028707,0.028707,,0.0,OK
