ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
NMRA,"Neumora Therapeutics, Inc.",1,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.557239,0.649701,0.5156,-0.5461,1.3416,,3,specific_days,3,tailwind,overbought_rsi,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,drug_developer,166,0.057253918032786885
IRON,"Disc Medicine, Inc.",2,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.170034,0.61976,0.5175,-0.451,1.5865,,64,specific_days,3,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,0c1129f6,late|near_31_90|pos,0.1,,drug_developer,51,0.1
PVLA,"Palvella Therapeutics, Inc.",3,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.560606,0.661677,0.5149,-0.593,1.2208,,3,specific_days,3,tailwind,high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,drug_developer,167,0.057253918032786885
RNA,"Avidity Biosciences, Inc.",4,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.281145,0.631737,0.5157,-0.5225,1.4024,,156,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed|runway_short,v1.3.0,0c1129f6,late|near_91_180|pos,0.1,,drug_developer,84,0.1
ALMS,Alumis Inc.,5,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.018519,0.625749,0.5165,-0.4868,1.4941,,125,specific_days,3,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,v1.3.0,0c1129f6,late|near_91_180|pos,0.1,,drug_developer,6,0.1
ZBIO,"Zenas BioPharma, Inc.",6,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.355219,0.673653,0.5103,-0.6395,1.1011,,95,specific_days,3,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,v1.3.0,0c1129f6,late|near_91_180|pos,0.1,,drug_developer,106,0.1
PRAX,"Praxis Precision Medicines, Inc",7,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.254209,0.667665,0.5146,-0.6163,1.1608,,95,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,0c1129f6,late|near_91_180|pos,0.1,,drug_developer,76,0.1
IMVT,"Immunovant, Inc.",8,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.537037,0.715569,0.5058,-0.7764,0.7489,,3,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,drug_developer,160,0.057253918032786885
RVMD,"Revolution Medicines, Inc.",9,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.287879,0.709581,0.5075,-0.7538,0.8069,,63,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,v1.3.0,0c1129f6,late|near_31_90|pos,0.1,,drug_developer,86,0.1
CCCC,"C4 Therapeutics, Inc.",10,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.09596,0.637725,-0.0935,-0.5428,1.35,,33,specific_days,3,neutral,overbought_rsi,M,tier_a_dev|sponsor_confirmed|runway_short|cost_haircut_<=2000bps,v1.3.0,0c1129f6,mid|near_31_90|pos,0.1,,drug_developer,29,0.1
