ticker,tier_dev,actionable_rank,size_band,target_weight_pct,tier_reason,size_reasons,catalyst_mode,catalyst_days,cat_priority,mom_state,risk_flags,composite_rank,composite_score,archetype,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id
IRON,A,1,L,5.45,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,151,2,headwind,,132,30.50,drug_developer,0.724044,v1.3.0,96f655ee
TENX,A,2,L,4.48,high_opt+catalyst_mid,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,specific_days,150,9,tailwind,deep_drawdown_rel_xbi,171,25.18,drug_developer,0.70765,v1.3.0,96f655ee
DNTH,A,3,L,5.45,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,151,2,tailwind,,208,19.71,drug_developer,0.953552,v1.3.0,96f655ee
RAPP,A,4,L,5.45,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed,specific_days,60,2,neutral,,211,19.48,drug_developer,0.762295,v1.3.0,96f655ee
AURA,A,5,M,2.11,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,specific_days,151,2,headwind,deep_drawdown_rel_xbi,228,17.91,drug_developer,0.76776,v1.3.0,96f655ee
BCAX,A,6,L,4.48,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,specific_days,151,2,neutral,,231,17.63,drug_developer,0.893443,v1.3.0,96f655ee
NUVL,A,7,L,5.45,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind,specific_days,151,2,headwind,,243,16.50,drug_developer,0.97541,v1.3.0,96f655ee
CGON,A,8,L,5.45,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,150,9,tailwind,,249,15.82,drug_developer,0.931694,v1.3.0,96f655ee
OLMA,A,9,L,6.41,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,specific_days,151,2,tailwind,high_vol|deep_drawdown_rel_xbi,259,14.63,drug_developer,0.773224,v1.3.0,96f655ee
ADCT,A,10,M,2.69,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,specific_days,150,9,headwind,,278,13.80,drug_developer,0.838798,v1.3.0,96f655ee
CELC,A,11,L,6.41,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind,specific_days,59,9,tailwind,,282,12.93,drug_developer,0.904372,v1.3.0,96f655ee
RNA,A,12,L,6.41,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|runway_short,specific_days,150,9,neutral,,295,11.12,drug_developer,0.745902,v1.3.0,96f655ee
VRDN,A,13,L,5.45,high_opt+catalyst_near,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,specific_days,59,9,tailwind,,297,10.57,drug_developer,0.806011,v1.3.0,96f655ee
COGT,A,14,L,6.41,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,specific_days,150,9,tailwind,high_vol,299,10.10,drug_developer,0.909836,v1.3.0,96f655ee
SION,A,15,L,5.45,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,specific_days,151,2,tailwind,,306,9.00,drug_developer,0.920765,v1.3.0,96f655ee
IVVD,A,16,L,5.45,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,specific_days,151,2,tailwind,high_vol|deep_drawdown_rel_xbi,314,7.88,drug_developer,0.964481,v1.3.0,96f655ee
SLDB,A,17,S,1.35,high_opt+catalyst_mid,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_<=2000bps,specific_days,150,9,headwind,,315,7.86,drug_developer,0.849727,v1.3.0,96f655ee
DNLI,B,18,L,5.45,mod_opt+catalyst_mid,sponsor_confirmed|momentum_tailwind,specific_days,150,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,105,35.23,drug_developer,0.428962,v1.3.0,96f655ee
CRSP,B,19,M,3.84,high_opt+no_catalyst_data,sponsor_confirmed|momentum_headwind,no_upcoming,,9,headwind,,125,31.56,drug_developer,0.691257,v1.3.0,96f655ee
PCVX,B,20,L,6.41,high_opt+catalyst_far,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,specific_days,516,2,tailwind,deep_drawdown|deep_drawdown_rel_xbi,135,30.11,drug_developer,0.718579,v1.3.0,96f655ee
