ticker,in_current,in_prior,weight_current,weight_prior,weight_delta,tier_current,tier_prior,rank_current,rank_prior
ACLX,1,1,6.61,6.44,0.17,A,A,18,16
ADCT,0,1,0.0,2.71,-2.71,,A,,20
ARTV,1,1,2.78,2.71,0.07,A,A,13,10
ATXS,1,1,5.62,5.48,0.14,A,A,7,8
AURA,1,0,2.18,0.0,2.18,A,,19,
BCAX,1,0,4.63,0.0,4.63,A,,6,
CELC,1,1,6.61,6.44,0.17,A,A,17,14
CGON,1,1,5.62,5.48,0.14,A,A,16,15
CLYM,1,1,4.63,4.51,0.12,A,A,10,7
CNTA,0,1,0.0,5.48,-5.48,,A,,18
CRSP,1,1,6.61,6.44,0.17,A,A,2,2
DNTH,1,1,5.62,5.48,0.14,A,A,9,9
FDMT,1,1,1.39,1.35,0.04,A,A,20,17
IRON,1,1,5.62,5.48,0.14,A,A,1,1
KURA,1,1,5.62,5.48,0.14,A,A,14,13
NUVL,1,1,5.62,5.48,0.14,A,A,12,11
OLMA,0,1,0.0,6.44,-6.44,,A,,19
ORKA,1,1,5.62,5.48,0.14,A,A,3,4
PHVS,1,1,4.63,4.51,0.12,A,A,15,12
PRTA,1,1,2.78,2.71,0.07,A,A,5,5
PVLA,1,1,5.62,5.48,0.14,A,A,4,3
RAPP,1,0,5.62,0.0,5.62,A,,11,
SRRK,1,1,6.61,6.44,0.17,A,A,8,6
