ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
ACIU,AC Immune SA,1,,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.907932,,,0.618217,1,0.618217,488,1,specific_days,,headwind,deep_drawdown,L,tier_a_dev|catalyst_far_lift|momentum_headwind,,,v1.3.0,34839213,1,,mid|far_271_540|pos,0.05133853608247423,,-0.917904,279,1,-0.505731,1.0,,0,neutral,0.0,,0.0,0.0,0.0,,,0,0,0,0,False,False,True,far,0.3,adequate,,,1.0,0,0,1.0,0,1.0,0,488,,specific_days,-0.073076,price_history,,,0.7503,price_history,,-0.526902,,42.7973,-0.292675,-0.234227,mid,small,NONE,drug_developer,pit_bundle,CTGOV,CLINICAL_PCD,sponsor,1,0.5,,,,,0.340767,,321,0.05133853608247423,0.907932,,,,
ERAS,"Erasca, Inc.",2,,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.990085,,,0.668605,1,0.668605,822,1,specific_days,,headwind,deep_drawdown,L,tier_a_dev|catalyst_far_lift|sponsor_confirmed|momentum_headwind|runway_short,,,v1.3.0,34839213,1,,early|far_271_540|nonpos,0.0,,-1.177372,148,1,-0.735832,-1.0,4,6,selling,0.3122,,4.0071,3.2667,4.42,46,fresh,0,0,0,0,True,False,True,far,0.3,short,,,1.0,0,0,1.0,0,1.0,0,822,,specific_days,-0.184829,price_history,,4,1.3534,price_history,,-0.515404,,51.306,-0.292675,-0.222729,early,mid,SEV2,drug_developer,pit_bundle,CTGOV,CLINICAL_PCD,,0,0.5,,,,,0.277092,,350,0.0,0.990085,,,,
MLTX,Healthcare,3,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.570822,,,0.606589,1,0.606589,,0,no_upcoming,,tailwind,,L,sponsor_confirmed|momentum_tailwind,,,v1.3.0,34839213,1,,mid|none|pos,0.08701244092219021,,-0.741103,160,1,-0.34894,1.685394,5,6,buying,0.6823,,6.962,6.4953,2.34,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.369676,price_history,,5,0.2023,price_history,,-0.250566,,63.6704,-0.292675,0.042109,mid,small,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.384155,,202,0.08701244092219021,0.570822,,,,
ANAB,"AnaptysBio, Inc.",4,,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.046742,,,0.50969,1,0.50969,50,1,specific_days,,tailwind,,L,sponsor_confirmed|momentum_tailwind,,,v1.3.0,34839213,1,,mid|near_31_90|pos,0.1,,-0.163859,50,1,0.162972,2.861529,10,13,selling,2.5329,,11.6878,10.6649,8.1,46,fresh,0,0,0,0,True,False,True,near,1.0,adequate,,,1.0,0,0,1.0,0,1.0,0,50,,specific_days,0.110332,price_history,,10,0.8196,price_history,,-0.254653,,46.3534,-0.292675,0.038022,mid,small,SEV1,drug_developer,pit_bundle,CTGOV,CLINICAL_PCD,,0,0.5,,,,,0.525814,,17,0.1,0.046742,,,,
AKRO,"Akero Therapeutics, Inc.",5,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.536827,,,0.614341,1,0.614341,,0,no_upcoming,,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,,,v1.3.0,34839213,1,,mid|none|pos,0.08701244092219021,,-0.90955,268,1,-0.498322,1.342182,6,9,selling,1.0524,,6.0599,4.6661,5.84,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,2.521211,price_history,,6,-1.451,price_history,,0.0,,67.773,-0.292675,0.292675,mid,mid,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.342817,,190,0.08701244092219021,0.536827,,,,
REPL,"Replimune Group, Inc.",6,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.587819,,,0.637597,1,0.637597,,0,no_upcoming,,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,,,v1.3.0,34839213,1,,mid|none|pos,0.08701244092219021,,-0.982132,1006,1,-0.56269,1.194296,2,4,buying,-0.428,,3.6123,2.8694,2.43,46,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.104292,price_history,,2,0.9061,price_history,,-0.311933,,59.0386,-0.292675,-0.019258,mid,small,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.325005,,208,0.08701244092219021,0.587819,,,,
NMRA,"Neumora Therapeutics, Inc.",7,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.576487,,,0.660853,1,0.660853,,0,no_upcoming,,neutral,drawdown_data_missing,S,runway_short,,,v1.3.0,34839213,1,,mid|none|pos,0.08701244092219021,,-0.982153,,1,-0.562708,1.194255,,0,neutral,0.0,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,series_too_short,,,,series_too_short,,series_too_short,,,,mid,small,SEV2,drug_developer,pit_bundle,,,sponsor|drawdown,2,0.5,,,,,0.325,,204,0.08701244092219021,0.576487,,,,
MLYS,"Mineralys Therapeutics, Inc.",8,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.573654,,,0.653101,1,0.653101,,0,no_upcoming,,neutral,drawdown_data_missing,M,,,,v1.3.0,34839213,1,,mid|none|pos,0.08701244092219021,,-0.982153,,1,-0.562708,1.194255,,0,neutral,0.0,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,series_too_short,,,,series_too_short,,series_too_short,,,,mid,mid,NONE,drug_developer,pit_bundle,,,sponsor|drawdown,2,0.5,,,,,0.325,,203,0.08701244092219021,0.573654,,,,
AURA,"Aura Biosciences, Inc.",9,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.550992,,,0.625969,1,0.625969,,0,no_upcoming,,neutral,deep_drawdown,S,runway_short,,,v1.3.0,34839213,1,,mid|none|pos,0.08701244092219021,,-0.977165,509,1,-0.558284,1.204417,1,2,neutral,-0.7982,,1.0687,0.602,0.42,46,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.004572,price_history,,1,0.9445,price_history,,-0.388175,,59.2521,-0.292675,-0.0955,mid,small,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.326224,,195,0.08701244092219021,0.550992,,,,
ACLX,"Arcellx, Inc.",10,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.531161,,,0.629845,1,0.629845,,0,no_upcoming,,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,,,v1.3.0,34839213,1,,mid|none|pos,0.08701244092219021,,-0.981346,673,1,-0.561992,1.195898,4,7,buying,0.3122,,10.0291,8.6354,5.13,46,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.052979,price_history,,4,0.8039,price_history,,-0.18379,,45.0663,-0.292675,0.108885,mid,mid,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.325198,,188,0.08701244092219021,0.531161,,,,
