ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
ACIU,AC Immune SA,1,,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.998584,,,0.505814,1,0.505814,245,1,specific_days,,tailwind,high_vol,L,catalyst_far_lift|momentum_tailwind|high_risk,,,v1.3.0,081defa4,1,,mid|near_181_270|pos,-0.0007759772727272727,,-0.154533,36,1,0.165521,2.024707,0,1,selling,-0.912,,0.28,0.0,0.0,46,fresh,0,0,0,0,True,False,True,far,0.3,adequate,,,1.0,0,0,1.0,0,1.0,0,245,,specific_days,0.617457,price_history,,0,0.32,price_history,,-0.175824,,57.5618,-0.111772,-0.064052,mid,small,NONE,drug_developer,pit_bundle,CTGOV,CLINICAL_PCD,,0,0.5,,,,,0.559612,,,,,,,,
IMMP,Immutep Limited,2,,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.947592,,,0.405039,1,0.405039,671,1,specific_days,,tailwind,,L,catalyst_far_lift|momentum_tailwind,,,v1.3.0,081defa4,1,,mid|far_271_540|pos,0.05133853608247423,,0.340332,0,1,0.586676,2.716,0,1,selling,-0.912,,0.28,0.0,0.0,46,fresh,0,0,0,0,True,False,True,far,0.3,adequate,,,1.0,0,0,1.0,0,1.0,0,671,,specific_days,0.314509,price_history,,0,0.8179,price_history,,-0.175572,,49.812,-0.111772,-0.0638,mid,small,NONE,drug_developer,pit_bundle,CTGOV,CLINICAL_PCD,,0,0.5,,,,,0.675,,,,,,,,
KURA,"Kura Oncology, Inc.",3,,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.950425,,,0.416667,1,0.416667,1457,1,specific_days,,neutral,deep_drawdown|deep_drawdown_rel_xbi,L,catalyst_far_lift|sponsor_confirmed|runway_short,,,v1.3.0,081defa4,1,,mid|far_271_540|pos,0.05133853608247423,,0.340332,0,1,0.586676,2.716,5,9,neutral,0.8926,,10.6619,9.2681,5.09,46,fresh,0,0,0,0,True,False,True,far,0.3,short,,,1.0,0,0,1.0,0,1.0,0,1457,,specific_days,-0.031708,price_history,,5,0.8506,price_history,,-0.382249,,48.128,-0.111772,-0.270477,mid,small,SEV2,drug_developer,pit_bundle,CTGOV,CLINICAL_PCD,,0,0.5,,,,,0.675,,,,,,,,
_XBI_BENCHMARK_,,4,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.933428,,,0.998062,1,0.998062,,0,no_upcoming,,neutral,drawdown_data_missing,M,,,,v1.3.0,081defa4,1,,early|none|nonpos,0.06969944897959185,,,,,-1.877008,-1.327949,,0,neutral,-0.912,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,no_price_series,,,,no_price_series,,no_price_series,,,,early,,NONE,drug_developer,pit_bundle,,,sponsor|drawdown,2,0.5,,,,,0.0,,,,,,,,
XERS,"Xeris Biopharma Holdings, Inc.",5,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.930595,,,0.994186,1,0.994186,,0,no_upcoming,,neutral,drawdown_data_missing,M,,,,v1.3.0,081defa4,1,,early|none|nonpos,0.06969944897959185,,,,,-1.877008,-1.327949,1,3,buying,-0.5511,,1.6115,0.7778,0.07,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,series_too_short,1,,,series_too_short,,series_too_short,,,,early,small,NONE,drug_developer,pit_bundle,,,drawdown,1,0.5,,,,,0.0,,,,,,,,
RXRX,"Recursion Pharmaceuticals, Inc.",6,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.865439,,,0.982558,1,0.982558,,0,no_upcoming,,tailwind,high_vol|high_beta,M,momentum_tailwind|high_risk,,,v1.3.0,081defa4,1,,early|none|nonpos,0.06969944897959185,,,,,-1.877008,-1.327949,0,4,neutral,-0.912,,1.4871,0.0,0.0,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,1.69409,price_history,,0,3.2538,price_history,,-0.10971,,62.5012,-0.111772,0.002062,early,mid,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.0,,,,,,,,
OCS,Healthcare,7,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.814448,,,0.978682,1,0.978682,,0,no_upcoming,,neutral,,S,runway_short,,,v1.3.0,081defa4,1,,early|none|nonpos,0.06969944897959185,,,,,-1.877008,-1.327949,0,2,buying,-0.912,,0.9333,0.0,0.0,46,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,-0.004731,price_history,,0,0.3635,price_history,,-0.03125,,52.6306,-0.111772,0.080522,early,small,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.0,,,,,,,,
MENS,Jyong Biotech Ltd.,8,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.783286,,,0.955426,1,0.955426,,0,no_upcoming,,neutral,drawdown_data_missing,M,,,,v1.3.0,081defa4,1,,early|none|nonpos,0.06969944897959185,,,,,-1.877008,-1.327949,,0,neutral,-0.912,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,series_too_short,,,,series_too_short,,series_too_short,,,,early,micro,SEV1,drug_developer,pit_bundle,,,sponsor|drawdown,2,0.5,,,,,0.0,,,,,,,,
LGND,Ligand Pharmaceuticals Incorporated,9,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.766289,,,0.95155,1,0.95155,,0,no_upcoming,,headwind,,S,momentum_headwind,,,v1.3.0,081defa4,1,,early|none|nonpos,0.06969944897959185,,,,,-1.877008,-1.327949,0,3,selling,-0.912,,1.0204,0.0,0.0,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,-0.123048,price_history,,0,0.7961,price_history,,-0.184178,,36.3076,-0.111772,-0.072406,early,mid,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.0,,,,,,,,
GBIO,Healthcare,10,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.720963,,,0.943798,1,0.943798,,0,no_upcoming,,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,sponsor_confirmed|momentum_tailwind,,,v1.3.0,081defa4,1,,early|none|nonpos,0.06969944897959185,,,,,-1.877008,-1.327949,3,6,buying,0.1707,,4.0388,2.8317,0.86,46,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.111419,price_history,,3,1.5356,price_history,,-0.390887,,48.4368,-0.111772,-0.279115,early,micro,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.0,,,,,,,,
