ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
ACIU,AC Immune SA,1,,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.998584,,,0.602713,1,0.602713,610,1,specific_days,,neutral,deep_drawdown,L,tier_a_dev|catalyst_far_lift,,,v1.3.0,e094cbec,1,,mid|far_271_540|nonpos,-0.012862136363636364,,-0.879735,401,1,-0.483048,,,0,neutral,-0.8507,,0.0,0.0,0.0,,,0,0,0,0,False,False,True,far,0.3,adequate,,,1.0,0,0,1.0,0,1.0,0,610,,specific_days,-0.043437,price_history,,,0.6282,price_history,,-0.567036,,57.5612,-0.405772,-0.161264,mid,small,NONE,drug_developer,pit_bundle,CTGOV,CLINICAL_PCD,sponsor,1,0.5,,,,,0.329065,,353,-0.012862136363636364,0.998584,,,,
KRYS,"Krystal Biotech, Inc.",2,,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.256374,,,0.412791,1,0.412791,62,1,specific_days,,tailwind,,L,sponsor_confirmed|momentum_tailwind,,,v1.3.0,e094cbec,1,,late|near_31_90|pos,0.1,,0.259765,62,1,0.546997,3.247294,2,4,neutral,-0.1009,,3.8722,3.1222,3.77,45,fresh,0,0,0,0,True,False,True,near,1.0,adequate,,,1.0,0,0,1.0,0,1.0,0,62,,specific_days,0.072453,price_history,,2,1.2698,price_history,,-0.17747,,56.2493,-0.405772,0.228302,late,mid,NONE,drug_developer,pit_bundle,CTGOV,CLINICAL_PCD,,0,0.5,,,,,0.616247,,91,0.1,0.256374,,,,
IOVA,"Iovance Biotherapeutics, Inc.",3,,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.907932,,,0.335271,1,0.335271,274,1,specific_days,,headwind,high_vol|deep_drawdown,S,catalyst_far_lift|sponsor_confirmed|momentum_headwind|runway_short|high_risk,,,v1.3.0,e094cbec,1,,mid|far_271_540|pos,0.05133853608247423,,0.492889,0,1,0.757729,3.686988,8,11,buying,2.1486,,14.9679,13.6554,4.07,45,fresh,0,0,0,0,True,False,True,far,0.3,short,,,1.0,0,0,1.0,0,1.0,0,274,,specific_days,-0.338225,price_history,,8,0.9665,price_history,,-0.578357,,49.1541,-0.405772,-0.172585,mid,small,SEV2,drug_developer,pit_bundle,CTGOV,CLINICAL_CD,,0,0.5,,,,,0.675,,321,0.05133853608247423,0.907932,,,,
STOK,"Stoke Therapeutics, Inc.",4,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.570822,,,0.606589,1,0.606589,,0,no_upcoming,,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,,,v1.3.0,e094cbec,1,,mid|none|pos,0.08701244092219021,,-0.888456,471,1,-0.490931,1.081643,4,6,selling,0.6489,,5.986,5.0548,2.73,45,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,-0.059837,price_history,,4,1.1109,price_history,,-0.518555,,51.4335,-0.405772,-0.112783,mid,small,NONE,drug_developer,pit_bundle,,,,0,0.5,,,,,0.326867,,202,0.08701244092219021,0.570822,,,,
REPL,"Replimune Group, Inc.",5,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.553824,,,0.625969,1,0.625969,,0,no_upcoming,,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind|runway_short,,,v1.3.0,e094cbec,1,,mid|none|pos,0.08701244092219021,,-0.89586,1128,1,-0.497624,1.067678,2,5,buying,-0.1009,,3.3051,2.0926,1.96,45,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,0.078185,price_history,,2,1.1248,price_history,,-0.469309,,52.0921,-0.405772,-0.063537,mid,small,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.325001,,196,0.08701244092219021,0.553824,,,,
NMRA,"Neumora Therapeutics, Inc.",6,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.53966,,,0.637597,1,0.637597,,0,no_upcoming,,neutral,drawdown_data_missing,S,runway_short,,,v1.3.0,e094cbec,1,,mid|none|pos,0.08701244092219021,,-0.895864,,1,-0.497628,1.067671,,0,neutral,-0.8507,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,series_too_short,,,,series_too_short,,series_too_short,,,,mid,small,SEV2,drug_developer,pit_bundle,,,sponsor|drawdown,2,0.5,,,,,0.325,,191,0.08701244092219021,0.53966,,,,
AURA,"Aura Biosciences, Inc.",7,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.5,,,0.614341,1,0.614341,,0,no_upcoming,,headwind,deep_drawdown,XS,momentum_headwind|runway_short,,,v1.3.0,e094cbec,1,,mid|none|pos,0.08701244092219021,,-0.89461,631,1,-0.496494,1.070036,1,1,buying,-0.4758,,1.1675,1.1675,0.56,45,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,-0.23021,price_history,,1,0.6194,price_history,,-0.427079,,49.8502,-0.405772,-0.021307,mid,small,SEV2,drug_developer,pit_bundle,,,,0,0.5,,,,,0.325316,,177,0.08701244092219021,0.5,,,,
ACLX,"Arcellx, Inc.",8,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.488669,,,0.622093,1,0.622093,,0,no_upcoming,,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,,,v1.3.0,e094cbec,1,,mid|none|pos,0.08701244092219021,,-0.895662,795,1,-0.497445,1.068053,2,4,buying,-0.1009,,5.1386,4.2011,3.53,45,fresh,0,0,0,0,True,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,series_too_short,2,,,series_too_short,,series_too_short,,,,mid,mid,SEV2,drug_developer,pit_bundle,,,drawdown,1,0.5,,,,,0.325051,,173,0.08701244092219021,0.488669,,,,
ANAB,"AnaptysBio, Inc.",9,,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.046742,,,0.567829,1,0.567829,172,1,specific_days,,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,,,v1.3.0,e094cbec,1,,mid|near_91_180|pos,0.1,,-0.690444,172,1,-0.311939,1.455113,10,12,selling,2.8984,,12.922,12.1782,13.01,45,fresh,0,0,0,0,True,False,True,mid,0.7,adequate,,,1.0,0,0,1.0,0,1.0,0,172,,specific_days,-0.189704,price_history,,10,0.816,price_history,,-0.441004,,48.4307,-0.405772,-0.035232,mid,small,SEV1,drug_developer,pit_bundle,CTGOV,CLINICAL_PCD,,0,0.5,,,,,0.376771,,17,0.1,0.046742,,,,
VERV,"Verve Therapeutics, Inc.",10,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.984419,,,0.73062,1,0.73062,,0,no_upcoming,,neutral,drawdown_data_missing,L,sponsor_confirmed,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.354105,929,1,-0.911852,0.203386,10,11,selling,2.8984,,8.3924,7.9236,3.21,45,fresh,0,0,0,0,True,False,False,missing,0.0,adequate,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,no_price_series,10,,,no_price_series,,no_price_series,,,,early,,NONE,drug_developer,pit_bundle,,,drawdown,1,0.5,,,,,0.209512,,348,0.023322922839506172,0.984419,,,,
UPB,"Upstream Bio, Inc.",11,,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.981586,,,0.676357,1,0.676357,,0,no_upcoming,,neutral,drawdown_data_missing,S,runway_short,,,v1.3.0,e094cbec,1,,early|none|pos,0.023322922839506172,,-1.333786,380,1,-0.893485,0.24171,,0,neutral,-0.8507,,0.0,0.0,0.0,,,0,0,0,0,False,False,False,missing,0.0,short,,,1.0,0,0,1.0,0,1.0,0,,,missing,,,series_too_short,,,,series_too_short,,series_too_short,,,,early,small,SEV2,drug_developer,pit_bundle,,,sponsor|drawdown,2,0.5,,,,,0.214633,,347,0.023322922839506172,0.981586,,,,
