ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,clinical_optionality_pct_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
PVLA,"Palvella Therapeutics, Inc.",1,0.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,,0.625683,0.374317,26,1,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed,smart_money_score:+36.7;financial_score:-27.7;clinical_score:-16.8,tier=A;reason=high_opt+catalyst_near;cat_days=26;strength=near;decay_w=1.0,v1.3.0,6e0bf8fb,1,,late|near_0_30|pos,0.09254273684210526,,0.5315,0,1,-0.4822,1.4815,4,4,buying,0.3258,elite_4,6.1463,6.1463,1.9,81,0.0,0,0,0,near,1.0,adequate,<=1000bps,672.96,0.85,1,0,1.0,0,1.0,0,26,True,specific_days,-0.182567,price_history,,4,1.375,price_history,,-0.267351,,39.475,-0.029794,-0.237557,late,small,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,,0,0.8432369934344577767715644102,48.86,51.470,82.92548375570748870826841068,32.60,29.48514206992528247042021947,18.54184056632810095413973530,186,0.09254273684210526,0.418495,-0.2057,23.88,0.42163,-0.1977
IRON,"Disc Medicine, Inc.",2,0.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.170846,,0.60929,0.39071,87,0,specific_days,3,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+31.2;clinical_score:-22.8;momentum_score:-15.3,tier=A;reason=high_opt+catalyst_near;cat_days=87;strength=near;decay_w=1.0,v1.3.0,6e0bf8fb,1,,late|near_31_90|pos,0.1,,0.5327,0,1,-0.4143,1.6598,8,8,buying,1.8264,elite_8,11.2346,11.2346,2.74,81,0.0,0,0,0,near,1.0,adequate,<=1000bps,494.97,0.85,1,0,1.0,0,1.0,0,87,False,specific_days,-0.217059,price_history,,8,0.6929,price_history,,-0.153012,,50.7398,-0.029794,-0.123218,late,mid,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,,0,0.8899774488261824910373539956,38.55,52.070,85,47.44,31.05850301198903506926031610,62.50000000000000000000000000,55,0.1,0.829154,0.9508,36.00,0.65674,0.4036
RNA,"Avidity Biosciences, Inc.",3,0.66,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.261755,,0.631148,0.368852,179,0,specific_days,3,neutral,overbought_rsi,L,tier_a_dev|sponsor_confirmed|runway_short,smart_money_score:+43.4;financial_score:-36.6;clinical_score:-12.7,tier=A;reason=high_opt+catalyst_mid;cat_days=179;strength=mid;decay_w=0.7,v1.3.0,6e0bf8fb,1,,late|near_91_180|pos,0.1,,0.531,0,1,-0.5047,1.4226,11,11,buying,2.9519,elite_11,19.0766,19.0766,6.47,81,0.0,0,0,0,mid,0.7,short,<=400bps,257.4,1.0,0,0,1.0,0,1.0,0,179,False,specific_days,0.031802,price_history,,11,0.0755,price_history,,0.0,,74.5644,-0.029794,0.029794,late,large,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8795575556893437688139674895,48.06,41.06878044444444444444444444,85,21.11,28.96517764702911542637812177,5,84,0.1,0.738245,0.6379,12.20,0.098746,-1.2887
ALMS,Alumis Inc.,4,0.66,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.020376,,0.620219,0.379781,148,0,specific_days,3,tailwind,high_vol|high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,financial_score:-45.8;momentum_score:+42.9;smart_money_score:+30.9,tier=A;reason=high_opt+catalyst_mid;cat_days=148;strength=mid;decay_w=0.7,v1.3.0,6e0bf8fb,1,,late|near_91_180|pos,0.1,,0.5317,0,1,-0.4597,1.5407,7,7,buying,1.4513,elite_7,8.2201,8.2201,10.45,81,0.0,0,0,0,mid,0.7,short,<=400bps,355.64,1.0,0,0,1.0,0,1.0,0,148,False,specific_days,4.513989,price_history,,7,2.3325,price_history,,0.0,,69.9798,-0.029794,0.029794,late,mid,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8266234676007005253940455342,96.55,49.49678400000000000000000000,84.57817549316224557606789227,40.78,30.00735110505065809224795108,7.854444444444444444444444443,7,0.1,0.979624,2.046,9.08,0.051724,-1.6284
PRAX,"Praxis Precision Medicines, Inc",5,0.66,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.249216,,0.653005,0.346995,118,0,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-46.6;momentum_score:+44.9;smart_money_score:+29.6,tier=A;reason=high_opt+catalyst_near;cat_days=118;strength=near;decay_w=1.0,v1.3.0,6e0bf8fb,1,,late|near_91_180|pos,0.1,,0.5299,0,1,-0.5714,1.2473,8,8,buying,1.8264,elite_8,10.4875,10.4875,3.66,81,0.0,0,0,0,near,1.0,short,<=400bps,206.98,1.0,0,0,1.0,0,1.0,0,118,False,specific_days,0.702112,price_history,,8,1.065,price_history,,-0.041842,,57.9332,-0.029794,-0.012048,late,mid,sev2,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8085736016849988298619237070,96.55,47.92545600000000000000000000,81.20151303130703130524813752,40.41,27.41875205171586576096563218,5,80,0.1,0.750784,0.677,6.78,0.020376,-2.046
IMVT,"Immunovant, Inc.",6,0.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.565831,,0.696721,0.303279,26,1,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed,financial_score:-24.4;clinical_score:-20.2;smart_money_score:+19.8,tier=A;reason=high_opt+catalyst_near;cat_days=26;strength=near;decay_w=1.0,v1.3.0,6e0bf8fb,1,,late|near_0_30|pos,0.09254273684210526,,0.5209,0,1,-0.7452,0.7911,6,6,selling,1.0761,elite_6,7.0627,7.0627,4.38,81,0.0,0,0,0,near,1.0,adequate,<=1000bps,484.14,0.85,1,0,1.0,0,1.0,0,26,True,specific_days,-0.067561,price_history,,6,0.9309,price_history,,-0.063181,,48.7054,-0.029794,-0.033387,late,mid,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8935189151759953837276399308,52.52,59.528,63.34906247091263147932571364,51.72,23.39371340229904407576688579,19.17361111111111111111111111,181,0.09254273684210526,0.434169,-0.1658,26.87,0.484326,-0.0393
RVMD,"Revolution Medicines, Inc.",7,0.66,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.268025,,0.680328,0.319672,86,0,specific_days,3,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-32.8;momentum_score:+30.9;smart_money_score:+27.3,tier=A;reason=high_opt+catalyst_near;cat_days=86;strength=near;decay_w=1.0,v1.3.0,6e0bf8fb,1,,late|near_31_90|pos,0.1,,0.5221,0,1,-0.6807,0.9602,8,8,buying,1.8264,elite_8,14.4415,14.4415,10.31,81,0.0,0,0,0,near,1.0,adequate,<=400bps,178.96,1.0,0,0,1.0,0,1.0,0,86,False,specific_days,0.373415,price_history,,8,1.412,price_history,,-0.221465,,45.5735,-0.029794,-0.191671,late,large,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8800306176399903869262196587,88.62,40.18859377777777777777777778,85,24.74,24.88626830411128787432416128,49.79323556612498348526885983,86,0.1,0.731975,0.6188,23.93,0.424765,-0.1897
PHVS,Pharvaris N.V.,8,0.46,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.246082,,0.691257,0.308743,57,1,specific_days,3,neutral,,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,smart_money_score:+42.6;financial_score:-37.4;clinical_score:-18.6,tier=A;reason=high_opt+catalyst_near;cat_days=57;strength=near;decay_w=1.0,v1.3.0,6e0bf8fb,1,,late|near_31_90|pos,0.1,,0.5213,0,1,-0.7238,0.8472,9,9,buying,2.2016,elite_9,14.1709,14.1709,65.62,81,0.0,0,0,0,near,1.0,adequate,<=2000bps,1098.28,0.7,1,0,1.0,0,1.0,0,57,True,specific_days,0.010207,price_history,,9,1.5643,price_history,,-0.052954,,58.1956,-0.029794,-0.02316,late,small,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,,0,0.7984086312217194570135746606,50.89,47.46416400000000000000000000,85,39.22,23.88898709067391676416701037,5,79,0.1,0.753918,0.6869,19.44,0.336991,-0.4207
KURA,"Kura Oncology, Inc.",9,0.56,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.18652,,0.713115,0.286885,179,0,specific_days,3,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+34.0;financial_score:-15.2;clinical_score:-14.8,tier=A;reason=high_opt+catalyst_mid;cat_days=179;strength=mid;decay_w=0.7,v1.3.0,6e0bf8fb,1,,late|near_91_180|pos,0.1,,0.5203,0,1,-0.7876,0.6796,4,4,buying,0.3258,elite_4,4.8453,4.8453,2.16,81,0.0,0,0,0,mid,0.7,adequate,<=1000bps,888.7,0.85,1,0,1.0,0,1.0,0,179,False,specific_days,-0.474216,price_history,,4,1.7496,price_history,,-0.322076,,35.6495,-0.029794,-0.292282,late,small,sev1,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8688988880063542494042891183,30.09,40.18859377777777777777777778,71.19458223647175379998158804,69.41,22.40989986223692443232353840,21.95753770390889504462911666,60,0.1,0.81348,0.8908,17.81,0.308777,-0.4993
CRVS,"Corvus Pharmaceuticals, Inc.",10,0.56,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.098746,,0.718579,0.281421,86,0,specific_days,3,tailwind,high_beta|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,momentum_score:+48.5;financial_score:-32.0;clinical_score:-26.0,tier=A;reason=high_opt+catalyst_near;cat_days=86;strength=near;decay_w=1.0,v1.3.0,6e0bf8fb,1,,late|near_31_90|pos,0.1,,0.5356,0,1,-0.8024,0.6408,3,3,buying,-0.0494,elite_3,2.8446,2.8446,1.24,81,0.0,0,0,0,near,1.0,adequate,<=1000bps,401.7,0.85,1,0,1.0,0,1.0,0,86,False,specific_days,1.449169,price_history,,3,2.2281,price_history,,-0.163793,,71.0185,-0.029794,-0.133999,late,small,none,drug_developer,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,,0,0.8037971080496413526130023910,96.55,43.58049600000000000000000000,62.08192299778233425270299769,53.64,22.06768628177178466312579087,16.05478608802708525700215451,32,0.1,0.901254,1.2887,11.40,0.076803,-1.4269
