ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
QURE,uniQure N.V.,1,0.82,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.880435,,0,0.665,1,0.335,66,0,specific_days,9,neutral,high_vol|drawdown_data_missing,L,tier_a_dev|sponsor_confirmed|high_risk,smart_money_score:+26.5;clinical_score:-20.5;financial_score:+11.6,tier=A;reason=high_opt+catalyst_near;cat_days=66;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 100394000.0, ""cash_total"": 597056000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 71.36553977329322, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_31_90|nonpos,-0.023841056603773586,,0.4462,0,1,-0.4169,0.4462,9,9,buying,2.5002,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,501.73,0.85,1,0,1.0,0,1.0,0,66,False,specific_days,-0.182656,price_history,,9,0.9478,price_history,,,series_too_short,40.794,1.3016,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.8013581488933601609657947686,50,45.56250000000000000000000000,83.0,60.34,35.99725651577503429355281208,68.16666666666666666666666666,36.4195,-0.3253,2.0,66,6,1.0,0.5769,1,1,0.0,0.3,0.6,cns,-0.4099,uncrowded,1.0,203,-0.023841056603773586,0.119565,-1.1772,27.70,0.580435,0.203
LQDA,Liquidia Corporation,2,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.332609,,0,0.915,1,0.085,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,smart_money_score:+31.4;clinical_score:-28.6;financial_score:-25.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.8746,0,1,-1.6682,0.8746,3,3,buying,0.0908,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.22308,price_history,,3,0.8409,price_history,,-0.3909,,54.2921,0.5778,,,late,mid,sev1,drug_developer,morningstar,,,,0,0.8687981060154854079809410363,50,41.25000000000000000000000000,65.5,22.04,5.530240101261817174953522406,8.360685941043083900226757365,4.8987,-1.6729,3.0,271,3,0.6667,0.1045,0,0,0.0,0.3,0.85,cardiovascular,0.7568,highly_crowded,1.0,77,0.1,0.667391,0.4327,9.16,0.05,-1.6449
TENX,"Tenax Therapeutics, Inc.",3,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.476087,,0,0.905,1,0.095,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,clinical_score:-36.5;financial_score:+18.1;smart_money_score:+12.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|nonpos,0.1,,0.8807,0,1,-1.6368,0.8807,1,1,buying,-0.7124,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.353944,price_history,,1,1.2409,price_history,,,series_too_short,28.6375,,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.8540472690718195018429576678,50,41.25000000000000000000000000,55.5,90.00,6.294450377754044539377398045,60.89622641509433962264150944,8.0445,-1.5384,3.0,,4,1.0,0.9124,1,1,0.0,0.4,0.85,cardiovascular,-0.4099,uncrowded,1.0,110,0.1,0.523913,0.06,19.09,0.354348,-0.3736
PRTA,Prothena Corporation plc,4,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.406522,,0,0.885,1,0.115,,0,no_upcoming,9,neutral,,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-30.1;smart_money_score:+14.7;momentum_score:+9.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.8912,0,1,-1.475,0.8912,2,2,neutral,-0.3108,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.190035,price_history,,2,0.9901,price_history,,-0.2784,,45.1818,0.4848,,,late,small,none,drug_developer,morningstar,,,,0,0.8476092450638792102206736353,50,41.25000000000000000000000000,55.0,79.03,10.23416795221708002056880661,45.00262984878369493754109138,9.2799,-1.4856,3.0,,7,1.0,0.0935,0,0,0.0,0.4,0.6,cns,0.7568,highly_crowded,1.0,94,0.1,0.593478,0.2365,15.85,0.223913,-0.759
ABEO,Abeona Therapeutics Inc.,5,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.002174,,0,0.875,1,0.125,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-34.3;financial_score:+23.9;smart_money_score:+9.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.8933,0,1,-1.4417,0.8933,2,2,neutral,-0.3108,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.040205,price_history,,2,1.6086,price_history,,,series_too_short,43.3483,,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.8741835955808503515232674925,50,41.25000000000000000000000000,55.0,81.18,11.04584470551006684862149440,69.24528301886792452830188679,10.0136,-1.4542,3.0,935,7,1.0,0.0025,0,0,0.0,0.3,0.5,other,-1.5765,uncrowded,1.0,1,0.1,0.997826,2.8518,23.34,0.502174,0.0054
URGN,UroGen Pharma Ltd.,6,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.48913,,0,0.865,1,0.135,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,smart_money_score:+35.7;financial_score:-30.0;clinical_score:-24.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|nonpos,0.1,,0.8976,0,1,-1.408,0.8976,4,4,buying,0.4924,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.206896,price_history,,4,1.2627,price_history,,,series_too_short,37.2262,0.7699,,,late,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8224527861972487759384471905,50,41.25000000000000000000000000,72.0,61.83,11.86543253826984692061231755,6.241288625904010519395134781,12.9101,-1.3304,3.0,4,10,1.0,1.6275,1,1,0.0,0.3,0.95,oncology,0.7568,highly_crowded,1.0,113,0.1,0.51087,0.0272,5.22,0.01087,-2.2949
SMMT,Summit Therapeutics Inc.,7,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.445652,,0,0.835,1,0.165,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+29.6;clinical_score:-28.4;financial_score:-8.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|none|nonpos,0.1,,0.9011,0,1,-1.3397,0.9011,5,5,buying,0.8939,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.721908,price_history,,5,0.3138,price_history,,,series_too_short,63.4343,0.5984,,,late,large,none,drug_developer,morningstar,,,drawdown,1,0.8150233556369145309935614190,50,41.25000000000000000000000000,71.5,10.00,13.52834144218978679640836992,33.30224279102883588465646138,12.8461,-1.3331,3.0,600,5,1.0,0.0101,0,0,0.0,0.3,0.75,rare_disease,0.7568,highly_crowded,1.0,103,0.1,0.554348,0.1367,12.69,0.106522,-1.2452
SVRA,"Savara, Inc.",8,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.463043,,0,0.795,1,0.205,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+29.4;financial_score:-25.4;clinical_score:-21.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.9077,0,1,-1.2349,0.9077,3,3,buying,0.0908,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.383275,price_history,,3,0.454,price_history,,,series_too_short,44.4225,0.6811,,,late,small,sev1,drug_developer,morningstar,,,drawdown,1,0.8537972367351677696505282712,50,41.25000000000000000000000000,66.5,56.45,16.08203789407064593963846367,11.75147928994082840236686389,16.1051,-1.1938,3.0,123,9,1.0,0.8757,0,1,0.0,0.4,0.5,respiratory,0.7568,highly_crowded,1.0,107,0.1,0.536957,0.0928,11.43,0.071739,-1.463
CLDX,"Celldex Therapeutics, Inc.",9,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.154348,,0,0.765,1,0.235,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-27.0;smart_money_score:+23.1;financial_score:+9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.1,,0.9152,0,1,-1.0163,0.9152,4,4,buying,0.4924,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.042876,price_history,,4,1.116,price_history,,-0.2393,,45.0569,0.4801,,,late,small,none,drug_developer,morningstar,,,,0,0.8764675685050294831772459244,50,41.25000000000000000000000000,71.5,70.43,21.40302994343578181242830585,57.92307692307692307692307693,22.8689,-0.9046,3.0,,44,1.0,0.5949,1,1,0.0,0.4,0.95,oncology,-0.4099,uncrowded,1.0,36,0.1,0.845652,1.018,23.04,0.493478,-0.0163
CHRS,"Coherus Oncology, Inc.",10,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.15,,0,0.675,1,0.325,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,financial_score:+17.6;clinical_score:-16.0;catalyst_score:-8.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 118797000.0, ""cash_total"": 191663000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.31919011700611, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",late|none|pos,0.1,,0.9286,0,1,-0.5235,0.9286,1,1,buying,-0.7124,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1725.6,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.126498,price_history,,1,1.2085,price_history,,,series_too_short,47.9569,0.9928,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.7863618983355825461088618983,50,41.25000000000000000000000000,55.5,80.11,33.40314860962778371108737787,66.98113207547169811320754717,32.4089,-0.4967,3.0,,5,1.0,0.0,0,0,0.0,0.3,0.6,autoimmune,-0.4099,uncrowded,1.0,35,0.1,0.85,1.0364,22.90,0.48913,-0.0272
CGON,"CG Oncology, Inc.",11,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.145652,,0,0.895,1,0.105,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-40.8;smart_money_score:+35.9;financial_score:+8.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",mid|none|nonpos,0.1,,0.3765,0,1,-1.6347,0.3765,6,6,buying,1.2955,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7822011211531861343095755634,50,41.25000000000000000000000000,83.0,10.00,6.345679012345679012345679012,55.13333333333333333333333334,5.6634,-1.6402,2.0,,3,0.6667,0.0,0,0,0.0,0.3,0.95,oncology,0.7568,highly_crowded,1.0,34,0.1,0.854348,1.0553,17.47,0.284783,-0.5687
