ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
CELC,Celcuity Inc.,1,0.89,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.706186,,0,0.841615,1,0.158385,107,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-37.9;smart_money_score:+33.6;financial_score:+11.0,tier=A;reason=high_opt+catalyst_near;cat_days=107;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.013589783505154638,,0.6347,0,1,-1.3115,0.6347,6,6,buying,1.1353,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,107,False,specific_days,0.04013,price_history,,6,1.1889,price_history,,-0.261111,,42.5095,,-0.014615,-0.246496,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,46.60,45.56250000000000000000000000,83.0,16.78,11.50833018392542202066011590,60.40816326530612244897959184,11.5587,-1.3618,3.0,669,8,1.0,0.6288,1,1,0.0,0.3,0.95,oncology,-0.4975,uncrowded,1.0,206,0.013589783505154638,0.293814,-0.5423,16.06,0.286942,-0.5623
NUVB,Nuvation Bio Inc.,2,0.76,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.726804,,0,0.810559,1,0.189441,124,0,specific_days,9,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-35.2;financial_score:+29.2;momentum_score:+7.6,tier=A;reason=high_opt+catalyst_mid;cat_days=124;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 143694000.0, ""cash_total"": 549045000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 44.273359540368915, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|near_91_180|pos,0.009590074074074074,,0.6448,0,1,-1.167,0.6448,6,6,selling,1.1353,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,551.15,0.85,1,0,1.0,0,1.0,0,124,False,specific_days,0.077554,price_history,,6,0.9384,price_history,,-0.188917,,56.7808,1.2485,-0.014615,-0.174302,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,57.68,45.56250000000000000000000000,53.0,53.62,14.93827160493827160493827160,79.26530612244897959183673469,14.5377,-1.2358,3.0,285,12,1.0,0.6495,0,1,0.0,0.4,0.95,oncology,0.6892,highly_crowded,1.0,212,0.009590074074074074,0.273196,-0.6032,17.00,0.30756,-0.5028
FULC,"Fulcrum Therapeutics, Inc.",3,0.23,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.070447,,0,0.897516,1,0.102484,,0,no_upcoming,9,headwind,high_beta|deep_drawdown_rel_xbi,S,sponsor_confirmed|momentum_headwind|high_risk,clinical_score:-38.5;financial_score:+29.4;smart_money_score:+20.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 60065000.0, ""cash_total"": 197533000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 39.463847498543245, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.6272,0,1,-1.492,0.6272,3,3,buying,-0.0239,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,919.56,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.172734,price_history,,3,2.0877,price_history,,-0.2875,,46.8005,1.1313,-0.014615,-0.272885,late,small,none,drug_developer,morningstar,,,,0,0.8089258911819887429643527205,38.51,41.25000000000000000000000000,66.5,65.46,7.223796926177878558830939786,75.15068493150684931506849315,7.7346,-1.5236,3.0,62,4,1.0,1.9266,3,3,0.0,0.4,0.55,infectious_disease,-0.4975,uncrowded,1.0,21,0.1,0.929553,1.4725,16.79,0.300687,-0.5224
OLMA,"Olema Pharmaceuticals, Inc.",4,0.23,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.118557,,0,0.891304,1,0.108696,,0,no_upcoming,9,headwind,high_vol|deep_drawdown_rel_xbi,S,sponsor_confirmed|momentum_headwind|high_risk,clinical_score:-33.7;smart_money_score:+25.1;financial_score:+14.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 108389000.0, ""cash_total"": 328960000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.41993191190988, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.6288,0,1,-1.4712,0.6288,3,3,buying,-0.0239,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,486.91,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.287842,price_history,,3,1.7557,price_history,,-0.311552,,43.056,2.891,-0.014615,-0.296937,late,small,none,drug_developer,morningstar,,,,0,0.8089114369501466275659824047,35.36,41.25000000000000000000000000,66.5,17.43,7.716049382716049382716049384,56.16438356164383561643835616,6.5521,-1.5737,3.0,669,4,1.0,0.0083,0,0,0.0,0.3,0.95,oncology,0.6892,highly_crowded,1.0,35,0.1,0.881443,1.1822,12.70,0.128866,-1.1318
COGT,"Cogent Biosciences, Inc.",5,0.89,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.046392,,0,0.885093,1,0.114907,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+42.8;financial_score:-35.8;clinical_score:-34.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.1,,0.6291,0,1,-1.4504,0.6291,7,7,buying,1.5218,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.079888,price_history,,7,1.6081,price_history,,-0.172573,,65.0021,2.489,-0.014615,-0.157958,late,mid,sev1,drug_developer,morningstar,,,,0,0.8130890683379534771604194287,70.03,41.25000000000000000000000000,85,12.17,8.211451247165532879818594108,6.401129159146651858022120412,8.0975,-1.5083,3.0,396,6,1.0,0.217,0,0,0.0,0.5,0.95,oncology,-0.4975,uncrowded,1.0,14,0.1,0.953608,1.6809,7.96,0.053265,-1.614
ERAS,"Erasca, Inc.",6,0.89,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.816151,,0,0.872671,1,0.127329,183,0,specific_days,9,tailwind,high_vol|high_beta,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-36.9;smart_money_score:+20.9;momentum_score:+10.7,tier=B;reason=high_opt+catalyst_far;cat_days=183;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 73744000.0, ""cash_total"": 288400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.92991972228249, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|near_181_270|nonpos,-0.026264625,,0.6296,0,1,-1.4294,0.6296,3,3,buying,-0.0239,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,374.33,1.0,0,0,1.0,0,1.0,0,183,False,specific_days,-0.041545,price_history,,3,1.873,price_history,,-0.118902,,54.9854,1.2457,-0.014615,-0.104287,late,mid,none,drug_developer,morningstar,,,,0,0.8063918149897081971182951931,56.28,45.56250000000000000000000000,66.5,16.12,8.710002519526329050138573940,50.97959183673469387755102040,7.5461,-1.5316,3.0,305,6,1.0,0.1409,0,0,0.0,0.3,0.95,oncology,0.6892,highly_crowded,1.0,238,-0.026264625,0.183849,-0.9008,12.36,0.118557,-1.1822
CNTA,Centessa Pharmaceuticals plc,7,0.76,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.042955,,0,0.953416,1,0.046584,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+36.1;clinical_score:-35.9;financial_score:-35.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.1,,0.5754,0,1,-1.5857,0.5754,7,7,buying,1.5218,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.488542,price_history,,7,0.59,price_history,,-0.030172,,65.2409,0.5724,-0.014615,-0.015557,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,76.08,41.25000000000000000000000000,77.0,27.30,5,5.401111111111111111111111112,5.8608,-1.6029,3.0,27,7,1.0,1.7574,3,3,0.0,0.4,0.95,oncology,0.6892,highly_crowded,1.0,13,0.1,0.957045,1.7174,9.97,0.070447,-1.4725
CGON,"CG Oncology, Inc.",8,0.76,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.039519,,0,0.86646,1,0.13354,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-41.6;smart_money_score:+32.2;financial_score:+20.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.1,,0.6305,0,1,-1.4082,0.6305,6,6,buying,1.1353,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.073138,price_history,,6,1.264,price_history,,-0.230545,,58.7423,0.7795,-0.014615,-0.21593,late,mid,none,drug_developer,morningstar,,,,0,0.8570204003356106915977466139,49.58,41.25000000000000000000000000,83.0,14.80,9.211703199798437893675988909,71.18367346938775510204081633,8.0478,-1.5104,3.0,640,8,1.0,0.0849,0,0,0.0,0.3,0.95,oncology,0.6892,highly_crowded,1.0,12,0.1,0.960481,1.7563,17.91,0.338488,-0.4166
NGNE,Neurogene Inc.,9,0.37,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.54811,,0,0.860248,1,0.139752,1524,0,specific_days,9,headwind,deep_drawdown_rel_xbi,M,catalyst_far_lift|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,clinical_score:-41.5;smart_money_score:+33.8;financial_score:+19.4,tier=B;reason=high_opt+catalyst_far;cat_days=1524;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 59744000.0, ""cash_total"": 265410000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.30945366898768, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|far_271_540|nonpos,0.071442515625,,0.6307,0,1,-1.387,0.6307,8,8,buying,1.9082,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=2000bps,1586.17,0.7,1,0,1.0,0,1.0,0,1524,False,specific_days,-0.13934,price_history,,8,1.7876,price_history,,-0.264833,,52.1844,0.823,-0.014615,-0.250218,late,small,none,drug_developer,morningstar,,,,0,0.8335079753172662708115030853,45.25,45.56250000000000000000000000,85,69.41,9.716553287981859410430838996,70.63013698630136986301369863,8.3499,-1.4976,3.0,1919,6,1.0,0.0,0,0,0.0,0.3,0.75,rare_disease,0.6892,highly_crowded,1.0,160,0.071442515625,0.45189,-0.1209,19.62,0.40378,-0.2436
MLTX,MoonLake Immunotherapeutics,10,0.76,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.104811,,0,0.847826,1,0.152174,,0,no_upcoming,9,neutral,deep_drawdown_rel_xbi,L,sponsor_confirmed,clinical_score:-32.9;financial_score:+17.2;smart_money_score:+11.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 196007000.0, ""cash_total"": 334517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 20.47990122801737, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 4}",late|none|nonpos,0.1,,0.6347,0,1,-1.3115,0.6347,4,4,selling,0.3625,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,513.23,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.017011,price_history,,4,0.9509,price_history,,-0.267303,,51.5306,,-0.014615,-0.252688,late,small,none,drug_developer,morningstar,,,,0,0.8277566717165831488171541778,51.71,41.25000000000000000000000000,56.0,30.59,11.50833018392542202066011590,61.58904109589041095890410959,9.9252,-1.4309,3.0,291,2,0.3333,0.2654,0,0,0.0,0.4,0.5,dermatology,0.6892,crowded,1.0,31,0.1,0.895189,1.2546,15.11,0.221649,-0.7666
AURA,"Aura Biosciences, Inc.",11,0.07,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.0189,,0,0.835404,1,0.164596,,0,no_upcoming,9,headwind,high_beta|deep_drawdown_rel_xbi,XS,sponsor_confirmed|momentum_headwind|runway_short|high_risk|cost_haircut_>2000bps,financial_score:-25.5;smart_money_score:+20.6;clinical_score:-18.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.6384,0,1,-1.2566,0.6384,2,2,selling,-0.4103,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.085982,price_history,,2,1.8544,price_history,,-0.336394,,47.5431,0.5411,-0.014615,-0.321779,late,small,sev2,drug_developer,morningstar,,,,0,0.8794298861259586335115036021,44.91,41.25000000000000000000000000,52.0,68.09,12.81179138321995464852607710,5.826609119909926815537624325,12.3479,-1.3284,3.0,1172,6,1.0,0.0002,0,0,0.0,0.5,0.95,oncology,0.6892,highly_crowded,1.0,6,0.1,0.9811,2.077,5.15,0.012027,-2.2562
