ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority,alpha_cohort_pct,clinical_score_z,clinical_score_z_tier,coinvest_score_z,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,missingness_penalty,missing_components,commercial_quality_pct,clinical_score_v2,competitive_intensity_z,sizing_multiplier_clinical,clinical_score_v2_z,de_vol_60d
PEPG,297,10.96,0.126959,-1.1409,10.96,0.070533,-1.4718,mid,small,none,drug_developer,96.55,42.60496044444444444444444444,79.10070450169563516987077069,68.13,5,34.13631262116110600959085807,0.7856731723453522990406880582,0.019126,0.980874,v1.3.0,96f655ee,1,,7,7,buying,178,0,specific_days,mid,adequate,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1694.53,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,1,0.52,178,False,specific_days,0.9484,7,,-0.276848,,,-0.023106,-0.253742,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.126959,-1.539361,,0,0,0,0,0,0,,,5,0,1.0,0,
KOD,301,9.61,0.039185,-1.7602,9.59,0.057994,-1.5718,late,small,sev1,drug_developer,85.01,51.848,62.63650716052790723880397620,60.18,5,10.50072022160664819944598338,0.8609416703296703296703296703,0.030055,0.969945,v1.3.0,96f655ee,1,,3,3,buying,26,1,specific_days,near,adequate,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,702.75,1.0,0,1.0,0,0,A,high_opt+catalyst_near,2,0.64,26,True,specific_days,0.5126,3,,-0.210746,,,-0.023106,-0.18764,morningstar,CTGOV_CALENDAR,DATA_READOUT,2,0.039185,-1.539361,,0,0,0,0,0,0,,,5,0,1.0,0,
IVVD,303,9.07,0.061129,-1.5454,9.07,0.051724,-1.6284,late,small,sev1,drug_developer,73.88,58.598,46.32585882371834522582088000,66.67,5,13.63177593105570944906124961,0.8254145219581644945789070200,0.035519,0.964481,v1.3.0,96f655ee,1,,3,3,buying,25,1,specific_days,near,adequate,tailwind,high_vol|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,0.85,<=1000bps,1,933.9,1.0,0,1.0,0,0,A,high_opt+catalyst_near,3,0.64,25,True,specific_days,0.3146,3,,-0.295139,,,-0.023106,-0.272033,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.061129,-1.539361,,0,0,0,0,0,0,,,5,0,1.0,0,
DNTH,212,19.81,0.340125,-0.4121,19.81,0.336991,-0.4207,late,mid,none,drug_developer,77.54,36.65610844444444444444444444,85,39.35,5,58.44615384615384615384615384,0.8323761340782122905027932961,0.051913,0.948087,v1.3.0,96f655ee,1,,8,8,buying,146,0,specific_days,mid,adequate,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,495.67,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,4,0.64,146,False,specific_days,0.3693,8,,-0.09852,,,-0.023106,-0.075414,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.340125,-1.539361,,0,0,0,0,0,0,,,5,0,1.0,0,
CNTA,260,15.13,0.133229,-1.1113,15.10,0.18652,-0.8908,late,mid,sev1,drug_developer,45.85,44.69000000000000000000000000,78.88780705846180550836954112,35.45,5,12.89911900065746219592373438,0.8792836309193745148053676389,0.057377,0.942623,v1.3.0,96f655ee,1,,7,7,buying,55,1,specific_days,near,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,476.44,1.0,0,1.0,0,0,A,high_opt+catalyst_near,5,0.64,55,True,specific_days,-0.0577,7,,-0.15229,,,-0.023106,-0.129184,morningstar,,,9,0.133229,-1.539361,,0,0,0,0,0,0,,,5,0,1.0,0,
NUVL,213,19.46,0.277429,-0.5905,19.46,0.330721,-0.4379,late,mid,none,drug_developer,45.05,70.004,78.51961048006708110728256512,34.20,5.981727625003781534560475677,51.38461538461538461538461539,0.8918270588235294117647058824,0.068306,0.931694,v1.3.0,96f655ee,1,,5,5,buying,25,1,specific_days,near,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,403.47,1.0,0,1.0,0,0,A,high_opt+catalyst_near,6,0.64,25,True,specific_days,-0.0688,5,,-0.085945,,,-0.023106,-0.062839,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.277429,-1.497217,,0,0,0,0,0,0,,,5.981727625003781534560475677,0,1.0,0,
ACLX,242,16.88,0.177116,-0.9264,16.88,0.246082,-0.6869,late,mid,none,drug_developer,24.76,43.24694444444444444444444444,85,34.33,5.981727625003781534560475677,40.51087442472057856673241289,0.8786569275362318840579710145,0.07377,0.92623,v1.3.0,96f655ee,1,,7,7,buying,117,0,specific_days,near,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,376.67,1.0,0,1.0,0,0,A,high_opt+catalyst_near,7,0.75,117,False,specific_days,-0.3340,7,,-0.255386,,,-0.023106,-0.23228,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3,0.177116,-1.497217,,0,0,0,0,0,0,,,5.981727625003781534560475677,0,1.0,0,
SION,304,8.93,0.014107,-2.1943,8.93,0.048589,-1.6587,mid,small,sev2,drug_developer,72.36,42.60496044444444444444444444,85,62.31,6.533227639054036200290659263,5,0.7483982365907421013960323292,0.079235,0.920765,v1.3.0,96f655ee,1,,6,6,buying,117,0,specific_days,near,short,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,0.85,<=1000bps,1,882.99,1.0,0,1.0,0,0,A,high_opt+catalyst_near,8,0.64,117,False,specific_days,0.2942,6,,-0.022082,,,-0.023106,0.001024,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.014107,-1.473542,,0,0,0,0,0,0,,,6.533227639054036200290659263,0,1.0,0,
FDMT,253,15.73,0.252351,-0.6671,15.66,0.208464,-0.8118,late,small,none,drug_developer,37.47,48.79253377777777777777777778,39.21574693062782397906778953,57.87,7.201829437665184305118960204,53.82105263157894736842105263,0.7996406115938840611593884061,0.090164,0.909836,v1.3.0,96f655ee,1,,1,1,neutral,86,0,specific_days,near,adequate,headwind,deep_drawdown_rel_xbi,S,tier_a_dev|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1085.48,1.0,0,1.0,0,0,A,high_opt+catalyst_near,9,0.16,86,False,specific_days,-0.1648,1,,-0.298289,,,-0.023106,-0.275183,morningstar,,,9,0.252351,-1.444839,,0,0,0,0,0,0,,,7.201829437665184305118960204,0,1.0,0,
ATXS,205,20.38,0.315047,-0.4816,20.34,0.355799,-0.3697,late,small,none,drug_developer,52.30,47.60595600000000000000000000,55.81813216944466350506202944,52.99,8.233707086458255983762778153,49.05540166204986149584487534,0.8788067373947282073717598163,0.106557,0.893443,v1.3.0,96f655ee,1,,3,3,buying,86,0,specific_days,near,adequate,neutral,,L,tier_a_dev|sponsor_confirmed,0.85,<=1000bps,1,860.38,1.0,0,1.0,0,0,A,high_opt+catalyst_near,10,0.64,86,False,specific_days,0.0319,3,,-0.04697,,,-0.023106,-0.023864,morningstar,,,9,0.315047,-1.400542,,0,0,0,0,0,0,,,8.233707086458255983762778153,0,1.0,0,
