ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
ELDN,"Eledon Pharmaceuticals, Inc.",1,0.47,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.88676,,0,0.773885,1,0.226115,65,0,specific_days,9,tailwind,,L,tier_a_dev|momentum_tailwind|cost_haircut_>2000bps,clinical_score:-22.1;momentum_score:+14.4;smart_money_score:+12.1,tier=A;reason=high_opt+catalyst_near;cat_days=65;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|near_31_90|pos,0.021890830188679246,,0.1482,0,1,-1.0369,1.0,1,1,neutral,-0.784,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,65,False,specific_days,0.084935,price_history,,1,0.2093,price_history,,-0.277193,,64.7629,,-0.077753,-0.19944,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592904001749398644216050733,54.89,45.56250000000000000000000000,52.5,89.29,18.34628867550678250266727632,30.94272976680384087791495199,18.0334,-1.0876,2.0,65,6,1.0,0.6812,1,1,0.0,0.3,0.55,metabolic,-0.4901,uncrowded,1.0,255,0.021890830188679246,0.11324,-1.2095,17.87,0.336237,-0.4228,1.001095,1.0,0.0,0.0,0.0,0.001095,0.0
CELC,Celcuity Inc.,2,0.86,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.109756,,0,0.850318,1,0.149682,95,0,specific_days,9,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-45.1;momentum_score:+33.6;smart_money_score:+27.4,tier=A;reason=high_opt+catalyst_near;cat_days=95;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.1,,0.6679,0,1,-1.3659,-1.0,6,6,buying,1.1457,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,95,False,specific_days,0.412676,price_history,,6,0.9441,price_history,,0.0,,79.0783,,-0.077753,0.077753,late,mid,none,drug_developer,morningstar,,,,0,0.8124607582709490461241246076,89.28,45.56250000000000000000000000,83.0,16.10,10.52207878019914603903463101,49.86961772736819995799201849,10.4398,-1.4085,3.0,824,8,1.0,0.7175,0,1,0.0,0.3,0.95,oncology,-0.4901,uncrowded,1.0,32,0.1,0.890244,1.2278,15.66,0.256098,-0.6554,0.005,0.0,0.0,0.0,0.0,0.005,0.0
CLDX,"Celldex Therapeutics, Inc.",3,0.73,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.120209,,0,0.601911,1,0.398089,338,0,specific_days,9,neutral,,L,catalyst_far_lift|sponsor_confirmed,smart_money_score:+18.2;clinical_score:-15.7;catalyst_score:-7.7,tier=B;reason=high_opt+catalyst_far;cat_days=338;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|far_271_540|pos,0.1,,0.7209,0,1,-0.2263,1.7429,4,4,buying,0.3738,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,338,False,specific_days,-0.022343,price_history,,4,1.1801,price_history,,-0.191018,,47.4947,0.4801,-0.077753,-0.113265,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,52.31,45.56250000000000000000000000,71.5,65.41,37.62885735673571120896951753,59.50704225352112676056338028,38.6167,-0.2179,3.0,,57,1.0,0.9019,1,1,0.0,0.4,0.95,oncology,-0.4901,uncrowded,1.0,35,0.1,0.879791,1.1739,28.92,0.621951,0.3106,2.61935,2.61435,0.0,0.0,0.0,0.005,0.0
DNLI,Denali Therapeutics Inc.,4,0.22,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.144599,,0,0.61465,1,0.38535,,0,no_upcoming,9,headwind,high_beta|deep_drawdown|deep_drawdown_rel_xbi,S,sponsor_confirmed|momentum_headwind|high_risk,financial_score:+17.4;clinical_score:-12.2;smart_money_score:+11.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.1,,0.7206,0,1,-0.2547,1.6825,3,3,buying,-0.0121,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.152771,price_history,,3,2.1705,price_history,,-0.377427,,53.6306,0.5691,-0.077753,-0.299674,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,40.55,41.25000000000000000000000000,60.5,49.66,36.95288159551022285788366559,66.56521739130434782608695652,36.8971,-0.2906,3.0,699,12,1.0,0.5004,2,0,0.0,0.4,0.6,cns,-0.4901,uncrowded,1.0,42,0.1,0.855401,1.0599,34.79,0.702091,0.5304,2.52875,2.52375,0.0,0.0,0.0,0.005,0.0
CRNX,"Crinetics Pharmaceuticals, Inc.",5,0.73,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.134146,,0,0.621019,1,0.378981,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-21.6;catalyst_score:-16.7;momentum_score:+14.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.1,,0.7195,0,1,-0.283,1.6224,5,5,buying,0.7598,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.262869,price_history,,5,1.1583,price_history,,0.0,,64.1754,0.6688,-0.077753,0.077753,late,mid,none,drug_developer,morningstar,,,,0,0.8739125269461077844311377246,72.80,41.25000000000000000000000000,71.5,27.05,36.28025142082878542662501412,67.67391304347826086956521740,35.8608,-0.3344,3.0,1160,7,1.0,0.0179,0,0,0.0,0.5,0.95,oncology,0.6919,highly_crowded,1.0,39,0.1,0.865854,1.107,27.26,0.573171,0.1845,2.4386,2.4336,0.0,0.0,0.0,0.005,0.0
ABSI,Absci Corporation,6,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.008711,,0,0.646497,1,0.353503,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,momentum_score:+38.8;clinical_score:-24.8;catalyst_score:-16.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.1,,-0.5704,,0,-0.4223,1.3262,3,3,buying,-0.0121,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.456641,price_history,,3,1.6004,price_history,,-0.010453,,62.6182,0.9218,-0.077753,0.0673,late,small,none,drug_developer,morningstar,,,,0,0.8089145740436517249471954940,96.55,41.25000000000000000000000000,66.5,81.16,32.96728434558236206773976356,51.60563380281690140845070422,32.159,-0.4908,3.0,,12,1.0,0.0,0,0,0.0,0.4,0.95,oncology,0.6919,highly_crowded,1.0,3,0.1,0.991289,2.3777,20.47,0.423345,-0.1933,1.9943,1.9893,0.0,0.0,0.0,0.005,0.0
GOSS,"Gossamer Bio, Inc.",7,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.203833,,0,0.652866,1,0.347134,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,smart_money_score:+33.9;financial_score:-24.2;clinical_score:-17.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 122952000.0, ""cash_total"": 180224000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.589693538942026, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 6}",late|none|pos,0.1,,0.7104,0,1,-0.477,1.2098,6,6,buying,1.1457,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1384.72,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.213458,price_history,,6,0.0588,price_history,,-0.351648,,42.0523,0.8648,-0.077753,-0.273895,late,micro,sev1,drug_developer,morningstar,,,,0,0.8153941163260723108017067146,64.53,41.25000000000000000000000000,83.0,90.00,31.66551662129214916297606651,24.86721785204979905570819794,30.8573,-0.5458,3.0,609,7,1.0,0.0098,0,0,0.0,0.4,0.95,oncology,0.6919,highly_crowded,1.0,59,0.1,0.796167,0.828,16.15,0.283972,-0.5711,1.8197,1.8147,0.0,0.0,0.0,0.005,0.0
FATE,"Fate Therapeutics, Inc.",8,0.47,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.897213,,0,0.60828,1,0.39172,764,0,specific_days,9,tailwind,high_beta,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_>2000bps,momentum_score:+39.6;clinical_score:-19.7;financial_score:-12.1,tier=B;reason=high_opt+catalyst_far;cat_days=764;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 106084000.0, ""cash_total"": 203657000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.037253497228612, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|far_271_540|pos,0.008456678571428572,,0.1748,0,1,-0.2437,1.7059,2,2,buying,-0.3981,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,764,False,specific_days,0.889158,price_history,,2,1.9363,price_history,,-0.120958,,53.4424,0.8890,-0.077753,-0.043205,mid,micro,none,drug_developer,morningstar,,,,0,0.7794034090909090909090909091,96.55,45.56250000000000000000000000,60.5,90.00,37.21536351165980795610425240,44.86194939795762841030330742,36.4459,-0.3097,2.0,,20,1.0,0.0708,0,0,0.0,0.3,0.95,oncology,-0.4901,uncrowded,1.0,258,0.008456678571428572,0.102787,-1.2658,24.60,0.527875,0.0699,1.706323,1.7059,0.0,0.0,0.0,0.000423,0.0
STRO,"Sutro Biopharma, Inc.",9,0.6,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.904181,,0,0.633758,1,0.366242,1007,0,specific_days,9,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|runway_short|cost_haircut_<=2000bps,financial_score:-38.4;smart_money_score:+23.1;momentum_score:+21.4,tier=B;reason=high_opt+catalyst_far;cat_days=1007;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 150796000.0, ""cash_total"": 167594000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.336746332793973, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|far_271_540|pos,0.008456678571428572,,0.169,0,1,-0.3288,1.525,3,3,buying,-0.0121,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,short,<=2000bps,1967.55,0.7,1,0,1.0,0,1.0,0,1007,False,specific_days,0.165889,price_history,,3,1.3638,price_history,,-0.039116,,67.088,1.0735,-0.077753,0.038637,mid,small,sev2,drug_developer,morningstar,,,,0,0.7779025160780774004287487307,64.81,45.56250000000000000000000000,66.5,70.24,35.19128181679622008840115837,5,34.5888,-0.3881,2.0,516,5,1.0,0.1624,1,0,0.0,0.3,0.95,oncology,0.6919,highly_crowded,1.0,260,0.008456678571428572,0.095819,-1.3057,7.27,0.047038,-1.6743,1.525423,1.525,0.0,0.0,0.0,0.000423,0.0
SVRA,"Savara, Inc.",10,0.73,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.419861,,0,0.678344,1,0.321656,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+25.3;financial_score:-25.1;clinical_score:-12.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.1,,0.707,0,1,-0.6113,0.9241,3,3,buying,-0.0121,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.099909,price_history,,3,0.7683,price_history,,-0.109123,,51.798,0.6811,-0.077753,-0.03137,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,53.71,41.25000000000000000000000000,66.5,57.88,28.46964507508750799804283188,16.11243360003526637131080694,26.9614,-0.7104,3.0,1158,9,1.0,0.0001,0,0,0.0,0.4,0.5,respiratory,0.6919,highly_crowded,1.0,121,0.1,0.580139,0.2023,14.81,0.214286,-0.7916,1.39115,1.38615,0.0,0.0,0.0,0.005,0.0
