ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
QURE,uniQure N.V.,1,0.83,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.673246,,0,0.678571,1,0.321429,108,0,specific_days,9,neutral,high_vol|drawdown_data_missing,L,tier_a_dev|sponsor_confirmed|high_risk,smart_money_score:+26.6;clinical_score:-21.0;financial_score:+11.6,tier=A;reason=high_opt+catalyst_near;cat_days=108;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 100394000.0, ""cash_total"": 597056000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 71.36553977329322, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_91_180|nonpos,-0.004634357142857142,,0.4475,0,1,-0.4543,-0.0,9,9,buying,2.4972,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,501.73,0.85,1,0,1.0,0,1.0,0,108,False,specific_days,-0.130357,price_history,,9,1.168,price_history,,,series_too_short,46.9304,1.3016,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7963010944829126647308465490,50,45.56250000000000000000000000,83.0,62.50,35.37828255513490775794723875,68.03488372093023255813953488,34.8752,-0.391,2.0,108,6,1.0,0.4066,0,1,0.0,0.3,0.6,cns,-0.4072,uncrowded,1.0,154,-0.004634357142857142,0.326754,-0.4489,27.49,0.576754,0.1936
CRSP,CRISPR Therapeutics AG,2,0.98,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.107456,,0,0.943878,1,0.056122,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-40.9;financial_score:+21.4;smart_money_score:+20.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,-0.3005,1420,1,-1.7025,1.0348,3,3,buying,0.0914,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.088604,price_history,,3,1.1497,price_history,,-0.223,,48.2677,0.5582,,,late,mid,none,drug_developer,morningstar,,,,0,0.8829796426444312090530077427,50,41.25000000000000000000000000,66.0,57.80,5,67.35714285714285714285714286,4.3732,-1.6938,3.0,1970,3,0.6667,0.0,0,0,0.0,0.3,0.95,oncology,0.2909,moderate,1.0,25,0.1,0.892544,1.2402,22.22,0.453947,-0.1157
CNTA,Centessa Pharmaceuticals plc,3,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.085526,,0,0.933673,1,0.066327,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+41.4;clinical_score:-30.6;financial_score:-30.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.1,,-0.3433,896,1,-1.7025,1.0348,7,7,buying,1.6953,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,7,,,series_too_short,,no_price_series,,0.5724,,,late,mid,sev1,drug_developer,morningstar,,,drawdown,1,0.8501031050011851149561507466,50,41.25000000000000000000000000,77.0,10.22,5,5,4.6883,-1.6804,3.0,896,2,0.3333,0.0017,0,0,0.0,0.4,0.75,rare_disease,0.7563,highly_crowded,1.0,20,0.1,0.914474,1.3688,12.46,0.10307,-1.2642
LQDA,Liquidia Corporation,4,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.182018,,0,0.913265,1,0.086735,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,smart_money_score:+31.4;clinical_score:-28.6;financial_score:-25.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.876,0,1,-1.6808,0.9883,3,3,buying,0.0914,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.172006,price_history,,3,-1.0431,price_history,,-0.3909,,45.392,0.5778,,,late,mid,sev1,drug_developer,morningstar,,,,0,0.8687981060154854079809410363,50,41.25000000000000000000000000,65.5,22.04,5.530240101261817174953522406,8.360685941043083900226757365,4.8831,-1.6721,3.0,313,3,0.6667,0.0737,0,0,0.0,0.3,0.85,cardiovascular,0.7563,highly_crowded,1.0,42,0.1,0.817982,0.9077,9.25,0.050439,-1.6406
TENX,"Tenax Therapeutics, Inc.",5,0.21,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.252193,,0,0.903061,1,0.096939,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,clinical_score:-36.5;financial_score:+18.1;smart_money_score:+12.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|nonpos,0.1,,0.8821,0,1,-1.6494,0.9213,1,1,buying,-0.7105,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.156502,price_history,,1,0.1791,price_history,,,series_too_short,33.5654,,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.8540472690718195018429576678,50,41.25000000000000000000000000,55.5,90.00,6.294450377754044539377398045,60.89622641509433962264150944,7.7764,-1.5485,3.0,,4,1.0,0.643,1,1,0.0,0.4,0.85,cardiovascular,-0.4072,uncrowded,1.0,58,0.1,0.747807,0.6676,19.19,0.366228,-0.3419
KOD,Kodiak Sciences Inc,6,0.5,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.173246,,0,0.984694,1,0.015306,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,smart_money_score:+31.1;clinical_score:-30.4;financial_score:-21.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",mid|none|nonpos,0.1,,-0.8354,474,1,-1.7025,1.0348,3,3,buying,0.0914,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.132528,price_history,,3,0.5134,price_history,,,series_too_short,40.3791,0.8241,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7862229535688083010166649198,50,41.25000000000000000000000000,66.5,50,5,14.17090319091400757166035695,3.6437,-1.725,2.0,474,1,0.0,0.0096,0,0,0.0,0.3,0.55,ophthalmology,0.7563,highly_crowded,1.0,40,0.1,0.826754,0.9414,7.63,0.041667,-1.7317
CTMX,"CytomX Therapeutics, Inc.",7,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.111842,,0,0.954082,1,0.045918,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+40.6;clinical_score:-37.4;financial_score:-9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 52344000.0, ""cash_total"": 34185000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.837001375515818, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 6}",mid|none|nonpos,0.1,,-0.3989,97,1,-1.7025,1.0348,6,6,buying,1.2943,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,786.14,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.208599,price_history,,6,1.4988,price_history,,,series_too_short,40.4238,0.9241,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7856003584229390681003584229,50,41.25000000000000000000000000,83.0,55.36,5,32.87602908479057748933357370,4.9946,-1.6673,2.0,97,5,1.0,0.5411,0,1,0.0,0.3,0.95,oncology,0.7563,highly_crowded,1.0,26,0.1,0.888158,1.2168,13.39,0.125,-1.1503
CGON,"CG Oncology, Inc.",8,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.076754,,0,0.892857,1,0.107143,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-40.7;smart_money_score:+35.7;financial_score:+8.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",mid|none|nonpos,0.1,,0.3777,0,1,-1.6369,0.8946,6,6,buying,1.2943,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7822011211531861343095755634,50,41.25000000000000000000000000,83.0,10.00,6.598762093624181239108226668,55.58139534883720930232558139,5.9424,-1.6268,2.0,,3,0.6667,0.0,0,0,0.0,0.3,0.95,oncology,0.7563,highly_crowded,1.0,18,0.1,0.923246,1.4272,17.69,0.296053,-0.5358
PRTA,Prothena Corporation plc,9,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.217105,,0,0.882653,1,0.117347,,0,no_upcoming,9,neutral,,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-30.1;smart_money_score:+14.7;momentum_score:+9.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.8925,0,1,-1.4875,0.5757,2,2,neutral,-0.3095,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.207817,price_history,,2,1.6795,price_history,,-0.2784,,42.8299,0.4848,,,late,small,none,drug_developer,morningstar,,,,0,0.8476092450638792102206736353,50,41.25000000000000000000000000,55.0,79.03,10.23416795221708002056880661,45.00262984878369493754109138,9.2595,-1.4851,3.0,,7,1.0,0.0659,0,0,0.0,0.4,0.6,cns,0.7563,highly_crowded,1.0,50,0.1,0.782895,0.782,15.90,0.217105,-0.782
ABEO,Abeona Therapeutics Inc.,10,0.21,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.002193,,0,0.872449,1,0.127551,,0,no_upcoming,9,neutral,high_beta|drawdown_data_missing,S,sponsor_confirmed|high_risk|cost_haircut_<=2000bps,clinical_score:-34.3;financial_score:+23.9;smart_money_score:+9.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.8946,0,1,-1.4541,0.5046,2,2,neutral,-0.3095,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.08023,price_history,,2,2.6624,price_history,,,series_too_short,58.5769,,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.8741835955808503515232674925,50,41.25000000000000000000000000,55.0,81.18,11.04584470551006684862149440,69.24528301886792452830188679,10.0395,-1.4518,3.0,977,7,1.0,0.0017,0,0,0.0,0.3,0.5,other,-1.5707,uncrowded,1.0,1,0.1,0.997807,2.849,23.53,0.510965,0.0275
URGN,UroGen Pharma Ltd.,11,0.5,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.265351,,0,0.862245,1,0.137755,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,smart_money_score:+35.7;financial_score:-30.0;clinical_score:-24.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|nonpos,0.1,,0.8989,0,1,-1.4204,0.4327,4,4,buying,0.4924,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.162762,price_history,,4,0.9543,price_history,,,series_too_short,36.8406,0.7699,,,late,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8224527861972487759384471905,50,41.25000000000000000000000000,72.0,62.90,11.86543253826984692061231755,6.241288625904010519395134781,12.9208,-1.3288,3.0,20,10,1.0,2.4166,2,2,0.0,0.3,0.95,oncology,0.7563,highly_crowded,1.0,61,0.1,0.734649,0.6269,5.26,0.010965,-2.2916
