ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
KOD,Kodiak Sciences Inc,1,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.425403,,0,0.987288,1,0.012712,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,momentum_score:+35.4;clinical_score:-33.3;financial_score:-33.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",late|none|nonpos,0.06308055086372362,,0.041,89,1,-1.7278,1.289,3,3,buying,0.0575,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.049212,price_history,,3,1.4491,price_history,,-0.267404,,41.7548,0.8241,-0.202425,-0.064979,late,small,sev2,drug_developer,morningstar,,,,0,0.8621078447371488518475346777,73.63,41.25000000000000000000000000,66.5,31.60,5,5,4.2418,-1.6795,3.0,462,3,0.6667,0.2726,1,0,0.0,0.3,0.55,ophthalmology,0.7237,highly_crowded,1.0,106,0.06308055086372362,0.574597,0.1881,4.65,0.014113,-2.1941
CNTA,Centessa Pharmaceuticals plc,2,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.372984,,0,0.961864,1,0.038136,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+41.4;clinical_score:-30.6;financial_score:-30.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.06308055086372362,,-0.3862,511,1,-1.7278,1.289,7,7,buying,1.6429,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,7,,,series_too_short,,no_price_series,,0.5724,-0.202425,,late,mid,sev1,drug_developer,morningstar,,,drawdown,1,0.8882307192630211408999645683,50,41.25000000000000000000000000,77.0,10.00,5,5,4.5476,-1.6665,3.0,511,3,0.6667,0.044,0,0,0.0,0.4,0.75,rare_disease,0.7237,highly_crowded,1.0,93,0.06308055086372362,0.627016,0.324,12.51,0.114919,-1.2008
ANRO,"Alto Neuroscience, Inc.",3,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.332661,,0,0.944915,1,0.055085,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-36.9;smart_money_score:+19.1;financial_score:+10.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 40253000.0, ""cash_total"": 137816000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.08493776861352, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.06308055086372362,,-0.1874,,0,-1.7278,1.289,2,2,buying,-0.3388,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1346.61,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,0.9516,-0.202425,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8013299036777583187390542907,50,41.25000000000000000000000000,61.0,50,5,52.26530612244897959183673469,3.1938,-1.7238,0.0,816,2,0.0,0.0,0,0,0.0,0.0,0.5,other,0.7237,highly_crowded,1.0,83,0.06308055086372362,0.667339,0.4326,16.75,0.284274,-0.5702
CGON,"CG Oncology, Inc.",4,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.364919,,0,0.919492,1,0.080508,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-42.4;smart_money_score:+34.7;financial_score:+13.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.06308055086372362,,0.8293,0,1,-1.689,1.2171,6,6,buying,1.2465,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.202425,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,13.68,5.923885454925497924691689812,61.43750000000000000000000000,5.0335,-1.646,3.0,2485,6,1.0,0.0022,0,0,0.0,0.3,0.95,oncology,0.7237,highly_crowded,1.0,91,0.06308055086372362,0.635081,0.3453,16.18,0.27621,-0.5941
VERA,"Vera Therapeutics, Inc.",5,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.506048,,0,0.911017,1,0.088983,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-39.9;smart_money_score:+24.6;financial_score:+17.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.06308055086372362,,-0.3099,342,1,-1.6468,1.1391,5,5,buying,0.8502,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,5,,,series_too_short,,no_price_series,,0.7858,-0.202425,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.7831258779038357644516477580,50,41.25000000000000000000000000,71.5,50,6.926752067843172384962226400,64.62500000000000000000000000,5.7743,-1.6146,3.0,1532,2,0.3333,0.0578,0,0,0.0,0.4,0.55,infectious_disease,0.7237,highly_crowded,1.0,126,0.06308055086372362,0.493952,-0.0152,18.48,0.360887,-0.3561
TENX,"Tenax Therapeutics, Inc.",6,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.489919,,0,0.877119,1,0.122881,,0,no_upcoming,9,tailwind,,M,momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-39.7;momentum_score:+33.7;financial_score:+10.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|nonpos,0.06308055086372362,,0.8526,0,1,-1.4724,0.8164,1,1,buying,-0.7351,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.915551,price_history,,1,-0.6059,price_history,,-0.247312,,44.1673,,-0.202425,-0.044887,late,micro,none,drug_developer,morningstar,,,,0,0.8539370391124061414322537263,84.42,41.25000000000000000000000000,55.5,90.00,11.07259100002986055122577563,61.38524590163934426229508197,10.6764,-1.4071,3.0,,4,1.0,0.0001,0,0,-0.1667,0.4,0.85,cardiovascular,-0.4494,uncrowded,1.0,122,0.06308055086372362,0.510081,0.0253,21.10,0.433468,-0.1676
ABEO,Abeona Therapeutics Inc.,7,0.68,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.304435,,0,0.860169,1,0.139831,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-34.4;financial_score:+22.7;momentum_score:+9.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|nonpos,0.06308055086372362,,0.8565,0,1,-1.4123,0.7051,2,2,neutral,-0.3388,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.324449,price_history,,2,1.4585,price_history,,-0.412281,,40.6143,,-0.202425,-0.209856,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,56.22,41.25000000000000000000000000,55.0,83.49,12.50231419271999761115590194,69.67213114754098360655737705,11.2619,-1.3824,3.0,592,7,1.0,0.0429,0,0,0.0,0.3,0.5,other,-1.6225,uncrowded,1.0,76,0.06308055086372362,0.695565,0.5117,24.02,0.510081,0.0253
PRTA,Prothena Corporation plc,8,0.68,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.47379,,0,0.84322,1,0.15678,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,momentum_score:+41.8;clinical_score:-35.6;catalyst_score:-8.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.06308055086372362,,0.8626,0,1,-1.3511,0.592,2,2,neutral,-0.3388,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.816755,price_history,,2,0.7673,price_history,,-0.109583,,60.6575,0.4848,-0.202425,0.092842,late,small,none,drug_developer,morningstar,,,,0,0.8474842338662621075971525265,91.41,41.25000000000000000000000000,55.0,81.60,13.95592582639075517334049986,46.24855384330602989495117775,12.8035,-1.3171,3.0,,8,1.0,0.0,0,0,0.0,0.4,0.6,cns,0.7237,highly_crowded,1.0,118,0.06308055086372362,0.52621,0.0657,17.42,0.316532,-0.4774
URGN,UroGen Pharma Ltd.,9,0.25,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.502016,,0,0.834746,1,0.165254,,0,no_upcoming,9,headwind,,S,sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+35.7;financial_score:-26.9;clinical_score:-21.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|nonpos,0.06308055086372362,,0.8633,0,1,-1.3202,0.5347,4,4,buying,0.4539,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.03752,price_history,,4,0.8272,price_history,,-0.330976,,41.4296,0.7699,-0.202425,-0.128551,late,small,sev2,drug_developer,morningstar,,,,0,0.8225032197634937360964758225,44.21,41.25000000000000000000000000,72.0,62.74,14.69168980859386664277822569,9.456522745152482761812207882,13.8013,-1.2749,3.0,742,10,1.0,0.0031,0,0,0.0,0.3,0.95,oncology,0.7237,highly_crowded,1.0,125,0.06308055086372362,0.497984,-0.0051,5.78,0.022177,-2.0107
NUVB,Nuvation Bio Inc.,10,0.5,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.618952,,0,0.826271,1,0.173729,,0,no_upcoming,9,neutral,high_vol,M,sponsor_confirmed|high_risk,clinical_score:-28.7;financial_score:+19.5;smart_money_score:+9.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 143694000.0, ""cash_total"": 549045000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 44.273359540368915, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",mid|none|nonpos,0.0013740065359477125,,0.3682,0,1,-1.2963,0.4906,6,6,selling,1.2465,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,551.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.061861,price_history,,6,0.0714,price_history,,-0.079661,,55.7587,1.2485,-0.202425,0.122764,mid,mid,none,drug_developer,morningstar,,,,0,0.7815896253602305475504322767,46.75,41.25000000000000000000000000,53.0,22.41,15.25929279211307278305920226,63.40425531914893617021276596,14.3689,-1.2509,2.0,1190,5,1.0,0.0027,0,0,0.0,0.3,0.95,oncology,0.7237,highly_crowded,1.0,154,0.0013740065359477125,0.381048,-0.3027,17.24,0.308468,-0.5002
