ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
RCKT,"Rocket Pharmaceuticals, Inc.",1,0.81,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.874517,,0,0.670543,1,0.329457,179,0,specific_days,9,headwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+16.3;financial_score:+16.1;clinical_score:-14.8,tier=A;reason=high_opt+catalyst_mid;cat_days=179;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|near_91_180|nonpos,-0.006925499999999999,,0.3981,0,1,-0.4631,-0.0,3,3,buying,0.0315,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,179,False,specific_days,-0.201579,price_history,,3,1.4872,price_history,,-0.455014,,55.3822,0.6262,-0.228536,-0.226478,mid,small,sev1,drug_developer,morningstar,,,,0,0.7920746384012366125648669537,36.32,45.56250000000000000000000000,66.0,76.56,34.86371419316025730019899116,65.79591836734693877551020408,34.9395,-0.3797,2.0,179,7,1.0,0.2548,1,0,0.0,0.3,0.95,oncology,-1.6497,uncrowded,1.0,227,-0.006925499999999999,0.125483,-1.148,25.53,0.530888,0.0775
KOD,Kodiak Sciences Inc,2,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.117761,,0,0.988372,1,0.011628,,0,no_upcoming,9,neutral,deep_drawdown,M,sponsor_confirmed|runway_short,smart_money_score:+32.3;clinical_score:-29.2;financial_score:-28.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",late|none|nonpos,0.05907015209125475,,0.815,0,1,-1.7157,1.1605,3,3,buying,0.0315,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.165096,price_history,,3,1.1131,price_history,,-0.441053,,50.8367,0.8241,-0.228536,-0.212517,late,small,sev2,drug_developer,morningstar,,,,0,0.8548747102931152010906612134,52.73,41.25000000000000000000000000,66.5,38.64,5,5.401111111111111111111111112,4.6985,-1.6587,3.0,75,3,0.6667,0.737,1,1,0.0,0.3,0.55,ophthalmology,0.7214,highly_crowded,1.0,31,0.05907015209125475,0.882239,1.1863,6.21,0.025097,-1.9583
FULC,"Fulcrum Therapeutics, Inc.",3,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.094595,,0,0.972868,1,0.027132,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,clinical_score:-52.0;momentum_score:+39.6;financial_score:+18.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 60065000.0, ""cash_total"": 197533000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 39.463847498543245, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.05907015209125475,,0.4916,32,1,-1.7157,1.1605,3,3,buying,0.0315,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,919.56,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,2.114636,price_history,,3,0.1907,price_history,,-0.054882,,71.1117,1.1313,-0.228536,0.173654,late,small,none,drug_developer,morningstar,,,,0,0.8026419837732830533653296766,96.55,41.25000000000000000000000000,66.5,59.55,5,75.64705882352941176470588235,4.7524,-1.6564,3.0,32,3,0.6667,0.1981,1,0,0.0,0.4,0.55,infectious_disease,-0.4642,uncrowded,1.0,25,0.05907015209125475,0.905405,1.313,14.91,0.202703,-0.832
CRSP,CRISPR Therapeutics AG,4,0.96,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.079151,,0,0.965116,1,0.034884,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,clinical_score:-43.2;financial_score:+31.8;smart_money_score:+17.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.05907015209125475,,-0.3369,853,1,-1.7157,1.1605,3,3,buying,0.0315,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.000667,price_history,,3,1.061,price_history,,-0.419349,,45.4599,0.5582,-0.228536,-0.190813,late,mid,none,drug_developer,morningstar,,,,0,0.8749074720670391061452513966,48.78,41.25000000000000000000000000,66.0,57.42,5,80.0,4.0852,-1.6846,3.0,1403,5,1.0,0.0003,0,0,0.0,0.3,0.95,oncology,0.2472,moderate,1.0,21,0.05907015209125475,0.920849,1.4108,21.46,0.442085,-0.1457
CNTA,Centessa Pharmaceuticals plc,5,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.063707,,0,0.957364,1,0.042636,,0,no_upcoming,9,tailwind,drawdown_data_missing,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+40.4;clinical_score:-31.6;financial_score:-31.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.05907015209125475,,-0.34,329,1,-1.7157,1.1605,7,7,buying,1.5858,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.063596,price_history,,7,0.4594,price_history,,,series_too_short,68.8069,0.5724,-0.228536,,late,mid,sev1,drug_developer,morningstar,,,drawdown,1,0.8803210246942072467112854835,54.55,41.25000000000000000000000000,77.0,12.27,5,5.401111111111111111111111112,4.6562,-1.6605,3.0,329,4,1.0,0.2556,0,0,0.0,0.4,0.75,rare_disease,0.7214,highly_crowded,1.0,17,0.05907015209125475,0.936293,1.5244,12.82,0.1139,-1.206
CGON,"CG Oncology, Inc.",6,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.055985,,0,0.949612,1,0.050388,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-44.9;smart_money_score:+33.1;financial_score:+20.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.05907015209125475,,0.8415,0,1,-1.7157,1.1605,6,6,buying,1.1972,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.228536,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8483328339287772271522415581,50,41.25000000000000000000000000,83.0,11.36,5,70.47058823529411764705882353,4.0338,-1.6868,3.0,2303,6,1.0,0.0102,0,0,0.0,0.3,0.95,oncology,0.7214,highly_crowded,1.0,15,0.05907015209125475,0.944015,1.5894,15.51,0.225869,-0.7525
ANRO,"Alto Neuroscience, Inc.",7,0.4,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.025097,,0,0.934109,1,0.065891,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-38.7;financial_score:+17.7;smart_money_score:+17.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 40253000.0, ""cash_total"": 137816000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.08493776861352, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.05907015209125475,,-0.1757,,0,-1.7157,1.1605,2,2,buying,-0.3571,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1346.61,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,0.9516,-0.228536,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.7951904503526858383071079761,50,41.25000000000000000000000000,61.0,50,5,61.41176470588235294117647059,3.1911,-1.7225,0.0,634,2,0.0,0.0,0,0,0.0,0.0,0.5,other,0.7214,highly_crowded,1.0,7,0.05907015209125475,0.974903,1.9583,17.26,0.310811,-0.4936
ADCT,ADC Therapeutics SA,8,0.67,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.009653,,0,0.926357,1,0.073643,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-42.2;smart_money_score:+18.9;momentum_score:+18.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.05907015209125475,,0.8486,0,1,-1.697,1.1242,3,3,buying,0.0315,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.269782,price_history,,3,0.8528,price_history,,-0.385714,,56.8626,0.7505,-0.228536,-0.157178,late,small,none,drug_developer,morningstar,,,,0,0.8026419837732830533653296766,66.00,41.25000000000000000000000000,66.5,86.82,5.445816186556927297668038411,58.82352941176470588235294118,4.4834,-1.6678,3.0,1639,14,1.0,0.1388,0,0,0.0,0.3,0.95,oncology,0.7214,highly_crowded,1.0,3,0.05907015209125475,0.990347,2.3396,13.70,0.160232,-0.9935
VERA,"Vera Therapeutics, Inc.",9,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.179537,,0,0.918605,1,0.081395,,0,no_upcoming,9,tailwind,drawdown_data_missing|overbought_rsi,L,sponsor_confirmed|momentum_tailwind,clinical_score:-49.4;momentum_score:+28.9;financial_score:+20.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.05907015209125475,,-0.1178,160,1,-1.6429,1.019,5,5,buying,0.8087,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.724495,price_history,,5,0.0751,price_history,,,series_too_short,74.8518,0.7858,-0.228536,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.7749891728020788220008661758,85.12,41.25000000000000000000000000,71.5,50,6.734693877551020408163265306,76.29411764705882352941176471,5.7021,-1.6163,3.0,1350,2,0.3333,0.2636,0,1,0.0,0.4,0.55,infectious_disease,0.7214,highly_crowded,1.0,47,0.05907015209125475,0.820463,0.9171,17.24,0.30695,-0.5045
IVVD,"Invivyd, Inc.",10,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.225869,,0,0.98062,1,0.01938,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing|overbought_rsi,S,sponsor_confirmed|high_risk|cost_haircut_<=2000bps,clinical_score:-34.1;smart_money_score:+26.4;momentum_score:+10.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 42680000.0, ""cash_total"": 84967000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.88950328022493, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|nonpos,0.04810235294117647,,-0.6903,160,1,-1.7157,1.1605,3,3,buying,0.0315,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1286.76,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,3,,,insufficient_overlap,,series_too_short,84.8685,1.2594,-0.228536,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7438156797331109257714762302,50,41.25000000000000000000000000,65.5,50,5,33.98334027488546438983756768,4.0072,-1.6879,2.0,160,1,0.0,0.2921,0,1,0.0,0.4,0.55,infectious_disease,0.7214,highly_crowded,1.0,59,0.04810235294117647,0.774131,0.7525,11.61,0.090734,-1.3363
TENX,"Tenax Therapeutics, Inc.",11,0.1,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.164093,,0,0.887597,1,0.112403,,0,no_upcoming,9,headwind,deep_drawdown,XS,momentum_headwind|cost_haircut_<=2000bps,clinical_score:-33.1;financial_score:+30.3;smart_money_score:+12.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|nonpos,0.05907015209125475,,0.8646,0,1,-1.5037,0.748,1,1,buying,-0.7457,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.24014,price_history,,1,0.8768,price_history,,-0.437276,,46.0276,,-0.228536,-0.20874,late,micro,none,drug_developer,morningstar,,,,0,0.8450048823400043985045084671,35.65,41.25000000000000000000000000,55.5,90.00,10.05486968449931412894375857,73.42857142857142857142857142,9.6033,-1.4513,3.0,,4,1.0,0.0006,0,0,-0.1667,0.4,0.85,cardiovascular,-0.4642,uncrowded,1.0,43,0.05907015209125475,0.835907,0.9778,20.68,0.430502,-0.1751
