ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
RVMD,"Revolution Medicines, Inc.",1,0.96,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.663701,,0,0.619205,1,0.380795,154,0,specific_days,9,neutral,deep_drawdown,L,tier_a_dev|sponsor_confirmed,smart_money_score:+23.3;clinical_score:-17.5;catalyst_score:-8.1,tier=A;reason=high_opt+catalyst_mid;cat_days=154;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",mid|near_91_180|nonpos,0.023678237288135597,,-0.6065,154,1,-0.3742,-0.0,8,8,buying,1.9576,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,154,False,specific_days,0.032395,price_history,,8,1.3533,price_history,,-0.381009,,59.5078,0.4254,-0.375624,-0.005385,mid,large,none,drug_developer,morningstar,,,,0,0.8553846190250828206341694274,51.32,45.56250000000000000000000000,77.0,10.00,36.24000000000000000000000000,58.40000000000000000000000000,35.117,-0.3661,2.0,614,6,1.0,0.0814,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,187,0.023678237288135597,0.336299,-0.4226,30.63,0.61032,0.2802
COGT,"Cogent Biosciences, Inc.",2,0.96,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.243772,,0,0.976821,1,0.023179,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+41.6;clinical_score:-38.4;financial_score:-38.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.09811690510948905,,0.7989,0,1,-1.7307,1.4169,7,7,buying,1.5669,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.210089,price_history,,7,0.686,price_history,,-0.173043,,50.0169,2.489,-0.375624,0.202581,late,mid,sev1,drug_developer,morningstar,,,,0,0.8130890683379534771604194287,80.83,41.25000000000000000000000000,85,10.80,5,5,4.927,-1.6392,3.0,1068,5,1.0,0.0008,0,0,0.0,0.5,0.95,oncology,-0.4728,uncrowded,1.0,69,0.09811690510948905,0.756228,0.6942,7.08,0.037367,-1.7821
CGON,"CG Oncology, Inc.",3,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.233096,,0,0.963576,1,0.036424,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-43.7;smart_money_score:+34.3;financial_score:+15.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.09811690510948905,,0.7954,0,1,-1.7307,1.4169,6,6,buying,1.1762,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.375624,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5,64.28571428571428571428571429,4.0748,-1.6751,3.0,1883,6,1.0,0.3388,0,1,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,66,0.09811690510948905,0.766904,0.7287,16.35,0.279359,-0.5847
CELC,Celcuity Inc.,4,0.96,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.225979,,0,0.956954,1,0.043046,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-43.3;smart_money_score:+34.7;momentum_score:+11.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|none|nonpos,0.09811690510948905,,0.7935,0,1,-1.7307,1.4169,6,6,buying,1.1762,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.00985,price_history,,6,0.2004,price_history,,-0.470801,,56.5128,,-0.375624,-0.095177,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,59.39,41.25000000000000000000000000,83.0,14.80,5,52.85714285714285714285714286,4.227,-1.6687,3.0,1341,7,1.0,0.0566,0,0,0.0,0.3,0.95,oncology,-0.4728,uncrowded,1.0,64,0.09811690510948905,0.774021,0.7522,13.65,0.151246,-1.0311
VERA,"Vera Therapeutics, Inc.",5,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.36121,,0,0.923841,1,0.076159,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-39.9;smart_money_score:+24.4;financial_score:+22.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.09811690510948905,,-0.3776,930,1,-1.6338,1.197,5,5,buying,0.7855,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.069615,price_history,,5,0.7739,price_history,,-0.47933,,44.4894,0.7858,-0.375624,-0.103706,late,mid,none,drug_developer,morningstar,,,,0,0.7832194538135132194538135132,45.73,41.25000000000000000000000000,71.5,50,7.230708192818885141836937113,70.00000000000000000000000000,5.8267,-1.6012,3.0,930,2,0.3333,0.0006,0,0,0.0,0.4,0.55,infectious_disease,0.7029,highly_crowded,1.0,102,0.09811690510948905,0.63879,0.3552,18.39,0.364769,-0.3457
ACRV,"Acrivon Therapeutics, Inc.",6,0.32,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.008897,,0,0.943709,1,0.056291,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_>2000bps,clinical_score:-40.6;financial_score:+25.4;smart_money_score:+15.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48428000.0, ""cash_total"": 129254000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.02791773354258, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",mid|none|nonpos,0.1,,-0.892,1464,1,-1.7307,1.4169,2,2,buying,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,,-0.375624,,mid,micro,none,drug_developer,morningstar,,,drawdown,1,0.7221625544267053701015965167,50,41.25000000000000000000000000,61.0,50,5,71.00000000000000000000000000,3.877,-1.6835,2.0,1464,1,0.0,0.0,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,3,0.1,0.991103,2.3699,15.33,0.229537,-0.7404
CRSP,CRISPR Therapeutics AG,7,0.58,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.254448,,0,0.897351,1,0.102649,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-35.9;financial_score:+31.5;smart_money_score:+20.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|none|nonpos,0.09811690510948905,,0.0986,83,1,-1.5314,0.9645,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.245253,price_history,,3,1.1962,price_history,,-0.439616,,42.173,0.5582,-0.375624,-0.063992,late,mid,none,drug_developer,morningstar,,,,0,0.8829781999041227229146692234,33.52,41.25000000000000000000000000,66.0,61.13,9.588265114946328991161365694,77.000,9.0131,-1.4669,3.0,983,7,1.0,0.1348,1,0,0.0,0.3,0.95,oncology,0.2326,moderate,1.0,72,0.09811690510948905,0.745552,0.6606,24.79,0.521352,0.0535
IMVT,"Immunovant, Inc.",8,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.282918,,0,0.890728,1,0.109272,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,clinical_score:-45.5;momentum_score:+40.8;catalyst_score:-14.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 312251000.0, ""cash_total"": 994525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.220213866408756, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|none|nonpos,0.09811690510948905,,-0.372,855,1,-1.5054,0.9054,6,6,selling,1.1762,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,478.91,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,1.571696,price_history,,6,0.8348,price_history,,0.0,,73.3059,0.5723,-0.375624,0.375624,late,mid,none,drug_developer,morningstar,,,,0,0.8870170169572486267016957249,96.55,41.25000000000000000000000000,62.0,14.00,10.18867508651281712182327139,68.57142857142857142857142857,8.8434,-1.474,3.0,855,6,1.0,0.0015,0,0,0.0,0.4,0.6,autoimmune,0.2326,moderate,1.0,80,0.09811690510948905,0.717082,0.5742,22.74,0.467972,-0.0804
ELDN,"Eledon Pharmaceuticals, Inc.",9,0.16,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.898577,,0,0.917219,1,0.082781,582,0,specific_days,9,headwind,deep_drawdown,S,catalyst_far_lift|momentum_headwind|cost_haircut_>2000bps,clinical_score:-30.0;smart_money_score:+15.0;financial_score:+13.7,tier=B;reason=high_opt+catalyst_far;cat_days=582;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|nonpos,-0.0004361818181818182,,-0.825,276,1,-1.6247,1.1763,1,1,neutral,-0.7772,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,582,False,specific_days,-0.226356,price_history,,1,0.0653,price_history,,-0.608475,,33.0362,,-0.375624,-0.232851,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592705599300087489063867017,30.67,45.56250000000000000000000000,52.5,81.94,7.439999999999999999999999997,51.20000000000000000000000000,5.967,-1.5953,2.0,276,5,1.0,0.1093,0,0,0.0,0.3,0.55,metabolic,-0.4728,uncrowded,1.0,253,-0.0004361818181818182,0.101423,-1.2735,15.75,0.236655,-0.7171
LQDA,Liquidia Corporation,10,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.297153,,0,0.877483,1,0.122517,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,smart_money_score:+31.8;financial_score:-25.0;clinical_score:-21.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.09811690510948905,,0.8167,0,1,-1.426,0.7252,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.006421,price_history,,3,0.6976,price_history,,-0.396901,,44.6012,0.5778,-0.375624,-0.021277,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688328621061459206900682880,40.83,41.25000000000000000000000000,65.5,22.80,12.01635477969538671780290506,8.710002519526329050138573940,10.1933,-1.4171,3.0,874,4,1.0,0.0016,0,0,0.0,0.3,0.5,respiratory,0.7029,highly_crowded,1.0,84,0.09811690510948905,0.702847,0.5326,10.91,0.094306,-1.3147
RAPT,"RAPT Therapeutics, Inc.",11,0.96,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.140569,,0,0.903974,1,0.096026,,0,no_upcoming,9,tailwind,high_vol|deep_drawdown,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-39.0;smart_money_score:+29.4;momentum_score:+28.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 76143000.0, ""cash_total"": 157344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.797131712698476, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.1,,0.3127,0,1,-1.5522,1.0116,5,5,buying,0.7855,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,273.59,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.232885,price_history,,5,1.4246,price_history,,-0.416708,,53.3038,1.4599,-0.375624,-0.041084,mid,small,none,drug_developer,morningstar,,,,0,0.7846554829993244764692636794,76.52,41.25000000000000000000000000,77.5,20.83,9.111111111111111111111111112,36.24000000000000000000000000,8.4071,-1.4924,2.0,574,4,1.0,0.0087,0,0,0.0,0.4,0.95,oncology,0.7029,highly_crowded,1.0,40,0.1,0.859431,1.0778,12.38,0.133452,-1.1102
