ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
ACLX,"Arcellx, Inc.",1,0.99,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.60101,,0,0.943114,1,0.056886,67,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,smart_money_score:+39.1;clinical_score:-35.9;financial_score:-21.0,tier=A;reason=high_opt+catalyst_near;cat_days=67;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|near_31_90|nonpos,0.035774078740157485,,0.5223,0,1,-1.6041,-1.3672,7,7,buying,1.4868,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,67,False,specific_days,0.019484,price_history,,7,1.1775,price_history,,-0.330611,,61.0592,0.5575,-0.158904,-0.171707,late,mid,none,drug_developer,morningstar,,,,0,0.8816242164223572875700154928,54.20,45.56250000000000000000000000,80.0,32.84,5,19.88444444444444444444444444,4.2719,-1.6714,3.0,1072,5,1.0,0.1626,1,0,0.0,0.3,0.95,oncology,0.679,highly_crowded,1.0,179,0.035774078740157485,0.39899,-0.256,15.11,0.193603,-0.8647,0.001789,0.0,0.0,0.0,0.0,0.001789,0.0
AVBP,"ArriVent BioPharma, Inc.",2,0.84,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.742424,,0,0.937126,1,0.062874,21,1,specific_days,9,headwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-35.4;financial_score:+22.6;smart_money_score:+13.1,tier=A;reason=high_opt+catalyst_near;cat_days=21;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 129930000.0, ""cash_total"": 300266000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.731794042946202, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|near_0_30|nonpos,0.008280796875,,0.525,0,1,-1.5859,-1.3179,4,4,selling,0.3378,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,986.33,0.85,1,0,1.0,0,1.0,0,21,True,specific_days,-0.052925,price_history,,4,0.9465,price_history,,-0.405557,,44.5666,0.6474,-0.158904,-0.246653,late,small,none,drug_developer,morningstar,,,,0,0.8771095210416182283189955824,41.56,39.85150044444444444444444444,54.0,56.81,5.421113858280000949638628581,63.42105263157894736842105263,5.9082,-1.602,3.0,21,4,1.0,1.3446,1,1,0.0,0.4,0.95,oncology,0.679,highly_crowded,1.0,221,0.008280796875,0.257576,-0.6508,18.61,0.348485,-0.3894,0.000414,0.0,0.0,0.0,0.0,0.000414,0.0
ADCT,ADC Therapeutics SA,3,0.69,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.604377,,0,0.901198,1,0.098802,68,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-47.2;momentum_score:+41.6;smart_money_score:+11.6,tier=A;reason=high_opt+catalyst_near;cat_days=68;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|near_31_90|nonpos,0.035774078740157485,,0.5349,0,1,-1.4881,-1.0538,3,3,buying,-0.0451,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,68,False,specific_days,1.226341,price_history,,3,1.1919,price_history,,-0.141361,,57.9591,0.7505,-0.158904,0.017543,late,small,none,drug_developer,morningstar,,,,0,0.8089258911819887429643527205,96.55,45.56250000000000000000000000,66.5,80.51,7.677862227784391332512574231,58.21052631578947368421052631,7.6857,-1.5266,3.0,218,19,1.0,0.8039,1,0,0.0,0.3,0.95,oncology,0.679,highly_crowded,1.0,180,0.035774078740157485,0.395623,-0.2647,15.77,0.23064,-0.7367,0.001789,0.0,0.0,0.0,0.0,0.001789,0.0
COGT,"Cogent Biosciences, Inc.",4,0.99,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.607744,,0,0.871257,1,0.128743,38,1,specific_days,9,tailwind,high_vol|overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,momentum_score:+49.1;financial_score:-40.0;smart_money_score:+37.6,tier=A;reason=high_opt+catalyst_near;cat_days=38;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|near_31_90|nonpos,0.035774078740157485,,0.5406,0,1,-1.3565,-0.6986,7,7,buying,1.4868,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,38,True,specific_days,1.303872,price_history,,7,1.4344,price_history,,-0.033627,,78.82,2.489,-0.158904,0.125277,late,mid,sev1,drug_developer,morningstar,,,,0,0.8130890683379534771604194287,96.55,37.45907600000000000000000000,85,59.42,10.71304294740697780898018986,7.439999999999999999999999997,12.3231,-1.3299,3.0,67,8,1.0,1.6636,2,2,0.0,0.5,0.95,oncology,-0.5143,uncrowded,1.0,181,0.035774078740157485,0.392256,-0.2734,9.45,0.06229,-1.5358,0.001789,0.0,0.0,0.0,0.0,0.001789,0.0
CELC,Celcuity Inc.,5,0.99,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.846801,,0,0.847305,1,0.152695,99,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-39.5;smart_money_score:+30.6;momentum_score:+9.8,tier=A;reason=high_opt+catalyst_near;cat_days=99;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,-0.0002604864864864865,,0.5424,0,1,-1.2625,-0.4448,6,6,buying,1.1038,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,99,False,specific_days,0.154132,price_history,,6,1.0438,price_history,,-0.28094,,59.1173,,-0.158904,-0.122036,late,mid,none,drug_developer,morningstar,,,,0,0.8112489512165887570418314755,62.20,45.56250000000000000000000000,83.0,60.23,12.88147492445285552944049327,58.40000000000000000000000000,12.0416,-1.3418,3.0,340,8,1.0,0.1988,0,0,0.0,0.3,0.95,oncology,-0.5143,uncrowded,1.0,252,-0.0002604864864864865,0.153199,-1.0228,16.43,0.26431,-0.6301,-1.3e-05,0.0,0.0,0.0,0.0,-1.3e-05,0.0
CRSP,CRISPR Therapeutics AG,6,0.99,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.728956,,0,0.781437,1,0.218563,7,1,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-40.9;momentum_score:+27.4;financial_score:+20.6,tier=A;reason=high_opt+catalyst_near;cat_days=7;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 345014000.0, ""cash_total"": 1975828000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 68.7216634687288, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|near_0_30|pos,0.008323392857142857,,0.5573,0,1,-1.0228,0.2026,3,3,buying,-0.0451,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,316.61,1.0,0,0,1.0,0,1.0,0,7,True,specific_days,0.633121,price_history,,3,1.4047,price_history,,-0.049604,,68.6578,0.5582,-0.158904,0.1093,late,mid,none,drug_developer,morningstar,,,,0,0.8829781999041227229146692234,86.80,45.53916844444444444444444444,66.0,57.21,18.41339126128967708895061540,80.0,19.0243,-1.0456,3.0,111,12,1.0,1.017,2,1,0.0,0.3,0.95,oncology,0.2017,moderate,1.0,217,0.008323392857142857,0.271044,-0.6097,29.16,0.584175,0.2126,0.304316,0.3039,0.0,0.0,0.0,0.000416,0.0
ABEO,Abeona Therapeutics Inc.,7,0.69,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.318182,,0,0.769461,1,0.230539,67,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-29.6;financial_score:+20.5;smart_money_score:+6.5,tier=A;reason=high_opt+catalyst_near;cat_days=67;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|near_31_90|pos,0.0933517619047619,,0.558,0,1,-1.0003,0.2634,2,2,neutral,-0.4281,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,67,False,specific_days,0.145691,price_history,,2,1.2328,price_history,,-0.04949,,58.7921,,-0.158904,0.109414,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,54.00,45.56250000000000000000000000,55.0,51.56,18.93257226580385214126552913,69.06077348066298342541436464,18.6683,-1.0607,3.0,67,9,1.0,0.861,1,1,0.0,0.3,0.5,other,-1.7075,uncrowded,1.0,95,0.0933517619047619,0.681818,0.4728,27.24,0.547138,0.1184,0.399768,0.3951,0.0,0.0,0.0,0.004668,0.0
RVMD,"Revolution Medicines, Inc.",8,0.99,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.70202,,0,0.733533,1,0.266467,129,0,specific_days,9,headwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+27.5;clinical_score:-26.9;financial_score:+8.8,tier=A;reason=high_opt+catalyst_mid;cat_days=129;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_91_180|pos,0.009822639344262295,,0.5658,0,1,-0.8395,0.6976,8,8,buying,1.8698,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,129,False,specific_days,-0.136397,price_history,,8,0.9763,price_history,,-0.374505,,47.5872,0.4254,-0.158904,-0.215601,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,44.00,45.56250000000000000000000000,77.0,57.22,22.64281038768997012029886484,58.28729281767955801104972376,21.4529,-0.9426,3.0,311,12,1.0,0.227,0,0,0.0,0.3,0.95,oncology,0.679,highly_crowded,1.0,209,0.009822639344262295,0.29798,-0.5302,22.86,0.479798,-0.0507,1.046891,1.0464,0.0,0.0,0.0,0.000491,0.0
SMMT,Summit Therapeutics Inc.,9,0.84,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.708754,,0,0.709581,1,0.290419,159,0,specific_days,9,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-26.3;smart_money_score:+20.4;momentum_score:+17.9,tier=A;reason=high_opt+catalyst_mid;cat_days=159;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|near_91_180|pos,0.009822639344262295,,0.5703,0,1,-0.745,0.9528,5,5,buying,0.7208,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,159,False,specific_days,0.05907,price_history,,5,2.2082,price_history,,-0.218801,,64.4665,0.5984,-0.158904,-0.059897,late,large,none,drug_developer,morningstar,,,,0,0.8151449643947100712105798576,68.99,45.56250000000000000000000000,71.5,11.92,24.82263802827888173268350919,44.78295669987010300187553629,24.3973,-0.8176,3.0,159,20,1.0,0.7039,0,1,0.0,0.4,0.95,oncology,0.679,highly_crowded,1.0,211,0.009822639344262295,0.291246,-0.5497,16.94,0.287879,-0.5596,1.429691,1.4292,0.0,0.0,0.0,0.000491,0.0
PRAX,"Praxis Precision Medicines, Inc",10,0.99,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.695286,,0,0.703593,1,0.296407,122,0,specific_days,9,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-25.3;smart_money_score:+20.4;momentum_score:+20.0,tier=A;reason=high_opt+catalyst_mid;cat_days=122;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 249068000.0, ""cash_total"": 599331000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.875535998201293, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_91_180|pos,0.009822639344262295,,0.5705,0,1,-0.7211,1.0173,8,8,buying,1.8698,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,221.16,1.0,0,0,1.0,0,1.0,0,122,False,specific_days,0.497773,price_history,,8,1.3438,price_history,,-0.347582,,78.3534,0.9863,-0.158904,-0.188678,late,mid,none,drug_developer,morningstar,,,,0,0.8088929044693410432478014697,70.62,45.56250000000000000000000000,71.0,58.06,25.37437807148743933335368273,40.68444444444444444444444444,25.9345,-0.7524,3.0,38,11,1.0,2.2902,2,3,0.0,0.8,0.6,cns,0.679,highly_crowded,1.0,207,0.009822639344262295,0.304714,-0.5109,16.54,0.271044,-0.6097,1.526441,1.52595,0.0,0.0,0.0,0.000491,0.0
