ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.04,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.942105,,0,0.93871,1,0.06129,45,1,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-42.8;smart_money_score:+35.2;financial_score:+10.3,tier=A;reason=high_opt+catalyst_near;cat_days=45;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_31_90|nonpos,0.00031880246913580245,,0.6954,0,1,-1.6585,0.0,6,6,buying,1.1662,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,45,True,specific_days,-0.082965,price_history,,6,0.4296,price_history,,-0.256959,,60.5918,,-0.161546,-0.095413,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,52.64,40.42503511111111111111111111,83.0,15.14,5.025161627748550734192124958,58.13333333333333333333333334,5.5824,-1.6107,3.0,1019,7,1.0,0.8282,1,1,0.0,0.3,0.95,oncology,-0.4844,uncrowded,1.0,269,0.00031880246913580245,0.057895,-1.5727,13.64,0.15614,-1.0104,1.6e-05,0.0,0.0,0.0,0.0,1.6e-05,0.0
VTYX,"Ventyx Biosciences, Inc.",2,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.517544,,0,0.996774,1,0.003226,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-44.0;smart_money_score:+23.0;financial_score:+17.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64503000.0, ""cash_total"": 192638000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 35.8379610250686, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,0.014475529411764708,,-0.0198,10,1,-1.6595,-1.1137,4,4,buying,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,449.97,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.20021,price_history,,4,0.9602,price_history,,-0.219721,,63.8666,1.2298,-0.161546,-0.058175,mid,small,none,drug_developer,morningstar,,,,0,0.7407673183410554864956492259,60.24,41.25000000000000000000000000,72.0,27.63,5,66.75000000000000000000000000,5.0834,-1.6317,2.0,10,3,0.6667,1.4155,1,2,0.0,0.4,0.6,autoimmune,0.6955,highly_crowded,1.0,148,0.014475529411764708,0.482456,-0.044,15.84,0.236842,-0.7165,0.000724,0.0,0.0,0.0,0.0,0.000724,0.0
VERA,"Vera Therapeutics, Inc.",3,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.198246,,0,0.983871,1,0.016129,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-50.4;momentum_score:+28.0;financial_score:+20.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",late|none|nonpos,0.057520273504273495,,-0.5633,608,1,-1.6595,-1.1137,5,5,buying,0.7775,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.171157,price_history,,5,0.6682,price_history,,-0.233976,,44.3693,0.7858,-0.161546,-0.07243,late,mid,none,drug_developer,morningstar,,,,0,0.7847545752030056962792388801,83.31,41.25000000000000000000000000,71.5,10.00,5,75.73333333333333333333333333,3.5354,-1.697,3.0,608,3,0.6667,0.0102,0,0,0.0,0.4,0.55,infectious_disease,0.6955,highly_crowded,1.0,57,0.057520273504273495,0.801754,0.8479,18.03,0.331579,-0.4356,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
TSHA,"Taysha Gene Therapies, Inc.",4,0.88,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.019298,,0,0.977419,1,0.022581,1274,0,specific_days,9,tailwind,high_beta,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-54.5;momentum_score:+37.0;smart_money_score:+25.5,tier=B;reason=high_opt+catalyst_far;cat_days=1274;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 66368000.0, ""cash_total"": 297344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.76277724204436, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",late|far_271_540|nonpos,0.07241476923076924,,-0.5998,1274,1,-1.6595,-1.1137,9,9,buying,2.3324,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,881.38,0.85,1,0,1.0,0,1.0,0,1274,False,specific_days,3.978981,price_history,,9,2.4195,price_history,,-0.101093,,64.507,0.7836,-0.161546,0.060453,late,small,none,drug_developer,morningstar,,,,0,0.7976474022183304144775248103,96.55,45.56250000000000000000000000,85,23.59,5,65.61764705882352941176470588,3.5302,-1.6973,3.0,2816,3,0.6667,0.0,0,0,0.0,0.3,0.5,other,-1.1923,uncrowded,1.0,6,0.07241476923076924,0.980702,2.0685,19.56,0.387719,-0.2853,0.003621,0.0,0.0,0.0,0.0,0.003621,0.0
TRDA,"Entrada Therapeutics, Inc.",5,0.17,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.685965,,0,0.970968,1,0.029032,,0,no_upcoming,9,tailwind,,S,momentum_tailwind|runway_short|cost_haircut_>2000bps,momentum_score:+27.7;clinical_score:-27.2;financial_score:-26.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 128512000.0, ""cash_total"": 90394000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.440674800796813, ""stage_bucket"": ""early"", ""surv_score"": ""-2.0"", ""tier1_count"": 1}",early|none|nonpos,0.007665645645645646,,-1.773,,0,-1.6595,-1.1137,1,1,selling,-0.7775,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.303625,price_history,,1,1.786,price_history,,-0.270294,,56.9936,0.5606,-0.161546,-0.108748,early,small,sev2,drug_developer,morningstar,,,,0,0.7763785017638514214567337622,59.92,41.25000000000000000000000000,49.5,50,5,5.401111111111111111111111112,3.5302,-1.6973,0.0,505,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-0.4844,uncrowded,1.0,196,0.007665645645645646,0.314035,-0.4844,4.82,0.012281,-2.2482,0.000383,0.0,0.0,0.0,0.0,0.000383,0.0
CNTA,Centessa Pharmaceuticals plc,6,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.089474,,0,0.958065,1,0.041935,,0,no_upcoming,9,tailwind,high_beta,L,sponsor_confirmed|momentum_tailwind|high_risk,momentum_score:+39.2;clinical_score:-37.0;financial_score:-36.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 138010000.0, ""cash_total"": 246214000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 21.408361712919355, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.057520273504273495,,0.6535,0,1,-1.6595,-1.1137,7,7,buying,1.5549,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.65,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.516689,price_history,,7,2.536,price_history,,-0.15534,,51.618,0.5724,-0.161546,0.006206,late,mid,sev1,drug_developer,morningstar,,,,0,0.8882339035400332620574958422,81.20,41.25000000000000000000000000,77.0,29.23,5,5.401111111111111111111111112,4.2354,-1.6675,3.0,,7,1.0,0.0722,0,0,0.0,0.4,0.95,oncology,0.6955,highly_crowded,1.0,26,0.057520273504273495,0.910526,1.344,9.80,0.078947,-1.4122,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
AVBP,"ArriVent BioPharma, Inc.",7,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.061404,,0,0.951613,1,0.048387,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-37.6;financial_score:+20.1;smart_money_score:+11.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 129930000.0, ""cash_total"": 300266000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.731794042946202, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|nonpos,0.057520273504273495,,-0.5636,627,1,-1.6595,-1.1137,4,4,selling,0.3887,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,986.33,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,4,,,series_too_short,,no_price_series,,0.6474,-0.161546,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8370803742292153944290878163,50,41.25000000000000000000000000,54.0,50,5,62.70588235294117647058823529,3.8802,-1.6825,3.0,700,2,0.3333,0.0057,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,18,0.057520273504273495,0.938596,1.5431,19.35,0.384211,-0.2944,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
ARTV,"Artiva Biotherapeutics, Inc.",8,0.44,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.468421,,0,0.945161,1,0.054839,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-36.3;smart_money_score:+18.7;financial_score:+9.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 62025000.0, ""cash_total"": 122968000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.790665054413545, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|none|nonpos,0.014475529411764708,,-1.0703,351,1,-1.6595,-1.1137,2,2,neutral,-0.3887,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1301.68,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,,-0.161546,,mid,micro,sev1,drug_developer,morningstar,,,drawdown,1,0.7549362536776724419745014711,50,41.25000000000000000000000000,60.0,77.63,5,50.25000000000000000000000000,3.8802,-1.6825,2.0,419,3,0.6667,0.0439,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,134,0.014475529411764708,0.531579,0.0792,12.27,0.114035,-1.2053,0.000724,0.0,0.0,0.0,0.0,0.000724,0.0
CGON,"CG Oncology, Inc.",9,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.078947,,0,0.932258,1,0.067742,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-44.4;smart_money_score:+33.1;financial_score:+19.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.057520273504273495,,0.6974,0,1,-1.6369,-1.0625,6,6,buying,1.1662,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.161546,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5.530240101261817174953522406,69.86666666666666666666666667,4.4104,-1.6601,3.0,1561,6,1.0,0.1226,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,23,0.057520273504273495,0.921053,1.4122,16.78,0.27193,-0.607,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
COGT,"Cogent Biosciences, Inc.",10,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.092982,,0,0.919355,1,0.080645,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+46.2;financial_score:-33.4;clinical_score:-32.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.057520273504273495,,0.7011,0,1,-1.6151,-1.0133,7,7,buying,1.5549,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.120538,price_history,,7,1.2541,price_history,,-0.284236,,44.1383,2.489,-0.161546,-0.12269,late,mid,sev1,drug_developer,morningstar,,,,0,0.8131084337349397590361445783,56.14,41.25000000000000000000000000,85,11.62,6.038834610093658390798535566,5.401111111111111111111111112,5.969,-1.5944,3.0,746,5,1.0,0.0115,0,0,0.0,0.5,0.95,oncology,-0.4844,uncrowded,1.0,27,0.057520273504273495,0.907018,1.3226,9.95,0.085965,-1.366,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
OLMA,"Olema Pharmaceuticals, Inc.",11,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.152632,,0,0.9,1,0.1,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-45.8;momentum_score:+43.2;smart_money_score:+13.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 108389000.0, ""cash_total"": 328960000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.41993191190988, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.057520273504273495,,-0.5059,319,1,-1.549,-0.8639,3,3,buying,0.0,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,486.91,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.625696,price_history,,3,0.7907,price_history,,0.0,,66.5505,2.891,-0.161546,0.161546,late,small,none,drug_developer,morningstar,,,,0,0.8089114369501466275659824047,96.55,41.25000000000000000000000000,66.5,17.25,7.585714348500630688835269351,54.94117647058823529411764706,6.4659,-1.5734,3.0,1019,4,1.0,0.018,0,0,0.0,0.3,0.95,oncology,0.6955,highly_crowded,1.0,44,0.057520273504273495,0.847368,1.0252,12.53,0.121053,-1.1697,0.002876,0.0,0.0,0.0,0.0,0.002876,0.0
