ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
CELC,Celcuity Inc.,1,1.03,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.84331,,0,0.951299,1,0.048701,164,0,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-41.8;smart_money_score:+36.2;financial_score:+7.7,tier=A;reason=high_opt+catalyst_mid;cat_days=164;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.021306694444444448,,0.7381,0,1,-1.7325,0.7381,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,164,False,specific_days,-0.140616,price_history,,6,0.2022,price_history,,-0.279086,,55.1263,,-0.100422,-0.178664,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,45.89,45.56250000000000000000000000,83.0,14.55,5,54.50000000000000000000000000,4.3908,-1.6601,3.0,1138,7,1.0,0.3072,0,1,0.0,0.3,0.95,oncology,-0.4815,uncrowded,1.0,240,0.021306694444444448,0.15669,-1.0082,14.04,0.170775,-0.9511
XENE,Xenon Pharmaceuticals Inc.,2,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.832746,,0,0.613636,1,0.386364,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+25.1;clinical_score:-13.4;catalyst_score:-10.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 197637000.0, ""cash_total"": 462268000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.067699874011446, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.03298423170731707,,0.8098,0,1,-0.2681,0.8098,8,8,buying,1.9396,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,519.29,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.057465,price_history,,8,0.5586,price_history,,-0.057878,,56.0812,0.341,-0.100422,0.042544,late,mid,none,drug_developer,morningstar,,,,0,0.8874476502082093991671624033,55.82,41.25000000000000000000000000,77.0,41.42,38.51804745405903249857462392,47.02777777777777777777777778,38.077,-0.2405,3.0,182,12,1.0,0.6917,0,1,0.0,0.6,0.6,cns,0.6973,highly_crowded,1.0,237,0.03298423170731707,0.167254,-0.9651,30.19,0.614437,0.2909
VIR,"Vir Biotechnology, Inc.",3,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.825704,,0,0.652597,1,0.347403,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+15.8;clinical_score:-10.0;catalyst_score:-4.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.03298423170731707,,0.804,0,1,-0.4111,0.804,2,2,buying,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.033994,price_history,,2,0.6934,price_history,,-0.185209,,55.8945,0.7493,-0.100422,-0.084787,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,43.48,41.25000000000000000000000000,61.0,77.99,35.24450681987632121398184291,45.19835069444444444444444444,35.5566,-0.3467,3.0,56,14,1.0,3.1118,3,4,0.0,0.4,0.55,infectious_disease,0.6973,highly_crowded,1.0,235,0.03298423170731707,0.174296,-0.9373,28.96,0.572183,0.1819
SVRA,"Savara, Inc.",4,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.808099,,0,0.756494,1,0.243506,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+27.7;financial_score:-25.7;smart_money_score:+21.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.03298423170731707,,0.7894,0,1,-0.8629,0.7894,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.01415,price_history,,3,0.2888,price_history,,-0.070922,,79.4106,0.6811,-0.100422,0.0295,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,72.60,41.25000000000000000000000000,66.5,58.58,24.90285513793254681812201220,19.24742296006944444444444444,23.6035,-0.8504,3.0,195,9,1.0,0.2954,0,0,0.0,0.4,0.5,respiratory,0.6973,highly_crowded,1.0,230,0.03298423170731707,0.191901,-0.8709,11.95,0.107394,-1.2405
KALV,"KalVista Pharmaceuticals, Inc.",5,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.755282,,0,0.769481,1,0.230519,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi|overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+36.3;clinical_score:-24.1;financial_score:-12.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.03298423170731707,,0.7888,0,1,-0.906,0.7888,2,2,selling,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.309614,price_history,,2,1.1721,price_history,,-0.374332,,78.7595,0.6376,-0.100422,-0.27391,late,small,sev1,drug_developer,morningstar,,,,0,0.8797695576251455180442374854,84.28,41.25000000000000000000000000,54.5,60.82,23.91693346783035831761764835,35.94989691840277777777777778,22.5273,-0.8958,3.0,226,4,1.0,0.2284,0,0,0.0,0.4,0.55,ophthalmology,0.6973,highly_crowded,1.0,215,0.03298423170731707,0.244718,-0.6912,17.06,0.318662,-0.4714
DNLI,Denali Therapeutics Inc.,6,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.702465,,0,0.678571,1,0.321429,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:+23.4;clinical_score:-19.8;catalyst_score:-12.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.03298423170731707,,0.8026,0,1,-0.4736,0.8026,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.152898,price_history,,3,1.1959,price_history,,-0.180379,,67.9919,0.5691,-0.100422,-0.079957,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,55.32,41.25000000000000000000000000,60.5,46.64,33.81493989055060937873095235,77.00000000000000000000000000,34.4771,-0.3922,3.0,69,11,1.0,1.0784,2,1,0.0,0.4,0.6,cns,-0.4815,uncrowded,1.0,200,0.03298423170731707,0.297535,-0.5315,33.34,0.670775,0.4421
CLDX,"Celldex Therapeutics, Inc.",7,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.695423,,0,0.685065,1,0.314935,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+21.4;financial_score:+17.2;clinical_score:-17.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.03298423170731707,,0.8025,0,1,-0.5045,0.8025,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.23033,price_history,,4,1.0043,price_history,,-0.306557,,47.4528,0.4801,-0.100422,-0.206135,late,small,none,drug_developer,morningstar,,,,0,0.8764361862733712693067007316,37.30,41.25000000000000000000000000,71.5,66.79,33.10600412262620060523661243,67.25000000000000000000000000,34.0534,-0.4101,3.0,,57,1.0,0.8006,1,1,0.0,0.4,0.95,oncology,-0.4815,uncrowded,1.0,198,0.03298423170731707,0.304577,-0.5113,28.62,0.565141,0.164
CRNX,"Crinetics Pharmaceuticals, Inc.",8,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.698944,,0,0.762987,1,0.237013,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-31.5;financial_score:+23.0;smart_money_score:+16.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.03298423170731707,,0.7888,0,1,-0.906,0.7888,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.125976,price_history,,5,0.9548,price_history,,-0.055085,,63.5186,0.6688,-0.100422,0.045337,late,mid,none,drug_developer,morningstar,,,,0,0.8739125269461077844311377246,62.11,41.25000000000000000000000000,71.5,22.76,23.91693346783035831761764835,78.50000000000000000000000000,25.0692,-0.7887,3.0,52,6,1.0,1.2526,1,1,0.0,0.5,0.95,oncology,0.6973,highly_crowded,1.0,199,0.03298423170731707,0.301056,-0.5214,23.43,0.498239,-0.0044
URGN,UroGen Pharma Ltd.,9,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.614437,,0,0.782468,1,0.217532,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-31.1;smart_money_score:+29.1;momentum_score:+24.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|nonpos,0.0539193883161512,,0.7866,0,1,-1.005,0.7866,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.082352,price_history,,4,1.1555,price_history,,-0.193142,,50.6201,0.7699,-0.100422,-0.09272,late,small,sev2,drug_developer,morningstar,,,,0,0.8225052705551651440618411806,67.86,41.25000000000000000000000000,72.0,72.01,21.65056113523286015720558065,11.79340277777777777777777778,20.5369,-0.9797,3.0,1719,12,1.0,0.0001,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,175,0.0539193883161512,0.385563,-0.2909,5.68,0.015845,-2.1483
ZBIO,"Zenas BioPharma, Inc.",10,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.625,,0,0.808442,1,0.191558,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,clinical_score:-26.6;smart_money_score:+21.4;momentum_score:+4.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|nonpos,0.0539193883161512,,0.7759,0,1,-1.1429,0.7759,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,1.5048,-0.100422,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089584306398879028491359178,50,41.25000000000000000000000000,66.5,36.94,18.49572874484062589847423846,49.06521267361111111111111111,17.0579,-1.1263,3.0,909,5,1.0,0.0361,0,0,0.0,0.4,0.6,autoimmune,0.6973,highly_crowded,1.0,178,0.0539193883161512,0.375,-0.3186,15.67,0.248239,-0.68
PRTA,Prothena Corporation plc,11,0.72,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.586268,,0,0.834416,1,0.165584,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-32.0;momentum_score:+25.3;smart_money_score:+7.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.0539193883161512,,0.7704,0,1,-1.2501,0.7704,2,2,neutral,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.418252,price_history,,2,1.4077,price_history,,-0.060695,,66.1666,0.4848,-0.100422,0.039727,late,small,none,drug_developer,morningstar,,,,0,0.8474842338662621075971525265,73.34,41.25000000000000000000000000,55.0,84.70,16.04203519338820422106242903,54.45312500000000000000000000,14.6042,-1.2297,3.0,684,9,1.0,0.0232,0,0,0.0,0.4,0.6,cns,0.6973,highly_crowded,1.0,167,0.0539193883161512,0.413732,-0.218,18.91,0.382042,-0.3001
