ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
LQDA,Liquidia Corporation,1,1.07,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.775685,,0,0.799383,1,0.200617,61,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,financial_score:-32.9;momentum_score:+32.3;clinical_score:-26.5,tier=A;reason=high_opt+catalyst_near;cat_days=61;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|near_31_90|pos,0.0030059473684210525,,0.5741,0,1,-1.1229,0.5741,3,3,buying,-0.0344,elite_3,0.0,0.0,0.0,,,2.5927,3,3,0,True,True,True,near,1.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,61,False,specific_days,0.37305,price_history,,3,1.1947,price_history,,-0.107143,,47.3319,0.5778,-0.221469,0.114326,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,74.00,44.87571377777777777777777778,65.5,64.64,15.10766036835977500035068524,8.793085716546022704798069692,14.6217,-1.2387,3.0,61,4,1.0,0.9022,1,1,0.0,0.3,0.5,respiratory,0.6994,highly_crowded,1.0,227,0.0030059473684210525,0.224315,-0.7577,9.20,0.070205,-1.4743
REPL,"Replimune Group, Inc.",2,1.07,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.52911,,0,0.848765,1,0.151235,154,0,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-27.2;smart_money_score:+14.7;catalyst_score:+7.2,tier=A;reason=high_opt+catalyst_mid;cat_days=154;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",late|near_91_180|nonpos,0.027423,,0.109,37,1,-1.2915,0.109,5,5,selling,0.7384,elite_5,0.0,0.0,0.0,,,0.0996,0,0,0,True,True,True,mid,0.7,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,154,False,specific_days,-0.047633,price_history,,5,1.4808,price_history,,-0.346952,,28.0705,0.5897,-0.221469,-0.125483,late,small,sev1,drug_developer,morningstar,,,,0,0.8335079753172662708115030853,43.84,45.56250000000000000000000000,53.0,51.23,11.12836482486779166491324047,38.07456790123456790123456790,11.9709,-1.3513,3.0,1372,14,1.0,0.8466,1,2,0.0,0.5,0.95,oncology,0.6994,highly_crowded,1.0,155,0.027423,0.47089,-0.073,11.88,0.121575,-1.1671
RVMD,"Revolution Medicines, Inc.",3,1.26,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.755137,,0,0.725309,1,0.274691,245,0,specific_days,9,headwind,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_headwind,smart_money_score:+29.3;clinical_score:-25.8;momentum_score:-3.6,tier=B;reason=high_opt+catalyst_far;cat_days=245;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|near_181_270|pos,0.003727178571428571,,0.5887,0,1,-0.8327,0.5887,8,8,buying,1.8976,elite_8,0.0,0.0,0.0,,,-1.5625,-2,1,3,True,True,True,far,0.3,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,245,False,specific_days,-0.071337,price_history,,8,1.2093,price_history,,-0.416502,,33.337,0.4254,-0.221469,-0.195033,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,44.14,45.56250000000000000000000000,77.0,57.22,21.95696390747520655360574562,50.08426966292134831460674157,20.907,-0.9716,3.0,427,11,1.0,0.086,0,0,0.0,0.3,0.95,oncology,0.6994,highly_crowded,1.0,221,0.003727178571428571,0.244863,-0.6907,21.22,0.457192,-0.1075
ACLX,"Arcellx, Inc.",4,1.26,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.72089,,0,0.916667,1,0.083333,183,0,specific_days,9,neutral,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed,smart_money_score:+40.9;clinical_score:-33.4;financial_score:-23.3,tier=B;reason=high_opt+catalyst_far;cat_days=183;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|near_181_270|nonpos,0.018624,,0.5458,0,1,-1.5205,0.5458,7,7,buying,1.5112,elite_7,0.0,0.0,0.0,,,-1.5625,-2,1,3,True,True,True,far,0.3,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,183,False,specific_days,-0.023832,price_history,,7,1.2146,price_history,,-0.384211,,42.5342,0.5575,-0.221469,-0.162742,late,mid,none,drug_developer,morningstar,,,,0,0.8816242164223572875700154928,48.58,45.56250000000000000000000000,80.0,37.24,5.722692140442424497468052570,15.82346426169850876152050948,4.6727,-1.6615,3.0,1188,5,1.0,0.0619,0,0,0.0,0.3,0.95,oncology,0.6994,highly_crowded,1.0,211,0.018624,0.27911,-0.5855,14.07,0.190068,-0.8776
TENX,"Tenax Therapeutics, Inc.",5,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.364726,,0,0.651235,1,0.348765,,0,no_upcoming,9,tailwind,,M,momentum_tailwind|cost_haircut_<=2000bps,momentum_score:+28.5;clinical_score:-25.2;catalyst_score:-12.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|pos,0.0638178034682081,,0.6011,0,1,-0.547,0.6011,1,1,buying,-0.8072,elite_1,0.0,0.0,0.0,,,0.9306,1,1,0,True,True,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.09145,price_history,,1,0.3348,price_history,,-0.155928,,54.9172,,-0.221469,0.065541,late,micro,none,drug_developer,morningstar,,,,0,0.8539370391124061414322537263,82.40,41.25000000000000000000000000,55.5,92.66,28.70022023033006494690625482,61.68820224719101123595505618,28.1724,-0.6628,3.0,549,6,1.0,0.0155,0,0,0.0,0.4,0.85,cardiovascular,-0.4963,uncrowded,1.0,107,0.0638178034682081,0.635274,0.3459,28.03,0.590753,0.2295
PVLA,"Palvella Therapeutics, Inc.",6,1.07,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.340753,,0,0.608025,1,0.391975,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+43.6;financial_score:-30.2;clinical_score:-20.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.0638178034682081,,0.6067,0,1,-0.3978,0.6067,4,4,buying,0.352,elite_4,0.0,0.0,0.0,,,2.5927,3,3,0,True,True,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,1.390512,price_history,,4,0.5834,price_history,,-0.034828,,69.3847,,-0.221469,0.186641,late,small,none,drug_developer,morningstar,,,,0,0.8521463044998834227092562369,96.55,41.25000000000000000000000000,72.0,70.31,32.22334441498688437206301112,22.71261234567901234567901235,31.5421,-0.5196,3.0,276,6,1.0,0.2802,0,0,0.0,0.7,0.5,other,-3.605,uncrowded,1.0,100,0.0638178034682081,0.659247,0.4104,19.32,0.385274,-0.2917
KALV,"KalVista Pharmaceuticals, Inc.",7,1.07,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.309932,,0,0.632716,1,0.367284,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+26.0;financial_score:-16.8;clinical_score:-14.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.0638178034682081,,0.6043,0,1,-0.4729,0.6043,2,2,selling,-0.4208,elite_2,0.0,0.0,0.0,,,0.0996,0,0,0,True,True,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.479285,price_history,,2,1.1749,price_history,,-0.250162,,49.0222,0.6376,-0.221469,-0.028693,late,small,sev1,drug_developer,morningstar,,,,0,0.8797695576251455180442374854,71.15,41.25000000000000000000000000,54.5,75.24,30.44915765405602547377575782,28.39271111111111111111111111,28.8714,-0.6331,3.0,290,5,1.0,0.2009,0,0,0.0,0.4,0.55,ophthalmology,0.6994,highly_crowded,1.0,91,0.0638178034682081,0.690068,0.496,20.16,0.42637,-0.1856
URGN,UroGen Pharma Ltd.,8,1.07,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.193493,,0,0.638889,1,0.361111,1037,0,specific_days,9,tailwind,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-33.9;smart_money_score:+28.8;momentum_score:+16.1,tier=B;reason=high_opt+catalyst_far;cat_days=1037;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|far_271_540|pos,0.06770064367816092,,0.6023,0,1,-0.4977,0.6023,4,4,buying,0.352,elite_4,0.0,0.0,0.0,,,0.9306,1,1,0,True,True,True,far,0.3,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,1037,False,specific_days,0.132874,price_history,,4,0.9491,price_history,,-0.423958,,50.8599,0.7699,-0.221469,-0.202489,late,small,sev2,drug_developer,morningstar,,,,0,0.8225032197634937360964758225,59.36,45.56250000000000000000000000,72.0,84.30,29.86337303090238325688395124,9.280177777777777777777777778,29.0139,-0.6271,3.0,164,13,1.0,0.4216,0,1,0.0,0.3,0.95,oncology,0.6994,highly_crowded,1.0,57,0.06770064367816092,0.806507,0.8651,6.55,0.025685,-1.9484
RNA,"Avidity Biosciences, Inc.",9,1.26,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.179795,,0,0.682099,1,0.317901,1097,0,specific_days,9,neutral,deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|runway_short,smart_money_score:+42.6;financial_score:-37.4;clinical_score:-16.0,tier=B;reason=high_opt+catalyst_far;cat_days=1097;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 650441000.0, ""cash_total"": 382517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.0570643609489565, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 11}",late|far_271_540|pos,0.06770064367816092,,0.5999,0,1,-0.6442,0.5999,11,11,buying,3.0568,elite_11,0.0,0.0,0.0,,,0.0996,0,0,0,True,True,True,far,0.3,short,<=400bps,298.2,1.0,0,0,1.0,0,1.0,0,1097,False,specific_days,0.177532,price_history,,11,1.6332,price_history,,-0.437714,,43.7053,0.7513,-0.221469,-0.216245,late,mid,sev2,drug_developer,morningstar,,,,0,0.8751714981584887727218724011,49.90,45.56250000000000000000000000,85,68.10,26.40758041212529282217452903,5,25.6905,-0.7683,3.0,488,5,1.0,0.2982,0,1,0.0,0.4,0.75,rare_disease,-0.4963,uncrowded,1.0,53,0.06770064367816092,0.820205,0.9161,11.09,0.101027,-1.2757
SMMT,Summit Therapeutics Inc.,10,1.07,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.183219,,0,0.694444,1,0.305556,275,0,specific_days,9,tailwind,high_beta|deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+24.0;clinical_score:-22.8;momentum_score:+14.3,tier=B;reason=high_opt+catalyst_far;cat_days=275;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|far_271_540|pos,0.06770064367816092,,0.5957,0,1,-0.7158,0.5957,5,5,buying,0.7384,elite_5,0.0,0.0,0.0,,,-0.7314,-1,0,1,True,True,True,far,0.3,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,275,False,specific_days,0.324438,price_history,,5,2.4484,price_history,,-0.395866,,46.8374,0.5984,-0.221469,-0.174397,late,large,none,drug_developer,morningstar,,,,0,0.8151449643947100712105798576,61.83,45.56250000000000000000000000,71.5,23.66,24.71755810854409516194644335,33.87186312053753033427316978,24.1898,-0.8321,3.0,275,14,1.0,0.2589,0,0,0.0,0.4,0.95,oncology,-0.4963,uncrowded,1.0,54,0.06770064367816092,0.816781,0.9032,16.87,0.282534,-0.5753
ABEO,Abeona Therapeutics Inc.,11,0.26,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.203767,,0,0.762346,1,0.237654,,0,no_upcoming,9,headwind,deep_drawdown,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,clinical_score:-27.5;financial_score:+24.2;smart_money_score:+9.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.0638178034682081,,0.581,0,1,-0.9915,0.581,2,2,neutral,-0.4208,elite_2,0.0,0.0,0.0,,,0.9306,1,1,0,True,True,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.022189,price_history,,2,1.2393,price_history,,-0.408696,,32.9136,,-0.221469,-0.187227,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,43.99,41.25000000000000000000000000,55.0,70.07,18.20996226626828823521160348,69.88764044943820224719101123,16.8895,-1.1423,3.0,183,9,1.0,0.3275,0,0,0.0,0.3,0.5,other,-1.6919,uncrowded,1.0,60,0.0638178034682081,0.796233,0.8282,27.25,0.570205,0.1769
