ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
TRDA,"Entrada Therapeutics, Inc.",1,0.08,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.998162,,0,0.68662,1,0.31338,,0,no_upcoming,9,headwind,drawdown_data_missing,XS,momentum_headwind|runway_short|cost_haircut_>2000bps,financial_score:-27.1;smart_money_score:+17.2;catalyst_score:+8.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 128512000.0, ""cash_total"": 90394000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.440674800796813, ""stage_bucket"": ""early"", ""surv_score"": ""-2.0"", ""tier1_count"": 1}",early|none|pos,-0.1,,-1.4731,,0,-0.5342,1.0581,1,1,selling,-0.7647,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.087132,price_history,,1,1.4785,price_history,,,series_too_short,35.9157,0.5606,-0.428449,,early,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7763720452422953201203694096,32.91,41.25000000000000000000000000,49.5,50,32.87602908479057748933357370,5.200277777777777777777777778,31.4,-0.5242,0.0,1016,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-0.4472,uncrowded,1.0,272,-0.1,0.001838,-2.9047,8.48,0.049632,-1.6484
TNYA,"Tenaya Therapeutics, Inc.",2,0.1,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.994485,,0,0.721831,1,0.278169,,0,no_upcoming,9,neutral,deep_drawdown,XS,runway_short|cost_haircut_<=2000bps,financial_score:-21.7;smart_money_score:+17.3;momentum_score:+10.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 54324000.0, ""cash_total"": 65308000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.426330903468081, ""stage_bucket"": ""early"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",early|none|pos,-0.1,,-1.4866,,0,-0.692,0.7496,1,1,buying,-0.7647,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=2000bps,1908.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.132828,price_history,,1,1.2741,price_history,,-0.654158,,38.2863,1.1737,-0.428449,-0.225709,early,micro,sev2,drug_developer,morningstar,,,,0,0.7095961677140208097249407644,48.36,41.25000000000000000000000000,55.5,50,29.21278769304729283095967790,16.43899104621116519439937504,27.7368,-0.6788,0.0,2232,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-2.0786,uncrowded,1.0,271,-0.1,0.005515,-2.5418,8.00,0.038603,-1.7671
DYN,"Dyne Therapeutics, Inc.",3,0.84,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.898897,,0,0.700704,1,0.299296,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+29.9;clinical_score:-18.4;financial_score:-14.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 291375000.0, ""cash_total"": 573610000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.382986890781424, ""stage_bucket"": ""early"", ""surv_score"": ""3.0"", ""tier1_count"": 8}",early|none|pos,-0.1,,-1.475,,0,-0.5873,0.9542,8,8,buying,1.9415,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,520.7,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.309399,price_history,,8,1.1466,price_history,,-0.62069,,39.9293,0.7655,-0.428449,-0.192241,early,mid,sev1,drug_developer,morningstar,,,,0,0.7250861618798955613577023499,61.46,41.25000000000000000000000000,80.0,50,31.64293011237305450393606154,36.07483023856739378643110390,30.1669,-0.5762,0.0,1866,2,0.0,0.0,0,0,0.0,0.0,0.5,other,-0.4472,uncrowded,1.0,245,-0.1,0.101103,-1.2753,22.58,0.457721,-0.1062
RAPT,"RAPT Therapeutics, Inc.",4,0.59,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.836397,,0,0.848592,1,0.151408,,0,no_upcoming,9,neutral,high_vol|deep_drawdown,M,sponsor_confirmed|high_risk,smart_money_score:+33.9;clinical_score:-28.6;financial_score:-5.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 76143000.0, ""cash_total"": 157344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.797131712698476, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,-0.02970732298136646,,0.364,0,1,-1.3068,-0.4526,5,5,buying,0.7817,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,273.59,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.017134,price_history,,5,1.4971,price_history,,-0.5455,,33.8464,1.4599,-0.428449,-0.117051,mid,small,none,drug_developer,morningstar,,,,0,0.7846415306696679797411367473,46.44,41.25000000000000000000000000,77.5,22.06,14.93827160493827160493827160,37.75173611111111111111111111,14.5387,-1.2357,2.0,144,4,1.0,0.3013,0,1,0.0,0.4,0.95,oncology,0.718,highly_crowded,1.0,228,-0.02970732298136646,0.163603,-0.9798,16.86,0.28125,-0.5791
REPL,"Replimune Group, Inc.",5,0.84,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.498162,,0,0.75,1,0.25,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-21.7;financial_score:+12.8;momentum_score:+7.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,0.0166038125,,-0.7988,1228,1,-0.8806,0.3808,5,5,selling,0.7817,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.031481,price_history,,5,0.9811,price_history,,-0.537178,,53.1639,0.5897,-0.428449,-0.108729,mid,small,sev1,drug_developer,morningstar,,,,0,0.8014295339696799550814149354,54.44,41.25000000000000000000000000,53.0,51.47,24.83410493827160493827160494,59.37500000000000000000000000,23.7271,-0.848,2.0,1228,4,1.0,0.0,0,0,0.0,0.3,0.95,oncology,0.718,highly_crowded,1.0,136,0.0166038125,0.501838,0.0046,18.93,0.373162,-0.3235
INBX,"Inhibrx Biosciences, Inc.",6,0.84,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.479779,,0,0.679577,1,0.320423,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+23.0;financial_score:-17.3;clinical_score:-10.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.0166038125,,-0.4736,118,1,-0.5097,1.106,3,3,buying,0.0085,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.428449,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,36.76,33.44521604938271604938271605,26.19140625000000000000000000,32.8222,-0.4642,2.0,1257,5,1.0,0.0937,0,0,0.0,0.4,0.95,oncology,0.718,highly_crowded,1.0,131,0.0166038125,0.520221,0.0507,17.15,0.292279,-0.5467
FATE,"Fate Therapeutics, Inc.",7,0.32,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.472426,,0,0.616197,1,0.383803,,0,no_upcoming,9,neutral,deep_drawdown,M,sponsor_confirmed|cost_haircut_>2000bps,clinical_score:-12.4;financial_score:+11.6;smart_money_score:+10.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 106084000.0, ""cash_total"": 203657000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.037253497228612, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|none|pos,0.0166038125,,0.3887,0,1,-0.3142,1.4881,2,2,buying,-0.3781,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.043901,price_history,,2,1.4891,price_history,,-0.638253,,42.7769,0.8890,-0.428449,-0.209804,mid,micro,none,drug_developer,morningstar,,,,0,0.7794111220364907680541898831,50.04,41.25000000000000000000000000,60.5,90.00,37.98225308641975308641975309,62.00000000000000000000000000,37.2252,-0.2784,2.0,,15,1.0,0.066,0,0,0.0,0.3,0.95,oncology,-0.4472,uncrowded,1.0,129,0.0166038125,0.527574,0.0692,27.00,0.553309,0.134
AURA,"Aura Biosciences, Inc.",8,0.32,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.461397,,0,0.728873,1,0.271127,,0,no_upcoming,9,tailwind,drawdown_data_missing,M,sponsor_confirmed|momentum_tailwind|runway_short|cost_haircut_>2000bps,financial_score:-24.4;momentum_score:+22.3;smart_money_score:+11.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",mid|none|pos,0.0166038125,,-0.7936,731,1,-0.6984,0.7369,2,2,selling,-0.3781,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.002782,price_history,,2,0.4463,price_history,,,series_too_short,36.8667,0.5411,-0.428449,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8473825268817204301075268817,62.39,41.25000000000000000000000000,52.0,57.35,29.06250000000000000000000000,15.69444444444444444444444444,27.2554,-0.6991,2.0,731,4,1.0,0.0023,0,0,0.0,0.3,0.55,ophthalmology,0.718,highly_crowded,1.0,126,0.0166038125,0.538603,0.0969,9.53,0.071691,-1.4633
XENE,Xenon Pharmaceuticals Inc.,9,0.84,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.443015,,0,0.602113,1,0.397887,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+20.3;momentum_score:+17.6;clinical_score:-16.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 197637000.0, ""cash_total"": 462268000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.067699874011446, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.030923475524475524,,0.8998,0,1,-0.223,1.6665,8,8,buying,1.9415,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,519.29,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.339166,price_history,,8,1.1351,price_history,,-0.090678,,49.589,0.341,-0.428449,0.337771,late,mid,none,drug_developer,morningstar,,,,0,0.8874528564627469650083313497,74.22,41.25000000000000000000000000,77.0,39.08,40.10028959000152415790275873,50.69230769230769230769230770,38.7773,-0.2129,3.0,389,9,1.0,0.0712,0,0,0.0,0.4,0.6,cns,0.718,highly_crowded,1.0,121,0.030923475524475524,0.556985,0.1433,30.61,0.612132,0.2849
VIR,"Vir Biotechnology, Inc.",10,0.5,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.435662,,0,0.714789,1,0.285211,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,smart_money_score:+16.9;clinical_score:-14.8;financial_score:+3.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.030923475524475524,,0.8876,0,1,-0.6881,0.7571,2,2,buying,-0.3781,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.238571,price_history,,2,0.8935,price_history,,-0.606527,,39.9744,0.7493,-0.428449,-0.178078,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,41.64,41.25000000000000000000000000,61.0,71.01,29.30193568053650358177107148,47.08334322218266682488825599,29.5741,-0.6013,3.0,88,12,1.0,0.9742,1,1,0.0,0.4,0.55,infectious_disease,0.718,highly_crowded,1.0,119,0.030923475524475524,0.564338,0.162,24.85,0.523897,0.0599
