ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
ELDN,"Eledon Pharmaceuticals, Inc.",1,0.17,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.792553,,0,0.911184,1,0.088816,547,0,specific_days,9,headwind,deep_drawdown,S,catalyst_far_lift|momentum_headwind|cost_haircut_>2000bps,clinical_score:-28.2;smart_money_score:+16.7;financial_score:+14.8,tier=B;reason=high_opt+catalyst_far;cat_days=547;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|nonpos,-0.004707107142857142,,-0.8203,241,1,-1.6137,-1.1581,1,1,neutral,-0.775,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,547,False,specific_days,-0.295099,price_history,,1,0.0904,price_history,,-0.486708,,49.1356,,-0.275419,-0.211289,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592705599300087489063867017,22.66,45.56250000000000000000000000,52.5,78.57,7.575084455550927854134851226,50.61224489795918367346938775,6.1066,-1.5898,2.0,241,5,1.0,0.1463,0,0,0.0,0.3,0.55,metabolic,-0.4757,uncrowded,1.0,224,-0.004707107142857142,0.207447,-0.8153,15.63,0.235816,-0.7198
VIR,"Vir Biotechnology, Inc.",2,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.679078,,0,0.700658,1,0.299342,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-15.1;smart_money_score:+14.4;momentum_score:+10.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.04530182432432433,,0.8405,0,1,-0.5786,0.9464,2,2,buying,-0.384,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.255215,price_history,,2,0.7388,price_history,,-0.488988,,61.0045,0.7493,-0.275419,-0.213569,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,57.03,41.25000000000000000000000000,61.0,76.36,31.47494839557140176393319572,42.19753086419753086419753086,31.8173,-0.5057,3.0,112,14,1.0,1.979,2,2,0.0,0.4,0.55,infectious_disease,0.701,highly_crowded,1.0,192,0.04530182432432433,0.320922,-0.4651,27.25,0.554965,0.1382
SVRA,"Savara, Inc.",3,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.664894,,0,0.759868,1,0.240132,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+25.5;financial_score:-24.6;clinical_score:-17.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.04530182432432433,,0.8306,0,1,-0.9407,0.2101,3,3,buying,0.0069,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.141405,price_history,,3,0.4241,price_history,,-0.138298,,71.1591,0.6811,-0.275419,0.137121,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,57.84,41.25000000000000000000000000,66.5,59.30,23.11315443798085944830174517,16.45679012345679012345679012,21.7056,-0.9321,3.0,363,9,1.0,0.0728,0,0,0.0,0.4,0.5,respiratory,0.701,highly_crowded,1.0,188,0.04530182432432433,0.335106,-0.4259,13.77,0.161348,-0.9889
DNLI,Denali Therapeutics Inc.,4,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.565603,,0,0.694079,1,0.305921,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-21.1;financial_score:+21.0;catalyst_score:-12.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.04530182432432433,,0.8409,0,1,-0.5472,1.0102,3,3,buying,0.0069,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.055318,price_history,,3,1.5632,price_history,,-0.312329,,58.9707,0.5691,-0.275419,-0.03691,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,58.24,41.25000000000000000000000000,60.5,45.35,32.19886991513938408290069015,74.28571428571428571428571429,32.095,-0.494,3.0,237,11,1.0,0.4847,1,0,0.0,0.4,0.6,cns,-0.4757,uncrowded,1.0,160,0.04530182432432433,0.434397,-0.1652,32.09,0.650709,0.3872
CRNX,"Crinetics Pharmaceuticals, Inc.",5,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.562057,,0,0.779605,1,0.220395,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-28.2;financial_score:+26.4;smart_money_score:+22.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.04530182432432433,,0.8289,0,1,-1.0272,0.0343,5,5,buying,0.7889,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.102797,price_history,,5,0.9964,price_history,,-0.351637,,53.4413,0.6688,-0.275419,-0.076218,late,mid,none,drug_developer,morningstar,,,,0,0.8739125269461077844311377246,36.82,41.25000000000000000000000000,71.5,21.32,21.11653218239819853631075249,75.71428571428571428571428572,20.8884,-0.9665,3.0,220,5,1.0,0.3089,0,0,0.0,0.5,0.95,oncology,0.701,highly_crowded,1.0,159,0.04530182432432433,0.437943,-0.1562,22.19,0.462766,-0.0935
CLDX,"Celldex Therapeutics, Inc.",6,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.558511,,0,0.661184,1,0.338816,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-22.5;smart_money_score:+15.3;catalyst_score:-14.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.04530182432432433,,0.8419,0,1,-0.484,1.1388,4,4,buying,0.3979,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.225689,price_history,,4,1.1095,price_history,,-0.110952,,61.1854,0.4801,-0.275419,0.164467,late,small,none,drug_developer,morningstar,,,,0,0.8764361862733712693067007316,69.44,41.25000000000000000000000000,71.5,67.83,33.65922311878401200975792832,65.00000000000000000000000000,34.9255,-0.3747,3.0,,56,1.0,0.8534,3,0,0.0,0.4,0.95,oncology,-0.4757,uncrowded,1.0,158,0.04530182432432433,0.441489,-0.1472,28.33,0.586879,0.2195
AVIR,"Atea Pharmaceuticals, Inc.",7,0.08,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.537234,,0,0.654605,1,0.345395,,0,no_upcoming,9,headwind,deep_drawdown,XS,sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_>2000bps,financial_score:-21.3;smart_money_score:+18.6;momentum_score:-12.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 103808000.0, ""cash_total"": 77344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.940813810110974, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",late|none|pos,0.04530182432432433,,0.8434,0,1,-0.4521,1.2036,2,2,selling,-0.384,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.381676,price_history,,2,1.0215,price_history,,-0.490986,,42.1266,0.5268,-0.275419,-0.215567,late,small,sev2,drug_developer,morningstar,,,,0,0.8879505054025792959219240153,18.06,41.25000000000000000000000000,49.0,90.00,34.39565480286065761764767207,9.111111111111111111111111112,34.3653,-0.3983,3.0,510,11,1.0,0.7991,1,1,0.0,0.4,0.55,infectious_disease,0.701,highly_crowded,1.0,152,0.04530182432432433,0.462766,-0.0935,10.65,0.079787,-1.4065
ANRO,"Alto Neuroscience, Inc.",8,0.42,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.515957,,0,0.634868,1,0.365132,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-12.3;smart_money_score:+12.0;catalyst_score:-7.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 40253000.0, ""cash_total"": 137816000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.08493776861352, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|pos,0.04530182432432433,,1.0494,0,1,-0.3553,1.4004,2,2,buying,-0.384,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1346.61,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,0.9516,-0.275419,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8333573290306565719250341318,50,41.25000000000000000000000000,61.0,60.08,36.62997018410792101916140197,56.00000000000000000000000000,36.5615,-0.3057,2.0,7,3,0.0,2.2238,2,4,0.0,0.3,0.5,other,0.701,highly_crowded,1.0,146,0.04530182432432433,0.484043,-0.04,27.53,0.569149,0.1742
RVMD,"Revolution Medicines, Inc.",9,1.01,B,mod_opt+catalyst_near,B,mod_opt+catalyst_near,,0.47695,,0,0.595395,1,0.404605,119,0,specific_days,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+20.3;clinical_score:-17.4;catalyst_score:-11.2,tier=B;reason=mod_opt+catalyst_near;cat_days=119;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",mid|near_91_180|pos,0.0880043076923077,,-0.5248,119,1,-0.2373,1.6403,8,8,buying,1.9618,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,119,False,specific_days,0.203915,price_history,,8,1.3349,price_history,,-0.073321,,73.9276,0.4254,-0.275419,0.202098,mid,large,none,drug_developer,morningstar,,,,0,0.8553730209442669506567270146,63.75,45.56250000000000000000000000,77.0,10.00,39.35443565181174510620574760,57.95918367346938775510204081,38.2359,-0.2351,2.0,579,6,1.0,0.109,0,0,0.0,0.3,0.95,oncology,0.701,highly_crowded,1.0,135,0.0880043076923077,0.52305,0.0578,31.60,0.640071,0.3586
WVE,Wave Life Sciences Ltd.,10,1.01,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.469858,,0,0.8125,1,0.1875,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-38.1;smart_money_score:+21.0;momentum_score:+19.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 187493000.0, ""cash_total"": 602068000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.533790594848874, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|nonpos,0.09648795652173912,,0.3113,0,1,-1.1457,-0.2065,5,5,buying,0.7889,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,327.67,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.395339,price_history,,5,-0.0005,price_history,,-0.192308,,50.8538,3.1359,-0.275419,0.083111,mid,mid,none,drug_developer,morningstar,,,,0,0.7964720782959124928036845135,76.38,41.25000000000000000000000000,77.5,30.00,18.38169281317969364616594938,68.97959183673469387755102041,17.5262,-1.1083,2.0,,7,1.0,0.0473,0,0,0.0,0.4,0.75,rare_disease,0.701,highly_crowded,1.0,133,0.09648795652173912,0.530142,0.0756,22.72,0.469858,-0.0756
FDMT,"4D Molecular Therapeutics, Inc.",11,0.42,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.427305,,0,0.832237,1,0.167763,,0,no_upcoming,9,tailwind,overbought_rsi,M,momentum_tailwind|cost_haircut_<=2000bps,momentum_score:+41.1;clinical_score:-38.9;catalyst_score:-14.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",mid|none|nonpos,0.09648795652173912,,-0.882,1126,1,-1.2277,-0.3733,1,1,neutral,-0.775,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,1.426286,price_history,,1,0.9787,price_history,,-0.06206,,71.6208,0.8446,-0.275419,0.213359,mid,small,none,drug_developer,morningstar,,,,0,0.7763454812140358794990409568,96.55,41.25000000000000000000000000,55.0,64.29,16.48803739182747929103614235,67.75510204081632653061224490,14.7294,-1.2262,2.0,1460,6,1.0,0.0,0,0,0.0,0.3,0.5,respiratory,0.2303,moderate,1.0,121,0.09648795652173912,0.572695,0.1832,23.13,0.480496,-0.0489
