ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
LQDA,Liquidia Corporation,1,0.93,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.732082,,0,0.819018,1,0.180982,106,0,specific_days,9,tailwind,overbought_rsi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+43.3;financial_score:-35.2;clinical_score:-30.4,tier=A;reason=high_opt+catalyst_near;cat_days=106;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|near_91_180|nonpos,0.02584161904761905,,0.5981,0,1,-1.1699,0.0,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,106,False,specific_days,0.650966,price_history,,3,1.0183,price_history,,-0.03168,,76.271,0.5778,-0.122548,0.090868,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,87.63,45.56250000000000000000000000,65.5,62.39,13.98558068911238078266712701,9.111111111111111111111111112,13.62,-1.2747,3.0,34,4,1.0,1.75,1,2,0.0,0.3,0.5,respiratory,0.6858,highly_crowded,1.0,215,0.02584161904761905,0.267918,-0.6191,9.85,0.069966,-1.476,0.001292,0.0,0.0,0.0,0.0,0.001292,0.0
TECX,"Tectonic Therapeutic, Inc.",2,0.46,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.895904,,0,0.923313,1,0.076687,,0,no_upcoming,9,tailwind,high_beta|deep_drawdown,M,sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,clinical_score:-40.2;momentum_score:+19.8;financial_score:+17.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 45617000.0, ""cash_total"": 268435000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 70.61446390599995, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|nonpos,-0.08307073563218391,,-1.3079,602,1,-1.5349,-1.1405,4,4,selling,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1072.93,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.109671,price_history,,4,2.4162,price_history,,-0.351386,,44.5357,0.7014,-0.122548,-0.228838,mid,small,none,drug_developer,morningstar,,,,0,0.7419021509911429776465626318,65.20,41.25000000000000000000000000,53.0,55.28,5.286281179138321995464852608,62.50000000000000000000000000,4.3462,-1.6679,2.0,602,1,0.0,0.0066,0,0,0.0,0.4,0.85,cardiovascular,0.6858,highly_crowded,1.0,263,-0.08307073563218391,0.104096,-1.2586,16.64,0.284983,-0.5681,-0.004154,0.0,0.0,0.0,0.0,-0.004154,0.0
DNTH,"Dianthus Therapeutics, Inc.",3,0.93,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.861775,,0,0.904908,1,0.095092,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-40.7;smart_money_score:+37.6;momentum_score:+11.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 82077000.0, ""cash_total"": 402613000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 58.86370115866808, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",mid|none|nonpos,-0.08307073563218391,,-1.0924,164,1,-1.4741,-0.9929,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,501.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.055914,price_history,,8,1.6606,price_history,,-0.23325,,58.387,,-0.122548,-0.110702,mid,mid,none,drug_developer,morningstar,,,,0,0.8042192295447309773957338427,59.35,41.25000000000000000000000000,85,87.50,6.734693877551020408163265306,44.73143424036281179138321995,5.1222,-1.635,2.0,164,2,0.3333,0.2703,0,1,0.0,0.4,0.6,cns,0.6858,highly_crowded,1.0,253,-0.08307073563218391,0.138225,-1.0883,25.01,0.517065,0.0428,-0.004154,0.0,0.0,0.0,0.0,-0.004154,0.0
ELDN,"Eledon Pharmaceuticals, Inc.",4,0.6,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.834471,,0,0.751534,1,0.248466,472,0,specific_days,9,tailwind,,L,catalyst_far_lift|momentum_tailwind|cost_haircut_>2000bps,momentum_score:+30.2;clinical_score:-24.6;financial_score:-15.8,tier=B;reason=high_opt+catalyst_far;cat_days=472;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|pos,-0.05730012676056338,,0.049,0,1,-0.9452,0.2916,1,1,neutral,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,472,False,specific_days,0.138878,price_history,,1,1.4046,price_history,,-0.145283,,52.066,,-0.122548,-0.022735,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592705599300087489063867017,74.14,45.56250000000000000000000000,52.5,41.00,19.34240362811791383219954649,28.14342403628117913832199546,17.8129,-1.0969,2.0,209,6,1.0,0.1956,0,0,0.0,0.3,0.55,metabolic,-0.5032,uncrowded,1.0,245,-0.05730012676056338,0.165529,-0.972,15.67,0.254266,-0.6611,0.288735,0.2916,0.0,0.0,0.0,-0.002865,0.0
REPL,"Replimune Group, Inc.",5,0.93,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.813993,,0,0.898773,1,0.101227,199,0,specific_days,9,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,clinical_score:-37.3;momentum_score:+32.5;smart_money_score:+8.6,tier=B;reason=high_opt+catalyst_far;cat_days=199;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",late|near_181_270|nonpos,-0.010419444444444443,,-0.215,82,1,-1.4614,-0.9618,5,5,selling,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,199,False,specific_days,0.313104,price_history,,5,1.6623,price_history,,-0.055593,,58.2821,0.5897,-0.122548,0.066955,late,small,sev1,drug_developer,morningstar,,,,0,0.8335099569116105741236753232,76.88,45.56250000000000000000000000,53.0,40.17,7.039660529920812589795850184,39.28410583599174329142428223,7.4663,-1.5356,3.0,1417,12,1.0,0.5819,1,0,0.0,0.5,0.95,oncology,0.6858,highly_crowded,1.0,239,-0.010419444444444443,0.186007,-0.8927,11.08,0.104096,-1.2586,-0.000521,0.0,0.0,0.0,0.0,-0.000521,0.0
ACLX,"Arcellx, Inc.",6,1.1,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.803754,,0,0.935583,1,0.064417,228,0,specific_days,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,catalyst_far_lift|sponsor_confirmed|momentum_headwind,smart_money_score:+42.2;clinical_score:-32.8;financial_score:-21.3,tier=B;reason=high_opt+catalyst_far;cat_days=228;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 152083000.0, ""cash_total"": 461383000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 36.40509458650868, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|near_181_270|nonpos,-0.010419444444444443,,0.57,0,1,-1.5469,-1.1696,7,7,buying,1.5142,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,207.9,1.0,0,0,1.0,0,1.0,0,228,False,specific_days,-0.252335,price_history,,7,1.0966,price_history,,-0.387684,,42.6728,0.5575,-0.122548,-0.265136,late,mid,none,drug_developer,morningstar,,,,0,0.8816242164223572875700154928,41.94,45.56250000000000000000000000,80.0,37.52,5,16.45679012345679012345679013,3.8205,-1.6902,3.0,1233,5,1.0,0.0425,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,236,-0.010419444444444443,0.196246,-0.8551,13.94,0.182594,-0.9055,-0.000521,0.0,0.0,0.0,0.0,-0.000521,0.0
TRDA,"Entrada Therapeutics, Inc.",7,0.09,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.663823,,0,0.972393,1,0.027607,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,momentum_headwind|runway_short|cost_haircut_>2000bps,clinical_score:-23.2;financial_score:-23.2;smart_money_score:+21.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 128512000.0, ""cash_total"": 90394000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.440674800796813, ""stage_bucket"": ""early"", ""surv_score"": ""-2.0"", ""tier1_count"": 1}",early|none|nonpos,0.052597628865979386,,-2.0648,,0,-1.5469,-1.1696,1,1,selling,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.239866,price_history,,1,1.584,price_history,,-0.37749,,46.1531,0.5606,-0.122548,-0.254942,early,small,sev2,drug_developer,morningstar,,,,0,0.7763785017638514214567337622,40.39,41.25000000000000000000000000,49.5,76.05,5,5,3.4705,-1.7051,0.0,352,1,0.0,0.0,0,0,0.0,0.0,0.5,other,-0.5032,uncrowded,1.0,195,0.052597628865979386,0.336177,-0.4229,3.41,0.001706,-2.9279,0.00263,0.0,0.0,0.0,0.0,0.00263,0.0
WVE,Wave Life Sciences Ltd.,8,1.1,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.506826,,0,0.616564,1,0.383436,,0,no_upcoming,9,tailwind,high_vol|high_beta,L,sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+23.6;clinical_score:-22.0;catalyst_score:-12.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 187493000.0, ""cash_total"": 602068000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.533790594848874, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|pos,0.06229207594936709,,0.059,0,1,-0.42,1.5671,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,327.67,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.200823,price_history,,5,1.8485,price_history,,-0.342457,,39.5991,3.1359,-0.122548,-0.219909,mid,mid,none,drug_developer,morningstar,,,,0,0.7964720782959124928036845135,63.42,41.25000000000000000000000000,77.5,62.06,31.86224489795918367346938776,55.51785714285714285714285714,30.7087,-0.55,2.0,,8,1.0,0.0062,0,0,0.0,0.4,0.75,rare_disease,0.6858,highly_crowded,1.0,149,0.06229207594936709,0.493174,-0.0171,26.82,0.561433,0.1546,1.570215,1.5671,0.0,0.0,0.0,0.003115,0.0
BCAX,Bicara Therapeutics Inc.,9,0.23,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.428328,,0,0.769939,1,0.230061,,0,no_upcoming,9,headwind,drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,clinical_score:-27.3;smart_money_score:+26.5;financial_score:+9.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 82948000.0, ""cash_total"": 290167000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.9781549886676, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|pos,0.06229207594936709,,-1.2861,685,1,-1.0155,0.1209,4,4,buying,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1066.54,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.323858,price_history,,4,1.7227,price_history,,,series_too_short,49.9731,0.6287,-0.122548,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7405545013704406493780307822,40.43,41.25000000000000000000000000,71.5,76.00,17.66723356009070294784580499,54.00000000000000000000000000,16.7271,-1.1429,2.0,1142,2,0.3333,0.0009,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,126,0.06229207594936709,0.571672,0.1806,20.27,0.421502,-0.1981,0.124015,0.1209,0.0,0.0,0.0,0.003115,0.0
ZBIO,"Zenas BioPharma, Inc.",10,0.28,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.397611,,0,0.720859,1,0.279141,,0,no_upcoming,9,headwind,high_vol|drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+27.0;clinical_score:-17.4;momentum_score:-12.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.07621351479289941,,0.6134,0,1,-0.8306,0.5698,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.587262,price_history,,3,1.1834,price_history,,,series_too_short,37.5261,1.5048,-0.122548,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089179366940211019929660023,27.17,41.25000000000000000000000000,66.5,71.34,22.07361125032948348127605704,40.59168908071141135505931903,20.7333,-0.973,3.0,272,7,1.0,0.4749,0,0,0.0,0.4,0.6,autoimmune,0.6858,highly_crowded,1.0,117,0.07621351479289941,0.602389,0.2595,16.02,0.267918,-0.6191,0.858511,0.8547,0.0,0.0,0.0,0.003811,0.0
PVLA,"Palvella Therapeutics, Inc.",11,0.93,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.37372,,0,0.641104,1,0.358896,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+24.7;financial_score:-23.9;momentum_score:+23.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.07621351479289941,,0.6305,0,1,-0.5139,1.339,4,4,buying,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.236661,price_history,,4,1.0178,price_history,,-0.0225,,79.3965,,-0.122548,0.100048,late,small,none,drug_developer,morningstar,,,,0,0.8521463044998834227092562369,70.34,41.25000000000000000000000000,72.0,70.01,29.62377627050686625012529654,23.38220637601384458205625404,28.7943,-0.6312,3.0,321,6,1.0,0.1926,0,0,0.0,0.7,0.5,other,-3.5944,uncrowded,1.0,110,0.07621351479289941,0.62628,0.322,18.98,0.377133,-0.313,2.012311,2.0085,0.0,0.0,0.0,0.003811,0.0
