ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority,alpha_cohort_pct,clinical_score_z,clinical_score_z_tier,coinvest_score_z,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,missingness_penalty,missing_components,commercial_quality_pct,clinical_score_v2,competitive_intensity_z,sizing_multiplier_clinical,clinical_score_v2_z,de_vol_60d
IRON,106,37.00,0.653605,0.3951,37.00,0.663009,0.4207,late,mid,none,drug_developer,40.01,50.726,85,46.33,31.23456790123456790123456790,60.01538461538461538461538461,0.8854555061179087875417130145,0.39071,0.60929,v1.3.0,96f655ee,1,,8,8,buying,85,0,specific_days,near,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,471.73,1.0,0,1.0,0,0,A,high_opt+catalyst_near,1,0.64,85,False,specific_days,-0.1388,8,,-0.141539,,,-0.023106,-0.118433,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3,0.653605,-0.413225,1.654833,0,0,0,0,0,0,,,31.23456790123456790123456790,0,1.0,0,
TENX,146,30.18,0.550157,0.1261,30.22,0.537618,0.0944,late,micro,none,drug_developer,82.07,50.132,49.65327428781865679437633663,70.61,32.02200715603849189651521278,57.29850746268656716417910448,0.8370615232595444337504010266,0.396175,0.603825,v1.3.0,96f655ee,1,,1,1,buying,145,0,specific_days,mid,adequate,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1896.04,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,2,0.53,145,False,specific_days,0.4505,1,,-0.323481,,,-0.023106,-0.300375,morningstar,,,9,0.550157,-0.379412,1.743214,0,0,0,0,0,0,,,32.02200715603849189651521278,0,1.0,0,
CRSP,160,28.38,0.518809,0.0472,28.41,0.5,0.0,late,mid,none,drug_developer,26.41,33.98509511111111111111111111,58.52748937919063323873686081,67.04,19.78039597479710348203702328,68.450,0.8715244954844464265804437507,0.259563,0.740437,v1.3.0,96f655ee,1,,3,3,buying,36,1,specific_days,near,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,317.74,1.0,0,1.0,0,0,A,high_opt+catalyst_near,3,0.75,36,True,specific_days,-0.3106,3,1.4197,-0.223,,59.5411,-0.023106,-0.199894,morningstar,,,9,0.518809,-0.905066,0.369244,0,0,0,0,0,0,,,19.78039597479710348203702328,0,1.0,0,
BCAX,196,21.30,0.437304,-0.1578,21.34,0.390282,-0.2786,mid,small,none,drug_developer,47.64,44.94541511111111111111111111,75.33380347411919467148962039,69.48,18.64579204650548289073853877,60.18181818181818181818181818,0.7364405175134111707163142947,0.243169,0.756831,v1.3.0,96f655ee,1,,4,4,buying,146,0,specific_days,mid,adequate,neutral,,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,0.7,<=2000bps,1,1010.38,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,4,0.53,146,False,specific_days,-0.0327,4,,-0.131868,,,-0.023106,-0.108762,morningstar,SEC_8K_FILING,DATA_READOUT,2,0.437304,-0.953786,0.241899,0,0,0,0,0,0,,,18.64579204650548289073853877,0,1.0,0,
RAPP,222,18.94,0.4279,-0.1817,18.95,0.305643,-0.5082,mid,small,sev1,drug_developer,47.40,34.80454400000000000000000000,81.24856169331799875224423672,49.42,15.45910952569692165411547100,66.36363636363636363636363636,0.7298622589531680440771349862,0.193989,0.806011,v1.3.0,96f655ee,1,,5,5,neutral,55,1,specific_days,near,adequate,neutral,,L,tier_a_dev|sponsor_confirmed,0.85,<=1000bps,1,972.38,1.0,0,1.0,0,0,A,high_opt+catalyst_near,5,0.64,55,True,specific_days,-0.0361,5,,-0.177586,,,-0.023106,-0.15448,morningstar,SEC_8K_FILING,DATA_READOUT,2,0.4279,-1.090621,-0.115767,0,0,0,0,0,0,,,15.45910952569692165411547100,0,1.0,0,
PVLA,180,24.42,0.418495,-0.2057,24.42,0.437304,-0.1578,late,small,none,drug_developer,42.49,53.786,85,34.79,29.67454050917331529197572118,19.38509079716835949522930132,0.8432369934344577767715644102,0.374317,0.625683,v1.3.0,96f655ee,1,,4,4,buying,24,1,specific_days,near,adequate,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,696.14,1.0,0,1.0,0,0,A,high_opt+catalyst_near,6,0.64,24,True,specific_days,-0.1043,4,,-0.299257,,,-0.023106,-0.276151,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3,0.418495,-0.480212,1.47974,0,0,0,0,0,0,,,29.67454050917331529197572118,0,1.0,0,
PRTA,189,22.91,0.399687,-0.2542,22.94,0.409091,-0.2299,late,small,none,drug_developer,33.29,30.59110400000000000000000000,50.74862098831017922904236913,85.59,22.17142589979895987173034770,47.99155432440751000307787011,0.8522290773122181898163422413,0.281421,0.718579,v1.3.0,96f655ee,1,,2,2,neutral,17,1,specific_days,near,adequate,headwind,deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1349.39,1.0,0,1.0,0,0,A,high_opt+catalyst_near,7,0.32,17,True,specific_days,-0.2199,2,,-0.2784,,29.5,-0.023106,-0.255294,morningstar,CTGOV_CALENDAR,DATA_READOUT,2,0.399687,-0.802395,0.637608,0,0,0,0,0,0,,,22.17142589979895987173034770,0,1.0,0,
CELC,228,17.78,0.393417,-0.2704,17.74,0.283699,-0.5719,late,mid,none,drug_developer,67.10,59.546,85,32.50,12.93733103416032056412245022,39.04402366863905325443786983,0.8083054066130473637176050045,0.161202,0.838798,v1.3.0,96f655ee,1,,6,6,buying,24,1,specific_days,near,adequate,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,331.43,1.0,0,1.0,0,0,A,high_opt+catalyst_near,8,0.75,24,True,specific_days,0.2250,6,,-0.110618,,,-0.023106,-0.087512,morningstar,,,9,0.393417,-1.198906,-0.398806,0,0,0,0,0,0,,,12.93733103416032056412245022,0,1.0,0,
ORKA,186,23.32,0.374608,-0.3197,23.32,0.418495,-0.2057,mid,small,none,drug_developer,81.57,43.40787600000000000000000000,85,46.44,10.87726251816620425419474172,42.71696765636159575553514948,0.8330605161998901702361339923,0.144809,0.855191,v1.3.0,96f655ee,1,,7,7,buying,116,0,specific_days,near,adequate,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,732.36,1.0,0,1.0,0,0,A,high_opt+catalyst_near,9,0.64,116,False,specific_days,0.4408,7,,-0.028567,,,-0.023106,-0.005461,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.374608,-1.287365,-0.630023,0,0,0,0,0,0,,,10.87726251816620425419474172,0,1.0,0,
DNTH,212,19.81,0.340125,-0.4121,19.81,0.336991,-0.4207,late,mid,none,drug_developer,74.72,36.65610844444444444444444444,85,40.91,5,58.44615384615384615384615384,0.8323761340782122905027932961,0.051913,0.948087,v1.3.0,96f655ee,1,,8,8,buying,145,0,specific_days,mid,adequate,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,495.67,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,10,0.64,145,False,specific_days,0.3264,8,,-0.127552,,,-0.023106,-0.104446,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.340125,-1.539735,-1.289673,0,0,0,0,0,0,,,5,0,1.0,0,
