ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
RVMD,"Revolution Medicines, Inc.",1,0.95,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.674377,,0,0.60596,1,0.39404,140,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,smart_money_score:+22.2;clinical_score:-17.2;catalyst_score:-9.2,tier=A;reason=high_opt+catalyst_mid;cat_days=140;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",mid|near_91_180|nonpos,0.020021833333333332,,-0.5818,140,1,-0.2999,-0.5818,8,8,buying,1.9576,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,140,False,specific_days,0.023031,price_history,,8,1.3235,price_history,,-0.324703,,62.8609,0.4254,-0.330172,0.005469,mid,large,none,drug_developer,morningstar,,,,0,0.8553846190250828206341694274,54.98,45.56250000000000000000000000,77.0,10.00,37.57571874065530351574180870,58.82352941176470588235294117,36.4571,-0.3098,2.0,600,6,1.0,0.0915,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,190,0.020021833333333332,0.325623,-0.452,31.13,0.624555,0.3175
CELC,Celcuity Inc.,2,0.95,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.065836,,0,0.956954,1,0.043046,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-44.6;smart_money_score:+33.4;momentum_score:+16.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|none|nonpos,0.1,,0.7895,0,1,-1.7051,0.7895,6,6,buying,1.1762,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.060908,price_history,,6,0.1963,price_history,,-0.43566,,57.0061,,-0.330172,-0.105488,late,mid,none,drug_developer,morningstar,,,,0,0.8124607582709490461241246076,65.95,41.25000000000000000000000000,83.0,15.35,5,52.85714285714285714285714286,4.2314,-1.6684,3.0,1327,7,1.0,0.0636,0,0,0.0,0.3,0.95,oncology,-0.4728,uncrowded,1.0,19,0.1,0.934164,1.5075,13.62,0.158363,-1.0012
CGON,"CG Oncology, Inc.",3,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.072954,,0,0.937086,1,0.062914,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-43.4;smart_money_score:+34.2;financial_score:+15.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",late|none|nonpos,0.1,,0.7915,0,1,-1.6859,0.7915,6,6,buying,1.1762,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,-0.330172,,late,mid,none,drug_developer,morningstar,,,drawdown,1,0.8569030382461575122125580841,50,41.25000000000000000000000000,83.0,10.00,5.445816186556927297668038411,64.28571428571428571428571429,4.5769,-1.6538,3.0,1869,6,1.0,0.3807,0,1,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,21,0.1,0.927046,1.4541,16.48,0.279359,-0.5847
COGT,"Cogent Biosciences, Inc.",4,0.95,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.087189,,0,0.923841,1,0.076159,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+42.7;financial_score:-37.3;clinical_score:-35.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.1,,0.7949,0,1,-1.6373,0.7949,7,7,buying,1.5669,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.141832,price_history,,7,0.8879,price_history,,-0.268982,,44.2014,2.489,-0.330172,0.06119,late,mid,sev1,drug_developer,morningstar,,,,0,0.8130890683379534771604194287,73.68,41.25000000000000000000000000,85,11.42,6.572359396433470507544581617,5,6.5037,-1.5726,3.0,1054,5,1.0,0.0009,0,0,0.0,0.5,0.95,oncology,-0.4728,uncrowded,1.0,25,0.1,0.912811,1.3583,7.32,0.033808,-1.8276
LQDA,Liquidia Corporation,5,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.204626,,0,0.864238,1,0.135762,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,smart_money_score:+33.9;financial_score:-22.9;clinical_score:-18.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.8128,0,1,-1.3568,0.8128,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.345079,price_history,,3,0.3451,price_history,,-0.413588,,43.8416,0.5778,-0.330172,-0.083416,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,29.38,41.25000000000000000000000000,65.5,23.23,13.07484567901234567901234568,8.710002519526329050138573940,11.2562,-1.3722,3.0,860,4,1.0,0.0018,0,0,0.0,0.3,0.5,respiratory,0.7029,highly_crowded,1.0,58,0.1,0.795374,0.8252,11.14,0.08363,-1.3811
PRTA,Prothena Corporation plc,6,0.4,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.275801,,0,0.824503,1,0.175497,,0,no_upcoming,9,tailwind,high_beta,M,sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,momentum_score:+40.6;clinical_score:-34.8;catalyst_score:-9.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 140268000.0, ""cash_total"": 330843000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.303789887928822, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|nonpos,0.1,,0.8213,0,1,-1.2219,0.8213,2,2,neutral,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1434.82,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.909932,price_history,,2,2.0848,price_history,,-0.103389,,53.397,0.4848,-0.330172,0.226783,late,small,none,drug_developer,morningstar,,,,0,0.8474842338662621075971525265,91.63,41.25000000000000000000000000,55.0,83.86,16.20198902606310013717421125,51.03448275862068965517241380,14.8024,-1.2227,3.0,873,9,1.0,0.0048,0,0,0.0,0.4,0.6,cns,0.7029,highly_crowded,1.0,78,0.1,0.724199,0.5954,18.79,0.375445,-0.3175
URGN,UroGen Pharma Ltd.,7,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.642349,,0,0.784768,1,0.215232,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind|runway_short,smart_money_score:+31.5;financial_score:-29.6;clinical_score:-20.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.06877803448275861,,0.8372,0,1,-1.0539,0.8372,4,4,buying,0.3949,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.107759,price_history,,4,0.4004,price_history,,-0.534239,,31.6155,0.7699,-0.330172,-0.204067,late,small,sev2,drug_developer,morningstar,,,,0,0.8225032197634937360964758225,58.33,41.25000000000000000000000000,72.0,71.26,20.09602194787379972565157750,10.87726251816620425419474172,20.522,-0.9816,3.0,83,12,1.0,1.6521,1,3,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,181,0.06877803448275861,0.357651,-0.3647,5.30,0.016014,-2.1441
CRNX,"Crinetics Pharmaceuticals, Inc.",8,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.535587,,0,0.778146,1,0.221854,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,clinical_score:-29.0;financial_score:+26.0;smart_money_score:+21.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.06877803448275861,,0.8382,0,1,-1.0253,0.8382,5,5,buying,0.7855,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.088178,price_history,,5,0.9594,price_history,,-0.352693,,51.6667,0.6688,-0.330172,-0.022521,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,39.39,41.25000000000000000000000000,71.5,21.65,20.76003086419753086419753086,75.71428571428571428571428572,20.4417,-0.985,3.0,241,5,1.0,0.2593,0,0,0.0,0.5,0.95,oncology,0.7029,highly_crowded,1.0,151,0.06877803448275861,0.464413,-0.0893,22.06,0.460854,-0.0983
AVIR,"Atea Pharmaceuticals, Inc.",9,0.08,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.510676,,0,0.764901,1,0.235099,,0,no_upcoming,9,headwind,deep_drawdown,XS,sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_>2000bps,smart_money_score:+20.0;financial_score:-19.6;catalyst_score:+12.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 103808000.0, ""cash_total"": 77344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.940813810110974, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",late|none|pos,0.06877803448275861,,0.8387,0,1,-0.9965,0.8387,2,2,selling,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.340073,price_history,,2,0.9294,price_history,,-0.550435,,40.1531,0.5268,-0.330172,-0.220263,late,small,sev2,drug_developer,morningstar,,,,0,0.8879505054025792959219240153,23.91,41.25000000000000000000000000,49.0,89.37,21.42832647462277091906721536,9.402827321971198308891531248,21.1056,-0.957,3.0,,9,1.0,0.6509,1,1,0.0,0.4,0.55,infectious_disease,0.7029,highly_crowded,1.0,144,0.06877803448275861,0.489324,-0.0268,7.91,0.040925,-1.74
SVRA,"Savara, Inc.",10,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.635231,,0,0.751656,1,0.248344,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,smart_money_score:+30.4;financial_score:-19.0;clinical_score:-11.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.06877803448275861,,0.84,0,1,-0.8793,0.84,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.261233,price_history,,3,0.5482,price_history,,-0.37766,,43.3985,0.6811,-0.330172,-0.047488,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,31.33,41.25000000000000000000000000,66.5,59.45,24.14437585733882030178326475,17.03923900118906064209274673,22.7448,-0.8879,3.0,384,9,1.0,0.0611,0,0,0.0,0.4,0.5,respiratory,0.7029,highly_crowded,1.0,179,0.06877803448275861,0.364769,-0.3457,14.05,0.176157,-0.9301
VIR,"Vir Biotechnology, Inc.",11,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.649466,,0,0.705298,1,0.294702,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+15.3;clinical_score:-15.1;momentum_score:+9.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.06877803448275861,,0.8499,0,1,-0.6049,0.8499,2,2,buying,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.133255,price_history,,2,0.7347,price_history,,-0.4938,,68.7231,0.7493,-0.330172,-0.163628,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,55.52,41.25000000000000000000000000,61.0,75.98,30.50625857338820301783264746,39.98546703659664420663231602,30.8567,-0.5459,3.0,133,14,1.0,1.689,3,2,0.0,0.4,0.55,infectious_disease,0.7029,highly_crowded,1.0,183,0.06877803448275861,0.350534,-0.3839,24.60,0.517794,0.0446
