ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
QURE,uniQure N.V.,1,0.84,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.912393,,0,0.639423,1,0.360577,81,0,specific_days,9,neutral,high_vol|drawdown_data_missing,L,tier_a_dev|sponsor_confirmed|high_risk,smart_money_score:+24.7;clinical_score:-22.0;financial_score:+18.2,tier=A;reason=high_opt+catalyst_near;cat_days=81;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 100394000.0, ""cash_total"": 597056000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 71.36553977329322, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_31_90|nonpos,-0.01808776923076923,,0.4467,0,1,-0.3633,0.0,9,9,buying,2.5239,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,501.73,0.85,1,0,1.0,0,1.0,0,81,False,specific_days,0.138379,price_history,,9,0.6505,price_history,,,series_too_short,53.7813,1.3016,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.8014099831744251261918115536,50.09,45.56250000000000000000000000,83.0,60.94,36.24000000000000000000000000,76.43750000000000000000000000,36.3573,-0.3242,2.0,81,6,1.0,0.5092,1,1,0.0,0.3,0.6,cns,-0.4244,uncrowded,1.0,214,-0.01808776923076923,0.087607,-1.3556,27.93,0.570513,0.1777
EYPT,"EyePoint, Inc.",2,0.25,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.258547,,0,0.600962,1,0.399038,,0,no_upcoming,9,headwind,drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|runway_short,smart_money_score:+35.3;financial_score:-31.5;momentum_score:-12.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 175063000.0, ""cash_total"": 204022000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.985045383661882, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 4}",late|none|pos,0.1,,-0.0021,146,1,-0.1763,2.0632,4,4,buying,0.4999,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,660.09,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.715077,price_history,,4,1.2874,price_history,,,series_too_short,45.2775,0.7147,,,late,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8715265061642242381949290533,24.34,41.25000000000000000000000000,72.0,38.83,40.83085657674135040390184424,5.200277777777777777777777778,40.0805,-0.1653,3.0,,5,1.0,0.2962,0,1,0.0,0.4,0.55,ophthalmology,0.2783,moderate,1.0,61,0.1,0.741453,0.6478,12.84,0.117521,-1.1875
VERA,"Vera Therapeutics, Inc.",3,0.84,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.869658,,0,0.620192,1,0.379808,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+17.5;clinical_score:-14.5;financial_score:+13.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 171110000.0, ""cash_total"": 497389000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 34.88205248086027, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 5}",mid|none|pos,0.024867852713178294,,-0.7282,608,1,-0.2281,1.9528,5,5,buying,0.9047,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,439.3,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,5,,,series_too_short,,no_price_series,,0.7858,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7463214247853281034665535885,50,41.25000000000000000000000000,71.5,50,39.56000000000000000000000000,67.88000000000000000000000000,38.4857,-0.2334,2.0,608,1,0.0,0.0063,0,0,0.0,0.4,0.55,infectious_disease,0.7467,highly_crowded,1.0,204,0.024867852713178294,0.130342,-1.1248,33.51,0.673077,0.4484
PVLA,"Palvella Therapeutics, Inc.",4,0.84,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.839744,,0,0.610577,1,0.389423,,0,no_upcoming,9,tailwind,drawdown_data_missing,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+19.2;clinical_score:-13.2;catalyst_score:-11.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|pos,0.024867852713178294,,-0.3378,99,1,-0.2281,1.9528,4,4,buying,0.4999,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.092227,price_history,,4,1.242,price_history,,,series_too_short,48.1081,,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7773326741005680622764569745,63.24,41.25000000000000000000000000,72.0,50,39.56000000000000000000000000,47.76562500000000000000000000,39.3207,-0.1978,2.0,99,1,0.0,0.4382,0,1,0.0,0.4,0.5,other,-3.4692,uncrowded,1.0,197,0.024867852713178294,0.160256,-0.9934,27.96,0.574786,0.1886
AURA,"Aura Biosciences, Inc.",5,0.16,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.771368,,0,0.668269,1,0.331731,,0,no_upcoming,9,neutral,drawdown_data_missing,S,sponsor_confirmed|runway_short|cost_haircut_>2000bps,financial_score:-29.0;smart_money_score:+14.9;momentum_score:+12.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",mid|none|pos,0.024867852713178294,,-0.6454,228,1,-0.4516,1.4761,2,2,selling,-0.3096,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,0.5411,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8033395525727069351230425056,50,41.25000000000000000000000000,52.0,67.19,34.07111111111111111111111111,8.062499999999999999999999999,32.624,-0.4836,2.0,1410,3,0.6667,0.0374,0,0,0.0,0.3,0.55,ophthalmology,0.7467,highly_crowded,1.0,181,0.024867852713178294,0.228632,-0.7434,8.78,0.061966,-1.5385
NUVB,Nuvation Bio Inc.,6,0.5,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.826923,,0,0.6875,1,0.3125,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,M,sponsor_confirmed|high_risk,financial_score:+24.1;clinical_score:-18.1;catalyst_score:-8.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 143694000.0, ""cash_total"": 549045000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 44.273359540368915, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",mid|none|pos,0.024867852713178294,,0.4344,0,1,-0.5385,1.2908,6,6,selling,1.3095,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,551.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,1.2485,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7377203682393555811277330265,50,41.25000000000000000000000000,53.0,23.44,31.93777777777777777777777778,74.18000,31.1907,-0.5448,2.0,1456,3,0.6667,0.0,0,0,0.0,0.3,0.95,oncology,0.7467,highly_crowded,1.0,194,0.024867852713178294,0.173077,-0.9421,22.12,0.438034,-0.156
RCKT,"Rocket Pharmaceuticals, Inc.",7,0.84,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.844017,,0,0.725962,1,0.274038,,0,no_upcoming,9,tailwind,drawdown_data_missing,L,sponsor_confirmed|momentum_tailwind,clinical_score:-28.6;momentum_score:+13.7;smart_money_score:+13.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.024867852713178294,,-0.5849,172,1,-0.8715,0.5804,3,3,buying,0.0951,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.155865,price_history,,3,1.3911,price_history,,,series_too_short,49.2719,0.6262,,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7990581748621582086193316080,66.07,41.25000000000000000000000000,66.0,76.56,23.76000000000000000000000000,64.62500000000000000000000000,22.6629,-0.9088,2.0,172,5,1.0,0.0644,0,0,0.0,0.3,0.5,other,-1.5955,uncrowded,1.0,198,0.024867852713178294,0.155983,-1.0111,22.59,0.450855,-0.1235
CELC,Celcuity Inc.,8,0.59,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.779915,,0,0.745192,1,0.254808,,0,no_upcoming,9,headwind,drawdown_data_missing,M,sponsor_confirmed|momentum_headwind,smart_money_score:+33.3;clinical_score:-27.9;catalyst_score:-8.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",mid|none|pos,0.024867852713178294,,-0.7623,586,1,-0.9512,0.4105,6,6,buying,1.3095,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.213106,price_history,,6,0.8871,price_history,,,series_too_short,45.6591,,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7816000460776408247897707637,44.49,41.25000000000000000000000000,83.0,14.06,21.80444444444444444444444444,57.80000000000000000000000000,21.4074,-0.9624,2.0,1235,5,1.0,0.0019,0,0,0.0,0.3,0.95,oncology,-0.4244,uncrowded,1.0,183,0.024867852713178294,0.220085,-0.7719,19.12,0.344017,-0.4015
CLDX,"Celldex Therapeutics, Inc.",9,0.84,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.190171,,0,0.735577,1,0.264423,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,clinical_score:-35.5;momentum_score:+32.5;catalyst_score:-17.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.1,,0.9225,0,1,-0.8745,0.5741,4,4,buying,0.4999,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,4.229638,price_history,,4,-0.5729,price_history,,-0.2393,,81.9022,0.4801,,,late,small,none,drug_developer,morningstar,,,,0,0.8764684852002321532211259431,91.65,41.25000000000000000000000000,71.5,68.62,23.68693796677335771985977748,67.63414634146341463414634146,25.376,-0.793,3.0,,44,1.0,0.9156,2,1,0.0,0.4,0.95,oncology,-0.4244,uncrowded,1.0,45,0.1,0.809829,0.8773,24.87,0.527778,0.0697
ABSI,Absci Corporation,10,0.42,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.00641,,0,0.716346,1,0.283654,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-22.9;smart_money_score:+18.6;financial_score:+8.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.1,,-0.2523,,0,-0.8184,0.6938,3,3,buying,0.0951,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.9218,,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089663629992992291520672740,50,41.25000000000000000000000000,66.5,67.55,25.06496723060509068739521414,56.87804878048780487804878048,24.8987,-0.8133,3.0,,6,1.0,0.2385,0,1,0.0,0.4,0.95,oncology,0.7467,highly_crowded,1.0,2,0.1,0.99359,2.4887,18.82,0.331197,-0.4366
CGON,"CG Oncology, Inc.",11,0.84,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.784188,,0,0.754808,1,0.245192,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-31.8;smart_money_score:+31.4;financial_score:+12.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96130000.0, ""cash_total"": 680263000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 84.91788203474462, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 6}",mid|none|pos,0.024867852713178294,,0.4042,0,1,-1.0294,0.2438,6,6,buying,1.3095,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,407.78,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,6,,,series_too_short,,no_price_series,,0.7795,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.8262372448397764853461055993,50,41.25000000000000000000000000,83.0,10.00,19.88444444444444444444444444,64.10000000000000000000000000,19.1374,-1.0593,2.0,998,4,1.0,0.0002,0,0,0.0,0.3,0.95,oncology,0.7467,highly_crowded,1.0,184,0.024867852713178294,0.215812,-0.7864,23.56,0.485043,-0.0375
