ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
NUVB,Nuvation Bio Inc.,1,0.9,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.711604,,0,0.812883,1,0.187117,128,0,specific_days,9,neutral,high_vol|deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|high_risk,clinical_score:-31.1;financial_score:+20.4;smart_money_score:+7.4,tier=A;reason=high_opt+catalyst_mid;cat_days=128;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 143694000.0, ""cash_total"": 549045000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 44.273359540368915, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.014456981132075471,,0.6023,0,1,-1.1492,0.0,6,6,selling,1.1281,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,551.15,0.85,1,0,1.0,0,1.0,0,128,False,specific_days,0.218775,price_history,,6,1.6272,price_history,,-0.365239,,44.0021,1.2485,-0.112468,-0.252771,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,49.02,45.56250000000000000000000000,53.0,52.88,14.50399278291957633064920311,66.00000000000000000000000000,13.7817,-1.2665,3.0,138,12,1.0,0.4071,0,1,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,209,0.014456981132075471,0.288396,-0.5581,16.74,0.298635,-0.5283,0.000723,0.0,0.0,0.0,0.0,0.000723,0.0
ABCL,AbCellera Biologics Inc.,2,0.9,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.401024,,0,0.604294,1,0.395706,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-34.7;momentum_score:+27.2;smart_money_score:+18.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 131295000.0, ""cash_total"": 128513000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 11.74573289158003, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 2}",late|none|pos,0.07643309523809523,,-0.6893,,0,-0.3877,1.8635,2,2,buying,-0.4164,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,821.91,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.33964,price_history,,2,1.2484,price_history,,-0.37746,,63.9446,0.7022,-0.112468,-0.264992,late,small,sev2,drug_developer,morningstar,,,,0,0.8628528396501457725947521866,69.49,41.25000000000000000000000000,60.5,41.99,32.66133553112737181700394638,7.564667125372698650987260482,31.0245,-0.5362,3.0,,3,0.6667,0.0,0,0,0.0,0.4,0.55,infectious_disease,0.6858,highly_crowded,1.0,118,0.07643309523809523,0.598976,0.2507,10.72,0.093857,-1.3174,2.799072,2.79525,0.0,0.0,0.0,0.003822,0.0
ABSI,Absci Corporation,3,0.44,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.40785,,0,0.622699,1,0.377301,,0,no_upcoming,9,tailwind,high_beta|deep_drawdown|deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,clinical_score:-18.4;smart_money_score:+16.7;momentum_score:+8.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.07643309523809523,,-0.6896,919,1,-0.4391,1.7336,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.093488,price_history,,3,2.2943,price_history,,-0.392559,,63.3533,0.9218,-0.112468,-0.280091,late,small,none,drug_developer,morningstar,,,,0,0.8089242139840450492726419521,58.57,41.25000000000000000000000000,66.5,85.58,31.43740185104747903371312106,51.43835616438356164383561643,30.5006,-0.5584,3.0,,14,1.0,0.0001,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,120,0.07643309523809523,0.59215,0.2331,20.80,0.445392,-0.1373,2.604222,2.6004,0.0,0.0,0.0,0.003822,0.0
PVLA,"Palvella Therapeutics, Inc.",4,0.54,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.551195,,0,0.641104,1,0.358896,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+31.3;financial_score:-17.3;clinical_score:-11.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.07643309523809523,,0.6341,0,1,-0.5151,1.5411,4,4,buying,0.3558,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.232322,price_history,,4,0.6277,price_history,,-0.323768,,38.1013,,-0.112468,-0.2113,late,small,none,drug_developer,morningstar,,,,0,0.8521463044998834227092562369,37.39,41.25000000000000000000000000,72.0,38.78,29.62377627050686625012529654,23.38220637601384458205625404,28.794,-0.6307,3.0,342,6,1.0,0.1617,0,0,0.0,0.7,0.5,other,-3.5944,uncrowded,1.0,162,0.07643309523809523,0.448805,-0.1287,21.80,0.469283,-0.0771,2.315472,2.31165,0.0,0.0,0.0,0.003822,0.0
WVE,Wave Life Sciences Ltd.,5,1.06,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.233788,,0,0.616564,1,0.383436,,0,no_upcoming,9,tailwind,high_vol|high_beta,L,sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-23.2;smart_money_score:+22.4;momentum_score:+14.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 187493000.0, ""cash_total"": 602068000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.533790594848874, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",mid|none|pos,0.1,,0.0655,0,1,-0.4212,1.7787,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,327.67,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.081743,price_history,,5,1.8057,price_history,,-0.269465,,45.6172,3.1359,-0.112468,-0.156997,mid,mid,none,drug_developer,morningstar,,,,0,0.7964720782959124928036845135,69.18,41.25000000000000000000000000,77.5,27.38,31.86224489795918367346938776,55.51785714285714285714285714,31.1656,-0.5303,2.0,,8,1.0,0.2168,1,0,0.0,0.4,0.75,rare_disease,0.6858,highly_crowded,1.0,69,0.1,0.766212,0.7264,26.82,0.568259,0.1719,1.7837,1.7787,0.0,0.0,0.0,0.005,0.0
PRAX,"Praxis Precision Medicines, Inc",6,1.06,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.547782,,0,0.702454,1,0.297546,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+24.6;clinical_score:-23.2;momentum_score:+18.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 249068000.0, ""cash_total"": 599331000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.875535998201293, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.07643309523809523,,0.6193,0,1,-0.7844,0.8597,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,221.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.147784,price_history,,8,1.4494,price_history,,-0.091006,,54.9727,0.9863,-0.112468,0.021462,late,mid,none,drug_developer,morningstar,,,,0,0.8088929044693410432478014697,65.09,41.25000000000000000000000000,71.0,10.00,23.20250518820467699481365157,31.23456790123456790123456790,21.7436,-0.9293,3.0,220,8,1.0,0.3793,0,0,0.0,0.4,0.6,cns,0.6858,highly_crowded,1.0,161,0.07643309523809523,0.452218,-0.1201,15.32,0.244027,-0.6934,1.293372,1.28955,0.0,0.0,0.0,0.003822,0.0
ZBIO,"Zenas BioPharma, Inc.",7,0.27,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.575085,,0,0.714724,1,0.285276,,0,no_upcoming,9,headwind,high_vol|drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+28.2;momentum_score:-17.9;clinical_score:-15.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.07643309523809523,,0.6171,0,1,-0.8082,0.7996,3,3,buying,-0.0303,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.565192,price_history,,3,1.1584,price_history,,,series_too_short,35.8966,1.5048,-0.112468,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089179366940211019929660023,20.32,41.25000000000000000000000000,66.5,43.27,22.63657322329513181195496008,40.59168908071141135505931903,21.2031,-0.9522,3.0,293,7,1.0,0.3986,0,0,0.0,0.4,0.6,autoimmune,0.6858,highly_crowded,1.0,169,0.07643309523809523,0.424915,-0.1893,16.01,0.264505,-0.6295,1.203222,1.1994,0.0,0.0,0.0,0.003822,0.0
RVMD,"Revolution Medicines, Inc.",8,1.06,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.271331,,0,0.720859,1,0.279141,311,0,specific_days,9,headwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_headwind,smart_money_score:+29.2;clinical_score:-25.7;momentum_score:-4.2,tier=B;reason=high_opt+catalyst_far;cat_days=311;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|far_271_540|pos,0.08730298850574712,,0.6165,0,1,-0.8318,0.7399,8,8,buying,1.9003,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,311,False,specific_days,-0.070361,price_history,,8,0.9662,price_history,,-0.323597,,36.9194,0.4254,-0.112468,-0.211129,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,43.59,45.56250000000000000000000000,77.0,10.00,22.07361125032948348127605704,50.65895953757225433526011561,20.8939,-0.9653,3.0,493,11,1.0,0.0494,0,0,0.0,0.3,0.95,oncology,0.6858,highly_crowded,1.0,80,0.08730298850574712,0.728669,0.6088,21.40,0.452218,-0.1201,1.114215,1.10985,0.0,0.0,0.0,0.004365,0.0
SMMT,Summit Therapeutics Inc.,9,0.9,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.274744,,0,0.726994,1,0.273006,341,0,specific_days,9,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,momentum_score:+37.0;clinical_score:-31.0;smart_money_score:+19.0,tier=B;reason=high_opt+catalyst_far;cat_days=341;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|far_271_540|pos,0.08730298850574712,,0.6158,0,1,-0.8552,0.6805,5,5,buying,0.7419,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,341,False,specific_days,0.202049,price_history,,5,1.7506,price_history,,-0.255872,,67.3871,0.5984,-0.112468,-0.143404,late,large,none,drug_developer,morningstar,,,,0,0.8151449643947100712105798576,89.45,45.56250000000000000000000000,71.5,10.00,21.51361926930773200277694246,34.45714116000460348751304013,20.5768,-0.9787,3.0,341,11,1.0,0.107,0,0,0.0,0.4,0.95,oncology,0.6858,highly_crowded,1.0,81,0.08730298850574712,0.725256,0.5985,12.22,0.134812,-1.1039,1.025115,1.02075,0.0,0.0,0.0,0.004365,0.0
ELDN,"Eledon Pharmaceuticals, Inc.",10,0.58,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.831058,,0,0.751534,1,0.248466,493,0,specific_days,9,tailwind,,L,catalyst_far_lift|momentum_tailwind|cost_haircut_>2000bps,momentum_score:+26.3;clinical_score:-23.6;financial_score:-14.8,tier=B;reason=high_opt+catalyst_far;cat_days=493;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|pos,-0.050775714285714285,,0.0556,0,1,-0.9463,0.45,1,1,neutral,-0.8026,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,493,False,specific_days,0.36669,price_history,,1,1.2417,price_history,,-0.164151,,55.1973,,-0.112468,-0.051683,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592705599300087489063867017,69.31,45.56250000000000000000000000,52.5,79.76,19.34240362811791383219954649,28.14342403628117913832199546,17.8126,-1.0958,2.0,230,6,1.0,0.1642,0,0,0.0,0.3,0.55,metabolic,-0.5032,uncrowded,1.0,244,-0.050775714285714285,0.168942,-0.9584,18.20,0.353242,-0.3766,0.447461,0.45,0.0,0.0,0.0,-0.002539,0.0
