ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority,alpha_cohort_pct,clinical_score_z,clinical_score_z_tier,coinvest_score_z,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,missingness_penalty,missing_components,commercial_quality_pct,clinical_score_v2,competitive_intensity_z,sizing_multiplier_clinical,clinical_score_v2_z,de_vol_60d
AARD,186,22.95,0.47327,-0.0671,22.95,0.416667,-0.2104,late,micro,none,drug_developer,54.43,15.74912711111111111111111111,,67.41,32.88893711419753086419753086,59.04687500000000000000000000,0.8018057958477508650519031142,0.398352,0.601648,v1.3.0,96f655ee,1,,0,0,neutral,39,1,specific_days,near,adequate,tailwind,,L,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1951.26,1.0,0,1.0,0,0,A,high_opt+catalyst_near,1,0.51,39,True,specific_days,0.0615,0,,-0.091327,,,0.0,-0.091327,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.47327,-0.36942,1.611412,0,0,0,0,0,0,,,32.88893711419753086419753086,0,1.0,0,
TENX,149,29.30,0.555031,0.1384,29.33,0.529874,0.075,late,micro,none,drug_developer,95.34,48.45939600000000000000000000,47.97672803974009057628740253,57.00,31.78361304012345679012345679,56.92187500000000000000000000,0.8375032394396321249064271201,0.387363,0.612637,v1.3.0,96f655ee,1,,1,1,buying,160,0,specific_days,mid,adequate,tailwind,,L,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1896.04,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,2,0.51,160,False,specific_days,0.8062,1,,-0.148878,,,0.0,-0.148878,morningstar,,,9,0.555031,-0.417206,1.497061,0,0,0,0,0,0,,,31.78361304012345679012345679,0,1.0,0,
KALV,195,22.31,0.319182,-0.47,22.31,0.388365,-0.2836,late,small,sev1,drug_developer,53.09,47.13381377777777777777777778,50.75207515480090034809787914,61.89,32.33506944444444444444444444,20.76452187574520613278345887,0.8730058359794153071279973722,0.392857,0.607143,v1.3.0,96f655ee,1,,2,2,selling,63,0,specific_days,near,adequate,neutral,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed,0.85,<=1000bps,1,688.17,1.0,0,1.0,0,0,A,high_opt+catalyst_near,3,0.62,63,False,specific_days,0.0429,2,,-0.3637,,39.0,0.0,-0.3637,morningstar,,,9,0.319182,-0.393365,1.554112,0,0,0,0,0,0,,,32.33506944444444444444444444,0,1.0,0,
URGN,307,8.31,0.058176,-1.5703,8.31,0.036164,-1.7971,late,small,sev2,drug_developer,26.61,55.736,67.45213843920569702084502212,65.65,31.23456790123456790123456790,5.586640295136697106145408124,0.8203715955452640864483405006,0.376374,0.623626,v1.3.0,96f655ee,1,,4,4,buying,18,1,specific_days,near,short,headwind,deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,0.85,<=1000bps,1,733.66,1.0,0,1.0,0,0,A,high_opt+catalyst_near,4,0.37,18,True,specific_days,-0.3079,4,,-0.346363,,,0.0,-0.346363,morningstar,CTGOV_CALENDAR,DATA_READOUT,2,0.058176,-0.440943,1.440261,0,0,0,0,0,0,,,31.23456790123456790123456790,0,1.0,0,
CRVS,281,13.33,0.124214,-1.1542,13.33,0.117925,-1.1854,late,small,none,drug_developer,96.55,42.71939600000000000000000000,59.72212942976897285705922213,51.01,30.68793402777777777777777778,14.54986042727489514511355188,0.8003740785564968643415117175,0.370879,0.629121,v1.3.0,96f655ee,1,,3,3,buying,8,1,specific_days,near,adequate,tailwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,377.62,1.0,0,1.0,0,0,A,high_opt+catalyst_near,5,0.73,8,True,specific_days,2.3937,3,,-0.374,,26.8,0.0,-0.374,morningstar,,,9,0.124214,-0.464575,1.383709,0,0,0,0,0,0,,,30.68793402777777777777777778,0,1.0,0,
PVLA,201,20.94,0.29717,-0.5326,20.95,0.369497,-0.3332,late,small,none,drug_developer,78.60,50.810,79.53952137491231721456046933,29.68,29.06250000000000000000000000,18.94836510541598283045070068,0.8462702934388394329047148038,0.348901,0.651099,v1.3.0,96f655ee,1,,4,4,buying,10,1,specific_days,near,adequate,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,696.14,1.0,0,1.0,0,0,A,high_opt+catalyst_near,6,0.62,10,True,specific_days,0.3868,4,,-0.138902,,,0.0,-0.138902,morningstar,CTGOV_CALENDAR,DATA_READOUT,2,0.29717,-0.534846,1.215552,0,0,0,0,0,0,,,29.06250000000000000000000000,0,1.0,0,
RNA,286,12.71,0.073899,-1.4474,12.69,0.102201,-1.2691,late,large,sev2,drug_developer,57.10,51.824,85,21.37,29.60190007716049382716049383,5,0.8704816954581855622926438623,0.35989,0.64011,v1.3.0,96f655ee,1,,11,11,buying,160,0,specific_days,mid,short,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,1.0,<=400bps,0,240.41,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,7,0.73,160,False,specific_days,0.0987,11,1.1040,-0.0037,,59.4595,0.0,-0.0037,morningstar,,,9,0.073899,-0.511527,1.271355,0,0,0,0,0,0,,,29.60190007716049382716049383,0,1.0,0,
ALLO,219,19.24,0.426101,-0.1863,19.24,0.312893,-0.4877,mid,small,none,drug_developer,56.85,48.66157511111111111111111111,,72.87,29.49382716049382716049382716,50.60000000000000000000000000,0.7487847028654253539971011261,0.354396,0.645604,v1.3.0,96f655ee,1,,0,0,neutral,8,1,specific_days,near,adequate,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1177.86,1.0,0,1.0,0,0,A,high_opt+catalyst_near,8,0.51,8,True,specific_days,0.0951,0,,-0.3226,,36.7,0.0,-0.3226,morningstar,,,9,0.426101,-0.516199,1.260174,0,0,0,0,0,0,,,29.49382716049382716049382716,0,1.0,0,
NMRA,311,7.03,0.017296,-2.1131,7.03,0.023585,-1.9848,late,small,sev2,drug_developer,29.07,46.59260844444444444444444444,37.81984790257884171610200686,76.01,27.99093364197530864197530864,7.143346098276031365287772309,0.7853872321722887594769805516,0.343407,0.656593,v1.3.0,96f655ee,1,,1,1,neutral,11,1,specific_days,near,short,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,tier_a_dev|momentum_headwind|runway_short|cost_haircut_<=2000bps,0.7,<=2000bps,1,1854.56,1.0,0,1.0,0,0,A,high_opt+catalyst_near,9,0.08,11,True,specific_days,-0.2754,1,,-0.354305,,,0.0,-0.354305,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.017296,-0.581173,1.104694,0,0,0,0,0,0,,,27.99093364197530864197530864,0,1.0,0,
PRAX,310,7.32,0.02673,-1.9312,7.32,0.02673,-1.9312,late,mid,sev2,drug_developer,96.55,49.11443377777777777777777778,79.67125513525972328668063788,40.22,27.45876736111111111111111111,5,0.7967933810375670840787119857,0.332418,0.667582,v1.3.0,96f655ee,1,,8,8,buying,62,0,specific_days,near,short,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,1.0,<=400bps,0,209.08,1.0,0,1.0,0,0,A,high_opt+catalyst_near,10,0.73,62,False,specific_days,1.5736,8,,-0.035423,,,0.0,-0.035423,morningstar,,,9,0.02673,-0.604179,1.049639,0,0,0,0,0,0,,,27.45876736111111111111111111,0,1.0,0,
