ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
RCKT,"Rocket Pharmaceuticals, Inc.",1,0.86,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.797297,,0,0.647287,1,0.352713,116,0,specific_days,9,neutral,deep_drawdown|overbought_rsi,L,tier_a_dev|sponsor_confirmed,clinical_score:-15.0;smart_money_score:+13.9;financial_score:+8.3,tier=A;reason=high_opt+catalyst_near;cat_days=116;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|near_91_180|nonpos,-0.01349207142857143,,0.392,0,1,-0.374,0.0,3,3,buying,0.0315,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,116,False,specific_days,0.110899,price_history,,3,1.5215,price_history,,-0.45547,,72.7356,0.6262,-0.245036,-0.210434,mid,small,sev1,drug_developer,morningstar,,,,0,0.7920041937975940845381304492,51.56,45.56250000000000000000000000,66.0,77.27,37.09056411680318385857744459,60.40816326530612244897959184,36.4741,-0.3134,2.0,116,7,1.0,0.096,0,0,0.0,0.3,0.95,oncology,-1.6497,uncrowded,1.0,207,-0.01349207142857143,0.202703,-0.832,25.67,0.546332,0.1164
XENE,Xenon Pharmaceuticals Inc.,2,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.496139,,0,0.662791,1,0.337209,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+33.9;clinical_score:-23.1;catalyst_score:-17.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 197637000.0, ""cash_total"": 462268000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.067699874011446, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.019750851851851853,,0.9074,0,1,-0.4193,1.3122,8,8,buying,1.9744,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,519.29,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,1.003266,price_history,,8,-0.5929,price_history,,0.0,,74.5493,0.341,-0.245036,0.245036,late,mid,none,drug_developer,morningstar,,,,0,0.8772728819444444444444444444,93.07,41.25000000000000000000000000,77.0,39.19,36.01635425493073208368638959,48.29478458049886621315192743,35.427,-0.3577,3.0,557,9,1.0,0.2274,1,0,0.0,0.4,0.6,cns,0.7214,highly_crowded,1.0,129,0.019750851851851853,0.503861,0.0097,28.39,0.57722,0.1948
RVMD,"Revolution Medicines, Inc.",3,1.02,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.57722,,0,0.624031,1,0.375969,,0,no_upcoming,9,tailwind,deep_drawdown|overbought_rsi,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+20.9;clinical_score:-16.7;catalyst_score:-14.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",mid|none|pos,0.008385720670391061,,-0.3563,95,1,-0.2785,1.5813,8,8,buying,1.9744,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.370798,price_history,,8,1.016,price_history,,-0.380856,,71.9628,0.4254,-0.245036,-0.13582,mid,large,none,drug_developer,morningstar,,,,0,0.8444834926851745190646238913,60.03,41.25000000000000000000000000,77.0,10.00,39.35443565181174510620574760,62.85714285714285714285714286,38.3879,-0.2325,2.0,971,4,1.0,0.1174,0,0,0.0,0.3,0.95,oncology,0.7214,highly_crowded,1.0,150,0.008385720670391061,0.42278,-0.1948,32.21,0.635135,0.3455
PVLA,"Palvella Therapeutics, Inc.",4,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.442085,,0,0.709302,1,0.290698,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+27.1;smart_money_score:+21.9;financial_score:-20.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.019750851851851853,,0.9033,0,1,-0.6327,0.9046,4,4,buying,0.4201,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.072979,price_history,,4,1.0187,price_history,,-0.271795,,35.2151,,-0.245036,-0.026759,late,small,none,drug_developer,morningstar,,,,0,0.8444130286493860845839017735,77.20,41.25000000000000000000000000,72.0,23.87,30.95879747315050185655926867,29.18920073476013499081549831,30.0998,-0.583,3.0,405,3,0.6667,0.1117,0,0,0.0,0.4,0.5,other,-3.5467,uncrowded,1.0,115,0.019750851851851853,0.557915,0.1457,19.79,0.395753,-0.2644
INBX,"Inhibrx Biosciences, Inc.",5,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.53861,,0,0.686047,1,0.313953,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+22.3;financial_score:-15.8;clinical_score:-9.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.008385720670391061,,-0.733,286,1,-0.468,1.2193,3,3,buying,0.0315,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.245036,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7697638919393806281572589501,50,41.25000000000000000000000000,66.5,40.91,34.86371419316025730019899116,28.40529409042528576056272850,34.3547,-0.4031,2.0,1425,5,1.0,0.0231,0,0,0.0,0.4,0.95,oncology,0.7214,highly_crowded,1.0,140,0.008385720670391061,0.46139,-0.0969,18.22,0.361004,-0.3558
CLDX,"Celldex Therapeutics, Inc.",6,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.361004,,0,0.717054,1,0.282946,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-25.4;smart_money_score:+17.6;catalyst_score:-12.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.019750851851851853,,0.8966,0,1,-0.7363,0.7068,4,4,buying,0.4201,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.017337,price_history,,4,0.9253,price_history,,-0.184823,,43.9407,0.4801,-0.245036,0.060213,late,small,none,drug_developer,morningstar,,,,0,0.8674321323362791751642873329,62.30,41.25000000000000000000000000,71.5,68.02,28.50441923106068434359090941,65.88235294117647058823529412,29.034,-0.6281,3.0,,51,1.0,0.2812,1,0,0.0,0.4,0.95,oncology,-0.4642,uncrowded,1.0,94,0.019750851851851853,0.638996,0.3558,26.09,0.557915,0.1457
FATE,"Fate Therapeutics, Inc.",7,0.17,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.527027,,0,0.70155,1,0.29845,,0,no_upcoming,9,headwind,deep_drawdown,S,sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,financial_score:+19.1;momentum_score:-14.9;smart_money_score:+14.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 106084000.0, ""cash_total"": 203657000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.037253497228612, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|none|pos,0.008385720670391061,,0.3897,0,1,-0.5604,1.0428,2,2,buying,-0.3571,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.35277,price_history,,2,0.9729,price_history,,-0.476831,,53.0781,0.8890,-0.245036,-0.231795,mid,micro,none,drug_developer,morningstar,,,,0,0.7712448847727762222700839974,31.28,41.25000000000000000000000000,60.5,90.00,32.67388588088296543107038733,65.30612244897959183673469388,32.7268,-0.4719,2.0,,14,1.0,0.2662,1,0,0.0,0.3,0.95,oncology,-0.4642,uncrowded,1.0,137,0.008385720670391061,0.472973,-0.0678,24.68,0.530888,0.0775
ABSI,Absci Corporation,8,0.21,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.279923,,0,0.748062,1,0.251938,,0,no_upcoming,9,headwind,drawdown_data_missing|overbought_rsi,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,clinical_score:-22.4;smart_money_score:+19.6;financial_score:+9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.019750851851851853,,-0.2794,,0,-0.9042,0.3859,3,3,buying,0.0315,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.319264,price_history,,3,0.7563,price_history,,,series_too_short,71.0713,0.9218,-0.245036,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8026464877213021130782410051,45.94,41.25000000000000000000000000,66.5,71.62,24.52401127024476271174764572,56.47058823529411764705882353,24.015,-0.8404,3.0,,7,1.0,0.0,0,0,0.0,0.4,0.95,oncology,0.7214,highly_crowded,1.0,73,0.019750851851851853,0.720077,0.5831,18.22,0.364865,-0.3455
NUVB,Nuvation Bio Inc.,9,0.52,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.550193,,0,0.732558,1,0.267442,,0,no_upcoming,9,neutral,high_vol|deep_drawdown,M,sponsor_confirmed|high_risk,financial_score:+24.7;clinical_score:-21.7;catalyst_score:-6.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 143694000.0, ""cash_total"": 549045000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 44.273359540368915, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",mid|none|pos,0.008385720670391061,,0.382,0,1,-0.8282,0.5312,6,6,selling,1.1972,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,551.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.000444,price_history,,6,1.0865,price_history,,-0.368566,,45.2487,1.2485,-0.245036,-0.12353,mid,mid,none,drug_developer,morningstar,,,,0,0.7735489687816972838949622450,46.67,41.25000000000000000000000000,53.0,31.82,26.32653061224489795918367346,72.65306122448979591836734694,25.36,-0.7835,2.0,945,6,1.0,0.0212,0,0,0.0,0.3,0.95,oncology,0.7214,highly_crowded,1.0,143,0.008385720670391061,0.449807,-0.1261,20.53,0.42278,-0.1948
REPL,"Replimune Group, Inc.",10,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.569498,,0,0.755814,1,0.244186,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,clinical_score:-21.5;financial_score:+15.8;smart_money_score:+7.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 224183000.0, ""cash_total"": 269137000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.12718492467587, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 5}",mid|none|pos,0.008385720670391061,,-0.7911,1396,1,-0.9143,0.3666,5,5,selling,0.8087,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,964.73,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.040031,price_history,,5,1.2483,price_history,,-0.364672,,65.8195,0.5897,-0.245036,-0.119636,mid,small,sev1,drug_developer,morningstar,,,,0,0.7945235209871102787264514708,48.91,41.25000000000000000000000000,53.0,59.09,24.28478874543014484705446805,61.63265306122448979591836734,23.3183,-0.8699,2.0,1396,4,1.0,0.0,0,0,0.0,0.3,0.95,oncology,0.7214,highly_crowded,1.0,148,0.008385720670391061,0.430502,-0.1751,18.53,0.372587,-0.325
KOD,Kodiak Sciences Inc,11,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.148649,,0,0.988372,1,0.011628,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|runway_short,momentum_score:+36.7;clinical_score:-33.6;financial_score:-33.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",late|none|nonpos,0.06322867924528303,,0.8085,0,1,-1.7279,-1.1877,3,3,buying,0.0315,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.360264,price_history,,3,1.1014,price_history,,-0.249346,,66.2456,0.8241,-0.245036,-0.00431,late,small,sev2,drug_developer,morningstar,,,,0,0.8549376903841782223232552853,75.33,41.25000000000000000000000000,66.5,40.09,5,5,4.867,-1.6503,3.0,12,4,1.0,1.2533,1,1,0.0,0.3,0.55,ophthalmology,0.7214,highly_crowded,1.0,39,0.06322867924528303,0.851351,1.0422,4.67,0.009653,-2.3396
