ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
QURE,uniQure N.V.,1,0.82,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.865639,,0,0.685567,1,0.314433,143,0,specific_days,9,neutral,high_vol|drawdown_data_missing,L,tier_a_dev|sponsor_confirmed|high_risk,smart_money_score:+26.8;clinical_score:-22.4;financial_score:+12.3,tier=A;reason=high_opt+catalyst_mid;cat_days=143;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 100394000.0, ""cash_total"": 597056000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 71.36553977329322, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_91_180|nonpos,0.0646411489361702,,0.4477,0,1,-0.5058,0.0,9,9,buying,2.4914,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,501.73,0.85,1,0,1.0,0,1.0,0,143,False,specific_days,,,beta_missing:insufficient_overlap,9,,,insufficient_overlap,,series_too_short,,1.3016,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7926715768329427519250083696,50,45.56250000000000000000000000,83.0,61.11,33.76417233560090702947845804,68.450,33.1698,-0.4634,2.0,143,6,1.0,0.3037,0,1,0.0,0.3,0.6,cns,-0.4083,uncrowded,1.0,197,0.0646411489361702,0.134361,-1.106,27.03,0.570485,0.1776
CHRS,"Coherus Oncology, Inc.",2,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.143172,,0,0.654639,1,0.345361,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,financial_score:+16.9;clinical_score:-13.6;catalyst_score:-8.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 118797000.0, ""cash_total"": 191663000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.31919011700611, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",late|none|pos,0.1,,0.9279,0,1,-0.3961,1.5754,1,1,buying,-0.7128,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1725.6,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,1,,,insufficient_overlap,,series_too_short,,0.9928,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.7863618983355825461088618983,50,41.25000000000000000000000000,55.5,81.18,36.46710968711680708832720225,66.98113207547169811320754717,35.5197,-0.3632,3.0,,5,1.0,0.0,0,0,0.0,0.3,0.6,autoimmune,-0.4083,uncrowded,1.0,33,0.1,0.856828,1.0662,23.78,0.513216,0.0331
NMRA,"Neumora Therapeutics, Inc.",3,0.1,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.610132,,0,0.613402,1,0.386598,,0,no_upcoming,9,neutral,drawdown_data_missing,XS,runway_short|cost_haircut_<=2000bps,financial_score:-20.2;smart_money_score:+12.7;momentum_score:+7.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 158485000.0, ""cash_total"": 171525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 11.473010064043915, ""stage_bucket"": ""mid"", ""surv_score"": ""0.0"", ""tier1_count"": 1}",mid|none|pos,0.08701244092219021,,-0.7073,819,1,-0.1305,2.1087,1,1,neutral,-0.7128,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=2000bps,1324.22,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,0.9459,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7153062296459712154638092237,50,41.25000000000000000000000000,55.0,50,43.01461325270849080372889897,22.08163265306122448979591837,42.0195,-0.0861,2.0,819,1,0.0,0.0011,0,0,0.0,0.4,0.5,other,0.7531,highly_crowded,1.0,139,0.08701244092219021,0.389868,-0.2797,12.24,0.094714,-1.3123
EYPT,"EyePoint, Inc.",4,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.213656,,0,0.706186,1,0.293814,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,financial_score:-34.6;smart_money_score:+32.4;momentum_score:+10.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 175063000.0, ""cash_total"": 204022000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.985045383661882, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 4}",late|none|pos,0.1,,-0.2351,,0,-0.6619,1.0421,4,4,buying,0.4888,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,660.09,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,4,,,insufficient_overlap,,series_too_short,,0.7147,,,late,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8716017145505097312326227989,50,41.25000000000000000000000000,72.0,32.80,29.91851588149202958743720580,5,28.9542,-0.6432,3.0,,3,0.6667,0.0,0,0,0.0,0.4,0.55,ophthalmology,0.2885,moderate,1.0,49,0.1,0.786344,0.7938,11.34,0.072687,-1.4561
PVLA,"Palvella Therapeutics, Inc.",5,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.623348,,0,0.664948,1,0.335052,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+25.6;financial_score:-14.0;clinical_score:-10.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|pos,0.08701244092219021,,-0.64,253,1,-0.4011,1.5654,4,4,buying,0.4888,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,4,,,insufficient_overlap,,series_too_short,,,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7772841994970662196144174350,50,41.25000000000000000000000000,72.0,50,36.34416729654824892920131016,32.36665406903502141597379693,35.7868,-0.3518,2.0,253,1,0.0,0.1214,0,0,0.0,0.4,0.5,other,-3.4278,uncrowded,1.0,142,0.08701244092219021,0.376652,-0.3143,25.06,0.526432,0.0663
CLDX,"Celldex Therapeutics, Inc.",6,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.147577,,0,0.737113,1,0.262887,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-25.5;smart_money_score:+22.7;financial_score:+9.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.1,,0.9146,0,1,-0.9328,0.4982,4,4,buying,0.4888,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,4,,,insufficient_overlap,-0.2393,,38.9,0.4801,,,late,small,none,drug_developer,morningstar,,,,0,0.8764675685050294831772459244,50,41.25000000000000000000000000,71.5,70.43,23.23998259562517305486333610,57.92307692307692307692307693,24.5482,-0.831,3.0,,44,1.0,0.479,2,0,0.0,0.4,0.95,oncology,-0.4083,uncrowded,1.0,34,0.1,0.852423,1.0469,23.18,0.5,0.0
RCKT,"Rocket Pharmaceuticals, Inc.",7,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.627753,,0,0.726804,1,0.273196,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-23.1;smart_money_score:+19.0;financial_score:+7.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.08701244092219021,,-0.7083,326,1,-0.9041,0.5558,3,3,buying,0.0882,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,3,,,insufficient_overlap,,series_too_short,,0.6262,,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7990011210762331838565022422,50,41.25000000000000000000000000,66.0,68.52,23.94809775762156714537666919,54.00000000000000000000000000,22.9637,-0.8986,2.0,326,5,1.0,0.0178,0,0,0.0,0.3,0.5,other,-1.5696,uncrowded,1.0,143,0.08701244092219021,0.372247,-0.3259,21.47,0.447137,-0.1329
CELC,Celcuity Inc.,8,0.97,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.57489,,0,0.747423,1,0.252577,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+33.8;clinical_score:-27.6;catalyst_score:-8.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",mid|none|pos,0.08701244092219021,,-0.7432,740,1,-0.9986,0.3662,6,6,buying,1.2898,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,6,,,insufficient_overlap,,series_too_short,,,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7815456943011122577686045178,50,41.25000000000000000000000000,83.0,24.07,21.62005542957923910304862686,50.35714285714285714285714285,21.3356,-0.968,2.0,1389,5,1.0,0.0005,0,0,0.0,0.3,0.95,oncology,-0.4083,uncrowded,1.0,131,0.08701244092219021,0.42511,-0.1888,19.29,0.372247,-0.3259
LQDA,Liquidia Corporation,9,0.82,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.319383,,0,0.984536,1,0.015464,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,smart_money_score:+31.5;clinical_score:-29.0;financial_score:-25.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|nonpos,0.1,,0.8742,0,1,-1.6729,-0.9873,3,3,buying,0.0882,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,3,,,insufficient_overlap,-0.3909,,45.1,0.5778,,,late,mid,sev1,drug_developer,morningstar,,,,0,0.8687981060154854079809410363,50,41.25000000000000000000000000,65.5,22.04,5,8.360685941043083900226757365,4.3656,-1.6915,3.0,348,3,0.6667,0.055,0,0,0.0,0.3,0.85,cardiovascular,0.7531,highly_crowded,1.0,73,0.1,0.680617,0.4694,9.10,0.050661,-1.6385
KOD,Kodiak Sciences Inc,10,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.310573,,0,0.974227,1,0.025773,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,smart_money_score:+31.0;clinical_score:-30.5;financial_score:-20.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",mid|none|nonpos,0.1,,-0.8313,509,1,-1.6729,-0.9873,3,3,buying,0.0882,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:insufficient_overlap,3,,,insufficient_overlap,,series_too_short,,0.8241,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7862229535688083010166649198,50,41.25000000000000000000000000,66.5,50,5,14.50894431846812799193751575,3.6656,-1.7214,2.0,509,1,0.0,0.0071,0,0,0.0,0.3,0.55,ophthalmology,0.7531,highly_crowded,1.0,71,0.1,0.689427,0.4942,7.64,0.04185,-1.7296
FDMT,"4D Molecular Therapeutics, Inc.",11,0.2,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.720264,,0,0.963918,1,0.036082,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,clinical_score:-35.5;smart_money_score:+14.5;financial_score:+11.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 137633000.0, ""cash_total"": 305063000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.597952525920384, ""stage_bucket"": ""early"", ""surv_score"": ""3.0"", ""tier1_count"": 1}",early|none|nonpos,0.06969944897959185,,-1.4374,,0,-1.6729,-0.9873,1,1,neutral,-0.7128,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1082.73,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,0.8446,,,early,small,none,drug_developer,morningstar,,,drawdown,1,0.7114035995035167563094745552,50,41.25000000000000000000000000,55.0,50,5,51.50000000000000000000000000,3.3357,-1.7354,0.0,630,1,0.0,0.0,0,0,0.0,0.0,0.5,other,0.2885,moderate,1.0,164,0.06969944897959185,0.279736,-0.5836,17.59,0.297357,-0.532
