ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
RVMD,"Revolution Medicines, Inc.",1,0.95,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.680357,,0,0.616667,1,0.383333,175,0,specific_days,9,headwind,deep_drawdown,L,tier_a_dev|sponsor_confirmed|momentum_headwind,smart_money_score:+25.3;clinical_score:-14.6;momentum_score:-10.9,tier=A;reason=high_opt+catalyst_mid;cat_days=175;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",mid|near_91_180|nonpos,0.023678237288135597,,-0.6466,175,1,-0.3437,0.0,8,8,buying,1.9533,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,175,False,specific_days,-0.176474,price_history,,8,1.3134,price_history,,-0.454006,,40.1834,0.4254,-0.410362,-0.043644,mid,large,none,drug_developer,morningstar,,,,0,0.8553846190250828206341694274,40.76,45.56250000000000000000000000,77.0,10.00,37.09056411680318385857744459,57.95918367346938775510204081,35.9674,-0.3307,2.0,635,6,1.0,0.0684,0,0,0.0,0.3,0.95,oncology,0.7047,highly_crowded,1.0,191,0.023678237288135597,0.319643,-0.4687,30.80,0.626786,0.3234
ANRO,"Alto Neuroscience, Inc.",2,0.4,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.4375,,0,0.656667,1,0.343333,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-13.9;smart_money_score:+12.3;financial_score:+7.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 40253000.0, ""cash_total"": 137816000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.08493776861352, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|pos,0.07398378082191781,,0.5222,55,1,-0.4461,1.3212,2,2,buying,-0.3873,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1346.61,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,0.9516,-0.410362,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8333573290306565719250341318,50,41.25000000000000000000000000,61.0,59.60,34.73935947453106746897661399,56.42857142857142857142857143,34.4777,-0.3935,2.0,55,3,0.0,1.4353,1,2,0.0,0.3,0.5,other,0.7047,highly_crowded,1.0,123,0.07398378082191781,0.5625,0.1573,27.10,0.548214,0.1212
CLDX,"Celldex Therapeutics, Inc.",3,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.473214,,0,0.683333,1,0.316667,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,smart_money_score:+19.5;clinical_score:-19.5;financial_score:+12.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.07398378082191781,,0.8567,0,1,-0.5446,1.1139,4,4,buying,0.3929,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.081758,price_history,,4,1.1297,price_history,,-0.481721,,41.7364,0.4801,-0.410362,-0.071359,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,50.62,41.25000000000000000000000000,71.5,67.60,32.47525843637726200709735723,63.92857142857142857142857143,33.3273,-0.4421,3.0,,56,1.0,0.5352,2,0,0.0,0.4,0.95,oncology,-0.4698,uncrowded,1.0,133,0.07398378082191781,0.526786,0.0672,27.77,0.566071,0.1664
DNLI,Denali Therapeutics Inc.,4,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.483929,,0,0.703333,1,0.296667,,0,no_upcoming,9,neutral,deep_drawdown,L,sponsor_confirmed,financial_score:+22.5;clinical_score:-20.8;catalyst_score:-10.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.07398378082191781,,0.8558,0,1,-0.6093,0.9778,3,3,buying,0.0028,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.057505,price_history,,3,1.1001,price_history,,-0.441112,,51.3415,0.5691,-0.410362,-0.03075,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,51.81,41.25000000000000000000000000,60.5,45.20,30.98789922634397936917278318,74.28571428571428571428571429,30.6294,-0.5559,3.0,293,11,1.0,0.304,1,0,0.0,0.4,0.6,cns,-0.4698,uncrowded,1.0,136,0.07398378082191781,0.516071,0.0403,31.39,0.648214,0.3805
CMPX,"Compass Therapeutics, Inc.",5,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.6125,,0,0.65,1,0.35,,0,no_upcoming,9,tailwind,,L,momentum_tailwind,momentum_score:+20.8;clinical_score:-19.6;catalyst_score:-13.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 35889000.0, ""cash_total"": 219895000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 73.5250355262058, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 0}",mid|none|pos,0.03706145833333333,,-0.8118,458,1,-0.4406,1.3326,0,0,neutral,-1.1675,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,913.08,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.039036,price_history,,0,0.3643,price_history,,-0.288945,,54.5997,,-0.410362,0.121417,mid,small,none,drug_developer,morningstar,,,,0,0.8411800818553888130968622101,75.34,41.25000000000000000000000000,,35.71,34.86371419316025730019899116,66.53061224489795918367346939,33.7406,-0.4246,2.0,934,4,1.0,0.0062,0,0,0.0,0.3,0.95,oncology,0.7047,highly_crowded,1.0,172,0.03706145833333333,0.3875,-0.2858,26.57,0.544643,0.1121
RCKT,"Rocket Pharmaceuticals, Inc.",6,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.644643,,0,0.676667,1,0.323333,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-19.1;smart_money_score:+14.2;momentum_score:+11.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.03706145833333333,,0.3567,0,1,-0.5359,1.1321,3,3,buying,0.0028,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.08677,price_history,,3,1.402,price_history,,-0.525819,,59.033,0.6262,-0.410362,-0.115457,mid,small,sev1,drug_developer,morningstar,,,,0,0.7990352358437464820443543848,63.42,41.25000000000000000000000000,66.0,78.57,32.67388588088296543107038733,55.51020408163265306122448980,31.9007,-0.5022,2.0,848,8,1.0,0.0158,0,0,0.0,0.3,0.95,oncology,-1.6444,uncrowded,1.0,181,0.03706145833333333,0.355357,-0.3709,24.08,0.498214,-0.0045
VIR,"Vir Biotechnology, Inc.",7,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.591071,,0,0.743333,1,0.256667,,0,no_upcoming,9,headwind,deep_drawdown,M,sponsor_confirmed|momentum_headwind,smart_money_score:+19.0;clinical_score:-14.6;momentum_score:-3.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.07398378082191781,,0.8534,0,1,-0.7677,0.6444,2,2,buying,-0.3873,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.255365,price_history,,2,0.8978,price_history,,-0.618545,,46.2428,0.7493,-0.410362,-0.208183,late,small,sev1,drug_developer,morningstar,,,,0,0.8609403099871809812376179932,38.50,41.25000000000000000000000000,61.0,74.80,27.34664638850316295267693800,41.65532879818594104308390023,27.7006,-0.6794,3.0,168,14,1.0,1.4273,3,1,0.0,0.4,0.55,infectious_disease,0.7047,highly_crowded,1.0,166,0.07398378082191781,0.408929,-0.2303,23.56,0.480357,-0.0493
AURA,"Aura Biosciences, Inc.",8,0.16,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.608929,,0,0.71,1,0.29,,0,no_upcoming,9,neutral,deep_drawdown,S,sponsor_confirmed|runway_short|cost_haircut_>2000bps,financial_score:-24.1;smart_money_score:+15.1;momentum_score:+10.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",mid|none|pos,0.03706145833333333,,-0.8241,563,1,-0.6296,0.935,2,2,selling,-0.3873,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.002271,price_history,,2,0.762,price_history,,-0.446766,,43.7209,0.5411,-0.410362,-0.036404,mid,small,sev2,drug_developer,morningstar,,,,0,0.8473968865494456266099227237,47.83,41.25000000000000000000000000,52.0,67.14,30.52107917997130825119163312,12.81179138321995464852607710,29.3979,-0.6078,2.0,563,5,1.0,0.0092,0,0,0.0,0.3,0.95,oncology,0.7047,highly_crowded,1.0,171,0.03706145833333333,0.391071,-0.2765,9.41,0.058929,-1.5638
SVRA,"Savara, Inc.",9,0.49,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.580357,,0,0.763333,1,0.236667,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+27.4;financial_score:-21.4;clinical_score:-14.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.07398378082191781,,0.8456,0,1,-0.891,0.3849,3,3,buying,0.0028,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.251774,price_history,,3,0.4495,price_history,,-0.303192,,34.1796,0.6811,-0.410362,0.10717,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,45.53,41.25000000000000000000000000,66.5,58.80,24.51299345367982543146201150,17.66723356009070294784580499,23.117,-0.8727,3.0,419,9,1.0,0.0457,0,0,0.0,0.4,0.5,respiratory,0.7047,highly_crowded,1.0,163,0.07398378082191781,0.419643,-0.2028,14.25,0.183929,-0.9005
INBX,"Inhibrx Biosciences, Inc.",10,0.81,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.626786,,0,0.75,1,0.25,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+24.8;financial_score:-17.4;clinical_score:-15.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.03706145833333333,,0.3467,0,1,-0.8121,0.551,3,3,buying,0.0028,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.410362,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,38.57,26.32653061224489795918367346,24.28478874543014484705446805,25.6305,-0.7667,2.0,1089,5,1.0,0.0007,0,0,0.0,0.4,0.95,oncology,0.7047,highly_crowded,1.0,176,0.03706145833333333,0.373214,-0.3234,15.66,0.233929,-0.726
COGT,"Cogent Biosciences, Inc.",11,0.95,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.2625,,0,0.976667,1,0.023333,,0,no_upcoming,9,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,smart_money_score:+42.7;clinical_score:-37.3;financial_score:-37.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 264444000.0, ""cash_total"": 312012000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.158551526977357, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 7}",late|none|nonpos,0.09811690510948905,,0.8009,0,1,-1.7401,-1.4017,7,7,buying,1.5632,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,346.16,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.233692,price_history,,7,0.8059,price_history,,-0.19482,,40.474,2.489,-0.410362,0.215542,late,mid,sev1,drug_developer,morningstar,,,,0,0.8130890683379534771604194287,75.27,41.25000000000000000000000000,85,11.60,5,5,4.9269,-1.6399,3.0,1089,5,1.0,0.0007,0,0,0.0,0.5,0.95,oncology,-0.4698,uncrowded,1.0,74,0.09811690510948905,0.7375,0.6357,7.08,0.033929,-1.826
