ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
RVMD,"Revolution Medicines, Inc.",1,0.94,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.674377,,0,0.60596,1,0.39404,133,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,smart_money_score:+22.8;clinical_score:-15.7;catalyst_score:-8.6,tier=A;reason=high_opt+catalyst_mid;cat_days=133;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",mid|near_91_180|nonpos,0.020021833333333332,,-0.5672,133,1,-0.2664,0.0,8,8,buying,1.9576,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,133,False,specific_days,0.021385,price_history,,8,1.3492,price_history,,-0.31395,,51.123,0.4254,-0.335548,0.021598,mid,large,none,drug_developer,morningstar,,,,0,0.8553846190250828206341694274,51.56,45.56250000000000000000000000,77.0,10.00,38.44444444444444444444444444,58.40000000000000000000000000,37.3258,-0.2734,2.0,593,6,1.0,0.097,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,190,0.020021833333333332,0.325623,-0.452,31.30,0.624555,0.3175
ANRO,"Alto Neuroscience, Inc.",2,0.39,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.492883,,0,0.645695,1,0.354305,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-13.2;smart_money_score:+12.3;catalyst_score:-7.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 40253000.0, ""cash_total"": 137816000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.08493776861352, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 2}",late|none|pos,0.06877803448275861,,0.895,13,1,-0.3978,1.5345,2,2,buying,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1346.61,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,2,,,series_too_short,,no_price_series,,0.9516,-0.335548,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8333573290306565719250341318,50,41.25000000000000000000000000,61.0,60.55,35.41313251420266878055225261,55.59322033898305084745762712,35.3445,-0.3569,2.0,13,3,0.0,2.0368,2,4,0.0,0.3,0.5,other,0.7029,highly_crowded,1.0,139,0.06877803448275861,0.507117,0.0178,27.12,0.564057,0.1613
CLDX,"Celldex Therapeutics, Inc.",3,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.532028,,0,0.665563,1,0.334437,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-20.6;smart_money_score:+17.7;catalyst_score:-12.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.06877803448275861,,0.8475,0,1,-0.4944,1.3224,4,4,buying,0.3949,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.169686,price_history,,4,1.0511,price_history,,-0.193113,,52.8871,0.4801,-0.335548,0.142435,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,58.08,41.25000000000000000000000000,71.5,68.36,33.18404016382613291055621615,64.74576271186440677966101695,34.2573,-0.4027,3.0,,56,1.0,0.7594,3,0,0.0,0.4,0.95,oncology,-0.4728,uncrowded,1.0,150,0.06877803448275861,0.467972,-0.0804,28.15,0.585409,0.2158
DNLI,Denali Therapeutics Inc.,4,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.539146,,0,0.692053,1,0.307947,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,financial_score:+22.0;clinical_score:-20.6;catalyst_score:-11.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.06877803448275861,,0.8465,0,1,-0.5579,1.1829,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.105844,price_history,,3,1.5591,price_history,,-0.370277,,50.8717,0.5691,-0.335548,-0.034729,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,53.82,41.25000000000000000000000000,60.5,45.70,31.71911745276786893909367156,74.28571428571428571428571429,31.49,-0.5193,3.0,251,11,1.0,0.4313,1,0,0.0,0.4,0.6,cns,-0.4728,uncrowded,1.0,152,0.06877803448275861,0.460854,-0.0983,31.77,0.631673,0.3363
VIR,"Vir Biotechnology, Inc.",5,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.649466,,0,0.705298,1,0.294702,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-15.3;smart_money_score:+14.8;momentum_score:+10.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.06877803448275861,,0.8461,0,1,-0.5894,1.1138,2,2,buying,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.131271,price_history,,2,0.7215,price_history,,-0.499907,,64.7492,0.7493,-0.335548,-0.164359,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,56.89,41.25000000000000000000000000,61.0,76.17,30.99299775399656493592284318,41.10600402183280666475150818,31.3399,-0.5257,3.0,126,14,1.0,1.7905,3,2,0.0,0.4,0.55,infectious_disease,0.7029,highly_crowded,1.0,183,0.06877803448275861,0.350534,-0.3839,24.97,0.52847,0.0714
CMPX,"Compass Therapeutics, Inc.",6,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.393238,,0,0.625828,1,0.374172,,0,no_upcoming,9,tailwind,,L,momentum_tailwind,momentum_score:+25.8;clinical_score:-20.4;catalyst_score:-15.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 35889000.0, ""cash_total"": 219895000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 73.5250355262058, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 0}",mid|none|pos,0.0896402027027027,,-0.8308,416,1,-0.362,1.6132,0,0,neutral,-1.1679,,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,913.08,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.511684,price_history,,0,0.4623,price_history,,-0.069474,,66.9321,,-0.335548,0.266074,mid,small,none,drug_developer,morningstar,,,,0,0.8411800818553888130968622101,82.45,41.25000000000000000000000000,,34.72,36.24000000000000000000000000,66.80000000000000000000000000,35.1214,-0.3663,2.0,892,4,1.0,0.0089,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,111,0.0896402027027027,0.606762,0.2709,27.12,0.560498,0.1522
RCKT,"Rocket Pharmaceuticals, Inc.",7,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.421708,,0,0.68543,1,0.31457,,0,no_upcoming,9,tailwind,deep_drawdown,L,sponsor_confirmed|momentum_tailwind,clinical_score:-18.8;smart_money_score:+15.2;catalyst_score:-9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.0896402027027027,,0.3432,0,1,-0.5484,1.2037,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.092213,price_history,,3,1.7,price_history,,-0.383567,,47.4846,0.6262,-0.335548,-0.048019,mid,small,sev1,drug_developer,morningstar,,,,0,0.7990524420436641908620301598,58.69,41.25000000000000000000000000,66.0,76.39,31.93777777777777777777777778,56.00000000000000000000000000,31.1692,-0.5329,2.0,806,8,1.0,0.0224,0,0,0.0,0.3,0.95,oncology,-1.6484,uncrowded,1.0,119,0.0896402027027027,0.578292,0.1975,23.94,0.5,0.0
AURA,"Aura Biosciences, Inc.",8,0.15,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.38968,,0,0.711921,1,0.288079,,0,no_upcoming,9,neutral,deep_drawdown,S,sponsor_confirmed|runway_short|cost_haircut_>2000bps,financial_score:-24.7;smart_money_score:+14.7;momentum_score:+13.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",mid|none|pos,0.0896402027027027,,-0.8462,521,1,-0.6394,1.0041,2,2,selling,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.136261,price_history,,2,0.8146,price_history,,-0.39503,,59.8975,0.5411,-0.335548,-0.059482,mid,small,sev2,drug_developer,morningstar,,,,0,0.8473968865494456266099227237,50.89,41.25000000000000000000000000,52.0,65.28,29.84000000000000000000000000,12.56000000000000000000000000,28.7214,-0.636,2.0,521,5,1.0,0.013,0,0,0.0,0.3,0.95,oncology,0.7029,highly_crowded,1.0,110,0.0896402027027027,0.61032,0.2802,9.26,0.051601,-1.6295
AVIR,"Atea Pharmaceuticals, Inc.",9,0.08,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.510676,,0,0.745033,1,0.254967,,0,no_upcoming,9,headwind,deep_drawdown,XS,sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_>2000bps,financial_score:-20.4;smart_money_score:+19.4;catalyst_score:+11.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 103808000.0, ""cash_total"": 77344000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.940813810110974, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",late|none|pos,0.06877803448275861,,0.8399,0,1,-0.8046,0.6413,2,2,selling,-0.3865,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.336051,price_history,,2,0.9722,price_history,,-0.504772,,33.4364,0.5268,-0.335548,-0.169224,late,small,sev2,drug_developer,morningstar,,,,0,0.8879505054025792959219240153,22.60,41.25000000000000000000000000,49.0,90.00,26.02853745541022592152199762,9.254364965367550831497973123,25.7767,-0.7601,3.0,,10,1.0,0.6921,1,1,0.0,0.4,0.55,infectious_disease,0.7029,highly_crowded,1.0,144,0.06877803448275861,0.489324,-0.0268,8.60,0.048043,-1.6641
INBX,"Inhibrx Biosciences, Inc.",10,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.403915,,0,0.751656,1,0.248344,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+24.2;clinical_score:-16.5;financial_score:-14.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.0896402027027027,,0.3332,0,1,-0.8166,0.6149,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.335548,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,37.50,25.75111111111111111111111111,27.77777777777777777777777778,25.048,-0.7909,2.0,1047,5,1.0,0.001,0,0,0.0,0.4,0.95,oncology,0.7029,highly_crowded,1.0,114,0.0896402027027027,0.596085,0.2432,15.90,0.254448,-0.6606
SVRA,"Savara, Inc.",11,0.8,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.635231,,0,0.758278,1,0.241722,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+27.4;financial_score:-22.4;clinical_score:-15.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.06877803448275861,,0.8362,0,1,-0.9235,0.3802,3,3,buying,0.0042,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.09043,price_history,,3,0.57,price_history,,-0.271277,,63.4037,0.6811,-0.335548,0.064271,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,47.72,41.25000000000000000000000000,66.5,59.77,23.28471396485665213370326331,16.74263461968144530626576016,21.8816,-0.9243,3.0,377,9,1.0,0.0648,0,0,0.0,0.4,0.5,respiratory,0.7029,highly_crowded,1.0,179,0.06877803448275861,0.364769,-0.3457,13.86,0.179715,-0.9165
