ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
ELDN,"Eledon Pharmaceuticals, Inc.",1,0.47,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.888316,,0,0.791925,1,0.208075,6,1,specific_days,9,tailwind,,L,tier_a_dev|momentum_tailwind|cost_haircut_>2000bps,clinical_score:-28.3;momentum_score:+23.3;smart_money_score:+8.2,tier=A;reason=high_opt+catalyst_near;cat_days=6;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|near_0_30|pos,0.0063475,,0.125,0,1,-1.1193,1.1514,1,1,neutral,-0.7967,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,6,True,specific_days,0.099198,price_history,,1,0.6707,price_history,,-0.075235,,57.8429,,-0.011891,-0.063344,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7592705599300087489063867017,67.58,45.56250000000000000000000000,52.5,86.90,16.02040816326530612244897959,39.84027777777777777777777778,15.0297,-1.2132,2.0,412,6,1.0,0.2738,1,0,0.0,0.3,0.55,metabolic,-0.4975,uncrowded,1.0,259,0.0063475,0.111684,-1.2176,17.94,0.341924,-0.4072,1.151717,1.1514,0.0,0.0,0.0,0.000317,0.0
NUVB,Nuvation Bio Inc.,2,0.73,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.953608,,0,0.822981,1,0.177019,159,0,specific_days,9,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk,clinical_score:-40.3;momentum_score:+25.3;financial_score:+25.0,tier=A;reason=high_opt+catalyst_mid;cat_days=159;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 143694000.0, ""cash_total"": 549045000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 44.273359540368915, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 6}",late|near_91_180|pos,-0.01150522641509434,,0.657,0,1,-1.2064,0.1354,6,6,selling,1.1353,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=1000bps,551.15,0.85,1,0,1.0,0,1.0,0,159,False,specific_days,0.051161,price_history,,6,0.9912,price_history,,-0.057935,,66.4588,1.2485,-0.011891,-0.046044,late,mid,none,drug_developer,morningstar,,,,0,0.8124607582709490461241246076,79.52,45.56250000000000000000000000,53.0,51.99,13.95153804168110884020382389,79.26530612244897959183673469,13.3938,-1.2824,3.0,1589,12,1.0,0.4852,0,1,0.0,0.4,0.95,oncology,0.6892,highly_crowded,1.0,278,-0.01150522641509434,0.046392,-1.6809,16.71,0.300687,-0.5224,0.202525,0.2031,0.0,0.0,0.0,-0.000575,0.0
CELC,Celcuity Inc.,3,0.86,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.78866,,0,0.841615,1,0.158385,142,0,specific_days,9,neutral,,L,tier_a_dev|sponsor_confirmed,clinical_score:-39.2;smart_money_score:+32.7;financial_score:+10.1,tier=A;reason=high_opt+catalyst_mid;cat_days=142;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.019136886363636366,,0.6478,0,1,-1.3284,-1.2868,6,6,buying,1.1353,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,142,False,specific_days,0.054279,price_history,,6,0.6623,price_history,,-0.13287,,62.3084,,-0.011891,-0.120979,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,51.34,45.56250000000000000000000000,83.0,16.89,11.05561332424970418444548029,60.40816326530612244897959184,10.5481,-1.4028,3.0,704,8,1.0,0.4697,0,1,0.0,0.3,0.95,oncology,-0.4975,uncrowded,1.0,230,0.019136886363636366,0.21134,-0.8018,15.97,0.273196,-0.6032,0.000957,0.0,0.0,0.0,0.0,0.000957,0.0
ABSI,Absci Corporation,4,0.09,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.02921,,0,0.630435,1,0.369565,,0,no_upcoming,9,headwind,high_beta|deep_drawdown_rel_xbi,XS,sponsor_confirmed|momentum_headwind|high_risk|cost_haircut_<=2000bps,smart_money_score:+18.0;clinical_score:-15.2;financial_score:+11.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.09789205095541402,,-0.5976,,0,-0.3896,1.6177,3,3,buying,-0.0239,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.454284,price_history,,3,1.9828,price_history,,-0.319666,,60.9419,0.9218,-0.011891,-0.307775,late,small,none,drug_developer,morningstar,,,,0,0.8089242139840450492726419521,41.22,41.25000000000000000000000000,66.5,81.79,33.35177947498217138577137143,60.33333333333333333333333333,32.4671,-0.4756,3.0,,12,1.0,0.0,0,0,0.0,0.4,0.95,oncology,0.6892,highly_crowded,1.0,9,0.09789205095541402,0.97079,1.8925,21.80,0.462199,-0.0949,2.431445,2.42655,0.0,0.0,0.0,0.004895,0.0
KALV,"KalVista Pharmaceuticals, Inc.",5,0.73,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.142612,,0,0.636646,1,0.363354,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+11.2;clinical_score:-10.6;momentum_score:+6.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.09789205095541402,,0.6906,0,1,-0.4165,1.5564,2,2,selling,-0.4103,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.073493,price_history,,2,1.1397,price_history,,-0.07793,,62.6685,0.6376,-0.011891,-0.066039,late,small,sev1,drug_developer,morningstar,,,,0,0.8797717560805306644943558711,50.14,41.25000000000000000000000000,54.5,62.58,32.71289755817705905554161139,38.13614540466392318244170095,31.1282,-0.5322,3.0,538,4,1.0,0.0254,0,0,0.0,0.4,0.55,ophthalmology,0.6892,highly_crowded,1.0,42,0.09789205095541402,0.857388,1.0687,24.14,0.506873,0.0172,2.339495,2.3346,0.0,0.0,0.0,0.004895,0.0
GOSS,"Gossamer Bio, Inc.",6,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.11512,,0,0.642857,1,0.357143,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,smart_money_score:+30.6;clinical_score:-20.3;momentum_score:+20.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 122952000.0, ""cash_total"": 180224000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.589693538942026, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 6}",late|none|pos,0.09789205095541402,,0.6905,0,1,-0.4433,1.4954,6,6,buying,1.1353,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1384.72,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.331456,price_history,,6,1.2212,price_history,,-0.258278,,60.6112,0.8648,-0.011891,-0.246387,late,micro,sev1,drug_developer,morningstar,,,,0,0.8153941163260723108017067146,72.54,41.25000000000000000000000000,83.0,90.00,32.07720287966980211234218190,32.90422747319731793897235468,31.1925,-0.5295,3.0,489,7,1.0,0.0267,0,0,0.0,0.4,0.95,oncology,0.6892,highly_crowded,1.0,34,0.09789205095541402,0.88488,1.1997,15.33,0.225086,-0.7551,2.247995,2.2431,0.0,0.0,0.0,0.004895,0.0
SVRA,"Savara, Inc.",7,0.44,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.204467,,0,0.680124,1,0.319876,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+28.1;financial_score:-17.7;clinical_score:-9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.09789205095541402,,0.6847,0,1,-0.5751,1.195,3,3,buying,-0.0239,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.241428,price_history,,3,1.0684,price_history,,-0.202147,,48.892,0.6811,-0.011891,-0.190256,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,34.79,41.25000000000000000000000000,66.5,59.93,28.94653806160134820179999283,20.76003086419753086419753086,27.8274,-0.6718,3.0,1038,9,1.0,0.0005,0,0,0.0769,0.4,0.5,respiratory,0.6892,highly_crowded,1.0,60,0.09789205095541402,0.795533,0.8258,15.79,0.252577,-0.6664,1.797395,1.7925,0.0,0.0,0.0,0.004895,0.0
FATE,"Fate Therapeutics, Inc.",8,0.47,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.977663,,0,0.611801,1,0.388199,644,0,specific_days,9,tailwind,high_beta|deep_drawdown_rel_xbi|overbought_rsi,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_>2000bps,clinical_score:-15.2;smart_money_score:+9.6;momentum_score:+6.3,tier=B;reason=high_opt+catalyst_far;cat_days=644;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 106084000.0, ""cash_total"": 203657000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.037253497228612, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|far_271_540|pos,-0.022982555555555555,,0.1518,0,1,-0.291,1.8425,2,2,buying,-0.4103,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,644,False,specific_days,0.01066,price_history,,2,1.8196,price_history,,-0.348503,,72.1043,0.8890,-0.011891,-0.336612,mid,micro,none,drug_developer,morningstar,,,,0,0.7794111220364907680541898831,57.14,45.56250000000000000000000000,60.5,90.00,35.69444444444444444444444444,55.35714285714285714285714286,35.3358,-0.3542,2.0,,20,1.0,0.1925,1,0,0.0,0.3,0.95,oncology,-0.4975,uncrowded,1.0,285,-0.022982555555555555,0.022337,-2.0077,25.68,0.534364,0.0862,1.841351,1.8425,0.0,0.0,0.0,-0.001149,0.0
RNA,"Avidity Biosciences, Inc.",9,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.187285,,0,0.686335,1,0.313665,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind|runway_short,financial_score:-45.9;momentum_score:+45.2;smart_money_score:+33.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 650441000.0, ""cash_total"": 382517000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 7.0570643609489565, ""stage_bucket"": ""late"", ""surv_score"": ""-2.0"", ""tier1_count"": 11}",late|none|pos,0.09789205095541402,,0.6845,0,1,-0.601,1.1358,11,11,buying,3.0674,elite_11,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=400bps,298.2,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,0.709817,price_history,,11,1.4158,price_history,,0.0,,70.5917,0.7513,-0.011891,0.011891,late,mid,sev2,drug_developer,morningstar,,,,0,0.8751604872251931075460487225,96.55,41.25000000000000000000000000,85,28.81,28.32996681288122358078254668,5.401111111111111111111111112,27.5964,-0.6816,3.0,736,5,1.0,0.1282,0,0,0.0,0.4,0.75,rare_disease,-0.4975,uncrowded,1.0,55,0.09789205095541402,0.812715,0.8879,9.42,0.060137,-1.5536,1.708595,1.7037,0.0,0.0,0.0,0.004895,0.0
MLYS,"Mineralys Therapeutics, Inc.",10,0.44,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.16323,,0,0.692547,1,0.307453,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+37.9;financial_score:-26.0;clinical_score:-14.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 104528000.0, ""cash_total"": 217597000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 24.9805219654064, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 7}",late|none|pos,0.09789205095541402,,-0.3257,137,1,-0.6269,1.077,7,7,buying,1.5218,elite_7,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,521.81,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.074762,price_history,,7,0.8574,price_history,,-0.167183,,53.0382,0.6287,-0.011891,-0.155292,late,mid,none,drug_developer,morningstar,,,,0,0.8306050036083714216983401491,45.63,41.25000000000000000000000000,80.0,18.21,27.71658280245895434679543109,16.11374890092091258272016289,27.667,-0.6786,3.0,137,3,0.6667,0.9001,0,2,0.0,0.4,0.85,cardiovascular,0.6892,highly_crowded,1.0,48,0.09789205095541402,0.83677,0.9813,19.68,0.410653,-0.2259,1.620395,1.6155,0.0,0.0,0.0,0.004895,0.0
KYTX,"Kyverna Therapeutics, Inc.",11,0.22,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.984536,,0,0.624224,1,0.375776,948,0,specific_days,9,headwind,high_vol|high_beta|drawdown_data_missing,S,catalyst_far_lift|momentum_headwind|high_risk,smart_money_score:+15.9;momentum_score:-12.9;catalyst_score:+6.0,tier=B;reason=high_opt+catalyst_far;cat_days=948;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 120185000.0, ""cash_total"": 171138000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.08745683737571, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",mid|far_271_540|pos,-0.022982555555555555,,-1.1379,555,1,-0.3722,1.6573,1,1,buying,-0.7967,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,916.58,0.85,1,0,1.0,0,1.0,0,948,False,specific_days,-0.885153,price_history,,1,2.6562,price_history,,,series_too_short,50.8178,1.2661,-0.011891,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7519527630240705164425358798,26.66,45.56250000000000000000000000,55.5,72.62,33.76417233560090702947845804,36.32412886259040105193951349,31.8987,-0.4996,2.0,979,8,1.0,0.0056,0,0,0.0,0.3,0.6,autoimmune,0.6892,highly_crowded,1.0,287,-0.022982555555555555,0.015464,-2.158,17.56,0.328179,-0.4449,1.656151,1.6573,0.0,0.0,0.0,-0.001149,0.0
