ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.0,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.082168,,0,0.862179,1,0.137821,157,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-40.4;smart_money_score:+32.6;momentum_score:+13.2,tier=A;reason=high_opt+catalyst_mid;cat_days=157;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.1,,0.6728,0,1,-1.3971,0.0,6,6,buying,1.1579,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,157,False,specific_days,0.211428,price_history,,6,0.6657,price_history,,-0.033465,,54.5395,,-0.057265,0.0238,late,mid,none,drug_developer,morningstar,,,,0,0.8124607582709490461241246076,63.60,45.56250000000000000000000000,83.0,16.21,10.05486968449931412894375857,49.86961772736819995799201849,9.5927,-1.4457,3.0,886,8,1.0,0.428,0,1,0.0,0.3,0.95,oncology,-0.4872,uncrowded,1.0,24,0.1,0.917832,1.3906,15.56,0.253497,-0.6635,0.005,0.0,0.0,0.0,0.0,0.005,0.0
CLDX,"Celldex Therapeutics, Inc.",2,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.092657,,0,0.605769,1,0.394231,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,smart_money_score:+18.1;clinical_score:-16.2;catalyst_score:-12.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.1,,0.7255,0,1,-0.2505,1.7174,4,4,buying,0.3824,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.336604,price_history,,4,0.7756,price_history,,-0.218256,,43.1583,0.4801,-0.057265,-0.160991,late,small,none,drug_developer,morningstar,,,,0,0.8764550731367541211980496866,57.91,41.25000000000000000000000000,71.5,65.86,37.21536351165980795610425240,59.34285714285714285714285714,38.3796,-0.2288,3.0,,57,1.0,0.8699,2,1,0.0,0.4,0.95,oncology,-0.4872,uncrowded,1.0,27,0.1,0.907343,1.3246,28.71,0.606643,0.2706,2.5811,2.5761,0.0,0.0,0.0,0.005,0.0
CRNX,"Crinetics Pharmaceuticals, Inc.",3,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.103147,,0,0.61859,1,0.38141,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-20.8;catalyst_score:-16.1;smart_money_score:+14.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.1,,0.7241,0,1,-0.2791,1.656,5,5,buying,0.7701,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.029101,price_history,,5,0.8795,price_history,,-0.019515,,57.9375,0.6688,-0.057265,0.03775,late,mid,none,drug_developer,morningstar,,,,0,0.8739125269461077844311377246,69.62,41.25000000000000000000000000,71.5,27.24,36.53728259581025927619434707,67.67391304347826086956521740,37.3398,-0.2728,3.0,1222,7,1.0,0.7191,1,1,0.0,0.5,0.95,oncology,0.6937,highly_crowded,1.0,30,0.1,0.896853,1.2638,27.35,0.578671,0.1985,2.489,2.484,0.0,0.0,0.0,0.005,0.0
ABSI,Absci Corporation,4,0.7,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.008741,,0,0.657051,1,0.342949,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,momentum_score:+38.9;clinical_score:-25.1;catalyst_score:-16.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.1,,-0.5582,,0,-0.4479,1.2937,3,3,buying,-0.0054,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,1.457404,price_history,,3,1.7927,price_history,,-0.22547,,54.1749,0.9218,-0.057265,-0.168205,late,small,none,drug_developer,morningstar,,,,0,0.8089145740436517249471954940,96.55,41.25000000000000000000000000,66.5,81.03,32.53992446950837440092126878,51.32857142857142857142857143,31.7456,-0.5092,3.0,,12,1.0,0.0,0,0,0.0,0.4,0.95,oncology,0.6937,highly_crowded,1.0,3,0.1,0.991259,2.3764,20.31,0.428322,-0.1806,1.94555,1.94055,0.0,0.0,0.0,0.005,0.0
FATE,"Fate Therapeutics, Inc.",5,0.55,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.893357,,0,0.612179,1,0.387821,826,0,specific_days,9,tailwind,deep_drawdown_rel_xbi,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|cost_haircut_>2000bps,momentum_score:+33.4;clinical_score:-18.6;catalyst_score:-10.3,tier=B;reason=high_opt+catalyst_far;cat_days=826;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 106084000.0, ""cash_total"": 203657000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.037253497228612, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|far_271_540|pos,0.006568701754385965,,0.1814,0,1,-0.2505,1.7174,2,2,buying,-0.3932,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,826,False,specific_days,1.08058,price_history,,2,1.5694,price_history,,-0.336245,,64.1233,0.8890,-0.057265,-0.27898,mid,micro,none,drug_developer,morningstar,,,,0,0.7794034090909090909090909091,89.19,45.56250000000000000000000000,60.5,90.00,37.21536351165980795610425240,46.70096021947873799725651579,36.4457,-0.3105,2.0,,18,1.0,0.0422,0,0,0.0,0.3,0.95,oncology,-0.4872,uncrowded,1.0,256,0.006568701754385965,0.106643,-1.2446,24.85,0.54021,0.101,1.717728,1.7174,0.0,0.0,0.0,0.000328,0.0
STRO,"Sutro Biopharma, Inc.",6,0.42,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.333916,,0,0.637821,1,0.362179,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_tailwind|runway_short|cost_haircut_<=2000bps,financial_score:-38.8;momentum_score:+27.1;smart_money_score:+22.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 150796000.0, ""cash_total"": 167594000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.336746332793973, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.1,,-0.0805,20,1,-0.3359,1.534,3,3,buying,-0.0054,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=2000bps,1967.55,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.280104,price_history,,3,1.5308,price_history,,-0.373333,,61.3547,1.0735,-0.057265,-0.316068,mid,small,sev2,drug_developer,morningstar,,,,0,0.7779025160780774004287487307,70.83,41.25000000000000000000000000,66.5,61.63,35.19128181679622008840115837,5,34.7353,-0.3829,2.0,578,4,1.0,0.3085,1,0,0.0,0.3,0.95,oncology,0.6937,highly_crowded,1.0,96,0.1,0.666084,0.4291,6.95,0.043706,-1.7092,1.539,1.534,0.0,0.0,0.0,0.005,0.0
SVRA,"Savara, Inc.",7,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.337413,,0,0.682692,1,0.317308,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:-25.3;smart_money_score:+24.8;momentum_score:+14.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.1,,0.7116,0,1,-0.6382,0.885,3,3,buying,-0.0054,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.005542,price_history,,3,0.8546,price_history,,-0.049505,,58.9338,0.6811,-0.057265,0.00776,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,56.23,41.25000000000000000000000000,66.5,58.28,28.03044928787955765550644380,16.34750566893424036281179138,26.5362,-0.7294,3.0,1220,9,1.0,0.0001,0,0,0.0,0.4,0.5,respiratory,0.6937,highly_crowded,1.0,97,0.1,0.662587,0.4195,14.78,0.211538,-0.8011,1.3325,1.3275,0.0,0.0,0.0,0.005,0.0
INBX,"Inhibrx Biosciences, Inc.",8,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.176573,,0,0.650641,1,0.349359,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,financial_score:-28.8;smart_money_score:+26.0;momentum_score:+9.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.1,,0.1732,0,1,-0.4201,1.3533,3,3,buying,-0.0054,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.057265,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,33.72,33.19768327998780673677793020,11.75147928994082840236686389,32.4034,-0.4814,2.0,613,5,1.0,0.0372,0,0,0.0,0.4,0.95,oncology,0.6937,highly_crowded,1.0,51,0.1,0.823427,0.9285,15.28,0.236014,-0.7192,1.3583,1.3533,0.0,0.0,0.0,0.005,0.0
KALV,"KalVista Pharmaceuticals, Inc.",9,0.85,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.197552,,0,0.689103,1,0.310897,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+19.7;clinical_score:-15.6;financial_score:-13.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.1,,0.7111,0,1,-0.6648,0.8278,2,2,selling,-0.3932,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.350146,price_history,,2,0.8958,price_history,,0.0,,64.242,0.6376,-0.057265,0.057265,late,small,sev1,drug_developer,morningstar,,,,0,0.8797695576251455180442374854,62.70,41.25000000000000000000000000,54.5,61.03,27.39978661789361377838744094,29.39510204081632653061224489,25.9055,-0.7561,3.0,886,4,1.0,0.0019,0,0,0.0,0.4,0.55,ophthalmology,0.6937,highly_crowded,1.0,57,0.1,0.802448,0.8504,21.54,0.456294,-0.1098,1.2467,1.2417,0.0,0.0,0.0,0.005,0.0
URGN,UroGen Pharma Ltd.,10,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.361888,,0,0.714744,1,0.285256,,0,no_upcoming,9,neutral,,M,sponsor_confirmed|runway_short,smart_money_score:+32.7;financial_score:-29.4;clinical_score:-14.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 124119000.0, ""cash_total"": 153829000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.872404708384696, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 4}",late|none|pos,0.1,,0.7081,0,1,-0.7699,0.6023,4,4,buying,0.3824,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,785.74,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.322318,price_history,,4,0.4411,price_history,,-0.290194,,63.3428,0.7699,-0.057265,-0.232929,late,small,sev2,drug_developer,morningstar,,,,0,0.8225032197634937360964758225,48.44,41.25000000000000000000000000,72.0,72.76,24.91100611356669884333350269,9.899070294784580498866213155,23.7914,-0.8455,3.0,1467,13,1.0,0.0007,0,0,0.0,0.3,0.95,oncology,0.6937,highly_crowded,1.0,104,0.1,0.638112,0.3534,5.97,0.04021,-1.7483,0.90845,0.90345,0.0,0.0,0.0,0.005,0.0
KYTX,"Kyverna Therapeutics, Inc.",11,0.26,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.211538,,0,0.695513,1,0.304487,,0,no_upcoming,9,neutral,high_vol|drawdown_data_missing,S,high_risk,smart_money_score:+15.2;financial_score:-13.1;clinical_score:-12.9,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 120185000.0, ""cash_total"": 171138000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.08745683737571, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",mid|none|pos,0.1,,-1.1106,918,1,-0.6648,0.8278,1,1,buying,-0.781,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,916.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,1.2661,-0.057265,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7520027017899358324890239784,50,41.25000000000000000000000000,55.5,50.00,27.39978661789361377838744094,27.18951347797501643655489810,25.5802,-0.7699,2.0,1314,4,1.0,0.0002,0,0,0.0,0.3,0.6,autoimmune,0.6937,highly_crowded,1.0,61,0.1,0.788462,0.8011,15.46,0.243007,-0.6967,0.8328,0.8278,0.0,0.0,0.0,0.005,0.0
