ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority,alpha_cohort_pct,clinical_score_z,clinical_score_z_tier,coinvest_score_z,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,missingness_penalty,missing_components,commercial_quality_pct,clinical_score_v2,competitive_intensity_z,sizing_multiplier_clinical,clinical_score_v2_z,de_vol_60d
TENX,146,30.17,0.550157,0.1261,30.20,0.537618,0.0944,late,micro,none,drug_developer,84.67,49.77216044444444444444444444,49.65268185375287306073886586,70.61,32.02200715603849189651521278,57.29850746268656716417910448,0.8370318494278686771468292161,0.396175,0.603825,v1.3.0,96f655ee,1,,1,1,buying,144,0,specific_days,mid,adequate,tailwind,deep_drawdown_rel_xbi,L,tier_a_dev|momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1896.04,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,1,0.53,144,False,specific_days,0.5048,1,,-0.303229,,,-0.023106,-0.280123,morningstar,,,9,0.550157,-0.379403,1.743197,0,0,0,0,0,0,,,32.02200715603849189651521278,0,1.0,0,
IRON,105,37.00,0.653605,0.3951,37.00,0.666144,0.4293,late,mid,none,drug_developer,40.01,50.594,85,46.33,31.23456790123456790123456790,60.01538461538461538461538461,0.8854555061179087875417130145,0.39071,0.60929,v1.3.0,96f655ee,1,,8,8,buying,84,0,specific_days,near,adequate,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,471.73,1.0,0,1.0,0,0,A,high_opt+catalyst_near,2,0.64,84,False,specific_days,-0.1388,8,,-0.141539,,,-0.023106,-0.118433,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3,0.653605,-0.413219,1.654785,0,0,0,0,0,0,,,31.23456790123456790123456790,0,1.0,0,
ALMS,300,9.72,0.054859,-1.5995,9.72,0.061129,-1.5454,late,mid,sev2,drug_developer,96.55,49.58054444444444444444444444,81.92813681573374169562577453,44.24,30.45207901894617569972140404,7.312925706771860618014464170,0.8151925438106931577184953678,0.379781,0.620219,v1.3.0,96f655ee,1,,7,7,buying,53,1,specific_days,near,short,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,1.0,<=400bps,0,365.09,1.0,0,1.0,0,0,A,high_opt+catalyst_near,3,0.75,53,True,specific_days,3.9195,7,,-0.033208,,,-0.023106,-0.010102,morningstar,,,9,0.054859,-0.446823,1.566929,0,0,0,0,0,0,,,30.45207901894617569972140404,0,1.0,0,
PVLA,180,24.41,0.418495,-0.2057,24.41,0.437304,-0.1578,late,small,none,drug_developer,47.58,53.516,85,34.79,29.67454050917331529197572118,19.38509079716835949522930132,0.8432369934344577767715644102,0.374317,0.625683,v1.3.0,96f655ee,1,,4,4,buying,23,1,specific_days,near,adequate,neutral,,L,tier_a_dev|sponsor_confirmed,0.85,<=1000bps,1,696.14,1.0,0,1.0,0,0,A,high_opt+catalyst_near,4,0.64,23,True,specific_days,-0.0336,4,,-0.246356,,,-0.023106,-0.22325,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3,0.418495,-0.480215,1.479629,0,0,0,0,0,0,,,29.67454050917331529197572118,0,1.0,0,
RNA,288,12.70,0.083072,-1.3847,12.68,0.095611,-1.307,late,large,sev2,drug_developer,46.72,49.77216044444444444444444444,85,21.21,29.15893170961114823890497760,5,0.8704816954581855622926438623,0.368852,0.631148,v1.3.0,96f655ee,1,,11,11,buying,144,0,specific_days,mid,short,neutral,,L,tier_a_dev|sponsor_confirmed|runway_short,1.0,<=400bps,0,240.41,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,5,0.75,144,False,specific_days,-0.0456,11,1.1040,-0.0037,,59.4595,-0.023106,0.019406,morningstar,,,9,0.083072,-0.502358,1.421737,0,0,0,0,0,0,,,29.15893170961114823890497760,0,1.0,0,
NMRA,314,6.78,0.014107,-2.1943,6.78,0.017241,-2.1144,late,small,sev2,drug_developer,30.52,37.29369600000000000000000000,41.55772886063395004024350686,75.96,28.64552307561143976084200336,8.227146814404432132963988913,0.7816099901994301994301994302,0.357923,0.642077,v1.3.0,96f655ee,1,,1,1,neutral,23,1,specific_days,near,short,headwind,deep_drawdown_rel_xbi,XS,tier_a_dev|momentum_headwind|runway_short|cost_haircut_<=2000bps,0.7,<=2000bps,1,1854.56,1.0,0,1.0,0,0,A,high_opt+catalyst_near,6,0.08,23,True,specific_days,-0.2563,1,,-0.294702,,,-0.023106,-0.271596,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3,0.014107,-0.524406,1.364093,0,0,0,0,0,0,,,28.64552307561143976084200336,0,1.0,0,
SRRK,195,21.31,0.315047,-0.4816,21.31,0.387147,-0.2868,late,mid,sev1,drug_developer,59.95,39.44804444444444444444444444,74.57021387204621925382427508,43.13,28.13431460717418985778679846,15.24000000000000000000000000,0.8740289089490694305137635128,0.352459,0.647541,v1.3.0,96f655ee,1,,7,7,buying,115,0,specific_days,near,adequate,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,1.0,<=400bps,0,391.21,1.0,0,1.0,0,0,A,high_opt+catalyst_near,7,0.75,115,False,specific_days,0.1382,7,,-0.080193,,,-0.023106,-0.057087,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.315047,-0.54636,1.306696,0,0,0,0,0,0,,,28.13431460717418985778679846,0,1.0,0,
PRAX,311,7.52,0.032915,-1.8396,7.51,0.026646,-1.9326,late,mid,sev2,drug_developer,96.55,54.968,79.28825112045066085150667611,41.53,27.62530630429939852973936288,5,0.7967933810375670840787119857,0.346995,0.653005,v1.3.0,96f655ee,1,,8,8,buying,34,1,specific_days,near,short,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,1.0,<=400bps,0,209.08,1.0,0,1.0,0,0,A,high_opt+catalyst_near,8,0.75,34,True,specific_days,1.8917,8,,-0.030363,,,-0.023106,-0.007257,morningstar,,,9,0.032915,-0.568219,1.249545,0,0,0,0,0,0,,,27.62530630429939852973936288,0,1.0,0,
PHVS,219,19.02,0.236677,-0.717,19.02,0.315047,-0.4816,late,small,none,drug_developer,49.60,46.96890000000000000000000000,85,45.29,24.12385281992469933362485527,5,0.8027847173531989482909728309,0.303279,0.696721,v1.3.0,96f655ee,1,,9,9,buying,8,1,specific_days,near,adequate,neutral,,L,tier_a_dev|sponsor_confirmed|cost_haircut_<=2000bps,0.7,<=2000bps,1,1059.54,1.0,0,1.0,0,0,A,high_opt+catalyst_near,9,0.53,8,True,specific_days,-0.0056,9,,-0.054316,,,-0.023106,-0.03121,morningstar,,,9,0.236677,-0.718589,0.85641,0,0,0,0,0,0,,,24.12385281992469933362485527,0,1.0,0,
KURA,226,18.25,0.242947,-0.6969,18.25,0.293103,-0.5443,late,small,sev1,drug_developer,33.40,39.77296044444444444444444444,67.08265960859322271875381987,75.13,22.65623238148670687469232060,21.95753770390889504462911666,0.8638692788936450444517616068,0.286885,0.713115,v1.3.0,96f655ee,1,,4,4,buying,176,0,specific_days,mid,adequate,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,852.72,1.0,0,1.0,0,0,A,high_opt+catalyst_mid,10,0.64,176,False,specific_days,-0.2185,4,,-0.326606,,,-0.023106,-0.3035,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,0.242947,-0.781616,0.691629,0,0,0,0,0,0,,,22.65623238148670687469232060,0,1.0,0,
