ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
QURE,uniQure N.V.,1,0.83,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.870614,,0,0.678571,1,0.321429,94,0,specific_days,9,neutral,high_vol|drawdown_data_missing,L,tier_a_dev|sponsor_confirmed|high_risk,smart_money_score:+26.6;clinical_score:-21.0;financial_score:+11.6,tier=A;reason=high_opt+catalyst_near;cat_days=94;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 100394000.0, ""cash_total"": 597056000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 71.36553977329322, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 9}",mid|near_91_180|nonpos,0.0646411489361702,,0.4424,0,1,-0.4501,0.0,9,9,buying,2.4972,elite_9,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,501.73,0.85,1,0,1.0,0,1.0,0,94,False,specific_days,-0.202888,price_history,,9,1.1136,price_history,,,series_too_short,27.1964,1.3016,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7977214341561487769462749916,50,45.56250000000000000000000000,83.0,62.50,35.37828255513490775794723875,68.03488372093023255813953488,34.9115,-0.3896,2.0,94,6,1.0,0.4569,0,1,0.0,0.3,0.6,cns,-0.4072,uncrowded,1.0,199,0.0646411489361702,0.129386,-1.1293,27.50,0.572368,0.1824
CHRS,"Coherus Oncology, Inc.",2,0.21,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.142544,,0,0.668367,1,0.331633,,0,no_upcoming,9,neutral,drawdown_data_missing,S,cost_haircut_<=2000bps,financial_score:+16.9;clinical_score:-13.6;catalyst_score:-8.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 118797000.0, ""cash_total"": 191663000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.31919011700611, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 1}",late|none|pos,0.1,,0.9251,0,1,-0.4055,1.7353,1,1,buying,-0.7105,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1725.6,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.126605,price_history,,1,1.2116,price_history,,,series_too_short,41.9007,0.9928,,,late,micro,none,drug_developer,morningstar,,,drawdown,1,0.7863618983355825461088618983,50,41.25000000000000000000000000,55.5,80.11,36.46710968711680708832720225,66.98113207547169811320754717,35.4707,-0.3657,3.0,,5,1.0,0.0,0,0,0.0,0.3,0.6,autoimmune,-0.4072,uncrowded,1.0,33,0.1,0.857456,1.069,23.78,0.510965,0.0275
NMRA,"Neumora Therapeutics, Inc.",3,0.1,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.60307,,0,0.607143,1,0.392857,,0,no_upcoming,9,neutral,drawdown_data_missing,XS,runway_short|cost_haircut_<=2000bps,financial_score:-20.9;smart_money_score:+12.5;momentum_score:+7.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 158485000.0, ""cash_total"": 171525000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 11.473010064043915, ""stage_bucket"": ""mid"", ""surv_score"": ""0.0"", ""tier1_count"": 1}",mid|none|pos,0.08701244092219021,,-0.7184,770,1,-0.0756,2.4414,1,1,neutral,-0.7105,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=2000bps,1324.22,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,1,,,series_too_short,,no_price_series,,0.9459,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7153062296459712154638092237,50,41.25000000000000000000000000,55.0,50,44.51475271918754882519079383,21.53440298059010876750195301,43.4774,-0.0234,2.0,770,1,0.0,0.0016,0,0,0.0,0.4,0.5,other,0.7563,highly_crowded,1.0,138,0.08701244092219021,0.39693,-0.2613,12.42,0.098684,-1.2891
PVLA,"Palvella Therapeutics, Inc.",4,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.616228,,0,0.647959,1,0.352041,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+25.5;financial_score:-15.0;clinical_score:-8.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|pos,0.08701244092219021,,-0.6002,204,1,-0.3456,1.8635,4,4,buying,0.4924,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.00405,price_history,,4,1.6301,price_history,,,series_too_short,36.5851,,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7772841994970662196144174350,50,41.25000000000000000000000000,72.0,50,37.92861005949161709031909140,31.52028123309897241752298540,37.3838,-0.2839,2.0,204,1,0.0,0.1827,0,0,0.0,0.4,0.5,other,-3.4323,uncrowded,1.0,141,0.08701244092219021,0.383772,-0.2956,25.23,0.532895,0.0825
EYPT,"EyePoint, Inc.",5,0.5,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.208333,,0,0.709184,1,0.290816,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,financial_score:-34.4;smart_money_score:+32.6;momentum_score:+10.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 175063000.0, ""cash_total"": 204022000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.985045383661882, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 4}",late|none|pos,0.1,,-0.2439,,0,-0.714,1.0749,4,4,buying,0.4924,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,660.09,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.112859,price_history,,4,0.7575,price_history,,,series_too_short,29.94,0.7147,,,late,small,sev2,drug_developer,morningstar,,,drawdown,1,0.8716017145505097312326227989,50,41.25000000000000000000000000,72.0,31.72,28.94070645939638463668367548,5,27.9329,-0.6879,3.0,,3,0.6667,0.0,0,0,0.0,0.4,0.55,ophthalmology,0.2909,moderate,1.0,48,0.1,0.791667,0.8122,11.16,0.072368,-1.4584
ABSI,Absci Corporation,6,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.006579,,0,0.739796,1,0.260204,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-21.9;smart_money_score:+20.0;catalyst_score:-5.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.1,,-0.2489,,0,-0.8904,0.6974,3,3,buying,0.0914,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.9218,,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089663629992992291520672740,50,41.25000000000000000000000000,66.5,69.35,24.63846366836754875202721411,50.07692307692307692307692307,24.3262,-0.8421,3.0,,6,1.0,0.0994,0,0,0.0,0.4,0.95,oncology,0.7563,highly_crowded,1.0,2,0.1,0.993421,2.4795,18.44,0.33114,-0.4368
RCKT,"Rocket Pharmaceuticals, Inc.",7,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.620614,,0,0.729592,1,0.270408,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,clinical_score:-21.6;smart_money_score:+18.8;financial_score:+6.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.08701244092219021,,-0.6964,277,1,-0.8486,0.7869,3,3,buying,0.0914,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.078189,price_history,,3,1.4751,price_history,,,series_too_short,37.0325,0.6262,,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7990011210762331838565022422,50,41.25000000000000000000000000,66.0,69.64,25.65771287783186106604170423,53.20930232558139534883720930,24.6243,-0.8294,2.0,277,5,1.0,0.0268,0,0,0.0,0.3,0.5,other,-1.5707,uncrowded,1.0,142,0.08701244092219021,0.379386,-0.3071,21.86,0.445175,-0.1379
CELC,Celcuity Inc.,8,0.98,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.567982,,0,0.75,1,0.25,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+33.6;clinical_score:-26.0;catalyst_score:-8.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",mid|none|pos,0.08701244092219021,,-0.7544,691,1,-0.9433,0.5842,6,6,buying,1.2943,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,,False,no_upcoming,-0.281156,price_history,,6,-0.1384,price_history,,,series_too_short,24.6658,,,,mid,mid,none,drug_developer,morningstar,,,drawdown,1,0.7815456943011122577686045178,50,41.25000000000000000000000000,83.0,19.64,23.34775554353704705246078962,49.30382789495823568295174568,23.0144,-0.8982,2.0,1340,5,1.0,0.0008,0,0,0.0,0.3,0.95,oncology,-0.4072,uncrowded,1.0,130,0.08701244092219021,0.432018,-0.1712,19.64,0.383772,-0.2956
CLDX,"Celldex Therapeutics, Inc.",9,0.83,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.14693,,0,0.770408,1,0.229592,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,clinical_score:-27.7;smart_money_score:+23.3;financial_score:+9.7,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.1,,0.9117,0,1,-1.0602,0.334,4,4,buying,0.4924,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.188117,price_history,,4,0.331,price_history,,-0.2393,,56.0818,0.4801,,,late,small,none,drug_developer,morningstar,,,,0,0.8764675685050294831772459244,50,41.25000000000000000000000000,71.5,70.43,20.49642023654127605711799376,57.92307692307692307692307693,21.746,-0.9524,3.0,,44,1.0,0.4711,1,0,0.0,0.4,0.95,oncology,-0.4072,uncrowded,1.0,34,0.1,0.85307,1.0497,22.27,0.467105,-0.0825
ADCT,ADC Therapeutics SA,10,0.41,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.550439,,0,0.760204,1,0.239796,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-26.5;smart_money_score:+18.9;financial_score:+11.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.08701244092219021,,0.4026,0,1,-1.036,0.3857,3,3,buying,0.0914,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7505,,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7778496798112571621166161105,50,41.25000000000000000000000000,66.5,87.50,21.08587224325461210263806261,59.13953488372093023255813954,21.7112,-0.9539,2.0,86,10,1.0,0.5219,1,1,0.0,0.3,0.95,oncology,0.7563,highly_crowded,1.0,126,0.08701244092219021,0.449561,-0.1268,19.93,0.401316,-0.2499
KOD,Kodiak Sciences Inc,11,0.5,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.309211,,0,0.984694,1,0.015306,,0,no_upcoming,9,neutral,drawdown_data_missing,M,sponsor_confirmed|runway_short,smart_money_score:+31.1;clinical_score:-30.4;financial_score:-21.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 96630000.0, ""cash_total"": 72038000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.94604160198696, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 3}",mid|none|nonpos,0.1,,-0.8402,460,1,-1.6954,-1.0257,3,3,buying,0.0914,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=1000bps,676.83,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.011908,price_history,,3,0.8485,price_history,,,series_too_short,51.3624,0.8241,,,mid,small,sev2,drug_developer,morningstar,,,drawdown,1,0.7862229535688083010166649198,50,41.25000000000000000000000000,66.5,50,5,14.17090319091400757166035695,3.6166,-1.7275,2.0,460,1,0.0,0.0107,0,0,0.0,0.3,0.55,ophthalmology,0.7563,highly_crowded,1.0,71,0.1,0.690789,0.4981,7.63,0.041667,-1.7317
