ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,1.04,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.899648,,0,0.957792,1,0.042208,136,0,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,clinical_score:-40.7;smart_money_score:+37.3;financial_score:+8.8,tier=A;reason=high_opt+catalyst_mid;cat_days=136;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|nonpos,0.008127472222222223,,0.7255,0,1,-1.7065,0.0,6,6,buying,1.1627,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,136,False,specific_days,-0.01555,price_history,,6,0.445,price_history,,-0.233405,,52.6874,,-0.076186,-0.157219,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,40.60,45.56250000000000000000000000,83.0,14.44,5,54.50000000000000000000000000,4.4809,-1.6562,3.0,1110,7,1.0,0.388,0,1,0.0,0.3,0.95,oncology,-0.4815,uncrowded,1.0,256,0.008127472222222223,0.100352,-1.2795,14.03,0.167254,-0.9651,0.000406,0.0,0.0,0.0,0.0,0.000406,0.0
XENE,Xenon Pharmaceuticals Inc.,2,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.864437,,0,0.62013,1,0.37987,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+26.3;clinical_score:-12.4;catalyst_score:-9.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 197637000.0, ""cash_total"": 462268000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.067699874011446, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|none|pos,0.016933170731707317,,0.7981,0,1,-0.2663,1.4847,8,8,buying,1.9396,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,519.29,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.086423,price_history,,8,0.6507,price_history,,-0.06316,,49.514,0.341,-0.076186,0.013026,late,mid,none,drug_developer,morningstar,,,,0,0.8874476502082093991671624033,49.87,41.25000000000000000000000000,77.0,41.11,38.22531932902431517389966144,47.02777777777777777777777778,37.9877,-0.2442,3.0,154,12,1.0,0.8735,0,2,0.0,0.6,0.6,cns,0.6973,highly_crowded,1.0,246,0.016933170731707317,0.135563,-1.1005,30.02,0.603873,0.2634,2.227897,2.22705,0.0,0.0,0.0,0.000847,0.0
VIR,"Vir Biotechnology, Inc.",3,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.857394,,0,0.652597,1,0.347403,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+15.6;clinical_score:-9.7;catalyst_score:-4.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 391781000.0, ""cash_total"": 460938000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 14.118234421781557, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.016933170731707317,,0.7922,0,1,-0.376,1.2702,2,2,buying,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,599.02,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.007566,price_history,,2,0.6887,price_history,,-0.188746,,45.2722,0.7493,-0.076186,-0.11256,late,small,sev1,drug_developer,morningstar,,,,0,0.8609482288510836634817058961,44.82,41.25000000000000000000000000,61.0,78.15,35.69444444444444444444444444,44.37801446416831032215647601,36.0019,-0.3279,3.0,28,14,1.0,2.9141,3,3,0.0,0.4,0.55,infectious_disease,0.6973,highly_crowded,1.0,244,0.016933170731707317,0.142606,-1.0687,29.02,0.582746,0.2089,1.906147,1.9053,0.0,0.0,0.0,0.000847,0.0
DNLI,Denali Therapeutics Inc.,4,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.734155,,0,0.665584,1,0.334416,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,financial_score:+23.1;clinical_score:-19.6;catalyst_score:-12.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.016933170731707317,,0.7908,0,1,-0.4378,1.1495,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.114288,price_history,,3,1.3096,price_history,,-0.194394,,54.1257,0.5691,-0.076186,-0.118208,late,mid,none,drug_developer,morningstar,,,,0,0.8798122047716101186908044599,56.34,41.25000000000000000000000000,60.5,46.30,34.26939058171745152354570638,77.00000000000000000000000000,34.7139,-0.3821,3.0,41,11,1.0,1.0945,1,1,0.0,0.4,0.6,cns,-0.4815,uncrowded,1.0,209,0.016933170731707317,0.265845,-0.6254,33.58,0.670775,0.4421,1.725097,1.72425,0.0,0.0,0.0,0.000847,0.0
CLDX,"Celldex Therapeutics, Inc.",5,0.53,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.727113,,0,0.678571,1,0.321429,,0,no_upcoming,9,headwind,,M,sponsor_confirmed|momentum_headwind,smart_money_score:+21.5;financial_score:+17.5;clinical_score:-16.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.016933170731707317,,0.7907,0,1,-0.4684,1.0896,4,4,buying,0.3857,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.209156,price_history,,4,0.9647,price_history,,-0.247734,,55.0073,0.4801,-0.076186,-0.171548,late,small,none,drug_developer,morningstar,,,,0,0.8764361862733712693067007316,36.39,41.25000000000000000000000000,71.5,66.30,33.56263465681748230224684519,67.49230769230769230769230769,34.7071,-0.3824,3.0,,57,1.0,1.0111,1,2,0.0,0.4,0.95,oncology,-0.4815,uncrowded,1.0,207,0.016933170731707317,0.272887,-0.6041,28.80,0.568662,0.173,1.635247,1.6344,0.0,0.0,0.0,0.000847,0.0
RCKT,"Rocket Pharmaceuticals, Inc.",6,0.88,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.885563,,0,0.607143,1,0.392857,647,0,specific_days,9,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,clinical_score:-13.9;smart_money_score:+13.7;catalyst_score:-6.8,tier=B;reason=high_opt+catalyst_far;cat_days=647;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 155174000.0, ""cash_total"": 222758000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.070450597731686, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|far_271_540|pos,0.012781999999999998,,0.2752,0,1,-0.2568,1.5032,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,956.37,0.85,1,0,1.0,0,1.0,0,647,False,specific_days,8.5e-05,price_history,,3,1.4001,price_history,,-0.072034,,51.0925,0.6262,-0.076186,0.004152,mid,small,sev1,drug_developer,morningstar,,,,0,0.7990524420436641908620301598,55.12,45.56250000000000000000000000,66.0,77.63,38.44444444444444444444444444,56.54000000000000000000000000,38.1682,-0.2366,2.0,596,9,1.0,0.1292,1,0,0.0,0.3,0.95,oncology,-1.6603,uncrowded,1.0,252,0.012781999999999998,0.114437,-1.2033,27.65,0.551056,0.1283,1.503839,1.5032,0.0,0.0,0.0,0.000639,0.0
AURA,"Aura Biosciences, Inc.",7,0.34,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.27993,,0,0.63961,1,0.36039,,0,no_upcoming,9,tailwind,deep_drawdown|deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_tailwind|runway_short|cost_haircut_>2000bps,financial_score:-27.6;momentum_score:+15.0;smart_money_score:+13.0,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 64273000.0, ""cash_total"": 47553000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 8.878315933595756, ""stage_bucket"": ""mid"", ""surv_score"": ""-2.0"", ""tier1_count"": 2}",mid|none|pos,0.08364341958041958,,-0.9159,311,1,-0.3524,1.3165,2,2,selling,-0.3912,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,,False,no_upcoming,0.159874,price_history,,2,0.4982,price_history,,-0.376106,,64.937,0.5411,-0.076186,-0.29992,mid,small,sev2,drug_developer,morningstar,,,,0,0.8473968865494456266099227237,53.99,41.25000000000000000000000000,52.0,69.74,36.24000000000000000000000000,11.33671111111111111111111111,35.1267,-0.3648,2.0,311,5,1.0,0.0749,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,80,0.08364341958041958,0.72007,0.5831,9.87,0.082746,-1.3868,1.320682,1.3165,0.0,0.0,0.0,0.004182,0.0
STRO,"Sutro Biopharma, Inc.",8,0.11,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.336268,,0,0.691558,1,0.308442,,0,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,sponsor_confirmed|momentum_headwind|runway_short|cost_haircut_<=2000bps,smart_money_score:+27.1;financial_score:-18.5;clinical_score:-7.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 150796000.0, ""cash_total"": 167594000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.336746332793973, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|none|pos,0.08364341958041958,,-0.8822,244,1,-0.5388,0.9519,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,short,<=2000bps,1967.55,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.261268,price_history,,3,1.7075,price_history,,-0.39645,,48.7538,1.0735,-0.076186,-0.320264,mid,small,sev2,drug_developer,morningstar,,,,0,0.7779025160780774004287487307,36.35,41.25000000000000000000000000,66.5,61.84,31.93777777777777777777777778,20.93604444444444444444444444,30.8244,-0.5461,2.0,802,4,1.0,0.0477,0,0,0.0,0.3,0.95,oncology,0.6973,highly_crowded,1.0,96,0.08364341958041958,0.663732,0.4227,8.58,0.051056,-1.6347,0.956082,0.9519,0.0,0.0,0.0,0.004182,0.0
INBX,"Inhibrx Biosciences, Inc.",9,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.297535,,0,0.717532,1,0.282468,,0,no_upcoming,9,neutral,drawdown_data_missing,L,sponsor_confirmed,smart_money_score:+23.5;financial_score:-15.8;clinical_score:-13.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 99672000.0, ""cash_total"": 153088000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 18.431013725018058, ""stage_bucket"": ""mid"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",mid|none|pos,0.08364341958041958,,0.2607,0,1,-0.6298,0.7741,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,811.15,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,,,beta_missing:series_too_short,3,,,series_too_short,,no_price_series,,0.7023,-0.076186,,mid,small,sev1,drug_developer,morningstar,,,drawdown,1,0.7778532089468360121389232326,50,41.25000000000000000000000000,66.5,40.79,29.84000000000000000000000000,27.16604444444444444444444444,29.0974,-0.6188,2.0,837,5,1.0,0.0057,0,0,0.0,0.4,0.95,oncology,0.6973,highly_crowded,1.0,85,0.08364341958041958,0.702465,0.5315,16.65,0.276408,-0.5935,0.778282,0.7741,0.0,0.0,0.0,0.004182,0.0
SVRA,"Savara, Inc.",10,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.836268,,0,0.743506,1,0.256494,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+37.9;financial_score:-28.6;clinical_score:-22.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.016933170731707317,,0.7774,0,1,-0.823,0.3964,3,3,buying,-0.0027,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.62429,price_history,,3,-0.0853,price_history,,-0.052469,,64.0269,0.6811,-0.076186,0.023717,late,small,sev1,drug_developer,morningstar,,,,0,0.8537484194564329872856642949,85.43,41.25000000000000000000000000,66.5,58.15,25.38165589412126808248691906,18.93777777777777777777777778,24.1638,-0.8267,3.0,167,9,1.0,0.373,0,1,0.0,0.4,0.5,respiratory,0.6973,highly_crowded,1.0,238,0.016933170731707317,0.163732,-0.9792,11.98,0.107394,-1.2405,0.595447,0.5946,0.0,0.0,0.0,0.000847,0.0
CRNX,"Crinetics Pharmaceuticals, Inc.",11,0.88,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.730634,,0,0.75,1,0.25,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,clinical_score:-29.8;financial_score:+24.3;smart_money_score:+17.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.016933170731707317,,0.7769,0,1,-0.8657,0.313,5,5,buying,0.7742,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.129931,price_history,,5,0.8978,price_history,,-0.138983,,40.5381,0.6688,-0.076186,-0.062797,late,mid,none,drug_developer,morningstar,,,,0,0.8739267504488330341113105925,55.15,41.25000000000000000000000000,71.5,22.59,24.39798784241305016928285626,78.50000000000000000000000000,25.5218,-0.7695,3.0,24,6,1.0,1.5818,1,1,0.0,0.5,0.95,oncology,0.6973,highly_crowded,1.0,208,0.016933170731707317,0.269366,-0.6147,23.60,0.498239,-0.0044,0.470347,0.4695,0.0,0.0,0.0,0.000847,0.0
