ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,de_sort_total_adj,de_sort_contrib_clinical,de_sort_contrib_coinvest,de_sort_contrib_institutional,de_sort_contrib_calendar_alpha,de_sort_contrib_alpha_modifier,de_sort_contrib_catalyst_bonus
CELC,Celcuity Inc.,1,0.86,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.93554,,0,0.850318,1,0.149682,122,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,clinical_score:-39.0;smart_money_score:+33.4;momentum_score:+9.3,tier=A;reason=high_opt+catalyst_mid;cat_days=122;strength=mid;decay_w=0.7,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 116881000.0, ""cash_total"": 454978000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 46.71192067145216, ""stage_bucket"": ""late"", ""surv_score"": ""4.0"", ""tier1_count"": 6}",late|near_91_180|pos,-0.00940623076923077,,0.6698,0,1,-1.3661,1.0,6,6,buying,1.1457,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,mid,0.7,adequate,<=400bps,347.34,1.0,0,0,1.0,0,1.0,0,122,False,specific_days,-0.072176,price_history,,6,0.824,price_history,,0.0,,67.0155,,-0.013218,0.013218,late,mid,none,drug_developer,morningstar,,,,0,0.8124562462281231140615570308,58.90,45.56250000000000000000000000,83.0,16.10,10.52207878019914603903463101,49.86961772736819995799201849,10.2293,-1.418,3.0,851,8,1.0,0.5729,0,1,0.0,0.3,0.95,oncology,-0.4901,uncrowded,1.0,269,-0.00940623076923077,0.06446,-1.5184,15.67,0.259582,-0.6446,1.49953,1.5,0.0,0.0,0.0,-0.00047,0.0
ADCT,ADC Therapeutics SA,2,0.6,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.994774,,0,0.894904,1,0.105096,10,1,specific_days,9,tailwind,high_beta,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,clinical_score:-45.8;momentum_score:+43.3;smart_money_score:+13.3,tier=A;reason=high_opt+catalyst_near;cat_days=10;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 110051000.0, ""cash_total"": 234738000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.035925450397038, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 3}",late|near_0_30|nonpos,-0.07725734020618556,,0.662,0,1,-1.4965,-1.0,3,3,buying,-0.0121,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=2000bps,1472.59,0.7,1,0,1.0,0,1.0,0,10,True,specific_days,2.714202,price_history,,3,2.3526,price_history,,-0.081285,,64.0535,0.7505,-0.013218,-0.068067,late,small,none,drug_developer,morningstar,,,,0,0.8089258911819887429643527205,96.55,44.66680177777777777777777778,66.5,90.00,7.419716377900728083271649077,50.88732394366197183098591550,6.9384,-1.557,3.0,729,19,1.0,0.2981,1,0,0.0,0.3,0.95,oncology,0.6919,highly_crowded,1.0,286,-0.07725734020618556,0.005226,-2.5605,13.82,0.19338,-0.8655,-0.003863,0.0,0.0,0.0,0.0,-0.003863,0.0
CLDX,"Celldex Therapeutics, Inc.",3,0.73,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.120209,,0,0.601911,1,0.398089,365,0,specific_days,9,tailwind,overbought_rsi,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind,clinical_score:-21.1;momentum_score:+20.5;catalyst_score:-13.1,tier=B;reason=high_opt+catalyst_far;cat_days=365;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 210945000.0, ""cash_total"": 518573000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.49999288914172, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|far_271_540|pos,0.1,,0.7227,0,1,-0.2262,1.7882,4,4,buying,0.3738,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,652.37,0.85,1,0,1.0,0,1.0,0,365,False,specific_days,0.318265,price_history,,4,1.0822,price_history,,0.0,,73.5541,0.4801,-0.013218,0.013218,late,small,none,drug_developer,morningstar,,,,0,0.8764361862733712693067007316,79.21,45.56250000000000000000000000,71.5,65.41,37.62885735673571120896951753,59.50704225352112676056338028,38.9206,-0.2057,3.0,,57,1.0,1.1644,2,1,0.0,0.4,0.95,oncology,-0.4901,uncrowded,1.0,35,0.1,0.879791,1.1739,28.91,0.618467,0.3015,2.6873,2.6823,0.0,0.0,0.0,0.005,0.0
DNLI,Denali Therapeutics Inc.,4,0.22,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.144599,,0,0.61465,1,0.38535,,0,no_upcoming,9,headwind,high_beta|deep_drawdown|deep_drawdown_rel_xbi,S,sponsor_confirmed|momentum_headwind|high_risk,financial_score:+18.4;momentum_score:-12.6;smart_money_score:+12.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 314062000.0, ""cash_total"": 848204000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 32.40904025319841, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.1,,0.7224,0,1,-0.2546,1.7274,3,3,buying,-0.0121,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,533.31,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.495462,price_history,,3,2.1494,price_history,,-0.367112,,59.4245,0.5691,-0.013218,-0.353894,late,mid,none,drug_developer,morningstar,,,,0,0.8797983451253147859455570212,35.51,41.25000000000000000000000000,60.5,49.66,36.95288159551022285788366559,66.56521739130434782608695652,36.5632,-0.3053,3.0,726,12,1.0,0.3995,1,0,0.0,0.4,0.6,cns,-0.4901,uncrowded,1.0,42,0.1,0.855401,1.0599,34.78,0.698606,0.5204,2.5961,2.5911,0.0,0.0,0.0,0.005,0.0
CRNX,"Crinetics Pharmaceuticals, Inc.",5,0.73,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.134146,,0,0.621019,1,0.378981,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+25.9;clinical_score:-24.4;catalyst_score:-19.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 285021000.0, ""cash_total"": 1092291000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 45.98781142442136, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 5}",late|none|pos,0.1,,0.7213,0,1,-0.2829,1.6668,5,5,buying,0.7598,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,459.18,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.093089,price_history,,5,1.0097,price_history,,0.0,,72.7573,0.6688,-0.013218,0.013218,late,mid,none,drug_developer,morningstar,,,,0,0.8739125269461077844311377246,86.58,41.25000000000000000000000000,71.5,27.05,36.28025142082878542662501412,67.67391304347826086956521740,37.3535,-0.2719,3.0,1187,7,1.0,0.9626,1,1,0.0,0.5,0.95,oncology,0.6919,highly_crowded,1.0,39,0.1,0.865854,1.107,27.26,0.573171,0.1845,2.5052,2.5002,0.0,0.0,0.0,0.005,0.0
ABSI,Absci Corporation,6,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.012195,,0,0.646497,1,0.353503,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,momentum_score:+38.8;clinical_score:-24.8;catalyst_score:-16.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 63743000.0, ""cash_total"": 152475000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 28.70432831840359, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.1,,-0.5648,,0,-0.4222,1.3684,3,3,buying,-0.0121,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1036.19,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,1.368084,price_history,,3,1.4793,price_history,,0.0,,64.9801,0.9218,-0.013218,0.013218,late,small,none,drug_developer,morningstar,,,,0,0.8089145740436517249471954940,96.55,41.25000000000000000000000000,66.5,81.16,32.96728434558236206773976356,51.60563380281690140845070422,32.159,-0.4914,3.0,,12,1.0,0.0,0,0,0.0,0.4,0.95,oncology,0.6919,highly_crowded,1.0,4,0.1,0.987805,2.2509,20.47,0.423345,-0.1933,2.0576,2.0526,0.0,0.0,0.0,0.005,0.0
GOSS,"Gossamer Bio, Inc.",7,0.6,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.200348,,0,0.652866,1,0.347134,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,smart_money_score:+34.2;financial_score:-24.0;clinical_score:-17.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 122952000.0, ""cash_total"": 180224000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.589693538942026, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 6}",late|none|pos,0.1,,0.7122,0,1,-0.4769,1.2511,6,6,buying,1.1457,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1384.72,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.35213,price_history,,6,0.2551,price_history,,-0.245902,,71.3831,0.8648,-0.013218,-0.232684,late,micro,sev1,drug_developer,morningstar,,,,0,0.8153941163260723108017067146,63.42,41.25000000000000000000000000,83.0,90.00,31.66551662129214916297606651,24.86721785204979905570819794,30.8573,-0.5464,3.0,636,7,1.0,0.0078,0,0,0.0,0.4,0.95,oncology,0.6919,highly_crowded,1.0,58,0.1,0.799652,0.8404,16.15,0.283972,-0.5711,1.88165,1.87665,0.0,0.0,0.0,0.005,0.0
FATE,"Fate Therapeutics, Inc.",8,0.47,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.904181,,0,0.60828,1,0.39172,791,0,specific_days,9,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|cost_haircut_>2000bps,momentum_score:+39.6;clinical_score:-19.7;financial_score:-12.1,tier=B;reason=high_opt+catalyst_far;cat_days=791;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 106084000.0, ""cash_total"": 203657000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.037253497228612, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 2}",mid|far_271_540|pos,0.008456678571428572,,0.1776,0,1,-0.2436,1.751,2,2,buying,-0.3981,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,791,False,specific_days,1.545089,price_history,,2,1.7787,price_history,,0.0,,66.9285,0.8890,-0.013218,0.013218,mid,micro,none,drug_developer,morningstar,,,,0,0.7794034090909090909090909091,96.55,45.56250000000000000000000000,60.5,90.00,37.21536351165980795610425240,44.86194939795762841030330742,36.4459,-0.3103,2.0,,19,1.0,0.0565,0,0,0.0,0.3,0.95,oncology,-0.4901,uncrowded,1.0,260,0.008456678571428572,0.095819,-1.3057,24.60,0.527875,0.0699,1.751423,1.751,0.0,0.0,0.0,0.000423,0.0
STRO,"Sutro Biopharma, Inc.",9,0.6,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.91115,,0,0.633758,1,0.366242,1034,0,specific_days,9,tailwind,,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|runway_short|cost_haircut_<=2000bps,financial_score:-36.5;smart_money_score:+25.0;momentum_score:+13.7,tier=B;reason=high_opt+catalyst_far;cat_days=1034;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 150796000.0, ""cash_total"": 167594000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 13.336746332793973, ""stage_bucket"": ""mid"", ""surv_score"": ""2.0"", ""tier1_count"": 3}",mid|far_271_540|pos,0.008456678571428572,,0.1724,0,1,-0.3287,1.5687,3,3,buying,-0.0121,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,short,<=2000bps,1967.55,0.7,1,0,1.0,0,1.0,0,1034,False,specific_days,0.406456,price_history,,3,1.1274,price_history,,-0.158163,,56.6295,1.0735,-0.013218,-0.144945,mid,small,sev2,drug_developer,morningstar,,,,0,0.7778256456524190819893988948,55.17,45.56250000000000000000000000,66.5,72.62,35.19128181679622008840115837,5,34.7795,-0.3807,2.0,543,5,1.0,0.3522,1,0,0.0,0.3,0.95,oncology,0.6919,highly_crowded,1.0,262,0.008456678571428572,0.08885,-1.3479,7.28,0.043554,-1.7109,1.569123,1.5687,0.0,0.0,0.0,0.000423,0.0
SVRA,"Savara, Inc.",10,0.73,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.419861,,0,0.678344,1,0.321656,,0,no_upcoming,9,neutral,,L,sponsor_confirmed,smart_money_score:+25.5;financial_score:-24.9;clinical_score:-12.6,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 75980000.0, ""cash_total"": 124386000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 19.645064490655436, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|none|pos,0.1,,0.7088,0,1,-0.6113,0.9632,3,3,buying,-0.0121,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,844.9,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.119273,price_history,,3,0.7159,price_history,,-0.026415,,58.1234,0.6811,-0.013218,-0.013197,late,small,sev1,drug_developer,morningstar,,,,0,0.8537560065313739211569862375,52.81,41.25000000000000000000000000,66.5,57.88,28.46964507508750799804283188,16.11243360003526637131080694,26.9614,-0.711,3.0,1185,9,1.0,0.0001,0,0,0.0,0.4,0.5,respiratory,0.6919,highly_crowded,1.0,121,0.1,0.580139,0.2023,14.81,0.224739,-0.7563,1.4498,1.4448,0.0,0.0,0.0,0.005,0.0
KALV,"KalVista Pharmaceuticals, Inc.",11,0.73,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.252613,,0,0.684713,1,0.315287,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+16.8;clinical_score:-14.5;financial_score:-13.4,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.1,,0.7082,0,1,-0.6378,0.9066,2,2,selling,-0.3981,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.305158,price_history,,2,1.0109,price_history,,-0.118454,,52.0535,0.6376,-0.013218,-0.105236,late,small,sev1,drug_developer,morningstar,,,,0,0.8797717560805306644943558711,59.17,41.25000000000000000000000000,54.5,60.62,27.84050752547873252453778631,28.93522008419846150455156604,26.3323,-0.7376,3.0,851,4,1.0,0.0025,0,0,0.0,0.4,0.55,ophthalmology,0.6919,highly_crowded,1.0,73,0.1,0.747387,0.6663,21.68,0.454704,-0.1138,1.3649,1.3599,0.0,0.0,0.0,0.005,0.0
