ticker,company_name,actionable_rank,target_weight_pct,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,commercial_quality_pct,has_commercial_quality,clinical_optionality_pct_dev,has_clinical_optionality_dev,clinical_rank_pct_dev,catalyst_days,catalyst_in_window,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,top_3_drivers,catalyst_reason_detail,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,fundamental_red_flag,fundamental_red_flag_reasons,fundamental_red_flag_inputs,alpha_cohort_key,alpha_cohort_raw,commercial_quality,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,coinvest_score_z,coinvest_tag,coinvest_conviction,coinvest_tier1_conviction,coinvest_max_position_pct,coinvest_filing_age_days,coinvest_recency_state,inst_delta_z,inst_delta_net,inst_delta_new,inst_delta_exit,has_coinvest_signal,has_inst_delta,has_catalyst_signal,catalyst_strength,catalyst_decay_w,runway_bucket,cost_bucket,est_cost_bps,cost_mult,cost_haircut_applied,dd_rel_margin_rescued,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_alpha_60d_source,de_alpha_60d_missing_reason,de_tier1_count,de_beta_xbi_60d,de_beta_xbi_60d_source,de_beta_xbi_60d_missing_reason,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_vol_60d,de_drawdown_xbi,de_drawdown_rel_xbi,stage_bucket,market_cap_bucket,severity,archetype,returns_source,catalyst_source,catalyst_event_type,missing_components,missingness_penalty,confidence_overall,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,clinical_score_v2,clinical_score_v2_z,lead_program_phase,lead_program_readout_days,program_count,program_diversification,readout_curve_score,readout_density_90,late_stage_readouts_180,execution_momentum,design_quality_score,endpoint_strength_score,therapeutic_area,competitive_intensity_z,crowding_level,sizing_multiplier_clinical,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn
LQDA,Liquidia Corporation,1,1.04,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.683219,,0,0.817901,1,0.182099,92,0,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind,momentum_score:+41.1;financial_score:-34.7;clinical_score:-30.0,tier=A;reason=high_opt+catalyst_near;cat_days=92;strength=near;decay_w=1.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 79930000.0, ""cash_total"": 157496000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.645089453271613, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 3}",late|near_91_180|nonpos,0.03476938888888889,,0.5851,0,1,-1.1746,0.0,3,3,buying,-0.0344,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,near,1.0,adequate,<=1000bps,430.35,0.85,1,0,1.0,0,1.0,0,92,False,specific_days,0.445587,price_history,,3,0.9541,price_history,,-0.074118,,56.1242,0.5778,-0.148465,0.074347,late,mid,sev1,drug_developer,morningstar,,,,0,0.8688101869606903163950143816,84.92,45.56250000000000000000000000,65.5,63.25,13.82621315192743764172335601,9.111111111111111111111111112,13.6233,-1.2804,3.0,20,4,1.0,1.9666,1,2,0.0,0.3,0.5,respiratory,0.7042,highly_crowded,1.0,200,0.03476938888888889,0.316781,-0.4767,9.79,0.077055,-1.4252
GOSS,"Gossamer Bio, Inc.",2,0.86,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.292808,,0,0.601852,1,0.398148,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,momentum_score:+34.9;financial_score:-29.3;smart_money_score:+28.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 122952000.0, ""cash_total"": 180224000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 17.589693538942026, ""stage_bucket"": ""late"", ""surv_score"": ""0.0"", ""tier1_count"": 6}",late|none|pos,0.06958397674418605,,0.6193,0,1,-0.3744,1.852,6,6,buying,1.1248,elite_6,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1384.72,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.851421,price_history,,6,0.8151,price_history,,-0.196078,,52.8805,0.8648,-0.148465,-0.047613,late,micro,sev1,drug_developer,morningstar,,,,0,0.8153941163260723108017067146,89.13,41.25000000000000000000000000,83.0,85.79,32.84770975056689342403628118,24.95040000000000000000000000,31.9825,-0.5003,3.0,272,7,1.0,0.1629,0,0,0.0,0.4,0.95,oncology,0.7042,highly_crowded,1.0,86,0.06958397674418605,0.707192,0.5452,13.78,0.17637,-0.9293
PVLA,"Palvella Therapeutics, Inc.",3,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.351027,,0,0.626543,1,0.373457,,0,no_upcoming,9,tailwind,,L,sponsor_confirmed|momentum_tailwind,momentum_score:+25.1;financial_score:-24.9;smart_money_score:+24.1,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 20080000.0, ""cash_total"": 63567000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 37.98824701195219, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",late|none|pos,0.06958397674418605,,0.6176,0,1,-0.4759,1.5961,4,4,buying,0.352,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,491.35,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.294168,price_history,,4,0.9365,price_history,,-0.07718,,63.5918,,-0.148465,0.071285,late,small,none,drug_developer,morningstar,,,,0,0.8521463044998834227092562369,73.01,41.25000000000000000000000000,72.0,70.08,30.43573696145124716553287981,23.04236669101533966398831263,29.7357,-0.5958,3.0,307,6,1.0,0.2164,0,0,0.0,0.7,0.5,other,-3.5998,uncrowded,1.0,103,0.06958397674418605,0.648973,0.3825,19.09,0.371575,-0.3277
KALV,"KalVista Pharmaceuticals, Inc.",4,1.04,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.320205,,0,0.651235,1,0.348765,,0,no_upcoming,9,tailwind,overbought_rsi,L,sponsor_confirmed|momentum_tailwind,momentum_score:+22.7;clinical_score:-15.3;financial_score:-15.2,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 126985000.0, ""cash_total"": 243497000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.010308304130408, ""stage_bucket"": ""late"", ""surv_score"": ""1.0"", ""tier1_count"": 2}",late|none|pos,0.06958397674418605,,0.6152,0,1,-0.5507,1.4074,2,2,selling,-0.4208,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,753.69,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,0.289566,price_history,,2,1.4327,price_history,,-0.259584,,70.4242,0.6376,-0.148465,-0.111119,late,small,sev1,drug_developer,morningstar,,,,0,0.8797695576251455180442374854,66.63,41.25000000000000000000000000,54.5,75.57,28.65723356009070294784580499,28.81837919000081162243324406,27.0921,-0.7081,3.0,321,5,1.0,0.1552,0,0,0.0,0.4,0.55,ophthalmology,0.7042,highly_crowded,1.0,94,0.06958397674418605,0.679795,0.4671,22.94,0.491438,-0.0215
TENX,"Tenax Therapeutics, Inc.",5,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.371575,,0,0.669753,1,0.330247,,0,no_upcoming,9,tailwind,,M,momentum_tailwind|cost_haircut_<=2000bps,clinical_score:-23.8;momentum_score:+17.8;financial_score:+10.8,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 22385000.0, ""cash_total"": 99400000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 53.28568237659147, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 1}",late|none|pos,0.06958397674418605,,0.612,0,1,-0.6244,1.2214,1,1,buying,-0.8072,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1850.21,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,0.149159,price_history,,1,0.3229,price_history,,-0.23067,,42.3221,,-0.148465,-0.082205,late,micro,none,drug_developer,morningstar,,,,0,0.8539370391124061414322537263,68.49,41.25000000000000000000000000,55.5,92.78,26.90485260770975056689342404,61.52857142857142857142857143,26.3897,-0.7379,3.0,580,6,1.0,0.0119,0,0,0.0,0.4,0.85,cardiovascular,-0.4913,uncrowded,1.0,109,0.06958397674418605,0.628425,0.3277,27.41,0.570205,0.1769
SMMT,Summit Therapeutics Inc.,6,1.04,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.025685,,0,0.70679,1,0.29321,306,0,specific_days,9,tailwind,high_beta|deep_drawdown,L,catalyst_far_lift|sponsor_confirmed|momentum_tailwind|high_risk,momentum_score:+27.1;clinical_score:-26.9;smart_money_score:+21.1,tier=B;reason=high_opt+catalyst_far;cat_days=306;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 322930000.0, ""cash_total"": 713448000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 26.511553587464775, ""stage_bucket"": ""late"", ""surv_score"": ""3.0"", ""tier1_count"": 5}",late|far_271_540|pos,0.09766431818181819,,0.6066,0,1,-0.7685,0.8578,5,5,buying,0.7384,elite_5,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=1000bps,484.44,0.85,1,0,1.0,0,1.0,0,306,False,specific_days,0.401001,price_history,,5,2.5592,price_history,,-0.35202,,51.5797,0.5984,-0.148465,-0.203555,late,large,none,drug_developer,morningstar,,,,0,0.8151449643947100712105798576,77.57,45.56250000000000000000000000,71.5,18.89,23.47845804988662131519274376,34.00966530612244897959183674,22.9633,-0.8835,3.0,306,14,1.0,0.2,0,0,0.0,0.4,0.95,oncology,-0.4913,uncrowded,1.0,8,0.09766431818181819,0.974315,1.9484,13.86,0.179795,-0.9161
ZBIO,"Zenas BioPharma, Inc.",7,0.31,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.378425,,0,0.731481,1,0.268519,,0,no_upcoming,9,headwind,high_vol|drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|high_risk,smart_money_score:+24.8;clinical_score:-20.4;momentum_score:-2.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 119919000.0, ""cash_total"": 290884000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 29.10804793235434, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 3}",late|none|pos,0.06958397674418605,,0.6004,0,1,-0.8622,0.6216,3,3,buying,-0.0344,elite_3,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=1000bps,681.58,0.85,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.24158,price_history,,3,1.3644,price_history,,,series_too_short,44.4289,1.5048,-0.148465,,late,small,none,drug_developer,morningstar,,,drawdown,1,0.8089179366940211019929660023,39.37,41.25000000000000000000000000,66.5,71.26,21.25224489795918367346938776,39.95406217027838649460271082,20.3875,-0.993,3.0,258,7,1.0,0.5336,0,0,0.0,0.4,0.6,autoimmune,-0.4913,uncrowded,1.0,111,0.06958397674418605,0.621575,0.3096,16.74,0.27911,-0.5855
RVMD,"Revolution Medicines, Inc.",8,1.22,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.02226,,0,0.737654,1,0.262346,276,0,specific_days,9,neutral,,L,catalyst_far_lift|sponsor_confirmed,smart_money_score:+28.5;clinical_score:-27.8;catalyst_score:-3.0,tier=B;reason=high_opt+catalyst_far;cat_days=276;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 897741000.0, ""cash_total"": 2025679000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 27.077016645112565, ""stage_bucket"": ""late"", ""surv_score"": ""5.0"", ""tier1_count"": 8}",late|far_271_540|pos,0.09766431818181819,,0.5999,0,1,-0.8853,0.5633,8,8,buying,1.8976,elite_8,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,<=400bps,174.63,1.0,0,0,1.0,0,1.0,0,276,False,specific_days,-0.171278,price_history,,8,1.137,price_history,,-0.327723,,44.859,0.4254,-0.148465,-0.179258,late,large,none,drug_developer,morningstar,,,,0,0.8847952375015584091759132278,49.12,45.56250000000000000000000000,77.0,57.22,20.70294784580498866213151928,50.30857142857142857142857143,19.6529,-1.0242,3.0,458,10,1.0,0.0661,0,0,0.0,0.3,0.95,oncology,0.7042,highly_crowded,1.0,7,0.09766431818181819,0.97774,2.0092,20.92,0.429795,-0.1769
ELDN,"Eledon Pharmaceuticals, Inc.",9,0.67,B,high_opt+catalyst_far,B,high_opt+catalyst_far,,0.833904,,0,0.75,1,0.25,458,0,specific_days,9,tailwind,,L,catalyst_far_lift|momentum_tailwind|cost_haircut_>2000bps,clinical_score:-23.0;momentum_score:+22.6;financial_score:-12.4,tier=B;reason=high_opt+catalyst_far;cat_days=458;strength=far;decay_w=0.3,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 48250000.0, ""cash_total"": 93401000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 23.229264248704663, ""stage_bucket"": ""mid"", ""surv_score"": ""4.0"", ""tier1_count"": 1}",mid|far_271_540|pos,-0.04502669565217391,,0.0345,0,1,-0.927,0.4581,1,1,neutral,-0.8072,elite_1,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,far,0.3,adequate,>2000bps,2020.0,0.55,1,0,1.0,0,1.0,0,458,False,specific_days,0.052073,price_history,,1,1.4752,price_history,,-0.216981,,42.4945,,-0.148465,-0.068516,mid,micro,sev1,drug_developer,morningstar,,,,0,0.7623627815438443035206647715,65.31,45.56250000000000000000000000,52.5,43.97,19.71166207529843893480257116,30.31364554637281910009182736,17.9617,-1.096,2.0,195,6,1.0,0.2198,0,0,0.0,0.3,0.55,metabolic,0.7042,highly_crowded,1.0,244,-0.04502669565217391,0.166096,-0.9697,19.70,0.398973,-0.256
BCAX,Bicara Therapeutics Inc.,10,0.26,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.402397,,0,0.762346,1,0.237654,,0,no_upcoming,9,headwind,drawdown_data_missing,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,clinical_score:-27.1;smart_money_score:+26.4;financial_score:+8.3,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 82948000.0, ""cash_total"": 290167000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 41.9781549886676, ""stage_bucket"": ""mid"", ""surv_score"": ""5.0"", ""tier1_count"": 4}",mid|none|pos,0.05054912499999999,,-1.3044,671,1,-0.999,0.2764,4,4,buying,0.352,elite_4,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1066.54,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.167813,price_history,,4,1.7578,price_history,,,series_too_short,50.9585,0.6287,-0.148465,,mid,small,none,drug_developer,morningstar,,,drawdown,1,0.7405545013704406493780307822,41.19,41.25000000000000000000000000,71.5,76.57,18.00000000000000000000000000,53.34615384615384615384615384,17.1348,-1.1312,2.0,1128,2,0.3333,0.001,0,0,0.0,0.4,0.95,oncology,0.7042,highly_crowded,1.0,118,0.05054912499999999,0.597603,0.2471,20.43,0.412671,-0.2207
ABEO,Abeona Therapeutics Inc.,11,0.51,B,high_opt+no_catalyst_data,B,high_opt+no_catalyst_data,,0.203767,,0,0.774691,1,0.225309,,0,no_upcoming,9,neutral,deep_drawdown,M,sponsor_confirmed|cost_haircut_<=2000bps,clinical_score:-29.5;financial_score:+23.2;smart_money_score:+8.5,tier=B;reason=high_opt+no_catalyst_data;cat_days=NA;strength=missing;decay_w=0.0,v1.3.0,31f399e0,1,,0,,"{""burn_ttm"": 58373000.0, ""cash_total"": 207117000.0, ""dilution_risk"": null, ""has_revenue"": null, ""lead_phase"": null, ""runway_months"": 38.84982606281337, ""stage_bucket"": ""late"", ""surv_score"": ""2.0"", ""tier1_count"": 2}",late|none|pos,0.06958397674418605,,0.592,0,1,-1.0437,0.1639,2,2,neutral,-0.4208,elite_2,0.0,0.0,0.0,,,0.0,0,0,0,True,False,True,missing,0.0,adequate,<=2000bps,1317.16,0.7,1,0,1.0,0,1.0,0,,False,no_upcoming,-0.054398,price_history,,2,1.1469,price_history,,-0.396313,,38.2531,,-0.148465,-0.247848,late,micro,none,drug_developer,morningstar,,,,0,0.8741862964621585311240483654,49.43,41.25000000000000000000000000,55.0,64.91,16.93913832199546485260770975,69.71428571428571428571428572,15.5391,-1.199,3.0,214,9,1.0,0.2529,0,0,0.0,0.3,0.5,other,-1.6869,uncrowded,1.0,60,0.06958397674418605,0.796233,0.8282,26.69,0.542808,0.1075
