ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,clinical_alpha_z,clinical_readout_days,clinical_coverage_flag,clinical_score_z,clinical_score_z_tier,commercial_quality,commercial_quality_pct,alpha_cohort_key,alpha_cohort_raw,alpha_cohort_pct,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,catalyst_decay_w,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,tier_commercial,tier_any,tier_any_reason,missing_components,missingness_penalty,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority,top_3_drivers,catalyst_reason_detail
ABUS,1,0.1,0.998433,2.9542,20.96,0.390282,-0.2786,mid,small,none,drug_developer,31.59,52.688,,53.77,35.46394714162596954898017811,21.01469237832874196510560147,0.8535760987766198459447213412,0.439891,0.560109,-0.0992,0,1,-0.2277,0.5501,,,mid|near_31_90|pos,0.1,0.001567,v1.3.0,aa0aaf28,1,,0,0,neutral,43,1,specific_days,near,1.0,adequate,headwind,,XS,momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1304.44,1.0,0,1.0,0,0,B,mod_opt+catalyst_near,,B,mod_opt+catalyst_near,,0,50,0.08,43,True,specific_days,-0.2422,0,,-0.19596,,,-0.023106,-0.172854,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3,catalyst_score:+17.5;financial_score:-14.2;momentum_score:-3.6,tier=B;reason=mod_opt+catalyst_near;cat_days=43;strength=near;decay_w=1.0
ACAD,2,0.1,0.995298,2.597,52.29,0.960815,1.7602,late,mid,none,commercial_biotech,24.77,44.99190044444444444444444444,71.0,53.90,65.37313432835820895522388060,68.00000000000000000000000000,0.9,,,0.8484,0,1,0.7579,0.4839,54.419,0.636792,late|near_31_90|pos,0.1,0.004702,v1.3.0,aa0aaf28,1,,7,7,buying,87,0,specific_days,near,1.0,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,525.22,1.0,0,1.0,0,0,,,B,B,mod_quality+catalyst_near,,0,162,0.41,87,False,specific_days,-0.3338,7,0.9418,-0.0517,,43.2990,-0.023106,-0.028594,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,momentum_score:-30.1;smart_money_score:+16.2;financial_score:+13.2,tier=;reason=;cat_days=87;strength=near;decay_w=1.0
ACRS,3,0.1,0.992163,2.4164,40.22,0.750784,0.677,late,small,none,drug_developer,64.19,49.86805377777777777777777778,57.375,90.00,76.11940298507462686567164179,50.06315789473684210526315790,0.8634189846576025944867157291,0.937158,0.062842,0.88,0,1,1.5124,1.2012,,,late|near_91_180|pos,0.1,0.007837,v1.3.0,aa0aaf28,1,,3,3,buying,165,0,specific_days,mid,0.7,adequate,tailwind,high_vol|deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_tailwind|high_risk|cost_haircut_<=2000bps,0.7,<=2000bps,1,1213.73,1.0,0,1.0,0,0,C,low_opt,,C,low_opt,,0,73,0.33,165,False,specific_days,0.1867,3,,-0.295806,,,-0.023106,-0.2727,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,clinical_score:+16.6;catalyst_score:-9.7;financial_score:-9.5,tier=C;reason=low_opt;cat_days=165;strength=mid;decay_w=0.7
ADMA,4,0.1,0.989028,2.2913,26.97,0.521944,0.055,late,mid,none,commercial_biotech,29.07,30.07943511111111111111111111,45.475,13.64,37.78267864656815425360758397,25.44247205785667324128862590,0.9,,,-0.6841,,0,-0.5492,-0.6026,22.037112,0.080189,late|none|nonpos,0.1,0.010972,v1.3.0,aa0aaf28,1,,2,2,selling,,0,no_upcoming,missing,0.0,adequate,headwind,deep_drawdown_rel_xbi,M,sponsor_confirmed|momentum_headwind,0.85,<=1000bps,1,454.4,1.0,0,1.0,0,0,,,C,C,low_quality+no_catalyst_data,,0,210,0.41,,False,no_upcoming,-0.2754,2,,-0.343533,,,-0.023106,-0.320427,morningstar,,,9,smart_money_score:+11.9;financial_score:-8.1;momentum_score:-4.5,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0
AKRO,5,0.1,0.985893,2.1943,7.58,0.051724,-1.6284,late,mid,sev2,drug_developer,42.22,63.932,72.2819845847823258738777379,10.00,16.52536103341776468679268114,5.928994082840236686390532542,0.8281910923115202786762876337,0.210383,0.789617,0.4882,0,1,-1.0383,-1.1648,,,late|near_31_90|nonpos,0.1,0.014107,v1.3.0,aa0aaf28,0,fundamental_red_flag,11,11,selling,43,1,specific_days,near,1.0,critical,headwind,,XS,ineligible,1.0,<=400bps,0,264.18,1.0,0,1.0,0,0,D,ineligible,,D,ineligible,,0,,,43,True,specific_days,-0.1081,11,,-0.050556,,,-0.023106,-0.02745,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,financial_score:-34.2;smart_money_score:+32.1;catalyst_score:+23.8,tier=D;reason=ineligible;cat_days=43;strength=near;decay_w=1.0
ALKS,6,0.1,0.982759,2.1144,55.82,0.992163,2.4164,late,mid,none,commercial_pharma,41.72,45.94798400000000000000000000,57.7750,77.27,77.000,70.76923076923076923076923077,0.9,,,0.88,0,1,0.9858,1.0,67.234654,0.863208,late|near_91_180|pos,0.1,0.017241,v1.3.0,aa0aaf28,1,,6,6,buying,104,0,specific_days,near,1.0,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,362.89,1.0,0,1.0,0,0,,,A,A,high_quality+catalyst_near,,0,139,0.48,104,False,specific_days,-0.1149,6,,-0.078889,,,-0.023106,-0.055783,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,clinical_score:+18.4;momentum_score:-16.9;catalyst_score:-12.7,tier=;reason=;cat_days=104;strength=near;decay_w=1.0
ALMS,7,0.1,0.979624,2.046,6.66,0.04232,-1.7244,late,mid,sev2,drug_developer,96.55,45.35264400000000000000000000,79.19855446400848011253023941,34.08,30.45207901894617569972140404,7.312925706771860618014464170,0.8228419851682829435253850542,0.39071,0.60929,0.5173,0,1,-0.4423,1.5523,,,late|near_31_90|pos,0.1,0.020376,v1.3.0,aa0aaf28,1,,7,7,buying,42,1,specific_days,near,1.0,short,tailwind,high_vol,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short|high_risk,1.0,<=400bps,0,365.09,1.0,0,1.0,0,0,A,high_opt+catalyst_near,,A,high_opt+catalyst_near,,0,4,0.79,42,True,specific_days,2.6504,7,,-0.018491,,,-0.023106,0.004615,morningstar,SEC_8K_FILING,DATA_READOUT,2,momentum_score:+44.8;financial_score:-44.5;smart_money_score:+27.4,tier=A;reason=high_opt+catalyst_near;cat_days=42;strength=near;decay_w=1.0
ALT,8,0.1,0.976489,1.9861,39.70,0.741379,0.6476,late,small,none,drug_developer,39.50,48.69728044444444444444444444,44.775,82.34,74.92537313432835820895522388,61.87368421052631578947368421,0.8389741914602265654176521847,0.920765,0.079235,0.8766,0,1,1.4613,1.4325,,,late|near_31_90|pos,0.1,0.023511,v1.3.0,aa0aaf28,0,deep_drawdown,1,1,selling,73,0,specific_days,near,1.0,adequate,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,0.85,<=1000bps,1,608.71,1.0,0,1.0,0,0,D,ineligible,,D,ineligible,,0,,,73,False,specific_days,-0.1459,1,,-0.412451,,,-0.023106,-0.389345,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3,clinical_score:+21.0;momentum_score:-14.5;smart_money_score:-9.2,tier=D;reason=ineligible;cat_days=73;strength=near;decay_w=1.0
ALVO,9,0.1,0.973354,1.9326,26.00,0.503135,0.0079,late,small,none,commercial_pharma,18.47,52.460,,19.91,62.08955223880597014925373134,5.210834102800861803631886737,0.7747946804712602641913602285,,,0.5834,0,1,0.3558,0.9666,13.007375,0.004717,late|none|pos,0.1,0.026646,v1.3.0,aa0aaf28,0,deep_drawdown,0,0,neutral,,0,no_upcoming,missing,0.0,adequate,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,0.7,<=2000bps,1,1898.98,1.0,0,1.0,0,0,,,D,D,ineligible,,0,,,,False,no_upcoming,-0.4400,0,,-0.642802,,,-0.023106,-0.619696,morningstar,,,9,financial_score:-29.3;clinical_score:+27.5;catalyst_score:+17.9,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0
AMPH,10,0.1,0.970219,1.884,40.65,0.760188,0.7069,late,small,none,commercial_pharma,36.61,30.07943511111111111111111111,,75.97,52.37313432835820895522388060,56.00000000000000000000000000,0.9,,,0.813,0,1,-0.0548,-0.1569,59.1115,0.70283,late|none|nonpos,0.1,0.029781,v1.3.0,aa0aaf28,1,,0,0,neutral,,0,no_upcoming,missing,0.0,adequate,headwind,,S,momentum_headwind,0.85,<=1000bps,1,965.51,1.0,0,1.0,0,0,,,C,C,mod_quality+no_catalyst_data,,0,209,0.2,,False,no_upcoming,-0.1762,0,,-0.117374,,,-0.023106,-0.094268,morningstar,,,9,catalyst_score:-13.7;financial_score:+12.2;clinical_score:+8.6,tier=;reason=;cat_days=NA;strength=missing;decay_w=0.0
