ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,vol_blended,vol_63d,vol_252d,max_drawdown_blended,max_drawdown_252d,max_drawdown_2y,risk_data_state_vol,risk_data_state_drawdown,risk_data_state_beta,confidence_risk,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
HRMY,1,84.57,1.6891,0.1351,0.315956,-0.090965,2,0.1710,0.112081,0.376776,0.314153,0.418525,-0.351124,-0.344967,-0.375753,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,mid,True,43.58,60,-0.0892,63.70,49.65,16.87,65.71,4,Great Point Partners,66.00,MEDIUM,HIGH,90.00,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
OPK,2,82.42,1.5183,0.1215,0.351986,-0.078571,2,0.2563,0.033067,0.375205,0.346698,0.394211,-0.386598,-0.386598,-0.386598,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,small,True,30.10,60,-0.2618,50.00,50.00,0,50.00,0,,57.00,LOW,LOW,85.65,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.95
ACAD,3,81.20,1.3431,0.1074,0.319015,-0.078403,2,-0.069309,0.163799,0.394778,0.313938,0.448670,-0.341665,-0.305076,-0.488017,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,mid,True,39.21,60,-0.1499,68.50,58.38,34.75,80.00,5,Baker Bros Advisors; Palo Alto Investors; RTW Investments; Sofinnova Investments; Tang Capital Partners,61.00,LOW,LOW,56.49,ev_cfo,0.8000,31.39,strong,Takeda,75.8,BTD; FT; ODD,100.0,highly_crowded,83.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.84
INCY,4,80.25,1.3052,0.1044,0.370019,-0.086506,2,-0.110916,-0.192823,0.356610,0.367743,0.349189,-0.281219,-0.266941,-0.338331,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,39.30,60,-0.1486,91.47,94.03,100.00,71.00,2,Baker Bros Advisors; Casdin Capital,61.00,LOW,LOW,61.69,ev_cfo,0.8000,59.83,exceptional,Novartis; Eli Lilly,71.0,BTD; ODD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.87
IONS,5,79.58,1.2179,0.0974,0.316439,-0.007936,2,-0.007603,0.147424,0.416216,0.318646,0.481263,-0.308475,-0.258215,-0.509517,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,59.09,60,0.1263,80.00,83.14,90.47,61.00,1,Baker Bros Advisors,79.00,LOW,MODERATE,15.28,ev_revenue,0.8000,72.35,exceptional,Biogen; Roche; AstraZeneca,64.0,FT; ODD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.80
UTHR,6,74.90,0.9865,0.0789,0.198455,-0.093361,2,-0.089026,-0.040556,0.380492,0.268244,0.455325,-0.288869,-0.278586,-0.330000,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,46.87,60,-0.0435,80.00,75.80,66.01,80.00,4,Acuta Capital Partners; Krensavage Asset Management; Palo Alto Investors; Sofinnova Investments,68.00,LOW,LOW,72.08,ev_cfo,0.8000,50,unknown,,71.0,BTD; ODD,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.90
VRTX,7,71.96,0.854,0.0683,0.281451,-0.011711,2,-0.110810,-0.145963,0.323780,0.276308,0.355428,-0.287377,-0.286554,-0.290668,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,large,True,44.77,60,-0.0726,65.00,75.50,100.00,80.00,7,Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,60.00,LOW,LOW,35.71,ev_cfo,0.8000,55.08,exceptional,CRISPR Therapeutics; Moderna,71.0,BTD; ODD,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.95
INDV,8,71.54,0.8427,0.0674,0.284609,-0.056421,2,0.1532,-0.045146,0.458376,0.395299,0.500428,-0.395032,-0.324877,-0.675652,FULL,FULL,FULL,0.90,1.4000,elite,def_mult_elite_1.40,defensive_boost,False,,none,late,mid,True,48.56,60,-0.0200,50.00,50.00,0,50.00,0,,48.00,LOW,LOW,55.19,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
NVAX,9,69.20,2.9532,0.2363,0.664441,-0.052020,2,0.5142,-0.314845,0.707657,0.650819,0.745549,-0.491909,-0.429622,-0.741059,FULL,FULL,FULL,0.90,1.029000,neutral,def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,alpha,False,,none,late,small,True,47.99,60,-0.0280,59.20,46.08,15.47,50.00,4,,76.00,HIGH,HIGH,90.00,ev_revenue,0.8000,56.75,exceptional,Sanofi,58,FT,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.95
ALKS,10,66.77,2.4153,0.1932,0.359808,-0.012666,2,0.4767,0.573443,0.358695,0.361497,0.356827,-0.277994,-0.274167,-0.293305,FULL,FULL,FULL,0.90,1.0500,neutral,def_mult_momentum_bonus_1.05,alpha,False,,none,late,mid,True,44.83,60,-0.0719,50.00,50.00,0,80.00,7,Baker Bros Advisors; EcoR1 Capital; Krensavage Asset Management; Opaleye Management; Palo Alto Investors; RTW Investments; Rock Springs Capital Management,70.00,MEDIUM,MODERATE,77.27,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.84
