ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
NMRA,"Neumora Therapeutics, Inc.",1,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.57837,0.603825,0.5204,-0.4094,1.6149,,12,specific_days,9,tailwind,,M,tier_a_dev|momentum_tailwind|runway_short|cost_haircut_<=2000bps,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,drug_developer,185,0.09254273684210526
PVLA,"Palvella Therapeutics, Inc.",2,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.581505,0.60929,0.5202,-0.4427,1.5284,,12,specific_days,9,headwind,,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,drug_developer,186,0.09254273684210526
DNLI,Denali Therapeutics Inc.,3,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.547022,0.631148,0.517,-0.4978,1.3854,,8,specific_days,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_0_30|pos,0.09254273684210526,,drug_developer,175,0.09254273684210526
PRAX,"Praxis Precision Medicines, Inc",4,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.239812,0.625683,0.5194,-0.4758,1.4424,,104,specific_days,9,tailwind,,L,tier_a_dev|sponsor_confirmed|momentum_tailwind|runway_short,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,77,0.1
ZBIO,"Zenas BioPharma, Inc.",5,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.308777,0.636612,0.515,-0.5197,1.3286,,104,specific_days,9,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,M,tier_a_dev|sponsor_confirmed|momentum_headwind|high_risk,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,99,0.1
PHVS,Pharvaris N.V.,6,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.236677,0.663934,0.5123,-0.6063,1.104,,43,specific_days,9,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,v1.3.0,aa0aaf28,late|near_31_90|pos,0.1,,drug_developer,76,0.1
KYTX,"Kyverna Therapeutics, Inc.",7,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.65047,0.653005,-0.103,-0.5714,1.1944,,12,specific_days,9,headwind,high_vol|deep_drawdown_rel_xbi,S,tier_a_dev|momentum_headwind|high_risk,v1.3.0,aa0aaf28,mid|near_0_30|pos,0.07679787341772153,,drug_developer,208,0.07679787341772153
KURA,"Kura Oncology, Inc.",8,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.18652,0.685792,0.5097,-0.6913,0.8832,,165,specific_days,9,headwind,deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,60,0.1
KALV,"KalVista Pharmaceuticals, Inc.",9,A,high_opt+catalyst_mid,A,high_opt+catalyst_mid,,0.180251,0.70765,0.5029,-0.7749,0.6663,,133,specific_days,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,L,tier_a_dev|sponsor_confirmed|momentum_headwind,v1.3.0,aa0aaf28,late|near_91_180|pos,0.1,,drug_developer,58,0.1
SION,"Sionna Therapeutics, Inc.",10,A,high_opt+catalyst_near,A,high_opt+catalyst_near,,0.816614,0.937158,-1.1578,-1.5245,-1.2787,,104,specific_days,9,headwind,,M,tier_a_dev|sponsor_confirmed|momentum_headwind|runway_short,v1.3.0,aa0aaf28,mid|near_91_180|nonpos,0.0646411489361702,,drug_developer,261,0.0646411489361702
